#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,2.043076923076923,0.7733979432984193
ANOSI,OG676343,ANOSI11914,6.0,0.0
ANOSI,OG951333,ANOSI11872,nan,nan
ANOSI,OG960910,ANOSI11898,32.707001522070016,14.3449086632001
ANOSI,OG848281,ANOSI16815,6.349815498154982,3.289498829454861
ANOSI,OG1221639,ANOSI13259,6.7899159663865545,1.6185580758932288
ANOSI,OG964633,ANOSI13303,34.07640638119228,50.75338413205414
ANOSI,OG718578,ANOSI13311,1.1031390134529149,0.3041403579876802
ANOSI,OG961398,ANOSI02900,9.033738191632928,4.145816639405286
ANOSI,OG411836,ANOSI13282,9.266524520255864,4.824573831388222
ANOSI,OG1241986,ANOSI13275,13.266998341625207,5.982147745868279
ANOSI,OG698904,ANOSI13273,20.022354173943416,10.240089717370306
ANOSI,OG1157040,ANOSI13306,6.068669527896995,4.247645794598178
ANOSI,OG958126,ANOSI13277,2.9263803680981595,0.9304546168247092
ANOSI,OG842298,ANOSI13293,11.003201396973225,8.183449693716616
ANOSI,OG1174245,ANOSI10141,10.951559934318555,5.706860880852358
ANOSI,OG456351,ANOSI10182,4.69622641509434,4.621543573887405
ANOSI,OG1251511,ANOSI10202,21.58537693006358,10.670663330861585
ANOSI,OG961602,ANOSI10095,14.5,4.9355084537947045
ANOSI,OG953187,ANOSI10125,5.106090373280943,1.914822299789148
ANOSI,OG814084,ANOSI08197,10.101978691019786,5.946766312065926
ANOSI,OG699681,ANOSI08225,12.427728613569322,4.59092967205805
ANOSI,OG946387,ANOSI17759,5.7108317214700195,5.4194058754857135
ANOSI,OG946885,ANOSI17776,8.065439672801636,2.910001767569983
ANOSI,OG1214309,ANOSI17769,3.4750733137829912,2.1803159145623163
ANOSI,OG341995,ANOSI16311,5.585798816568047,3.9793891455045642
ANOSI,OG1079985,ANOSI16316,14.94688995215311,10.96006462770142
ANOSI,OG976835,ANOSI16315,14.427906976744186,6.850294166730993
ANOSI,OG675570,ANOSI13707,1.0,0.0
ANOSI,OG971355,ANOSI13700,16.66331658291457,13.300575514953959
ANOSI,OG1223272,ANOSI13699,8.731027361899844,7.211849412183485
ANOSI,OG1224967,ANOSI13721,14.125073746312685,6.899424300115739
ANOSI,OG457329,ANOSI13708,nan,nan
ANOSI,OG961439,ANOSI13690,5.162020905923345,3.494129485819671
ANOSI,OG998211,ANOSI13712,11.087229588276344,7.547204151899129
ANOSI,OG673136,ANOSI13684,5.793991416309013,2.3466820591255217
ANOSI,OG1139777,ANOSI13705,nan,nan
ANOSI,OG1221689,ANOSI12385,10.388627819548873,5.750188162712112
ANOSI,OG1222683,ANOSI12376,13.829006266786035,6.3443656896838
