#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG718578,ANOSI13311,0.6375519904931669,0.6375519904931669,1073,1683,1683
ANOSI,OG664391,ANOSI08311,0.7216196673897325,0.7216196673897325,998,1383,1383
ANOSI,OG1150857,ANOSI15844,0.6309963099630996,0.6309963099630996,1026,1626,1626
ANOSI,OG1144131,ANOSI18952,0.5900048520135857,0.5900048520135857,1216,2061,2061
ANOSI,OG456479,ANOSI13787,0.6677542142468733,0.6677542142468733,1228,1839,1839
ANOSI,OG932104,ANOSI16749,0.3713163064833006,0.3713163064833006,567,1527,1527
ANOSI,OG1215812,ANOSI12428,0.7311827956989247,0.7311827956989247,476,651,651
ANOSI,OG964929,ANOSI08966,0.544131455399061,0.544131455399061,1159,2130,2130
ANOSI,OG1203459,ANOSI13887,0.43089430894308944,0.43089430894308944,424,984,984
ANOSI,OG814084,ANOSI08197,0.6504761904761904,0.6504761904761904,683,1050,1050
ANOSI,OG1251552,ANOSI09497,0.7123015873015873,0.7123015873015873,359,504,504
ANOSI,OG828830,ANOSI16895,0.7884231536926147,0.7884231536926147,395,501,501
ANOSI,OG839253,ANOSI18124,0.7087087087087087,0.7087087087087087,236,333,333
ANOSI,OG946387,ANOSI17759,0.6181998021760633,0.6181998021760633,1250,2022,2022
ANOSI,OG1202789,ANOSI15781,0.9259259259259259,0.9259259259259259,3175,3429,3429
ANOSI,OG958126,ANOSI13277,0.28205128205128205,0.28205128205128205,187,663,663
ANOSI,OG1181227,ANOSI13961,0.7807017543859649,0.7807017543859649,1246,1596,1596
ANOSI,OG369576,ANOSI18640,0.7228260869565217,0.7228260869565217,399,552,552
ANOSI,OG1179969,ANOSI16583,0.6818481848184819,0.6818481848184819,2066,3030,3030
ANOSI,OG1194738,ANOSI13345,0.9331955922865014,0.9331955922865014,1355,1452,1452
ANOSI,OG1251119,ANOSI19256,0.7135642135642135,0.7135642135642135,989,1386,1386
ANOSI,OG1146507,ANOSI09519,0.25025746652935116,0.25025746652935116,729,2913,2913
ANOSI,OG1231177,ANOSI05477,0.7036384976525821,0.7036384976525821,1199,1704,1704
ANOSI,OG861720,ANOSI11902,0.34009360374414976,0.34009360374414976,1308,3846,3846
ANOSI,OG792952,ANOSI05501,0.700374531835206,0.700374531835206,748,1068,1068
ANOSI,OG1189787,ANOSI09481,0.6020408163265306,0.6020408163265306,354,588,588
ANOSI,OG362545,ANOSI14857,0.6109134045077106,0.6109134045077106,515,843,843
ANOSI,OG1198490,ANOSI18566,0.9591700133868809,0.9591700133868809,1433,1494,1494
ANOSI,OG1081004,ANOSI11947,0.7524396507447355,0.7524396507447355,1465,1947,1947
ANOSI,OG966098,ANOSI13976,0.8775280898876404,0.8775280898876404,2343,2670,2670
ANOSI,OG1197765,ANOSI15828,0.9254571026722925,0.9254571026722925,658,711,711
ANOSI,OG975279,ANOSI13957,0.7865168539325843,0.7865168539325843,1260,1602,1602
ANOSI,OG1218157,ANOSI08193,0.8010540184453228,0.8010540184453228,608,759,759
ANOSI,OG1226379,ANOSI13958,0.6395173453996983,0.6395173453996983,848,1326,1326
ANOSI,OG960979,ANOSI13351,0.935,0.935,1122,1200,1200
ANOSI,OG1242667,ANOSI15210,0.4631620868180008,0.4631620868180008,1163,2511,2511
ANOSI,OG457329,ANOSI13708,0.26570048309178745,0.26570048309178745,220,828,828
ANOSI,OG352732,ANOSI08184,0.6206384558277654,0.6206384558277654,836,1347,1347
