#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG951333,ANOGA05777,0.8977777777777778,0.8977777777777778,404,450,450
ANOGA,OG1139996,ANOGA05695,0.4153498871331828,0.4153498871331828,552,1329,1329
ANOGA,OG1246006,ANOGA05367,0.9941176470588236,0.9941176470588236,1014,1020,1020
ANOGA,OG722946,ANOGA04328,0.8975,0.8975,1077,1200,1200
ANOGA,OG460076,ANOGA06525,0.9868933758413035,0.9868933758413035,2786,2823,2823
ANOGA,OG1174245,ANOGA04055,0.6505016722408027,0.6505016722408027,1167,1794,1794
ANOGA,OG736122,ANOGA04659,0.9914802981895634,0.9914802981895634,931,939,939
ANOGA,OG792914,ANOGA04135,0.8042194092827004,0.8042194092827004,953,1185,1185
ANOGA,OG456351,ANOGA04056,0.46838025295797636,0.46838025295797636,2296,4902,4902
ANOGA,OG1192905,ANOGA05458,1.0,1.0,1017,1017,1017
ANOGA,OG961299,ANOGA05478,0.6151880248265791,0.6151880248265791,1685,2739,2739
ANOGA,OG451038,ANOGA04282,0.9825268817204301,0.9825268817204301,731,744,744
ANOGA,OG814084,ANOGA05434,0.8850902184235517,0.8850902184235517,932,1053,1053
ANOGA,OG708597,ANOGA04416,0.5811865729898517,0.5811865729898517,1489,2562,2562
ANOGA,OG1226379,ANOGA04627,0.8707482993197279,0.8707482993197279,1152,1323,1323
ANOGA,OG362633,ANOGA04668,0.15951359084406294,0.15951359084406294,223,1398,1398
ANOGA,OG966098,ANOGA04644,0.9435154217762913,0.9435154217762913,2539,2691,2691
ANOGA,OG932104,ANOGA04539,0.5795677799607073,0.5795677799607073,885,1527,1527
ANOGA,OG817086,ANOGA04277,0.8552456839309429,0.8552456839309429,644,753,753
ANOGA,OG1240328,ANOGA05641,0.9005649717514125,0.9005649717514125,797,885,885
ANOGA,OG1231177,ANOGA04120,0.955477445811365,0.955477445811365,1631,1707,1707
ANOGA,OG1222683,ANOGA04115,0.7615615615615615,0.7615615615615615,1268,1665,1665
ANOGA,OG352732,ANOGA04305,0.918141592920354,0.918141592920354,1245,1356,1356
ANOGA,OG675570,ANOGA04091,0.6382513661202186,0.6382513661202186,584,915,915
ANOGA,OG961564,ANOGA05927,0.8576,0.8576,1608,1875,1875
ANOGA,OG944937,ANOGA05498,0.6590693257359924,0.6590693257359924,694,1053,1053
ANOGA,OG1218490,ANOGA05471,0.7666666666666667,0.7666666666666667,1058,1380,1380
ANOGA,OG1214309,ANOGA05405,0.8756218905472637,0.8756218905472637,352,402,402
ANOGA,OG456479,ANOGA05459,0.7230352303523035,0.7230352303523035,1334,1845,1845
ANOGA,OG1203459,ANOGA05696,0.6026422764227642,0.6026422764227642,593,984,984
ANOGA,OG1150674,ANOGA05653,0.599250936329588,0.599250936329588,480,801,801
ANOGA,OG457108,ANOGA04521,0.8475177304964538,0.8475177304964538,478,564,564
ANOGA,OG964344,ANOGA04312,0.8134751773049645,0.8134751773049645,1147,1410,1410
ANOGA,OG455346,ANOGA04634,0.8812553011026294,0.8812553011026294,1039,1179,1179
ANOGA,OG961440,ANOGA04483,0.9310829817158931,0.9310829817158931,1324,1422,1422
ANOGA,OG1242667,ANOGA04473,0.5761316872427984,0.5761316872427984,1400,2430,2430
ANOGA,OG456720,ANOGA04313,0.6457564575645757,0.6457564575645757,525,813,813
ANOGA,OG964929,ANOGA05473,0.9464618249534451,0.9464618249534451,2033,2148,2148
ANOGA,OG1235653,ANOGA04515,0.9813333333333333,0.9813333333333333,1840,1875,1875
ANOGA,OG1216622,ANOGA05381,0.8877805486284289,0.8877805486284289,1068,1203,1203
