#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,20.516746411483254,44.64440530793673
ANOGA,OG676343,ANOGA05773,1.0,0.0
ANOGA,OG951333,ANOGA05777,6.593052109181142,2.548419714636827
ANOGA,OG960910,ANOGA05775,42.00152207001522,12.964651536548324
ANOGA,OG848281,ANOGA05255,6.7460443037974684,4.514698237452019
ANOGA,OG1221639,ANOGA05250,5.671469740634006,3.475955925754459
ANOGA,OG964633,ANOGA05249,33.01314142678348,46.941784333515606
ANOGA,OG718578,ANOGA05248,2.4755043227665707,1.2584490096637513
ANOGA,OG961398,ANOGA05245,18.147912885662432,8.440508699954535
ANOGA,OG411836,ANOGA05239,8.418714555765595,5.7318390319249
ANOGA,OG1241986,ANOGA04040,12.622085889570553,7.915783910192873
ANOGA,OG698904,ANOGA04041,19.651449516827725,10.506078217157546
ANOGA,OG1157040,ANOGA04042,4.965079365079365,4.259672792045005
ANOGA,OG958126,ANOGA04045,1.591760299625468,0.8222146777159818
ANOGA,OG842298,ANOGA04047,9.515905511811024,8.175456774479755
ANOGA,OG1174245,ANOGA04055,14.750825082508252,8.251449976336167
ANOGA,OG456351,ANOGA04056,4.006868131868132,5.986014568240059
ANOGA,OG1251511,ANOGA04057,26.828509719222463,10.41914084995502
ANOGA,OG961602,ANOGA04058,17.27054108216433,5.350346373876792
ANOGA,OG953187,ANOGA05445,5.9625,3.8658022561084695
ANOGA,OG814084,ANOGA05434,10.403428571428572,4.519240102278348
ANOGA,OG699681,ANOGA05433,12.486725663716815,4.618383895876929
ANOGA,OG946387,ANOGA05414,7.491467576791809,6.434953789222309
ANOGA,OG946885,ANOGA05407,10.017964071856287,4.035233627171403
ANOGA,OG1214309,ANOGA05405,4.617647058823529,2.5477560971047617
ANOGA,OG341995,ANOGA04081,5.225672093903825,6.187206311061807
ANOGA,OG1079985,ANOGA04086,11.92871587462083,9.021907639808465
ANOGA,OG976835,ANOGA04087,16.66262319939348,7.195676578901402
ANOGA,OG675570,ANOGA04091,nan,nan
ANOGA,OG971355,ANOGA04093,23.417161716171616,15.62485862738166
ANOGA,OG1223272,ANOGA04094,17.171853228053877,9.948180047342936
ANOGA,OG1224967,ANOGA04095,7.518145161290323,5.2504166552947975
ANOGA,OG457329,ANOGA04096,1.12,0.3249615361854385
ANOGA,OG961439,ANOGA04097,8.833075734157651,6.751034287842454
ANOGA,OG998211,ANOGA04098,6.669452181987001,3.613438882023622
ANOGA,OG673136,ANOGA04099,4.972560975609756,2.725642153460538
ANOGA,OG1139777,ANOGA04100,2.782608695652174,1.8247061722361901
ANOGA,OG1221689,ANOGA04113,14.850718590635141,8.057510351097068
ANOGA,OG1222683,ANOGA04115,16.101897399859453,7.070383275367083
ANOGA,OG1215812,ANOGA04116,11.397849462365592,6.402279378712197
ANOGA,OG896170,ANOGA04117,25.356401384083046,13.448387904242422
ANOGA,OG1231177,ANOGA04120,24.427260812581913,8.517018117173091
ANOGA,OG961115,ANOGA04121,5.187564766839378,4.524321238669478
ANOGA,OG911937,ANOGA04125,16.752244165170556,8.863464269325453
ANOGA,OG924410,ANOGA04132,12.151408450704226,8.784954882557285
ANOGA,OG792952,ANOGA04134,24.023809523809526,12.468668215765064
ANOGA,OG792914,ANOGA04135,12.139254385964913,7.417478372666279
ANOGA,OG1244115,ANOGA04136,7.93916349809886,2.5817630489549153
ANOGA,OG1170587,ANOGA04139,17.38898219684246,10.185287545896
ANOGA,OG1226379,ANOGA04627,13.722164412070759,4.240287659584899
ANOGA,OG458150,ANOGA04629,nan,nan
ANOGA,OG975279,ANOGA04631,9.717089125102207,6.744011779291273
ANOGA,OG1174891,ANOGA04632,3.5816618911174785,2.6554386187926133
ANOGA,OG455346,ANOGA04634,16.158514492753625,9.625659207793124
ANOGA,OG1240929,ANOGA04635,4.973282442748092,1.2673422588796308
ANOGA,OG822311,ANOGA04636,14.762298650413584,8.109884622266327
ANOGA,OG420493,ANOGA04637,8.046153846153846,7.036292225598911
ANOGA,OG665560,ANOGA04640,15.184422560429722,10.091657339291295
ANOGA,OG420768,ANOGA04641,11.857949200376293,7.672785490713714
ANOGA,OG1181227,ANOGA04642,13.741525423728813,8.329642775213761
ANOGA,OG342477,ANOGA04643,90.73976807639836,372.6040157305805
ANOGA,OG966098,ANOGA04644,11.875561545372866,6.985562397346291
ANOGA,OG419349,ANOGA04655,14.754601226993865,9.347889118723511
ANOGA,OG736122,ANOGA04659,8.520992366412214,7.079802618864393
ANOGA,OG1251119,ANOGA04663,18.564531104921077,7.751883892885167
ANOGA,OG796653,ANOGA04674,20.01266891891892,10.515384882552953
ANOGA,OG793899,ANOGA04677,17.603648424543948,7.632985932856642
ANOGA,OG899270,ANOGA04679,7.734725444702243,6.559620720479588
ANOGA,OG456648,ANOGA04680,7.515756302521009,7.142587658658446
ANOGA,OG1251552,ANOGA04696,11.758985200845666,3.927063444864674
ANOGA,OG1189787,ANOGA04698,5.313932980599647,2.7352683592788605
ANOGA,OG962019,ANOGA04699,1.4332247557003257,0.5746578290553842
ANOGA,OG967514,ANOGA05706,18.147548358074673,9.585930332587898
ANOGA,OG762076,ANOGA05710,4.6064,2.9467743449405828
ANOGA,OG1198488,ANOGA05707,21.396162528216703,6.049732467322875
ANOGA,OG456691,ANOGA05703,3.9301075268817205,1.470299870389737
ANOGA,OG1203459,ANOGA05696,6.4950354609929075,4.160645173666443
ANOGA,OG1139996,ANOGA05695,12.993256262042388,5.629107602678941
ANOGA,OG1208321,ANOGA05692,23.46276938959866,9.048788117292306
ANOGA,OG1240968,ANOGA05685,20.903673469387755,11.373963589273199
ANOGA,OG961322,ANOGA05683,7.278947368421052,2.7892800330001064
ANOGA,OG698997,ANOGA05682,17.663896583564174,14.066773170808643
ANOGA,OG1219581,ANOGA05679,9.896764252696457,7.284667733187562
ANOGA,OG823022,ANOGA05671,3.851720047449585,2.194694618232066
ANOGA,OG1174608,ANOGA05668,4.804100227790433,2.0334069952121303
ANOGA,OG839253,ANOGA05660,nan,nan
ANOGA,OG1150674,ANOGA05653,1.1683937823834196,0.37421560154278066
ANOGA,OG348620,ANOGA05652,15.861356932153392,8.368888828490428
ANOGA,OG674682,ANOGA05648,6.049180327868853,3.9706084141167453
ANOGA,OG964673,ANOGA05646,13.6672760511883,8.131398534266076
ANOGA,OG373241,ANOGA05645,16.36936936936937,4.659443434125853
ANOGA,OG960979,ANOGA05643,18.958298582151794,8.909137989953145
ANOGA,OG1240325,ANOGA05642,2.708029197080292,1.22122700019646
ANOGA,OG1240328,ANOGA05641,2.32425068119891,1.3168517581575958
ANOGA,OG1231901,ANOGA05639,7.820709491850431,4.991024799320905
ANOGA,OG1194738,ANOGA05637,21.524567474048443,7.708817485675359
ANOGA,OG1214658,ANOGA05631,10.4141689373297,3.239338547850621
ANOGA,OG344070,ANOGA05629,8.17945109078114,7.754376756540279
ANOGA,OG925865,ANOGA05617,9.517167381974248,5.077587431270669
ANOGA,OG1202204,ANOGA05611,13.340720221606649,5.445039271380548
ANOGA,OG977782,ANOGA05610,2.0,0.0
ANOGA,OG351572,ANOGA04255,8.380898876404494,5.03782047586825
ANOGA,OG1218157,ANOGA04267,3.0612903225806454,1.819106022793727
ANOGA,OG926503,ANOGA04270,13.880658436213992,5.104883119644091
ANOGA,OG817086,ANOGA04277,17.473760932944607,7.6202725340939965
ANOGA,OG949490,ANOGA04279,16.14050822122571,6.265523886897781
ANOGA,OG451043,ANOGA04280,11.470238095238095,8.111702008032603
ANOGA,OG451038,ANOGA04282,18.6602658788774,11.18343501953898
ANOGA,OG784747,ANOGA04289,13.4937106918239,4.504535597344894
ANOGA,OG978616,ANOGA04292,17.768483943241225,10.961955733554566
ANOGA,OG1218158,ANOGA04293,16.954682779456192,7.82190746427837
ANOGA,OG1236745,ANOGA04294,18.20138888888889,5.855805754458614
ANOGA,OG1190683,ANOGA04295,12.393792434529583,5.736208972561684
ANOGA,OG853434,ANOGA04296,4.891666666666667,1.2346558224865747
ANOGA,OG962230,ANOGA04299,10.890282131661442,3.2334264532946584
ANOGA,OG1230391,ANOGA04302,nan,nan
ANOGA,OG352732,ANOGA04305,8.383490073145246,5.441074017230214
ANOGA,OG823037,ANOGA04308,3.108535300316122,1.7891550313202211
ANOGA,OG964344,ANOGA04312,10.60295566502463,8.274299406772228
ANOGA,OG456720,ANOGA04313,7.237752161383285,2.6511296307384664
ANOGA,OG1146505,ANOGA04324,11.079781962338949,8.83451412324904
ANOGA,OG671266,ANOGA04325,22.231556350626118,9.585292414558092
ANOGA,OG664391,ANOGA04327,16.994426751592357,6.400821067658122
ANOGA,OG722946,ANOGA04328,9.65180102915952,4.773122938726585
ANOGA,OG961377,ANOGA04332,14.104807692307693,6.81482941554796
ANOGA,OG1146507,ANOGA05711,3.5301003344481607,3.973986943956368
ANOGA,OG986274,ANOGA04306,16.853682170542637,8.068079149977537
ANOGA,OG988784,ANOGA04273,10.97962382445141,13.817878060341497
ANOGA,OG362633,ANOGA04668,nan,nan
ANOGA,OG375937,ANOGA13872,nan,nan
ANOGA,OG949414,ANOGA05260,8.761437908496733,5.945719877401199
ANOGA,OG917347,ANOGA05769,13.183564567769476,5.629661772213641
ANOGA,OG1081004,ANOGA04408,16.180281690140845,9.452395474288029
ANOGA,OG960945,ANOGA04410,12.41995841995842,8.501946505651837
ANOGA,OG968775,ANOGA04415,13.597774244833069,11.734650374993388
ANOGA,OG708597,ANOGA04416,6.774703557312253,5.147683811923257
ANOGA,OG1197765,ANOGA04431,18.808479532163744,7.386956144447483
ANOGA,OG1168476,ANOGA04432,14.522131887985546,7.6729800662669545
ANOGA,OG971123,ANOGA04434,6.697522816166884,3.760396330839931
ANOGA,OG761976,ANOGA04435,3.906163753449862,3.0470745018957
ANOGA,OG979200,ANOGA04436,1.4448275862068964,0.4969466820054669
ANOGA,OG814870,ANOGA05303,7.7709090909090905,6.468033027101008
ANOGA,OG1225085,ANOGA05304,2.703883495145631,1.9033315535155322
ANOGA,OG1229017,ANOGA05305,14.880108991825614,10.340581556405422
ANOGA,OG1204971,ANOGA05312,8.036310395314787,6.019866998987565
ANOGA,OG369576,ANOGA05331,nan,nan
ANOGA,OG457572,ANOGA05354,3.616519174041298,1.976370360346151
ANOGA,OG1191966,ANOGA05362,23.474747474747474,11.37517023504073
ANOGA,OG456338,ANOGA05365,6.598513011152416,5.0142199547055935
ANOGA,OG1246006,ANOGA05367,17.753544165757905,6.646413335822651
ANOGA,OG1198490,ANOGA05372,14.694276094276095,7.398389184349425
ANOGA,OG1168250,ANOGA05380,4.936416184971098,1.5362678634200981
ANOGA,OG1216622,ANOGA05381,3.366053169734151,1.2313861398415356
ANOGA,OG1202789,ANOGA05383,19.12568093385214,14.762799037827167
ANOGA,OG1223886,ANOGA05389,nan,nan
ANOGA,OG790850,ANOGA04067,3.8063241106719365,1.6832624246804009
ANOGA,OG978865,ANOGA04062,19.41164453524004,7.750917257807833
ANOGA,OG1192905,ANOGA05458,15.606776180698152,7.868816321731056
ANOGA,OG456479,ANOGA05459,229.755624515128,663.5057642277701
ANOGA,OG1212040,ANOGA05460,15.601626016260163,10.163359321347667
ANOGA,OG1218490,ANOGA05471,16.643076923076922,7.829057694173561
ANOGA,OG961011,ANOGA05472,19.8816120906801,9.543365484624383
ANOGA,OG964929,ANOGA05473,10.221221864951769,7.695152342100791
ANOGA,OG877291,ANOGA05475,9.163747810858144,5.88300850809159
ANOGA,OG961299,ANOGA05478,6.835730088495575,5.632073322449617
ANOGA,OG719374,ANOGA05480,11.685385878489328,7.17669553772804
