#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,nan,nan
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,nan,nan
ANOSI,OG960910,ANOSI11898,19.508840864440078,11.802001946001301
ANOSI,OG848281,ANOSI16815,nan,nan
ANOSI,OG1221639,ANOSI13259,nan,nan
ANOSI,OG964633,ANOSI13303,840.7619047619048,730.2763032064942
ANOSI,OG718578,ANOSI13311,nan,nan
ANOSI,OG961398,ANOSI02900,nan,nan
ANOSI,OG411836,ANOSI13282,8.483091787439614,3.505475924228147
ANOSI,OG1241986,ANOSI13275,nan,nan
ANOSI,OG698904,ANOSI13273,6.134715025906735,5.420168347827378
ANOSI,OG1157040,ANOSI13306,nan,nan
ANOSI,OG958126,ANOSI13277,nan,nan
ANOSI,OG842298,ANOSI13293,1.2338308457711442,0.4232658518438448
ANOSI,OG1174245,ANOSI10141,nan,nan
ANOSI,OG456351,ANOSI10182,17.597826086956523,10.140383946303507
ANOSI,OG1251511,ANOSI10202,7.745961820851688,4.049084194240952
ANOSI,OG961602,ANOSI10095,nan,nan
ANOSI,OG953187,ANOSI10125,nan,nan
ANOSI,OG814084,ANOSI08197,nan,nan
ANOSI,OG699681,ANOSI08225,nan,nan
ANOSI,OG946387,ANOSI17759,6.513089005235602,4.89348176214809
ANOSI,OG946885,ANOSI17776,nan,nan
ANOSI,OG1214309,ANOSI17769,nan,nan
ANOSI,OG341995,ANOSI16311,4.212765957446808,1.1473590436351289
ANOSI,OG1079985,ANOSI16316,nan,nan
ANOSI,OG976835,ANOSI16315,4.562300319488818,3.0486131261403595
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,11.571078431372548,8.8754920776991
ANOSI,OG1223272,ANOSI13699,7.386740331491713,1.6435512298919825
ANOSI,OG1224967,ANOSI13721,7.6490066225165565,8.860731642385224
ANOSI,OG457329,ANOSI13708,nan,nan
ANOSI,OG961439,ANOSI13690,nan,nan
ANOSI,OG998211,ANOSI13712,12.666666666666666,3.944053188733078
ANOSI,OG673136,ANOSI13684,1.9375,0.24206145913796356
ANOSI,OG1139777,ANOSI13705,nan,nan
ANOSI,OG1221689,ANOSI12385,7.112054329371817,4.032256277365344
ANOSI,OG1222683,ANOSI12376,15.75,9.217387225929443
ANOSI,OG1215812,ANOSI12428,3.6411483253588517,1.4278268769146276
ANOSI,OG896170,ANOSI12371,10.382352941176471,7.254267327833171
ANOSI,OG1231177,ANOSI05477,nan,nan
ANOSI,OG961115,ANOSI05647,nan,nan
ANOSI,OG911937,ANOSI05566,nan,nan
ANOSI,OG924410,ANOSI05511,8.989304812834225,3.827831243678826
ANOSI,OG792952,ANOSI05501,nan,nan
ANOSI,OG792914,ANOSI05550,nan,nan
ANOSI,OG1244115,ANOSI05521,3.6714285714285713,1.2038204490161262
ANOSI,OG1170587,ANOSI05651,nan,nan
ANOSI,OG1226379,ANOSI13958,nan,nan
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,nan,nan
ANOSI,OG1174891,ANOSI13945,4.9393939393939394,0.2386062992124791
ANOSI,OG455346,ANOSI13964,nan,nan
ANOSI,OG1240929,ANOSI13949,nan,nan
ANOSI,OG822311,ANOSI13972,13.236842105263158,9.111868231009478
ANOSI,OG420493,ANOSI13963,nan,nan
ANOSI,OG665560,ANOSI13979,nan,nan
ANOSI,OG420768,ANOSI13955,7.802020202020202,7.1291970420404525
ANOSI,OG1181227,ANOSI13961,1.271889400921659,0.4449332023889882
ANOSI,OG342477,ANOSI13940,160.14669051878354,297.781030269144
ANOSI,OG966098,ANOSI13976,5.264516129032258,1.532770712204362
ANOSI,OG419349,ANOSI16375,nan,nan
ANOSI,OG736122,ANOSI16384,nan,nan
ANOSI,OG1251119,ANOSI19256,1.3409090909090908,0.47401485487759565
ANOSI,OG796653,ANOSI16455,16.902762430939227,13.429720610790547
ANOSI,OG793899,ANOSI18657,nan,nan
ANOSI,OG899270,ANOSI18211,nan,nan
ANOSI,OG456648,ANOSI18213,nan,nan
ANOSI,OG1251552,ANOSI09497,nan,nan
ANOSI,OG1189787,ANOSI09481,nan,nan
ANOSI,OG962019,ANOSI09471,nan,nan
ANOSI,OG967514,ANOSI18502,nan,nan
ANOSI,OG762076,ANOSI09475,nan,nan
ANOSI,OG1198488,ANOSI18498,38.100415923945334,22.43980565915643
ANOSI,OG456691,ANOSI18513,nan,nan
ANOSI,OG1203459,ANOSI13887,nan,nan
ANOSI,OG1139996,ANOSI13881,2.0,0.0
ANOSI,OG1208321,ANOSI11134,11.404881310598462,9.603658348357204
ANOSI,OG1240968,ANOSI11112,nan,nan
ANOSI,OG961322,ANOSI11117,nan,nan
ANOSI,OG698997,ANOSI11073,nan,nan
ANOSI,OG1219581,ANOSI11081,22.872832369942195,6.286604858602196
ANOSI,OG823022,ANOSI10093,nan,nan
ANOSI,OG1174608,ANOSI10178,nan,nan
ANOSI,OG839253,ANOSI18124,nan,nan
ANOSI,OG1150674,ANOSI16840,nan,nan
ANOSI,OG348620,ANOSI16831,2.0,0.0
ANOSI,OG674682,ANOSI10188,nan,nan
ANOSI,OG964673,ANOSI18236,1.7102272727272727,0.45365680178043505
ANOSI,OG373241,ANOSI13370,nan,nan
ANOSI,OG960979,ANOSI13351,20.878612716763005,8.560208679811446
ANOSI,OG1240325,ANOSI13359,nan,nan
ANOSI,OG1240328,ANOSI13371,nan,nan
ANOSI,OG1231901,ANOSI13321,nan,nan
ANOSI,OG1194738,ANOSI13345,nan,nan
ANOSI,OG1214658,ANOSI13358,nan,nan
ANOSI,OG344070,ANOSI13377,6.9941176470588236,4.591548577451876
ANOSI,OG925865,ANOSI19077,nan,nan
ANOSI,OG1202204,ANOSI18328,nan,nan
ANOSI,OG977782,ANOSI18323,nan,nan
ANOSI,OG351572,ANOSI08252,nan,nan
ANOSI,OG1218157,ANOSI08193,nan,nan
ANOSI,OG926503,ANOSI08194,nan,nan
ANOSI,OG817086,ANOSI08325,nan,nan
ANOSI,OG949490,ANOSI08215,nan,nan
ANOSI,OG451043,ANOSI08181,nan,nan
ANOSI,OG451038,ANOSI08326,nan,nan
ANOSI,OG784747,ANOSI08261,12.955128205128204,7.988246934473643
ANOSI,OG978616,ANOSI08335,nan,nan
ANOSI,OG1218158,ANOSI08297,12.670886075949367,6.828931106604552
ANOSI,OG1236745,ANOSI08307,nan,nan
ANOSI,OG1190683,ANOSI08201,nan,nan
ANOSI,OG853434,ANOSI08170,nan,nan
ANOSI,OG962230,ANOSI08287,nan,nan
ANOSI,OG1230391,ANOSI08180,nan,nan
ANOSI,OG352732,ANOSI08184,2.0,0.0
ANOSI,OG823037,ANOSI08294,nan,nan
ANOSI,OG964344,ANOSI08292,nan,nan
ANOSI,OG456720,ANOSI08234,nan,nan
ANOSI,OG1146505,ANOSI08230,nan,nan
ANOSI,OG671266,ANOSI08178,16.307711019216736,12.202576835671922
ANOSI,OG664391,ANOSI08311,nan,nan
ANOSI,OG722946,ANOSI08175,nan,nan
ANOSI,OG961377,ANOSI08182,10.807570977917981,5.863930764019516
ANOSI,OG1146507,ANOSI09519,nan,nan
ANOSI,OG986274,ANOSI08263,nan,nan
ANOSI,OG988784,ANOSI08226,28.121076233183857,29.998784051718367
ANOSI,OG362633,ANOSI16462,nan,nan
ANOSI,OG375937,ANOSI09099,nan,nan
ANOSI,OG949414,ANOSI16805,nan,nan
ANOSI,OG917347,ANOSI11939,15.020710059171599,7.796383441191702
ANOSI,OG1081004,ANOSI11947,3.669811320754717,0.7100584365163666
ANOSI,OG960945,ANOSI11923,nan,nan
ANOSI,OG968775,ANOSI11909,6.8884297520661155,4.3294053202354945
ANOSI,OG708597,ANOSI11937,nan,nan
ANOSI,OG1197765,ANOSI15828,nan,nan
ANOSI,OG1168476,ANOSI15819,nan,nan
ANOSI,OG971123,ANOSI15824,nan,nan
ANOSI,OG761976,ANOSI15820,nan,nan
ANOSI,OG979200,ANOSI15839,nan,nan
ANOSI,OG814870,ANOSI12461,nan,nan
ANOSI,OG1225085,ANOSI12439,nan,nan
ANOSI,OG1229017,ANOSI12483,5.2122370936902485,3.6822767300975547
ANOSI,OG1204971,ANOSI12470,1.8516483516483517,0.35544821955243666
ANOSI,OG369576,ANOSI18640,nan,nan
ANOSI,OG457572,ANOSI19201,nan,nan
