#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,0.9991251093613298,0.9991251093613298,3426,3429,3429
ANOGA,OG1081004,ANOGA04408,0.9493258949325895,0.9493258949325895,2042,2151,2151
ANOGA,OG1138880,ANOGA05943,1.0,1.0,681,681,681
ANOGA,OG1139996,ANOGA05695,1.0,1.0,1329,1329,1329
ANOGA,OG1144131,ANOGA06520,1.0,1.0,2157,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9996124031007751,0.9996124031007751,2579,2580,2580
ANOGA,OG1146507,ANOGA05711,1.0,1.0,2910,2910,2910
ANOGA,OG1150674,ANOGA05653,0.9650436953807741,0.9650436953807741,773,801,801
ANOGA,OG1150857,ANOGA04505,0.9728020240354206,0.9728020240354206,1538,1581,1581
ANOGA,OG1152239,ANOGA06528,0.9966442953020134,0.9966442953020134,891,894,894
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG1162063,ANOGA04462,1.0,1.0,1458,1458,1458
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG1168476,ANOGA04432,1.0,1.0,1269,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9847675568743818,0.9847675568743818,9956,10110,10110
ANOGA,OG1174245,ANOGA04055,0.979933110367893,0.979933110367893,1758,1794,1794
ANOGA,OG1174608,ANOGA05668,0.9211711711711712,0.9211711711711712,409,444,444
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG1176412,ANOGA04492,0.9208704253214639,0.9208704253214639,2793,3033,3033
ANOGA,OG1179948,ANOGA04501,0.9308510638297872,0.9308510638297872,525,564,564
ANOGA,OG1179969,ANOGA05488,0.9996728819103696,0.9996728819103696,3056,3057,3057
ANOGA,OG1181227,ANOGA04642,0.9727223131478451,0.9727223131478451,1783,1833,1833
ANOGA,OG1183200,ANOGA05481,0.9988623435722411,0.9988623435722411,878,879,879
ANOGA,OG1189787,ANOGA04698,0.9982993197278912,0.9982993197278912,587,588,588
ANOGA,OG1190683,ANOGA04295,1.0,1.0,1194,1194,1194
ANOGA,OG1191966,ANOGA05362,1.0,1.0,1962,1962,1962
ANOGA,OG1192905,ANOGA05458,1.0,1.0,1017,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9661016949152542,0.9661016949152542,684,708,708
ANOSI,OG1198488,ANOSI18498,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANODA,OG1198490,ANODA04841,0.9350736278447122,0.9350736278447122,1397,1494,1494
ANOGA,OG1202204,ANOGA05611,1.0,1.0,723,723,723
ANOGA,OG1202789,ANOGA05383,0.9974795211090107,0.9974795211090107,3166,3174,3174
ANOGA,OG1203459,ANOGA05696,0.9969512195121951,0.9969512195121951,981,984,984
ANOGA,OG1204971,ANOGA05312,0.999857305936073,0.999857305936073,7007,7008,7008
ANOGA,OG1208321,ANOGA05692,0.9676224611708483,0.9676224611708483,8099,8370,8370
ANOGA,OG1212040,ANOGA05460,0.9814304100018386,0.9814304100018386,5338,5439,5439
ANOGA,OG1214309,ANOGA05405,1.0,1.0,402,402,402
ANOGA,OG1214658,ANOGA05631,0.9184247538677919,0.9184247538677919,653,711,711
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOST,OG1216622,ANOST00470,0.9369582348305753,0.9369582348305753,1189,1269,1269
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANODA,OG1218158,ANODA08565,1.0,1.0,702,702,702
ANOGA,OG1218490,ANOGA05471,1.0,1.0,1380,1380,1380
ANOGA,OG1219581,ANOGA05679,1.0,1.0,1647,1647,1647
ANOGA,OG1221639,ANOGA05250,0.917989417989418,0.917989417989418,347,378,378
ANOGA,OG1221689,ANOGA04113,1.0,1.0,2328,2328,2328
ANOGA,OG1222683,ANOGA04115,1.0,1.0,1665,1665,1665
ANOGA,OG1223272,ANOGA04094,0.92916123424598,0.92916123424598,2138,2301,2301
ANOGA,OG1223886,ANOGA05389,0.9146341463414634,0.9146341463414634,450,492,492
ANOGA,OG1224967,ANOGA04095,1.0,1.0,1791,1791,1791
ANOGA,OG1225085,ANOGA05304,1.0,1.0,4389,4389,4389
ANOGA,OG1226379,ANOGA04627,1.0,1.0,1323,1323,1323
ANOGA,OG1229017,ANOGA05305,1.0,1.0,2811,2811,2811
ANOGA,OG1230391,ANOGA04302,1.0,1.0,1062,1062,1062
ANOST,OG1231177,ANOST00129,0.9885265700483091,0.9885265700483091,1637,1656,1656
ANOGA,OG1231901,ANOGA05639,0.9987834549878345,0.9987834549878345,2463,2466,2466
ANOGA,OG1235653,ANOGA04515,1.0,1.0,1875,1875,1875
ANOGA,OG1236745,ANOGA04294,0.9919540229885058,0.9919540229885058,863,870,870
ANOGA,OG1240325,ANOGA05642,0.9457070707070707,0.9457070707070707,749,792,792
ANOGA,OG1240328,ANOGA05641,1.0,1.0,885,885,885
ANOGA,OG1240929,ANOGA04635,1.0,1.0,1041,1041,1041
ANOGA,OG1240968,ANOGA05685,1.0,1.0,1329,1329,1329
ANOGA,OG1241986,ANOGA04040,0.9992337164750957,0.9992337164750957,1304,1305,1305
ANOGA,OG1242667,ANOGA04473,1.0,1.0,2430,2430,2430
ANOGA,OG1244115,ANOGA04136,0.9022988505747126,0.9022988505747126,314,348,348
ANOGA,OG1246006,ANOGA05367,1.0,1.0,1020,1020,1020
ANOGA,OG1251119,ANOGA04663,0.9984674329501916,0.9984674329501916,1303,1305,1305
ANOST,OG1251511,ANOST00045,0.9629629629629629,0.9629629629629629,2236,2322,2322
ANOGA,OG1251552,ANOGA04696,1.0,1.0,540,540,540
ANOGA,OG341995,ANOGA04081,0.9742613111726686,0.9742613111726686,8441,8664,8664
ANOGA,OG342477,ANOGA04643,0.9450171821305842,0.9450171821305842,3575,3783,3783
ANOGA,OG344070,ANOGA05629,0.9607522485690924,0.9607522485690924,3525,3669,3669
ANOGA,OG348620,ANOGA05652,1.0,1.0,1455,1455,1455
ANOGA,OG351572,ANOGA04255,0.9880624426078971,0.9880624426078971,1076,1089,1089
ANOGA,OG352732,ANOGA04305,1.0,1.0,1356,1356,1356
ANOGA,OG362545,ANOGA07030,1.0,1.0,921,921,921
ANOGA,OG362633,ANOGA04668,0.9992846924177397,0.9992846924177397,1397,1398,1398
ANOGA,OG369576,ANOGA05331,1.0,1.0,546,546,546
ANOGA,OG373241,ANOGA05645,0.975975975975976,0.975975975975976,325,333,333
ANOGA,OG411836,ANOGA05239,0.9908256880733946,0.9908256880733946,1296,1308,1308
ANOGA,OG419349,ANOGA04655,0.9512768817204301,0.9512768817204301,2831,2976,2976
ANOST,OG420493,ANOST00159,0.9935400516795866,0.9935400516795866,769,774,774
ANOGA,OG420768,ANOGA04641,0.9590316573556797,0.9590316573556797,2575,2685,2685
ANOGA,OG451038,ANOGA04282,1.0,1.0,744,744,744
ANODA,OG451043,ANODA08553,0.8018741633199464,0.8018741633199464,599,747,747
ANOGA,OG454890,ANOGA04502,1.0,1.0,999,999,999
ANOGA,OG455346,ANOGA04634,0.9974554707379135,0.9974554707379135,1176,1179,1179
ANOGA,OG456338,ANOGA05365,0.9711014176663032,0.9711014176663032,5343,5502,5502
ANOGA,OG456351,ANOGA04056,0.9761321909424725,0.9761321909424725,4785,4902,4902
