#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG917347,ANOSI11939,0.8249475890985325,0.8249475890985325,787,954,954
ANOSI,OG861720,ANOSI11902,0.1060842433697348,0.1060842433697348,408,3846,3846
ANOSI,OG1240929,ANOSI13949,0.2222222222222222,0.2222222222222222,230,1035,1035
ANOSI,OG1215812,ANOSI12428,0.9370199692780338,0.9370199692780338,610,651,651
ANOSI,OG1223272,ANOSI13699,0.8546901172529313,0.8546901172529313,2041,2388,2388
ANOSI,OG924410,ANOSI05511,0.6299366162847392,0.6299366162847392,3876,6153,6153
ANOSI,OG828830,ANOSI16895,0.249500998003992,0.249500998003992,125,501,501
ANOSI,OG961440,ANOSI15201,0.7819971870604782,0.7819971870604782,1112,1422,1422
ANOSI,OG455346,ANOSI13964,0.8934056007226739,0.8934056007226739,989,1107,1107
ANOSI,OG369576,ANOSI18640,0.49094202898550726,0.49094202898550726,271,552,552
ANOSI,OG761976,ANOSI15820,0.21039290240811154,0.21039290240811154,332,1578,1578
ANOSI,OG1229017,ANOSI12483,0.7798982188295165,0.7798982188295165,2452,3144,3144
ANOSI,OG1240968,ANOSI11112,0.877151799687011,0.877151799687011,1121,1278,1278
ANOSI,OG1222683,ANOSI12376,0.6928571428571428,0.6928571428571428,1164,1680,1680
ANOSI,OG420493,ANOSI13963,0.7932816537467701,0.7932816537467701,614,774,774
ANOSI,OG698997,ANOSI11073,0.6302916274694261,0.6302916274694261,2010,3189,3189
ANOSI,OG1192905,ANOSI13732,0.8407079646017699,0.8407079646017699,855,1017,1017
ANOSI,OG823037,ANOSI08294,0.3422420193021529,0.3422420193021529,461,1347,1347
ANOSI,OG949414,ANOSI16805,0.5732758620689655,0.5732758620689655,399,696,696
ANOSI,OG962019,ANOSI09471,0.21541950113378686,0.21541950113378686,190,882,882
ANOSI,OG949490,ANOSI08215,0.4364123159303882,0.4364123159303882,326,747,747
ANOSI,OG1240328,ANOSI13371,0.5141242937853108,0.5141242937853108,455,885,885
ANOSI,OG960945,ANOSI11923,0.6392081736909323,0.6392081736909323,1001,1566,1566
ANOSI,OG953187,ANOSI10125,0.7870370370370371,0.7870370370370371,425,540,540
ANOSI,OG911937,ANOSI05566,0.6007326007326007,0.6007326007326007,1148,1911,1911
ANOSI,OG1079985,ANOSI16316,0.402752842609216,0.402752842609216,1346,3342,3342
ANOSI,OG1221689,ANOSI12385,0.9132124352331606,0.9132124352331606,2115,2316,2316
ANOSI,OG1197765,ANOSI15828,0.9015471167369902,0.9015471167369902,641,711,711
ANOSI,OG953548,ANOSI16981,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOSI,OG457572,ANOSI19201,0.5730593607305936,0.5730593607305936,251,438,438
ANOSI,OG457108,ANOSI16884,0.8007246376811594,0.8007246376811594,442,552,552
ANOSI,OG451043,ANOSI08181,0.5314591700133868,0.5314591700133868,397,747,747
ANOSI,OG792914,ANOSI05550,0.48477366255144033,0.48477366255144033,589,1215,1215
ANOSI,OG1152239,ANOSI16991,0.45215562565720296,0.45215562565720296,430,951,951
ANOSI,OG1251552,ANOSI09497,0.5535714285714286,0.5535714285714286,279,504,504
ANOSI,OG411836,ANOSI13282,0.7056574923547401,0.7056574923547401,923,1308,1308
ANOSI,OG708597,ANOSI11937,0.06478064780647806,0.06478064780647806,158,2439,2439
ANOSI,OG1202789,ANOSI15781,0.8258967629046369,0.8258967629046369,2832,3429,3429
ANOSI,OG823032,ANOSI15205,0.20197418375094914,0.20197418375094914,266,1317,1317
ANOSI,OG456338,ANOSI18154,0.42780748663101603,0.42780748663101603,2160,5049,5049
ANOSI,OG1081004,ANOSI11947,0.5778120184899846,0.5778120184899846,1125,1947,1947
ANOSI,OG341995,ANOSI16311,0.26887052341597795,0.26887052341597795,1952,7260,7260
ANOSI,OG1176412,ANOSI15222,0.8151290208554259,0.8151290208554259,2306,2829,2829
ANOSI,OG848281,ANOSI16815,0.44730392156862747,0.44730392156862747,730,1632,1632
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG1204971,ANOSI12470,0.3855123159889229,0.3855123159889229,2645,6861,6861
ANOSI,OG718578,ANOSI13311,0.6488413547237076,0.6488413547237076,1092,1683,1683
ANOSI,OG1174608,ANOSI10178,0.9977477477477478,0.9977477477477478,443,444,444
ANOSI,OG352732,ANOSI08184,0.6592427616926503,0.6592427616926503,888,1347,1347
ANOSI,OG722946,ANOSI08175,0.7063903281519862,0.7063903281519862,818,1158,1158
ANOSI,OG1225085,ANOSI12439,0.12655601659751037,0.12655601659751037,549,4338,4338
ANOSI,OG1146505,ANOSI08230,0.4781931464174455,0.4781931464174455,1228,2568,2568
ANOSI,OG916860,ANOSI16582,0.722860791826309,0.722860791826309,566,783,783
ANOSI,OG978865,ANOSI19223,0.7366863905325444,0.7366863905325444,747,1014,1014
ANOSI,OG664391,ANOSI08311,0.7924801156905278,0.7924801156905278,1096,1383,1383
ANOSI,OG988784,ANOSI08226,0.4771894771894772,0.4771894771894772,2866,6006,6006
ANOSI,OG964929,ANOSI08966,0.5732394366197183,0.5732394366197183,1221,2130,2130
ANOSI,OG792952,ANOSI05501,0.7031835205992509,0.7031835205992509,751,1068,1068
ANOSI,OG1235653,ANOSI18112,0.8545059717698155,0.8545059717698155,1574,1842,1842
ANOSI,OG1139777,ANOSI13705,0.4774011299435028,0.4774011299435028,169,354,354
ANOSI,OG963232,ANOSI15198,0.12320916905444126,0.12320916905444126,129,1047,1047
ANOSI,OG926503,ANOSI08194,0.9979423868312757,0.9979423868312757,485,486,486
ANOSI,OG457329,ANOSI13708,0.3079710144927536,0.3079710144927536,255,828,828
ANOSI,OG1190683,ANOSI08201,0.9674185463659147,0.9674185463659147,1158,1197,1197
ANOSI,OG853434,ANOSI08170,0.3755020080321285,0.3755020080321285,187,498,498
ANOSI,OG970502,ANOSI15209,0.5791543756145526,0.5791543756145526,589,1017,1017
ANOSI,OG1236745,ANOSI08307,0.05710955710955711,0.05710955710955711,49,858,858
ANOSI,OG961602,ANOSI10095,0.6649029982363316,0.6649029982363316,377,567,567
ANOSI,OG964344,ANOSI08292,0.5550847457627118,0.5550847457627118,786,1416,1416
ANOSI,OG814870,ANOSI12461,0.33798449612403103,0.33798449612403103,1744,5160,5160
ANOSI,OG696447,ANOSI18946,0.39603960396039606,0.39603960396039606,360,909,909
ANOSI,OG1144131,ANOSI18952,0.5114022319262493,0.5114022319262493,1054,2061,2061
ANOSI,OG1150857,ANOSI15844,0.8314883148831488,0.8314883148831488,1352,1626,1626
ANOSI,OG1157040,ANOSI13306,0.9118773946360154,0.9118773946360154,714,783,783
ANOSI,OG1174891,ANOSI13945,0.43658810325476993,0.43658810325476993,389,891,891
ANOSI,OG1246006,ANOSI08120,0.3875739644970414,0.3875739644970414,393,1014,1014
ANOSI,OG971355,ANOSI13700,0.9662921348314607,0.9662921348314607,1548,1602,1602
ANOSI,OG674682,ANOSI10188,0.4690909090909091,0.4690909090909091,387,825,825
ANOSI,OG1226379,ANOSI13958,0.6040723981900452,0.6040723981900452,801,1326,1326
ANOSI,OG961013,ANOSI18108,0.9474548440065681,0.9474548440065681,1731,1827,1827
ANOSI,OG1194738,ANOSI13345,0.9325068870523416,0.9325068870523416,1354,1452,1452
ANOSI,OG1240325,ANOSI13359,0.45580808080808083,0.45580808080808083,361,792,792
ANOSI,OG796653,ANOSI16455,0.9916083916083916,0.9916083916083916,2127,2145,2145
ANOSI,OG1216622,ANOSI15784,0.9888623707239459,0.9888623707239459,1243,1257,1257
ANOSI,OG1218158,ANOSI08297,0.9444444444444444,0.9444444444444444,663,702,702
ANOSI,OG1150674,ANOSI16840,0.32459425717852686,0.32459425717852686,260,801,801
ANOSI,OG698904,ANOSI13273,0.9353806781829814,0.9353806781829814,2924,3126,3126
ANOSI,OG1168250,ANOSI15785,0.8391812865497076,0.8391812865497076,287,342,342
ANOSI,OG975279,ANOSI13957,0.7097378277153558,0.7097378277153558,1137,1602,1602
ANOSI,OG961377,ANOSI08182,0.8770413064361191,0.8770413064361191,913,1041,1041
ANOSI,OG968364,ANOSI14862,0.6515348032857761,0.6515348032857761,1507,2313,2313
ANOSI,OG1212040,ANOSI13772,0.7266047950502706,0.7266047950502706,3758,5172,5172
ANOSI,OG419349,ANOSI16375,0.2613882863340564,0.2613882863340564,723,2766,2766
ANOSI,OG964633,ANOSI13303,0.83451536643026,0.83451536643026,1412,1692,1692
ANOSI,OG665560,ANOSI13979,0.5483091787439613,0.5483091787439613,1816,3312,3312
ANOSI,OG932017,ANOSI15215,0.39654025282767796,0.39654025282767796,596,1503,1503
ANOSI,OG1219581,ANOSI11081,0.22483423749246534,0.22483423749246534,373,1659,1659
ANOSI,OG1214309,ANOSI17769,0.9570707070707071,0.9570707070707071,379,396,396
ANOSI,OG986805,ANOSI17797,0.7787698412698413,0.7787698412698413,4710,6048,6048
ANOSI,OG1208321,ANOSI11134,0.9102609939220594,0.9102609939220594,7638,8391,8391
ANOSI,OG968775,ANOSI11909,0.7397078353253652,0.7397078353253652,1671,2259,2259
ANOSI,OG971123,ANOSI15824,0.27327823691460057,0.27327823691460057,496,1815,1815
ANOSI,OG1214658,ANOSI13358,0.48007246376811596,0.48007246376811596,265,552,552
ANOSI,OG925865,ANOSI19077,0.7717391304347826,0.7717391304347826,426,552,552
ANOSI,OG451038,ANOSI08326,0.5403225806451613,0.5403225806451613,402,744,744
ANOSI,OG784747,ANOSI08261,0.9062918340026773,0.9062918340026773,677,747,747
ANOSI,OG1179969,ANOSI16583,0.4495049504950495,0.4495049504950495,1362,3030,3030
ANOSI,OG342477,ANOSI13940,0.762673463608043,0.762673463608043,2693,3531,3531
ANOSI,OG351572,ANOSI08252,0.5877934272300469,0.5877934272300469,626,1065,1065
ANOSI,OG1202204,ANOSI18328,0.9372384937238494,0.9372384937238494,672,717,717
ANOSI,OG961011,ANOSI08989,0.5334773218142549,0.5334773218142549,1482,2778,2778
ANOSI,OG1218490,ANOSI09061,0.34485241180705545,0.34485241180705545,479,1389,1389
ANOSI,OG1218157,ANOSI08193,0.6956521739130435,0.6956521739130435,528,759,759
ANOSI,OG1231177,ANOSI05477,0.8157276995305164,0.8157276995305164,1390,1704,1704
ANOSI,OG967514,ANOSI18502,0.7302964569775849,0.7302964569775849,2020,2766,2766
ANOSI,OG962230,ANOSI08287,0.9349593495934959,0.9349593495934959,575,615,615
ANOSI,OG961115,ANOSI05647,0.5472222222222223,0.5472222222222223,591,1080,1080
ANOSI,OG1168476,ANOSI15819,0.6171938361719383,0.6171938361719383,761,1233,1233
ANOSI,OG842298,ANOSI13293,0.780394955983821,0.780394955983821,3280,4203,4203
