#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,18.66034155597723,19.46073429404653
ANOSI,OG676343,ANOSI11914,9.46043165467626,4.970801343920777
ANOSI,OG951333,ANOSI11872,18.237244897959183,6.899596302980822
ANOSI,OG960910,ANOSI11898,104.39345509893455,27.09338357555558
ANOSI,OG848281,ANOSI16815,16.761521580102414,13.409379286233673
ANOSI,OG1221639,ANOSI13259,5.6923076923076925,2.9786504344786664
ANOSI,OG964633,ANOSI13303,120.10125786163522,262.8705646739526
ANOSI,OG718578,ANOSI13311,22.93084693084693,8.458631237159548
ANOSI,OG961398,ANOSI02900,28.342936802973977,9.899704114823932
ANOSI,OG411836,ANOSI13282,31.561912225705328,22.867138900274746
ANOSI,OG1241986,ANOSI13275,28.88888888888889,17.514651484966187
ANOSI,OG698904,ANOSI13273,48.156823490156825,18.044140932960776
ANOSI,OG1157040,ANOSI13306,17.074074074074073,8.409120399809428
ANOSI,OG958126,ANOSI13277,8.586723768736617,4.329876708059242
ANOSI,OG842298,ANOSI13293,26.589155651470193,20.9337032308402
ANOSI,OG1174245,ANOSI10141,24.325762491888383,13.576147805863041
ANOSI,OG456351,ANOSI10182,13.621057118499573,15.197648107664886
ANOSI,OG1251511,ANOSI10202,55.95969547693686,12.48315250842332
ANOSI,OG961602,ANOSI10095,23.151187904967603,11.338824228022013
ANOSI,OG953187,ANOSI10125,33.765037593984964,13.345018902566789
ANOSI,OG814084,ANOSI08197,16.52510460251046,11.010949166992642
ANOSI,OG699681,ANOSI08225,15.808259587020649,9.565568920371264
ANOSI,OG946387,ANOSI17759,27.838323353293415,18.100887385290356
ANOSI,OG946885,ANOSI17776,53.04093567251462,24.635470928379466
ANOSI,OG1214309,ANOSI17769,21.890862944162436,6.538505065678703
ANOSI,OG341995,ANOSI16311,13.398781313473256,9.136633718075995
ANOSI,OG1079985,ANOSI16316,30.98821218074656,17.427984252750374
ANOSI,OG976835,ANOSI16315,58.44573418456181,29.30829262061525
ANOSI,OG675570,ANOSI13707,2.8363636363636364,0.8423697388080275
ANOSI,OG971355,ANOSI13700,47.873902132998744,16.176521051525484
ANOSI,OG1223272,ANOSI13699,34.191996594295446,15.873252890201593
ANOSI,OG1224967,ANOSI13721,40.023863636363636,16.654152460069024
ANOSI,OG457329,ANOSI13708,3.819095477386935,1.2670692595403017
ANOSI,OG961439,ANOSI13690,15.948509485094851,7.506460032719135
ANOSI,OG998211,ANOSI13712,28.042875157629258,15.557533012391815
ANOSI,OG673136,ANOSI13684,13.136111111111111,8.305675863119742
ANOSI,OG1139777,ANOSI13705,15.117302052785924,6.091508420130253
ANOSI,OG1221689,ANOSI12385,35.52311015118791,15.003117222633238
ANOSI,OG1222683,ANOSI12376,53.15384615384615,16.983356929816463
ANOSI,OG1215812,ANOSI12428,15.90466926070039,7.440075623252533
ANOSI,OG896170,ANOSI12371,56.40177353342428,21.161181534798878
ANOSI,OG1231177,ANOSI05477,41.716133424098025,15.714362961739619
ANOSI,OG961115,ANOSI05647,20.06515580736544,10.13070875676255
ANOSI,OG911937,ANOSI05566,27.784313725490197,10.9617361249239
ANOSI,OG924410,ANOSI05511,34.972749952024564,18.087041571948834
ANOSI,OG792952,ANOSI05501,33.010318949343336,16.317812367505734
ANOSI,OG792914,ANOSI05550,24.40340425531915,16.811971073903536
ANOSI,OG1244115,ANOSI05521,14.414985590778098,7.265298293514211
ANOSI,OG1170587,ANOSI05651,38.51728147130324,18.49308890435386
ANOSI,OG1226379,ANOSI13958,22.882865440464666,10.693785310066271
ANOSI,OG458150,ANOSI13956,nan,nan
ANOSI,OG975279,ANOSI13957,29.408959537572255,11.717672565937514
ANOSI,OG1174891,ANOSI13945,14.880141010575793,6.714399908970111
ANOSI,OG455346,ANOSI13964,42.37351598173516,21.88125345894691
ANOSI,OG1240929,ANOSI13949,12.707940780619111,7.492268167962579
ANOSI,OG822311,ANOSI13972,34.141816415735796,13.435012387296906
ANOSI,OG420493,ANOSI13963,20.09250398724083,9.87906416226119
ANOSI,OG665560,ANOSI13979,22.027234042553193,13.068204991932959
ANOSI,OG420768,ANOSI13955,42.29240456513184,27.917541364939147
ANOSI,OG1181227,ANOSI13961,31.95774647887324,17.751438630700797
ANOSI,OG342477,ANOSI13940,63.952116585704374,99.20598963934731
ANOSI,OG966098,ANOSI13976,38.743473325766175,19.328258185305177
ANOSI,OG419349,ANOSI16375,25.16044776119403,17.406405803140103
ANOSI,OG736122,ANOSI16384,17.663883089770355,8.933632025317868
ANOSI,OG1251119,ANOSI19256,37.522222222222226,17.65045027929113
ANOSI,OG796653,ANOSI16455,38.051674641148324,23.951889769105204
ANOSI,OG793899,ANOSI18657,23.072538860103627,12.121645476736585
ANOSI,OG899270,ANOSI18211,32.99032738095238,17.150569073231328
ANOSI,OG456648,ANOSI18213,13.905973451327434,9.252063136537764
ANOSI,OG1251552,ANOSI09497,24.535564853556487,10.391791035006914
ANOSI,OG1189787,ANOSI09481,16.642248722316864,4.871582973456203
ANOSI,OG962019,ANOSI09471,4.360655737704918,1.476957294134325
ANOSI,OG967514,ANOSI18502,41.730366492146594,17.378741784398258
ANOSI,OG762076,ANOSI09475,7.831050228310502,3.7954243410959947
ANOSI,OG1198488,ANOSI18498,48.64968873797397,18.44529005311753
ANOSI,OG456691,ANOSI18513,10.17877094972067,3.2770399247196176
ANOSI,OG1203459,ANOSI13887,10.795454545454545,6.9720320334706845
ANOSI,OG1139996,ANOSI13881,13.589002795899347,10.058530953947994
ANOSI,OG1208321,ANOSI11134,46.454457598453736,19.27030900620972
ANOSI,OG1240968,ANOSI11112,27.02347024308466,11.38885732236256
ANOSI,OG961322,ANOSI11117,5.7444444444444445,1.8442771008423215
ANOSI,OG698997,ANOSI11073,50.515910055154855,38.35988755203881
ANOSI,OG1219581,ANOSI11081,24.111524163568774,11.810642651145587
ANOSI,OG823022,ANOSI10093,9.67035175879397,4.669356468081495
ANOSI,OG1174608,ANOSI10178,16.06392694063927,8.858889976238597
ANOSI,OG839253,ANOSI18124,8.498422712933754,4.692852882269599
ANOSI,OG1150674,ANOSI16840,8.743303571428571,3.918101282234086
ANOSI,OG348620,ANOSI16831,47.80337078651685,12.257563126753114
ANOSI,OG674682,ANOSI10188,14.33904109589041,9.905449401598405
ANOSI,OG964673,ANOSI18236,14.040506329113924,12.09240287695409
ANOSI,OG373241,ANOSI13370,44.644578313253014,10.497856958722325
ANOSI,OG960979,ANOSI13351,61.458333333333336,21.98453844308667
ANOSI,OG1240325,ANOSI13359,10.05940594059406,4.553470621031652
ANOSI,OG1240328,ANOSI13371,6.791183294663573,5.885056480876662
ANOSI,OG1231901,ANOSI13321,13.262233375156837,9.696925046804932
ANOSI,OG1194738,ANOSI13345,42.793103448275865,17.049460119564163
ANOSI,OG1214658,ANOSI13358,19.86070686070686,6.765705891887753
ANOSI,OG344070,ANOSI13377,13.342598187311179,8.88322179747861
ANOSI,OG925865,ANOSI19077,26.97530864197531,8.136149039996528
ANOSI,OG1202204,ANOSI18328,38.67782426778243,11.610519049050522
ANOSI,OG977782,ANOSI18323,12.881118881118882,6.792965143299481
ANOSI,OG351572,ANOSI08252,280.13104325699743,707.928792280427
ANOSI,OG1218157,ANOSI08193,15.80189959294437,7.330451471744857
ANOSI,OG926503,ANOSI08194,23.026970954356848,8.925074168664862
ANOSI,OG817086,ANOSI08325,25.79796511627907,10.483716412262238
ANOSI,OG949490,ANOSI08215,18.652631578947368,9.226861561647047
ANOSI,OG451043,ANOSI08181,18.431159420289855,7.069964031688406
ANOSI,OG451038,ANOSI08326,28.7202216066482,11.004247779969699
ANOSI,OG784747,ANOSI08261,40.11929307805597,19.377094157743368
ANOSI,OG978616,ANOSI08335,30.902331442974166,16.01326366928183
ANOSI,OG1218158,ANOSI08297,36.256410256410255,11.865282656280856
ANOSI,OG1236745,ANOSI08307,13.093397745571659,9.280959239074052
ANOSI,OG1190683,ANOSI08201,12.122544434050514,8.00683446832291
ANOSI,OG853434,ANOSI08170,14.16710875331565,4.647372306962882
ANOSI,OG962230,ANOSI08287,6.892733564013841,4.5517686362489025
ANOSI,OG1230391,ANOSI08180,4.257611241217798,2.048397307742187
ANOSI,OG352732,ANOSI08184,24.347482724580455,12.034488366678794
ANOSI,OG823037,ANOSI08294,12.245283018867925,8.852897746207509
ANOSI,OG964344,ANOSI08292,20.603223330775133,13.481571699504478
ANOSI,OG456720,ANOSI08234,12.27363184079602,5.100621161123541
ANOSI,OG1146505,ANOSI08230,21.857075471698113,12.98205753577716
ANOSI,OG671266,ANOSI08178,61.08550185873606,21.61349025709584
ANOSI,OG664391,ANOSI08311,41.84019370460049,21.01627714528014
ANOSI,OG722946,ANOSI08175,21.60746720484359,14.590415579541858
ANOSI,OG961377,ANOSI08182,43.95550847457627,20.902419862240492
ANOSI,OG1146507,ANOSI09519,14.410926365795724,9.479056767110478
ANOSI,OG986274,ANOSI08263,31.382875605815833,13.005979641381192
ANOSI,OG988784,ANOSI08226,20.097634508348794,17.711745051569487
ANOSI,OG362633,ANOSI16462,3.0164835164835164,1.5565362882892453
ANOSI,OG375937,ANOSI09099,nan,nan
ANOSI,OG949414,ANOSI16805,16.651470588235295,9.510860551264829
ANOSI,OG917347,ANOSI11939,49.49947201689546,18.458113480492003
ANOSI,OG1081004,ANOSI11947,8.9234375,7.842616794386537
ANOSI,OG960945,ANOSI11923,16.207119741100325,12.058479987152145
ANOSI,OG968775,ANOSI11909,31.68351063829787,15.327986655443738
ANOSI,OG708597,ANOSI11937,13.103825136612022,7.170075687768567
ANOSI,OG1197765,ANOSI15828,29.833333333333332,6.507931668600602
ANOSI,OG1168476,ANOSI15819,21.369302325581394,12.633524503230108
ANOSI,OG971123,ANOSI15824,21.03891891891892,17.473272220008106
ANOSI,OG761976,ANOSI15820,16.431845597104946,8.61321391187521
