#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,6.07427341227126,10.79852056677979
ANOST,OG676343,ANOST00003,2.4773060029282576,1.2294568091049185
ANOST,OG951333,ANOST00004,4.67741935483871,1.930436968320294
ANOST,OG960910,ANOST00006,31.496332518337407,14.883703846029393
ANOST,OG848281,ANOST00012,7.073569482288828,5.113430950656717
ANOST,OG1221639,ANOST00016,6.980769230769231,3.174964473546755
ANOST,OG964633,ANOST00017,8.570374923171482,4.547008585341256
ANOST,OG718578,ANOST00019,5.611990950226244,4.305882656074351
ANOST,OG961398,ANOST00021,5.986259541984733,5.457521784128856
ANOST,OG411836,ANOST00028,3.6820388349514563,2.5382257618086936
ANOST,OG1241986,ANOST00031,2.497453310696095,1.6508711390563395
ANOST,OG698904,ANOST00032,10.764230627983842,6.015545904692276
ANOST,OG1157040,ANOST00033,6.483495145631068,3.4597855337140224
ANOST,OG958126,ANOST00036,1.802547770700637,0.8015867261657305
ANOST,OG842298,ANOST00037,7.30365605958023,8.516951524757548
ANOST,OG1174245,ANOST00043,6.010801080108011,4.894923837637564
ANOST,OG456351,ANOST00044,12.063941990771259,38.98979632273883
ANOST,OG1251511,ANOST00045,11.692414431082332,6.701252026439828
ANOST,OG961602,ANOST00046,12.145336225596528,4.72755858096016
ANOST,OG953187,ANOST00048,9.617788461538462,4.705313170467462
ANOST,OG814084,ANOST00057,5.34788029925187,3.40601298214636
ANOST,OG699681,ANOST00058,6.513432835820896,4.386440964499717
ANOST,OG946387,ANOST00073,5.873139617292701,4.6733325205112655
ANOST,OG946885,ANOST00079,7.855445544554455,5.837307043008902
ANOST,OG1214309,ANOST00081,10.389285714285714,6.486956103581704
ANOST,OG341995,ANOST00098,18.518471010774757,118.87185538032806
ANOST,OG1079985,ANOST00101,8.571813285457809,6.518015011661694
ANOST,OG976835,ANOST00102,13.913095238095238,8.719685989348154
ANOST,OG675570,ANOST00108,2.585542168674699,1.3196506045546001
ANOST,OG971355,ANOST00110,13.378671775223498,7.270035408347654
ANOST,OG1223272,ANOST00111,10.501654846335697,6.288822468604552
ANOST,OG1224967,ANOST00112,10.525239616613419,6.406778211488992
ANOST,OG457329,ANOST00113,3.477272727272727,2.5389866419585747
ANOST,OG961439,ANOST00114,7.728426395939087,4.30026018111615
ANOST,OG998211,ANOST00115,7.41173835125448,5.97075505899804
ANOST,OG673136,ANOST00116,3.616279069767442,2.369469593533161
ANOST,OG1139777,ANOST00117,3.626198083067093,2.09003812102664
ANOST,OG1221689,ANOST00123,8.627470355731225,6.156679293662335
ANOST,OG1222683,ANOST00125,13.221140472878998,8.577053083049375
ANOST,OG1215812,ANOST00126,12.589147286821705,4.9700067897272024
ANOST,OG896170,ANOST00127,12.203582089552238,4.913920434266928
ANOST,OG1231177,ANOST00129,10.441137566137566,6.525629226456356
ANOST,OG961115,ANOST00130,8.963963963963964,7.027808534351103
ANOST,OG911937,ANOST00134,7.834307992202729,4.911348499066204
ANOST,OG924410,ANOST00137,8.163615560640732,7.676079741641072
ANOST,OG792952,ANOST00138,10.32300357568534,6.6339203134987486
ANOST,OG792914,ANOST00139,4.164265129682997,3.223042438124004
ANOST,OG1244115,ANOST00140,5.135057471264368,2.5712000747283863
ANOST,OG1170587,ANOST00146,8.543617664851785,5.162367032038797
ANOST,OG1226379,ANOST00147,6.090570719602978,4.382514933603965
ANOST,OG458150,ANOST00149,2.757575757575758,0.9055486543929657
ANOST,OG975279,ANOST00151,5.265777777777778,3.378564118996832
ANOST,OG1174891,ANOST00152,5.245238095238095,3.4626374740425816
ANOST,OG455346,ANOST00156,10.786516853932584,6.153831697259357
ANOST,OG1240929,ANOST00157,3.1176470588235294,2.0688829876551735
ANOST,OG822311,ANOST00158,9.528446950281907,5.76002997005217
ANOST,OG420493,ANOST00159,7.202725724020443,4.258046924308238
ANOST,OG665560,ANOST00160,5.094757094757095,3.9119907215692
ANOST,OG420768,ANOST00161,8.579113924050633,5.384709576729215
ANOST,OG1181227,ANOST00162,6.1804707933740195,3.6852686955128418
ANOST,OG342477,ANOST00163,65.96601769911504,320.3429294888866
ANOST,OG966098,ANOST00164,9.895621579358874,7.1303931336153985
ANOST,OG419349,ANOST00176,3.8951175406871608,3.1602517860867474
ANOST,OG736122,ANOST00177,4.44,2.868170148369863
ANOST,OG1251119,ANOST00180,8.354598177299088,4.460656694283385
ANOST,OG796653,ANOST00189,12.58397435897436,5.692381287061791
ANOST,OG793899,ANOST00192,5.112745098039215,3.292450412586151
ANOST,OG899270,ANOST00194,5.060213414634147,3.536206794156637
ANOST,OG456648,ANOST00195,4.631432545201669,3.791016690081472
ANOST,OG1251552,ANOST00206,2.41871921182266,0.9556904166044182
ANOST,OG1189787,ANOST00208,3.1137440758293837,1.9848599246004262
ANOST,OG962019,ANOST00209,3.9680232558139537,3.391442829324334
ANOST,OG967514,ANOST00212,7.932412432165762,6.005413628398403
ANOST,OG762076,ANOST00214,3.7263427109974425,2.3751261482593047
ANOST,OG1198488,ANOST00216,13.563970166379805,6.463215893223327
ANOST,OG456691,ANOST00218,3.786106032906764,3.268030957029967
ANOST,OG1203459,ANOST00222,2.2707774798927614,1.3478723920821842
ANOST,OG1139996,ANOST00223,3.192105263157895,2.5848629790568425
ANOST,OG1208321,ANOST00225,8.100532319391634,9.722902664252954
ANOST,OG1240968,ANOST00230,3.913978494623656,3.158271545269561
ANOST,OG961322,ANOST00232,7.166666666666667,3.765540190901291
ANOST,OG698997,ANOST00233,9.774896876841485,7.612213405626198
ANOST,OG1219581,ANOST00235,2.970790378006873,1.4867706629364816
ANOST,OG823022,ANOST00242,2.087336244541485,0.7618637850486926
ANOST,OG1174608,ANOST00246,7.863636363636363,2.8162750147451305
ANOST,OG839253,ANOST00256,4.177777777777778,2.7931574239669574
ANOST,OG1150674,ANOST00260,2.3333333333333335,0.787010382898217
ANOST,OG348620,ANOST00261,10.32645739910314,5.258106660791213
ANOST,OG674682,ANOST00263,2.1761006289308176,1.6292707447459858
ANOST,OG964673,ANOST00265,7.250440917107584,4.517736433919991
ANOST,OG373241,ANOST00266,10.246056782334385,4.934526390353103
ANOST,OG960979,ANOST00268,8.508158508158509,5.792089582966835
ANOST,OG1240325,ANOST00269,5.142023346303502,4.715780341885952
ANOST,OG1240328,ANOST00270,3.713235294117647,2.639931171772382
ANOST,OG1231901,ANOST00272,6.220415537488708,4.911154515086078
ANOST,OG1194738,ANOST00274,12.519213583556747,7.962004100797753
ANOST,OG1214658,ANOST00276,4.834302325581396,2.865976857976998
ANOST,OG344070,ANOST00277,13.763453577764636,30.15902442465045
ANOST,OG925865,ANOST00286,6.38860103626943,3.475441788454883
ANOST,OG1202204,ANOST00290,9.736401673640167,6.200191196529812
ANOST,OG977782,ANOST00291,3.7065948855989235,2.453891815149634
ANOST,OG351572,ANOST00298,4.990044247787611,2.7468627314263028
ANOST,OG1218157,ANOST00305,5.439320388349515,3.2115851459642935
ANOST,OG926503,ANOST00307,5.026699029126213,2.3486756806987747
ANOST,OG817086,ANOST00310,7.123809523809523,5.754824457370303
ANOST,OG949490,ANOST00312,5.467175572519084,3.611061097740806
ANOST,OG451043,ANOST00313,5.742230347349177,3.297734660656538
ANOST,OG451038,ANOST00315,9.180689655172413,5.207332980111321
ANOST,OG784747,ANOST00320,7.768503937007874,4.187903479913441
ANOST,OG978616,ANOST00322,6.580487804878048,5.655203496896879
ANOST,OG1218158,ANOST00323,13.747503566333808,6.14521236367286
ANOST,OG1236745,ANOST00324,5.671779141104294,3.93422935761731
ANOST,OG1190683,ANOST00325,7.434834123222749,5.30485513521908
ANOST,OG853434,ANOST00326,2.09,0.4918333050943175
ANOST,OG962230,ANOST00328,4.882936507936508,4.239855599416715
ANOST,OG1230391,ANOST00331,2.9074074074074074,1.835202937463191
ANOST,OG352732,ANOST00335,6.6286701208981,3.7113381979188804
ANOST,OG823037,ANOST00337,3.09009009009009,1.9957140994287108
ANOST,OG964344,ANOST00343,3.3607843137254902,2.4771962670802434
ANOST,OG456720,ANOST00347,5.512658227848101,3.2479867346310813
ANOST,OG1146505,ANOST00349,4.173282442748092,3.4415140558425694
ANOST,OG671266,ANOST00350,13.535358826610791,7.2400891699403225
ANOST,OG664391,ANOST00352,8.499546690843156,5.440500698031518
ANOST,OG722946,ANOST00353,5.2,4.534722009528666
ANOST,OG961377,ANOST00356,11.869147659063625,6.186840495109785
ANOST,OG1146507,ANOST00365,3.3557358053302435,2.4842001558968776
ANOST,OG986274,ANOST00366,10.284694686756543,7.721602939080327
ANOST,OG988784,ANOST00369,8.044154540893127,8.404181287973543
ANOST,OG362633,ANOST00370,2.21285140562249,0.7273179963946654
ANOST,OG375937,ANOST00377,1.9900497512437811,0.6308018252973319
ANOST,OG949414,ANOST00379,2.975501113585746,1.6022885305327224
ANOST,OG917347,ANOST00382,5.95873786407767,3.523257864509558
ANOST,OG1081004,ANOST00389,4.5359477124183005,2.750581979513459
ANOST,OG960945,ANOST00390,5.1901489117983965,9.454565815226927
ANOST,OG968775,ANOST00395,6.414741474147415,3.714308323134066
ANOST,OG708597,ANOST00396,2.496131528046422,1.2778747036892935
ANOST,OG1197765,ANOST00410,3.157303370786517,1.8824970054111365
ANOST,OG1168476,ANOST00411,4.457831325301205,3.1813291551770977
ANOST,OG971123,ANOST00414,2.933206106870229,1.5237698165087679
ANOST,OG761976,ANOST00415,2.9360146252285193,1.5181777973226191
ANOST,OG979200,ANOST00416,3.6307420494699647,2.344765272760776
ANOST,OG814870,ANOST00423,3.5654892153798063,2.9029326242611395
ANOST,OG1225085,ANOST00424,6.234278122232063,5.980891733805706
ANOST,OG1229017,ANOST00425,7.577435470441299,4.951979940380668
ANOST,OG1204971,ANOST00430,3.5805555555555557,3.2912611095684925
ANOST,OG369576,ANOST00441,2.8702702702702703,1.5646197819563437
ANOST,OG457572,ANOST00450,3.8862745098039215,2.589346166835016
ANOST,OG1191966,ANOST00456,5.440195280716029,3.8723377272215878
ANOST,OG456338,ANOST00458,5.5914021695460026,4.880058223313345
ANOST,OG1246006,ANOST00459,7.717271727172717,4.737363927224678
ANOST,OG1198490,ANOST00464,15.56091030789826,6.719965514847313
ANOST,OG1168250,ANOST00469,2.084070796460177,0.7566889181702522
ANOST,OG1216622,ANOST00470,3.8687782805429864,2.4699044352294837
ANOST,OG1202789,ANOST00471,8.098267939201131,5.427457311138281
ANOST,OG1223886,ANOST00473,2.5294117647058822,1.0637141952955955
ANOST,OG790850,ANOST00477,5.837651122625216,4.865148556402632
ANOST,OG978865,ANOST00481,3.9170212765957446,2.8723790383535452
ANOST,OG1192905,ANOST00488,5.665573770491803,3.9300809337973255
ANOST,OG456479,ANOST00489,23.937451737451738,58.53259616302337
ANOST,OG1212040,ANOST00490,5.725521162349969,3.936501596192929
ANOST,OG1218490,ANOST00495,4.776978417266187,4.535143609709098
ANOST,OG961011,ANOST00496,2.8075539568345325,1.347398421433492
ANOST,OG964929,ANOST00497,47.90219702338767,40.33355349261658
ANOST,OG877291,ANOST00499,6.870748299319728,10.481371300455265
ANOST,OG961299,ANOST00501,4.54070796460177,3.6830906886621753
ANOST,OG719374,ANOST00503,6.613597972972973,5.542123784351715
ANOST,OG1183200,ANOST00504,2.844504021447721,1.3960699657178857
ANOST,OG916860,ANOST00509,6.3841059602649,4.163640993157101
ANOST,OG1179969,ANOST00511,7.903913043478261,5.488001330278101
ANOST,OG846448,ANOST00517,9.478494623655914,6.259794037327111
ANOST,OG944937,ANOST00518,3.4854545454545454,1.8267624796411803
ANOST,OG1162063,ANOST00522,3.244167962674961,1.8126330615007165
ANOST,OG823032,ANOST00528,4.69785575048733,4.730591340153486
ANOST,OG932017,ANOST00529,3.8176020408163267,2.6012450638962905
ANOST,OG970502,ANOST00530,4.115020297699594,2.3017388481086356
ANOST,OG1242667,ANOST00533,3.2537593984962405,2.090410651998936
ANOST,OG961440,ANOST00539,5.9001447178002895,3.872443367517257
ANOST,OG963232,ANOST00545,4.6038461538461535,3.656499036934181
ANOST,OG1176412,ANOST00547,9.427956147220048,8.087018027915159
ANOST,OG1179948,ANOST00550,4.861826697892272,2.2328439218481124
ANOST,OG454890,ANOST00551,12.32793017456359,21.510096056832865
