#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,304.6847826086956,174.6397490330997
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,nan,nan
ANODA,OG960910,ANODA08504,10.873804971319311,6.030145926988695
ANODA,OG848281,ANODA03007,nan,nan
ANODA,OG1221639,ANODA05486,nan,nan
ANODA,OG964633,ANODA05487,31.869249394673123,38.5087939853557
ANODA,OG718578,ANODA00549,nan,nan
ANODA,OG961398,ANODA01312,3.1687979539641944,1.3634424378858239
ANODA,OG411836,ANODA03579,nan,nan
ANODA,OG1241986,ANODA03573,nan,nan
ANODA,OG698904,ANODA03572,5.145833333333333,3.652375083421745
ANODA,OG1157040,ANODA03571,nan,nan
ANODA,OG958126,ANODA01492,nan,nan
ANODA,OG842298,ANODA01152,nan,nan
ANODA,OG1174245,ANODA09078,nan,nan
ANODA,OG456351,ANODA09077,15.409356725146198,9.998053912754113
ANODA,OG1251511,ANODA09076,5.871848739495798,5.187084553195004
ANODA,OG961602,ANODA09075,nan,nan
ANODA,OG953187,ANODA09070,nan,nan
ANODA,OG814084,ANODA09331,nan,nan
ANODA,OG699681,ANODA09332,nan,nan
ANODA,OG946387,ANODA07723,12.354260089686099,8.567592880787368
ANODA,OG946885,ANODA07717,nan,nan
ANODA,OG1214309,ANODA07715,nan,nan
ANODA,OG341995,ANODA06295,4.0754716981132075,1.9985754983947712
ANODA,OG1079985,ANODA06296,nan,nan
ANODA,OG976835,ANODA06297,1.353448275862069,0.47804036665557836
ANODA,OG675570,ANODA03502,nan,nan
ANODA,OG971355,ANODA03504,nan,nan
ANODA,OG1223272,ANODA01666,nan,nan
ANODA,OG1224967,ANODA01667,3.8568738229755177,3.550847332776999
ANODA,OG457329,ANODA01668,nan,nan
ANODA,OG961439,ANODA01669,nan,nan
ANODA,OG998211,ANODA01670,nan,nan
ANODA,OG673136,ANODA03220,2.0,0.0
ANODA,OG1139777,ANODA01246,nan,nan
ANODA,OG1221689,ANODA08570,11.31953642384106,8.526675076755732
ANODA,OG1222683,ANODA08571,3.1127450980392157,1.0299601713818032
ANODA,OG1215812,ANODA08572,9.841379310344827,5.078929919971896
ANODA,OG896170,ANODA03515,8.757234726688102,8.159615719362565
ANODA,OG1231177,ANODA03650,nan,nan
ANODA,OG961115,ANODA03651,nan,nan
ANODA,OG911937,ANODA03653,10.517985611510792,1.4659321584978449
ANODA,OG924410,ANODA03655,7.171184022824536,4.760071973056167
ANODA,OG792952,ANODA03657,nan,nan
ANODA,OG792914,ANODA03658,nan,nan
ANODA,OG1244115,ANODA03659,nan,nan
ANODA,OG1170587,ANODA03456,nan,nan
ANODA,OG1226379,ANODA02643,nan,nan
ANODA,OG458150,ANODA02645,nan,nan
ANODA,OG975279,ANODA02647,nan,nan
ANODA,OG1174891,ANODA02648,nan,nan
ANODA,OG455346,ANODA06172,1.9586206896551723,0.19916591831991248
ANODA,OG1240929,ANODA06171,nan,nan
ANODA,OG822311,ANODA06170,5.181069958847736,2.6620584579961593
ANODA,OG420493,ANODA06168,nan,nan
ANODA,OG665560,ANODA06166,nan,nan
ANODA,OG420768,ANODA06165,9.730232558139535,5.211356184262408
ANODA,OG1181227,ANODA06163,21.896713615023476,14.520784472194906
ANODA,OG342477,ANODA06162,171.8,246.7250363143226
ANODA,OG966098,ANODA06161,6.038461538461538,2.5275740543392713
ANODA,OG419349,ANODA03242,nan,nan
ANODA,OG736122,ANODA03241,nan,nan
ANODA,OG1251119,ANODA03237,3.3959044368600684,1.1054859869388658
