#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1168250,ANODA06913,0.347953216374269,0.347953216374269,119,342,342
ANODA,OG932104,ANODA02917,0.5553422904670505,0.5553422904670505,868,1563,1563
ANODA,OG828830,ANODA10328,0.3932135728542914,0.3932135728542914,197,501,501
ANODA,OG1219581,ANODA05977,0.19904931669637552,0.19904931669637552,335,1683,1683
ANODA,OG822311,ANODA06170,0.750927988121752,0.750927988121752,2023,2694,2694
ANODA,OG455346,ANODA06172,0.7271929824561404,0.7271929824561404,829,1140,1140
ANODA,OG460076,ANODA05621,0.7372432074221339,0.7372432074221339,2225,3018,3018
ANODA,OG932017,ANODA05892,0.24206349206349206,0.24206349206349206,366,1512,1512
ANODA,OG986805,ANODA04795,0.6136595310907238,0.6136595310907238,3010,4905,4905
ANODA,OG736122,ANODA03241,0.37770897832817335,0.37770897832817335,366,969,969
ANODA,OG961439,ANODA01669,0.5543951261966927,0.5543951261966927,637,1149,1149
ANODA,OG454890,ANODA10326,0.6422764227642277,0.6422764227642277,632,984,984
ANODA,OG420768,ANODA06165,0.672514619883041,0.672514619883041,1725,2565,2565
ANODA,OG419349,ANODA03242,0.3346482577251808,0.3346482577251808,1018,3042,3042
ANODA,OG1198490,ANODA04841,0.9350736278447122,0.9350736278447122,1397,1494,1494
ANODA,OG1157040,ANODA03571,0.6113161131611317,0.6113161131611317,497,813,813
ANODA,OG979200,ANODA05740,0.053042992741485204,0.053042992741485204,95,1791,1791
ANODA,OG1215812,ANODA08572,0.9862385321100917,0.9862385321100917,645,654,654
ANODA,OG971123,ANODA05742,0.3143996013951171,0.3143996013951171,631,2007,2007
ANODA,OG1150674,ANODA06923,0.36079900124843944,0.36079900124843944,289,801,801
ANODA,OG958126,ANODA01492,0.5686274509803921,0.5686274509803921,377,663,663
ANODA,OG352732,ANODA04288,0.5853658536585366,0.5853658536585366,864,1476,1476
ANODA,OG1246006,ANODA06751,0.8500986193293886,0.8500986193293886,862,1014,1014
ANODA,OG344070,ANODA02026,0.3066914498141264,0.3066914498141264,990,3228,3228
ANODA,OG1244115,ANODA03659,0.8735632183908046,0.8735632183908046,304,348,348
ANODA,OG1144131,ANODA04793,0.43306010928961747,0.43306010928961747,951,2196,2196
ANODA,OG1176412,ANODA07141,0.5300261096605744,0.5300261096605744,1218,2298,2298
ANODA,OG362633,ANODA07026,0.17879948914431673,0.17879948914431673,280,1566,1566
ANODA,OG456720,ANODA07083,0.7738095238095238,0.7738095238095238,585,756,756
ANODA,OG962230,ANODA03598,0.24019607843137256,0.24019607843137256,147,612,612
ANODA,OG976835,ANODA06297,0.7642276422764228,0.7642276422764228,1316,1722,1722
ANODA,OG971355,ANODA03504,0.8680171884591774,0.8680171884591774,1414,1629,1629
ANODA,OG1146507,ANODA10392,0.163772557030984,0.163772557030984,481,2937,2937
ANODA,OG1216622,ANODA06914,0.5628930817610063,0.5628930817610063,716,1272,1272
ANODA,OG814870,ANODA05594,0.3878718535469107,0.3878718535469107,2034,5244,5244
ANODA,OG1218158,ANODA08565,1.0,1.0,702,702,702
ANODA,OG1236745,ANODA08566,0.889273356401384,0.889273356401384,771,867,867
ANODA,OG946885,ANODA07717,0.7293116782675947,0.7293116782675947,943,1293,1293
ANODA,OG924410,ANODA03655,0.6027375201288244,0.6027375201288244,3743,6210,6210
ANODA,OG961398,ANODA01312,0.7730829420970265,0.7730829420970265,988,1278,1278
ANODA,OG1222683,ANODA08571,0.7678883071553229,0.7678883071553229,1320,1719,1719
ANODA,OG1189787,ANODA07757,0.8027210884353742,0.8027210884353742,472,588,588
ANODA,OG986274,ANODA04898,0.6265903307888041,0.6265903307888041,985,1572,1572
ANODA,OG1079985,ANODA06296,0.5420531849103277,0.5420531849103277,1753,3234,3234
ANODA,OG978865,ANODA08940,0.8495575221238938,0.8495575221238938,864,1017,1017
ANODA,OG944937,ANODA08489,0.49382716049382713,0.49382716049382713,560,1134,1134
ANODA,OG342477,ANODA06162,0.4973633083541493,0.4973633083541493,1792,3603,3603
ANODA,OG699681,ANODA09332,0.7197640117994101,0.7197640117994101,244,339,339
ANODA,OG961299,ANODA07298,0.45390855457227136,0.45390855457227136,1231,2712,2712
ANODA,OG1224967,ANODA01667,0.6766666666666666,0.6766666666666666,1218,1800,1800
ANODA,OG968775,ANODA05162,0.631424375917768,0.631424375917768,1290,2043,2043
ANODA,OG369576,ANODA04599,0.34050179211469533,0.34050179211469533,190,558,558
ANODA,OG817086,ANODA08550,0.9218106995884774,0.9218106995884774,672,729,729
ANODA,OG1214658,ANODA02027,0.4586894586894587,0.4586894586894587,322,702,702
ANODA,OG674682,ANODA07073,0.4416058394160584,0.4416058394160584,363,822,822
ANODA,OG968364,ANODA06500,0.8881239242685026,0.8881239242685026,1548,1743,1743
ANODA,OG1251119,ANODA03237,0.799847792998478,0.799847792998478,1051,1314,1314
ANODA,OG1162063,ANODA08486,0.18533333333333332,0.18533333333333332,278,1500,1500
ANODA,OG1221689,ANODA08570,0.8792583009918068,0.8792583009918068,2039,2319,2319
ANODA,OG964929,ANODA07247,0.643859649122807,0.643859649122807,1101,1710,1710
ANODA,OG1198488,ANODA06785,0.9359391965255157,0.9359391965255157,1724,1842,1842
ANODA,OG457108,ANODA03006,0.7697594501718213,0.7697594501718213,448,582,582
