#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1216622,ANOGA05381,0.8894430590191189,0.8894430590191189,1070,1203,1203
ANOGA,OG961602,ANOGA04058,0.8571428571428571,0.8571428571428571,486,567,567
ANOGA,OG949414,ANOGA05260,0.9198855507868383,0.9198855507868383,643,699,699
ANOGA,OG944937,ANOGA05498,0.8575498575498576,0.8575498575498576,903,1053,1053
ANOGA,OG369576,ANOGA05331,0.86996336996337,0.86996336996337,475,546,546
ANOGA,OG968364,ANOGA07027,0.887846291331546,0.887846291331546,1987,2238,2238
ANOGA,OG1246006,ANOGA05367,1.0,1.0,1020,1020,1020
ANOGA,OG719374,ANOGA05480,0.9882747068676717,0.9882747068676717,4130,4179,4179
ANOGA,OG978865,ANOGA04062,0.9225490196078432,0.9225490196078432,941,1020,1020
ANOGA,OG1192905,ANOGA05458,0.9901671583087512,0.9901671583087512,1007,1017,1017
ANOGA,OG1181227,ANOGA04642,0.9601745771958538,0.9601745771958538,1760,1833,1833
ANOGA,OG946885,ANOGA05407,0.9602446483180428,0.9602446483180428,1256,1308,1308
ANOGA,OG1081004,ANOGA04408,0.9302649930264993,0.9302649930264993,2001,2151,2151
ANOGA,OG1231177,ANOGA04120,0.8886936145284124,0.8886936145284124,1517,1707,1707
ANOGA,OG1198488,ANOGA05707,0.9549402823018458,0.9549402823018458,1759,1842,1842
ANOGA,OG1251119,ANOGA04663,0.9624521072796934,0.9624521072796934,1256,1305,1305
ANOGA,OG456479,ANOGA05459,0.9588075880758807,0.9588075880758807,1769,1845,1845
ANOGA,OG853434,ANOGA04296,0.9856850715746421,0.9856850715746421,482,489,489
ANOGA,OG718578,ANOGA05248,0.9616055846422339,0.9616055846422339,1653,1719,1719
ANOGA,OG351572,ANOGA04255,0.9660238751147842,0.9660238751147842,1052,1089,1089
ANOGA,OG698904,ANOGA04041,0.951602564102564,0.951602564102564,2969,3120,3120
ANOGA,OG960910,ANOGA05775,1.0,1.0,1314,1314,1314
ANOGA,OG968775,ANOGA04415,0.9994848016486347,0.9994848016486347,1940,1941,1941
ANOGA,OG964673,ANOGA05646,0.9553264604810997,0.9553264604810997,556,582,582
ANOGA,OG793899,ANOGA04677,0.9950248756218906,0.9950248756218906,600,603,603
ANOGA,OG1221639,ANOGA05250,0.9206349206349206,0.9206349206349206,348,378,378
ANOGA,OG961299,ANOGA05478,0.9550930996714129,0.9550930996714129,2616,2739,2739
ANOGA,OG1214658,ANOGA05631,0.8241912798874824,0.8241912798874824,586,711,711
ANOGA,OG703365,ANOGA04508,0.7882653061224489,0.7882653061224489,927,1176,1176
ANOGA,OG877291,ANOGA05475,0.9834289356277884,0.9834289356277884,1543,1569,1569
ANOGA,OG970502,ANOGA04470,0.9744942832014072,0.9744942832014072,1108,1137,1137
ANOGA,OG1139777,ANOGA04100,0.9971751412429378,0.9971751412429378,353,354,354
ANOGA,OG1183200,ANOGA05481,0.9237770193401593,0.9237770193401593,812,879,879
ANOGA,OG966098,ANOGA04644,0.9680416202155333,0.9680416202155333,2605,2691,2691
ANOGA,OG926503,ANOGA04270,0.9979423868312757,0.9979423868312757,485,486,486
ANOGA,OG967514,ANOGA05706,0.8758099352051836,0.8758099352051836,2433,2778,2778
ANOGA,OG457572,ANOGA05354,0.7146118721461188,0.7146118721461188,313,438,438
ANOGA,OG675570,ANOGA04091,0.8010928961748633,0.8010928961748633,733,915,915
ANOGA,OG961440,ANOGA04483,0.9985935302390999,0.9985935302390999,1420,1422,1422
ANOGA,OG916860,ANOGA05486,0.9618696186961869,0.9618696186961869,782,813,813
ANOGA,OG998211,ANOGA04098,0.9235997824904839,0.9235997824904839,3397,3678,3678
ANOGA,OG953187,ANOGA05445,0.7222222222222222,0.7222222222222222,390,540,540
ANOGA,OG451038,ANOGA04282,0.9341397849462365,0.9341397849462365,695,744,744
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOGA,OG796653,ANOGA04674,0.9979035639412998,0.9979035639412998,2380,2385,2385
ANOGA,OG1225085,ANOGA05304,0.9562542720437457,0.9562542720437457,4197,4389,4389
ANOGA,OG344070,ANOGA05629,0.9536658490051785,0.9536658490051785,3499,3669,3669
ANOGA,OG1139996,ANOGA05695,0.927012791572611,0.927012791572611,1232,1329,1329
ANOGA,OG1235653,ANOGA04515,0.9957333333333334,0.9957333333333334,1867,1875,1875
ANOGA,OG456648,ANOGA04680,0.7533333333333333,0.7533333333333333,1130,1500,1500
ANOGA,OG953548,ANOGA05931,0.9851282051282051,0.9851282051282051,1921,1950,1950
ANOGA,OG976835,ANOGA04087,0.9965095986038395,0.9965095986038395,1713,1719,1719
ANOGA,OG454890,ANOGA04502,0.9109109109109109,0.9109109109109109,910,999,999
ANOGA,OG975279,ANOGA04631,0.9122160834868017,0.9122160834868017,1486,1629,1629
ANOGA,OG420768,ANOGA04641,0.8085661080074488,0.8085661080074488,2171,2685,2685
ANOGA,OG665560,ANOGA04640,0.8485885372112917,0.8485885372112917,2976,3507,3507
ANOGA,OG1202204,ANOGA05611,0.995850622406639,0.995850622406639,720,723,723
ANOGA,OG342477,ANOGA04643,0.9981496167063177,0.9981496167063177,3776,3783,3783
ANOGA,OG1229017,ANOGA05305,0.983635716826752,0.983635716826752,2765,2811,2811
ANOGA,OG978616,ANOGA04292,0.9370904325032765,0.9370904325032765,2145,2289,2289
ANOGA,OG848281,ANOGA05255,0.9521144278606966,0.9521144278606966,1531,1608,1608
ANOGA,OG1240929,ANOGA04635,0.9807877041306436,0.9807877041306436,1021,1041,1041
ANOGA,OG964929,ANOGA05473,0.9892923649906891,0.9892923649906891,2125,2148,2148
ANOGA,OG676343,ANOGA05773,0.7827763496143959,0.7827763496143959,1827,2334,2334
ANOGA,OG664391,ANOGA04327,0.9632829373650108,0.9632829373650108,1338,1389,1389
ANOGA,OG932104,ANOGA04539,0.9973804846103471,0.9973804846103471,1523,1527,1527
ANOGA,OG1230391,ANOGA04302,0.9105461393596986,0.9105461393596986,967,1062,1062
ANOGA,OG1240325,ANOGA05642,0.9532828282828283,0.9532828282828283,755,792,792
ANOGA,OG1236745,ANOGA04294,0.9701149425287356,0.9701149425287356,844,870,870
ANOGA,OG674682,ANOGA05648,0.986318407960199,0.986318407960199,793,804,804
ANOGA,OG1203459,ANOGA05696,0.9776422764227642,0.9776422764227642,962,984,984
ANOGA,OG1176412,ANOGA04492,0.8212990438509726,0.8212990438509726,2491,3033,3033
ANOGA,OG457108,ANOGA04521,0.99822695035461,0.99822695035461,563,564,564
ANOGA,OG352732,ANOGA04305,0.9771386430678466,0.9771386430678466,1325,1356,1356
ANOGA,OG1224967,ANOGA04095,1.0,1.0,1791,1791,1791
ANOGA,OG458150,ANOGA04629,0.9870967741935484,0.9870967741935484,459,465,465
ANOGA,OG1146505,ANOGA04324,0.9829457364341085,0.9829457364341085,2536,2580,2580
ANOGA,OG814084,ANOGA05434,0.9962013295346629,0.9962013295346629,1049,1053,1053
ANOGA,OG1240328,ANOGA05641,1.0,1.0,885,885,885
ANOGA,OG1150857,ANOGA04505,0.9114484503478811,0.9114484503478811,1441,1581,1581
ANOGA,OG1152239,ANOGA06528,0.9787472035794184,0.9787472035794184,875,894,894
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOGA,OG762076,ANOGA05710,0.868421052631579,0.868421052631579,693,798,798
ANOGA,OG1244115,ANOGA04136,0.7614942528735632,0.7614942528735632,265,348,348
ANOGA,OG1198490,ANOGA05372,0.9725568942436412,0.9725568942436412,1453,1494,1494
ANOGA,OG963232,ANOGA04489,0.9642184557438794,0.9642184557438794,1024,1062,1062
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG1251552,ANOGA04696,0.9981481481481481,0.9981481481481481,539,540,540
ANOGA,OG456351,ANOGA04056,0.8953488372093024,0.8953488372093024,4389,4902,4902
ANOGA,OG961564,ANOGA05927,0.9850666666666666,0.9850666666666666,1847,1875,1875
ANOGA,OG373241,ANOGA05645,1.0,1.0,333,333,333
ANOGA,OG961377,ANOGA04332,1.0,1.0,1041,1041,1041
ANOGA,OG846448,ANOGA05497,0.8783977110157367,0.8783977110157367,614,699,699
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG977782,ANOGA05610,0.8050655811849842,0.8050655811849842,1780,2211,2211
ANOGA,OG961011,ANOGA05472,0.920958512160229,0.920958512160229,2575,2796,2796
ANOGA,OG1170587,ANOGA04139,0.9745796241345203,0.9745796241345203,9853,10110,10110
ANOGA,OG699681,ANOGA05433,1.0,1.0,339,339,339
ANOGA,OG925865,ANOGA05617,0.875,0.875,483,552,552
ANOGA,OG917347,ANOGA05769,1.0,1.0,963,963,963
ANOGA,OG456338,ANOGA05365,0.9051254089422028,0.9051254089422028,4980,5502,5502
ANOGA,OG961398,ANOGA05245,0.9428794992175273,0.9428794992175273,1205,1278,1278
ANOGA,OG1138880,ANOGA05943,0.9911894273127754,0.9911894273127754,675,681,681
ANOGA,OG962230,ANOGA04299,0.9886178861788618,0.9886178861788618,608,615,615
ANOGA,OG1241986,ANOGA04040,0.9969348659003832,0.9969348659003832,1301,1305,1305
ANOGA,OG988784,ANOGA04273,0.9161949685534592,0.9161949685534592,5827,6360,6360
ANOGA,OG661167,ANOGA04541,0.9988425925925926,0.9988425925925926,863,864,864
ANOGA,OG899270,ANOGA04679,0.9028026237328562,0.9028026237328562,1514,1677,1677
ANOGA,OG761976,ANOGA04435,0.8195211786372008,0.8195211786372008,1335,1629,1629
ANOGA,OG1240968,ANOGA05685,0.8969149736644093,0.8969149736644093,1192,1329,1329
ANOGA,OG961322,ANOGA05683,1.0,1.0,411,411,411
ANOGA,OG1204971,ANOGA05312,0.9342180365296804,0.9342180365296804,6547,7008,7008
ANOGA,OG1162063,ANOGA04462,0.8017832647462277,0.8017832647462277,1169,1458,1458
ANOGA,OG1218158,ANOGA04293,0.9430199430199431,0.9430199430199431,662,702,702
ANOGA,OG1150674,ANOGA05653,0.9151061173533084,0.9151061173533084,733,801,801
ANOGA,OG1219581,ANOGA05679,0.978749241044323,0.978749241044323,1612,1647,1647
ANOGA,OG1179969,ANOGA05488,0.9941118743866536,0.9941118743866536,3039,3057,3057
ANOGA,OG861720,ANOGA05778,0.8711240310077519,0.8711240310077519,3596,4128,4128
ANOGA,OG946387,ANOGA05414,1.0,1.0,2088,2088,2088
ANOGA,OG1146507,ANOGA05711,0.7649484536082474,0.7649484536082474,2226,2910,2910
ANOGA,OG451043,ANOGA04280,0.9488188976377953,0.9488188976377953,723,762,762
ANOGA,OG817086,ANOGA04277,0.9960159362549801,0.9960159362549801,750,753,753
ANOGA,OG1214309,ANOGA05405,1.0,1.0,402,402,402
ANOGA,OG456720,ANOGA04313,0.991389913899139,0.991389913899139,806,813,813
ANOGA,OG822311,ANOGA04636,0.9784828592268418,0.9784828592268418,2683,2742,2742
ANOGA,OG1223886,ANOGA05389,0.9369918699186992,0.9369918699186992,461,492,492
ANOGA,OG792914,ANOGA04135,0.9054852320675105,0.9054852320675105,1073,1185,1185
ANOGA,OG455346,ANOGA04634,0.9779474130619169,0.9779474130619169,1153,1179,1179
ANOGA,OG708597,ANOGA04416,0.9246682279469165,0.9246682279469165,2369,2562,2562
ANOGA,OG823032,ANOGA04468,0.9962121212121212,0.9962121212121212,1315,1320,1320
ANOGA,OG828830,ANOGA04503,0.25149700598802394,0.25149700598802394,126,501,501
ANOGA,OG971355,ANOGA04093,0.9987445072190835,0.9987445072190835,1591,1593,1593
ANOGA,OG1226379,ANOGA04627,0.963718820861678,0.963718820861678,1275,1323,1323
ANOGA,OG457329,ANOGA04096,0.9603174603174603,0.9603174603174603,726,756,756
ANOGA,OG348620,ANOGA05652,0.9656357388316151,0.9656357388316151,1405,1455,1455
ANOGA,OG419349,ANOGA04655,0.7127016129032258,0.7127016129032258,2121,2976,2976
ANOGA,OG971123,ANOGA04434,0.7582697201017812,0.7582697201017812,1192,1572,1572
ANOGA,OG792952,ANOGA04134,1.0,1.0,1065,1065,1065
ANOGA,OG1190683,ANOGA04295,1.0,1.0,1194,1194,1194
ANOGA,OG1197765,ANOGA04431,0.9307909604519774,0.9307909604519774,659,708,708
ANOGA,OG460076,ANOGA06525,0.9971661353170386,0.9971661353170386,2815,2823,2823
ANOGA,OG896170,ANOGA04117,1.0,1.0,1743,1743,1743
ANOGA,OG1191966,ANOGA05362,0.9989806320081549,0.9989806320081549,1960,1962,1962
ANOGA,OG673136,ANOGA04099,0.9076682316118936,0.9076682316118936,1160,1278,1278
ANOGA,OG962019,ANOGA04699,0.9883040935672515,0.9883040935672515,845,855,855
ANOGA,OG964344,ANOGA04312,0.7936170212765957,0.7936170212765957,1119,1410,1410
ANOGA,OG1212040,ANOGA05460,0.9652509652509652,0.9652509652509652,5250,5439,5439
ANOGA,OG961439,ANOGA04097,0.9372937293729373,0.9372937293729373,1136,1212,1212
ANOGA,OG1208321,ANOGA05692,0.977299880525687,0.977299880525687,8180,8370,8370
ANOGA,OG1231901,ANOGA05639,0.8304947283049473,0.8304947283049473,2048,2466,2466
ANOGA,OG960979,ANOGA05643,1.0,1.0,1200,1200,1200
ANOGA,OG1202789,ANOGA05383,0.9618777567737871,0.9618777567737871,3053,3174,3174
ANOGA,OG958126,ANOGA04045,0.8828828828828829,0.8828828828828829,588,666,666
ANOGA,OG1218490,ANOGA05471,0.8420289855072464,0.8420289855072464,1162,1380,1380
ANOGA,OG979200,ANOGA04436,0.701048951048951,0.701048951048951,1203,1716,1716
ANOGA,OG790850,ANOGA04067,0.8369905956112853,0.8369905956112853,801,957,957
ANOGA,OG375937,ANOGA13872,0.4889705882352941,0.4889705882352941,399,816,816
ANOGA,OG1251511,ANOGA04057,0.9628670120898101,0.9628670120898101,2230,2316,2316
ANOGA,OG1079985,ANOGA04086,0.8880139982502188,0.8880139982502188,3045,3429,3429
ANOGA,OG1221689,ANOGA04113,0.9780927835051546,0.9780927835051546,2277,2328,2328
ANOGA,OG961115,ANOGA04121,1.0,1.0,1086,1086,1086
ANOGA,OG823037,ANOGA04308,0.9881481481481481,0.9881481481481481,1334,1350,1350
ANOGA,OG924410,ANOGA04132,0.9156587647153684,0.9156587647153684,5678,6201,6201
ANOGA,OG823022,ANOGA05671,0.6854354354354354,0.6854354354354354,913,1332,1332
ANOGA,OG949490,ANOGA04279,0.9919678714859438,0.9919678714859438,741,747,747
ANOGA,OG1242667,ANOGA04473,0.9728395061728395,0.9728395061728395,2364,2430,2430
ANOGA,OG911937,ANOGA04125,0.8946002076843198,0.8946002076843198,1723,1926,1926
ANOGA,OG362545,ANOGA07030,0.753528773072747,0.753528773072747,694,921,921
ANOGA,OG722946,ANOGA04328,0.9866666666666667,0.9866666666666667,1184,1200,1200
ANOGA,OG1222683,ANOGA04115,0.9225225225225225,0.9225225225225225,1536,1665,1665
ANOGA,OG696447,ANOGA06521,0.9642857142857143,0.9642857142857143,891,924,924
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG420493,ANOGA04637,0.9872881355932204,0.9872881355932204,699,708,708
ANOGA,OG456691,ANOGA05703,0.9101034208432777,0.9101034208432777,1144,1257,1257
ANOGA,OG341995,ANOGA04081,0.8087488457987073,0.8087488457987073,7007,8664,8664
ANOGA,OG362633,ANOGA04668,0.8812589413447782,0.8812589413447782,1232,1398,1398
ANOGA,OG1168476,ANOGA04432,0.9196217494089834,0.9196217494089834,1167,1269,1269
ANOGA,OG932017,ANOGA04469,0.8634857521537442,0.8634857521537442,1303,1509,1509
ANOGA,OG986805,ANOGA05928,0.9811918063314712,0.9811918063314712,5269,5370,5370
ANOGA,OG1223272,ANOGA04094,0.9982616253802694,0.9982616253802694,2297,2301,2301
ANOGA,OG784747,ANOGA04289,1.0,1.0,636,636,636
