#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,5.736592592592593,2.8347489699985946
ANOGA,OG1081004,ANOGA04408,21.893418467583498,11.852438174132917
ANOGA,OG1138880,ANOGA05943,5.753303964757709,3.4433862772637496
ANOGA,OG1139777,ANOGA04100,2.588235294117647,0.572517275021615
ANOST,OG1139996,ANOST00223,4.6173553719008265,2.8231386813627632
ANOGA,OG1144131,ANOGA06520,3.1738525730180807,1.6952311531319297
ANOGA,OG1146505,ANOGA04324,2.8255275347400928,1.7443171215178817
ANOGA,OG1146507,ANOGA05711,12.048797250859106,4.382763442382269
ANOGA,OG1150674,ANOGA05653,3.022284122562674,1.9956929438066382
ANOGA,OG1150857,ANOGA04505,19.15409622886866,7.521295263495177
ANOGA,OG1152239,ANOGA06528,15.041152263374485,7.960702989556071
ANOGA,OG1157040,ANOGA04042,7.1621966794380585,4.512562431221561
ANOGA,OG1162063,ANOGA04462,7.46875,6.797599338798466
ANOGA,OG1168250,ANOGA05380,1.0,0.0
ANOGA,OG1168476,ANOGA04432,22.234830575256108,9.237690486420874
ANOGA,OG1170587,ANOGA04139,2.5722812908039545,1.840812827843766
ANOGA,OG1174245,ANOGA04055,11.370278637770898,4.634409823432222
ANOGA,OG1174608,ANOGA05668,4.239837398373984,1.0138263539678458
ANOGA,OG1174891,ANOGA04632,28.981047937569677,6.3367658786148615
ANOGA,OG1176412,ANOGA04492,18.119353775140127,10.625861520253752
ANOSI,OG1179948,ANOSI16890,4.507894736842105,1.4698516894298104
ANOGA,OG1179969,ANOGA05488,35.021269633507856,40.625925754549996
ANOGA,OG1181227,ANOGA04642,10.676190476190476,3.90911010206279
ANOGA,OG1183200,ANOGA05481,4.502844141069397,2.8770289649441816
ANOGA,OG1189787,ANOGA04698,6.365646258503402,2.0997189860657985
ANOGA,OG1190683,ANOGA04295,8.33303491495076,3.4586845284784995
ANOGA,OG1191966,ANOGA05362,3.935303959843837,1.6653174932217207
ANOGA,OG1192905,ANOGA05458,29.474926253687315,10.466109121212988
ANODA,OG1194738,ANODA04923,95.96763085399449,31.955779090051315
ANOGA,OG1197765,ANOGA04431,13.052631578947368,3.6350521572466272
ANODA,OG1198488,ANODA06785,12.290322580645162,6.298824663593012
ANODA,OG1198490,ANODA04841,2.724217844727694,1.159555918035524
ANOGA,OG1202204,ANOGA05611,5.08298755186722,2.2807816799877165
ANOGA,OG1202789,ANOGA05383,4.944873949579832,2.9646068696665866
ANOGA,OG1203459,ANOGA05696,5.699177438307873,2.7067807582252557
ANOGA,OG1204971,ANOGA05312,6.85790077430456,6.508032358797614
ANOGA,OG1208321,ANOGA05692,2.836056838365897,2.965391867443094
ANOGA,OG1212040,ANOGA05460,3.083673469387755,1.9675009466352011
ANOGA,OG1214309,ANOGA05405,4.232558139534884,1.5938105148398631
ANOSI,OG1214658,ANOSI13358,17.781779661016948,6.387309203937521
ANOGA,OG1215812,ANOGA04116,18.440860215053764,10.327842041115652
ANOGA,OG1216622,ANOGA05381,5.358418367346939,2.5540794796235433
ANOGA,OG1218157,ANOGA04267,6.151761517615176,2.181159381303711
ANOSI,OG1218158,ANOSI08297,3.2282608695652173,1.3261849571770605
ANOGA,OG1218490,ANOGA05471,13.531322505800464,6.511099538415991
ANOGA,OG1219581,ANOGA05679,15.05141065830721,14.588220101220092
ANOGA,OG1221689,ANOGA04113,4.574955908289241,2.112599464445186
ANOGA,OG1222683,ANOGA04115,28.96036036036036,9.087872121127157
