#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,3.9048178613396005,2.896022282516583
ANOST,OG676343,ANOST00003,nan,nan
ANOST,OG951333,ANOST00004,2.010498687664042,1.1546528096751274
ANOST,OG960910,ANOST00006,34.6071964017991,14.418570684905257
ANOST,OG848281,ANOST00012,5.808870967741935,4.200969782369653
ANOST,OG1221639,ANOST00016,nan,nan
ANOST,OG964633,ANOST00017,24.631272727272727,20.873437757942767
ANOST,OG718578,ANOST00019,2.246376811594203,1.560019998543356
ANOST,OG961398,ANOST00021,15.65825446898002,7.2817658780874845
ANOST,OG411836,ANOST00028,5.52128764278297,3.930908170906916
ANOST,OG1241986,ANOST00031,19.627240143369175,8.945587468411198
ANOST,OG698904,ANOST00032,21.375850949480473,9.370527378896613
ANOST,OG1157040,ANOST00033,5.931079323797139,3.3342895212313284
ANOST,OG958126,ANOST00036,6.062737642585551,2.3338025474337223
ANOST,OG842298,ANOST00037,8.619931792345586,7.581858235538164
ANOST,OG1174245,ANOST00043,11.378765060240964,6.560221559418457
ANOST,OG456351,ANOST00044,18.705040871934607,48.35183612163533
ANOST,OG1251511,ANOST00045,20.88927507447865,9.196095743970831
ANOST,OG961602,ANOST00046,15.97194388777555,4.20792439145788
ANOST,OG953187,ANOST00048,4.185263157894737,2.5088042201332588
ANOST,OG814084,ANOST00057,12.286184210526315,6.229378781319547
ANOST,OG699681,ANOST00058,12.510324483775811,4.546292166269339
ANOST,OG946387,ANOST00073,10.949764521193092,6.9582058515801455
ANOST,OG946885,ANOST00079,6.661452513966481,4.111901259565394
ANOST,OG1214309,ANOST00081,3.614678899082569,1.9949857182847839
ANOST,OG341995,ANOST00098,6.746755800235942,8.573498722930148
ANOST,OG1079985,ANOST00101,10.045155993431855,9.22459749970129
ANOST,OG976835,ANOST00102,14.248901903367496,7.077865056468692
ANOST,OG675570,ANOST00108,2.9948453608247423,1.0527206905800728
ANOST,OG971355,ANOST00110,20.793766578249336,16.29280449725684
ANOST,OG1223272,ANOST00111,18.634722222222223,9.560886654831926
ANOST,OG1224967,ANOST00112,7.382265275707899,5.442758483139206
ANOST,OG457329,ANOST00113,1.7333333333333334,0.4422166387140533
ANOST,OG961439,ANOST00114,10.70595690747782,7.746603327980816
ANOST,OG998211,ANOST00115,4.004514672686231,2.648731955508587
ANOST,OG673136,ANOST00116,1.4269972451790633,0.4946418884289463
ANOST,OG1139777,ANOST00117,1.9929577464788732,0.08362212737350645
ANOST,OG1221689,ANOST00123,12.483257918552036,6.0264830525980715
ANOST,OG1222683,ANOST00125,16.88301282051282,6.059065566429957
ANOST,OG1215812,ANOST00126,11.359447004608295,6.455553986077474
ANOST,OG896170,ANOST00127,25.894827586206898,13.260687588322902
ANOST,OG1231177,ANOST00129,22.793215916503588,9.6885433935686
ANOST,OG961115,ANOST00130,7.057591623036649,4.3226340210974
ANOST,OG911937,ANOST00134,16.946338736724428,7.929216217635036
ANOST,OG924410,ANOST00137,14.801670146137788,8.767538713370712
ANOST,OG792952,ANOST00138,24.410430839002267,11.619604984498555
ANOST,OG792914,ANOST00139,12.218551461245236,9.389388773279592
ANOST,OG1244115,ANOST00140,7.992395437262357,2.650765576245346
ANOST,OG1170587,ANOST00146,16.54080727434021,8.881851107731768
ANOST,OG1226379,ANOST00147,11.100215517241379,5.146944184301102
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,5.055707762557078,3.831806544444713
ANOST,OG1174891,ANOST00152,4.781553398058253,1.5346640360219976
ANOST,OG455346,ANOST00156,16.366829268292683,8.4153212303438
ANOST,OG1240929,ANOST00157,4.932530120481927,3.2849092130908866
ANOST,OG822311,ANOST00158,16.163029525032094,9.786267170861377
ANOST,OG420493,ANOST00159,4.9688888888888885,2.3933075413858367
ANOST,OG665560,ANOST00160,9.131470453504352,8.232625285589036
ANOST,OG420768,ANOST00161,14.171194480379475,8.28682240213272
ANOST,OG1181227,ANOST00162,15.853892215568862,7.270412095355168
ANOST,OG342477,ANOST00163,31.982745398773005,66.25867874495539
ANOST,OG966098,ANOST00164,17.08290378006873,10.494127787888921
ANOST,OG419349,ANOST00176,5.454212454212454,3.166721219316682
ANOST,OG736122,ANOST00177,11.59568345323741,7.447406680147821
ANOST,OG1251119,ANOST00180,16.069094304388422,5.57211335721165
ANOST,OG796653,ANOST00189,22.72848948374761,9.242513257732465
ANOST,OG793899,ANOST00192,13.721393034825871,6.7959106362726365
ANOST,OG899270,ANOST00194,9.603319502074688,8.009557917048177
ANOST,OG456648,ANOST00195,9.610189573459715,7.974541271751472
ANOST,OG1251552,ANOST00206,nan,nan
ANOST,OG1189787,ANOST00208,2.8333333333333335,1.5345524853205388
ANOST,OG962019,ANOST00209,2.234726688102894,1.186560529400347
ANOST,OG967514,ANOST00212,16.829033668561433,9.080174210462669
ANOST,OG762076,ANOST00214,6.544827586206897,3.1655022161764967
ANOST,OG1198488,ANOST00216,21.094243792325056,5.843870691064578
ANOST,OG456691,ANOST00218,nan,nan
ANOST,OG1203459,ANOST00222,3.794573643410853,2.977160520788302
ANOST,OG1139996,ANOST00223,4.859304084720121,2.6218894919766598
ANOST,OG1208321,ANOST00225,19.4146371924566,10.07508593651096
ANOST,OG1240968,ANOST00230,20.26010101010101,10.573242576223036
ANOST,OG961322,ANOST00232,4.165760869565218,1.1215388629367709
ANOST,OG698997,ANOST00233,17.927433628318585,11.989279240954028
ANOST,OG1219581,ANOST00235,4.191044776119403,1.145755482143014
ANOST,OG823022,ANOST00242,6.880229696472519,4.792881097746207
ANOST,OG1174608,ANOST00246,4.788288288288288,2.0313417541849694
ANOST,OG839253,ANOST00256,1.9776119402985075,0.1479419970268583
ANOST,OG1150674,ANOST00260,3.227722772277228,1.1114274838502334
ANOST,OG348620,ANOST00261,21.573298429319372,13.609434379469635
ANOST,OG674682,ANOST00263,11.249063670411985,6.4711799183203
ANOST,OG964673,ANOST00265,12.50274223034735,5.887231851958117
ANOST,OG373241,ANOST00266,16.003003003003002,4.0421937510852075
ANOST,OG960979,ANOST00268,21.899166666666666,8.16980207668596
ANOST,OG1240325,ANOST00269,5.671497584541063,2.8822812319820064
ANOST,OG1240328,ANOST00270,1.406813627254509,0.49123955452970036
ANOST,OG1231901,ANOST00272,8.453470031545741,3.7209712119476146
ANOST,OG1194738,ANOST00274,20.94283746556474,7.6835776857836455
ANOST,OG1214658,ANOST00276,7.205607476635514,3.2316724577164053
ANOST,OG344070,ANOST00277,6.609923011120616,4.790756434418133
ANOST,OG925865,ANOST00286,12.004115226337449,4.452305956737689
ANOST,OG1202204,ANOST00290,12.504189944134078,5.428430670031646
ANOST,OG977782,ANOST00291,2.0,0.0
ANOST,OG351572,ANOST00298,8.64738598442714,5.4020987720006515
ANOST,OG1218157,ANOST00305,11.4375,2.7484151901945797
ANOST,OG926503,ANOST00307,13.781893004115226,3.4833172834517754
ANOST,OG817086,ANOST00310,17.79184861717613,7.616464426006931
ANOST,OG949490,ANOST00312,8.608895705521473,3.5171072724342345
ANOST,OG451043,ANOST00313,10.942598187311178,8.14982611820495
ANOST,OG451038,ANOST00315,16.33933933933934,10.241037193896464
ANOST,OG784747,ANOST00320,15.640949554896142,5.577230866913785
ANOST,OG978616,ANOST00322,14.953942777390091,9.307305290353117
ANOST,OG1218158,ANOST00323,17.788838612368025,7.3380388104251315
ANOST,OG1236745,ANOST00324,10.003529411764706,5.06974757600702
ANOST,OG1190683,ANOST00325,10.214983713355048,5.197242359991123
ANOST,OG853434,ANOST00326,4.102649006622516,1.5113454827386017
ANOST,OG962230,ANOST00328,6.544,1.2992551712423546
ANOST,OG1230391,ANOST00331,nan,nan
ANOST,OG352732,ANOST00335,4.537058152793614,2.1669344772155146
ANOST,OG823037,ANOST00337,2.4182879377431905,0.9814109724566935
ANOST,OG964344,ANOST00343,7.332708528584817,5.464624966861539
ANOST,OG456720,ANOST00347,7.873831775700935,2.440819909046631
ANOST,OG1146505,ANOST00349,7.606451612903226,5.839351239035033
ANOST,OG671266,ANOST00350,21.548600810837534,10.014447995982675
ANOST,OG664391,ANOST00352,15.050955414012739,8.012765434930037
ANOST,OG722946,ANOST00353,6.853976531942633,3.788689227772357
ANOST,OG961377,ANOST00356,11.62175525339926,5.7218442819663204
ANOST,OG1146507,ANOST00365,6.176390773405699,5.162891966643931
ANOST,OG986274,ANOST00366,14.922893481717011,7.364867438785278
ANOST,OG988784,ANOST00369,10.652945113788487,11.350522991609909
ANOST,OG362633,ANOST00370,nan,nan
ANOST,OG375937,ANOST00377,2.0,0.0
ANOST,OG949414,ANOST00379,11.227504244482173,6.335754904179877
ANOST,OG917347,ANOST00382,13.157497303128372,6.503754238513055
ANOST,OG1081004,ANOST00389,5.678504672897196,3.130406442136359
ANOST,OG960945,ANOST00390,10.854406130268199,8.391216771135895
ANOST,OG968775,ANOST00395,9.708002443494196,9.192119847930138
ANOST,OG708597,ANOST00396,2.488721804511278,0.8767381563429992
ANOST,OG1197765,ANOST00410,9.686679174484052,4.0850882956185535
ANOST,OG1168476,ANOST00411,7.848021582733813,5.210955846489831
ANOST,OG971123,ANOST00414,5.357519788918206,3.1215719217729085
ANOST,OG761976,ANOST00415,5.928657799274486,2.251102325742648
ANOST,OG979200,ANOST00416,3.715,2.2346755916687324
ANOST,OG814870,ANOST00423,8.723112128146454,7.797077906294427
ANOST,OG1225085,ANOST00424,3.584500466853408,3.32774078578767
ANOST,OG1229017,ANOST00425,15.225447316103379,11.076010136571524
ANOST,OG1204971,ANOST00430,12.431506849315069,9.995956723991196
ANOST,OG369576,ANOST00441,nan,nan
ANOST,OG457572,ANOST00450,3.445692883895131,1.5793168612967847
ANOST,OG1191966,ANOST00456,15.25669099756691,12.408734375720751
ANOST,OG456338,ANOST00458,7.625726744186046,4.353414297032885
ANOST,OG1246006,ANOST00459,15.208791208791208,6.616228309936282
ANOST,OG1198490,ANOST00464,14.684387617765815,7.227833230768279
ANOST,OG1168250,ANOST00469,3.3294797687861273,1.5398739779890451
ANOST,OG1216622,ANOST00470,1.8401639344262295,1.4282948584356454
ANOST,OG1202789,ANOST00471,19.70293017456359,14.55021715797574
ANOST,OG1223886,ANOST00473,2.4285714285714284,1.0197690989063626
ANOST,OG790850,ANOST00477,17.912482065997132,8.771420708329112
ANOST,OG978865,ANOST00481,11.04203821656051,5.371262615783319
ANOST,OG1192905,ANOST00488,12.477467811158798,6.527962865045941
ANOST,OG456479,ANOST00489,233.67178658043653,664.7008680099541
ANOST,OG1212040,ANOST00490,17.68739015817223,11.557130159001412
ANOST,OG1218490,ANOST00495,14.761256544502618,6.572954780519212
ANOST,OG961011,ANOST00496,16.39773844641101,9.726375194956477
ANOST,OG964929,ANOST00497,11.788181120491174,6.729138365224696
ANOST,OG877291,ANOST00499,4.94089609151573,3.6893601117277237
ANOST,OG961299,ANOST00501,4.50315910396324,2.9923540921146308
ANOST,OG719374,ANOST00503,7.572768192048012,6.194169480076847
ANOST,OG1183200,ANOST00504,5.365384615384615,2.119768185383325
ANOST,OG916860,ANOST00509,nan,nan
ANOST,OG1179969,ANOST00511,6.989707475622969,5.537560334115959
ANOST,OG846448,ANOST00517,5.708074534161491,3.867858344955161
ANOST,OG944937,ANOST00518,4.635514018691588,2.6727860901030476
ANOST,OG1162063,ANOST00522,10.64401294498382,7.550872005183732
ANOST,OG823032,ANOST00528,6.1554726368159205,3.3285225085685206
ANOST,OG932017,ANOST00529,3.7977346278317152,2.8019055087099964
ANOST,OG970502,ANOST00530,6.042663891779396,3.9059242579019977
ANOST,OG1242667,ANOST00533,5.014604150653343,3.2268477086186866
ANOST,OG961440,ANOST00539,10.264411990776326,5.673748648986642
ANOST,OG963232,ANOST00545,5.911439114391144,3.634876775251424
ANOST,OG1176412,ANOST00547,13.034103410341034,9.029346044022548
ANOST,OG1179948,ANOST00550,3.6903225806451614,1.8661710852967477
ANOST,OG454890,ANOST00551,13.908474576271187,6.227475700898867
ANOST,OG828830,ANOST00552,5.472843450479234,0.928806251146903
ANOST,OG1150857,ANOST00554,10.7438127090301,8.209093590054461
ANOST,OG703365,ANOST00557,2.0,0.0
ANOST,OG961013,ANOST00564,16.620786516853933,6.634902220174679
ANOST,OG1235653,ANOST00565,7.6275440976933515,5.10078356909479
ANOST,OG457108,ANOST00570,9.652610441767068,4.689324286280381
ANOST,OG932104,ANOST00578,5.541570438799076,2.7221195264297298
ANOST,OG661167,ANOST00579,11.083924349881796,4.494157143365732
ANOST,OG931899,ANOST00585,8.8348623853211,2.5142301846547728
ANOST,OG1138880,ANOST00591,1.7454545454545454,0.43560540184403423
ANOST,OG953548,ANOST00599,20.454741379310345,7.959156184828555
ANOST,OG986805,ANOST00600,15.35174547061423,14.407552068573521
ANOST,OG961564,ANOST00601,4.1396933560477,2.35970761073997
ANOST,OG1144131,ANOST00602,12.430121250797702,11.345367200287392
ANOST,OG696447,ANOST00603,11.08710033076075,5.818280801204486
ANOST,OG460076,ANOST00607,6.048710601719198,3.7935897975864212
ANOST,OG1152239,ANOST00609,2.6482617586912065,1.816478211550191
ANOST,OG968364,ANOST00614,29.553896103896104,16.79425780467791
ANOST,OG362545,ANOST00615,4.856617647058823,1.262304277541808
