#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,14.345402114706825,25.253686630028348
ANOGA,OG1081004,ANOGA04408,6.457423580786026,5.424485518804841
ANOGA,OG1138880,ANOGA05943,3.816777041942605,3.016434928647811
ANOGA,OG1139777,ANOGA04100,3.9532374100719423,1.9841023615344369
ANOGA,OG1139996,ANOGA05695,7.538531278331822,4.09232884958181
ANOGA,OG1144131,ANOGA06520,8.490455991516438,3.921237293630993
ANOGA,OG1146505,ANOGA04324,8.429951690821255,4.633717861663435
ANOGA,OG1146507,ANOGA05711,6.378054402950669,3.4337566639055592
ANOGA,OG1150674,ANOGA05653,7.067123287671233,3.8965581860314775
ANOGA,OG1150857,ANOGA04505,15.537463976945245,36.95301413296282
ANOGA,OG1152239,ANOGA06528,8.06132075471698,4.350885200645023
ANOGA,OG1157040,ANOGA04042,8.245210727969349,3.9651933160312898
ANOGA,OG1162063,ANOGA04462,5.967334035827187,2.4524964926542063
ANOGA,OG1168250,ANOGA05380,6.250847457627119,3.7639851258444526
ANOGA,OG1168476,ANOGA04432,6.765849535080305,3.2147878305759106
ANOGA,OG1170587,ANOGA04139,7.801454545454545,3.851281852873345
ANOGA,OG1174245,ANOGA04055,5.008917197452229,3.090346089829936
ANODA,OG1174608,ANODA04336,8.585585585585585,4.10167724091268
ANOGA,OG1174891,ANOGA04632,9.233720930232558,4.431129586289726
ANOGA,OG1176412,ANOGA04492,13.086507653969385,24.83411664349011
ANOGA,OG1179948,ANOGA04501,5.4072072072072075,2.5248213463409734
ANOGA,OG1179969,ANOGA05488,7.0372649572649575,3.665637996481737
ANOST,OG1181227,ANOST00162,5.793540945790081,3.739505704942421
ANOGA,OG1183200,ANOGA05481,7.2835820895522385,4.063560700610852
ANOGA,OG1189787,ANOGA04698,9.78175313059034,4.4983347906715485
ANOST,OG1190683,ANOST00325,11.283431455004205,4.161326574050483
ANOGA,OG1191966,ANOGA05362,9.215217391304348,3.8073708486077344
ANOGA,OG1192905,ANOGA05458,6.397205588822355,4.689768046182531
ANOGA,OG1194738,ANOGA05637,12.553485162180815,4.835178836639345
ANOGA,OG1197765,ANOGA04431,8.62202380952381,2.699204591727818
ANOGA,OG1198488,ANOGA05707,9.190114068441064,3.7715493508996256
ANOGA,OG1198490,ANOGA05372,10.74327122153209,4.847181339589148
ANOST,OG1202204,ANOST00290,9.0278940027894,3.443799052015286
ANOGA,OG1202789,ANOGA05383,9.021760633036598,4.71301569203409
ANOGA,OG1203459,ANOGA05696,5.275787187839305,2.596654921220953
ANOGA,OG1204971,ANOGA05312,7.501042836515322,5.7915311188316245
ANOGA,OG1208321,ANOGA05692,8.83960880195599,4.0875140361971045
ANOGA,OG1212040,ANOGA05460,8.692292450960966,4.823230108308965
ANOGA,OG1214309,ANOGA05405,7.586666666666667,5.358341368578734
ANOGA,OG1214658,ANOGA05631,4.588401697312588,2.538313179299681
ANOST,OG1215812,ANOST00126,8.774647887323944,4.870714969348584
ANOGA,OG1216622,ANOGA05381,7.558430717863105,2.6088026551684607
ANOGA,OG1218157,ANOGA04267,6.5058823529411764,2.481098093761118
ANOGA,OG1218158,ANOGA04293,10.844645550527904,5.840902026934016
ANOST,OG1218490,ANOST00495,5.6926570779712335,4.3783254927951845
ANOST,OG1219581,ANOST00235,9.424931129476583,4.4032933997011705
ANODA,OG1221639,ANODA05486,4.264550264550264,2.456793288688833
ANOGA,OG1221689,ANOGA04113,7.979520697167756,4.497205013039787
ANOGA,OG1222683,ANOGA04115,9.591650358773647,5.759836484131729
ANOGA,OG1223272,ANOGA04094,9.09934065934066,5.70812218736856
ANOGA,OG1224967,ANOGA04095,8.04350314825415,4.036091735487579
ANOGA,OG1225085,ANOGA05304,7.574832464631422,4.307856681847852
ANOGA,OG1226379,ANOGA04627,8.596892886345053,4.53407812305606
ANOGA,OG1229017,ANOGA05305,8.540746382330541,4.272253246875936
ANOGA,OG1230391,ANOGA04302,4.726123595505618,2.974515846999305
ANOGA,OG1231177,ANOGA04120,9.397049784880148,4.7920176558387775
ANOGA,OG1231901,ANOGA05639,8.236914600550964,4.47458654312521
ANOST,OG1235653,ANOST00565,8.87661971830986,3.536209454499275
ANOGA,OG1236745,ANOGA04294,8.525462962962964,4.297856891491312
ANOGA,OG1240325,ANOGA05642,5.76158940397351,2.6317184204728163
ANOST,OG1240328,ANOST00270,5.646720368239356,3.4065771274151673
ANOGA,OG1240929,ANOGA04635,5.264947245017585,3.217427981583681
ANOGA,OG1240968,ANOGA05685,7.825287356321839,3.907372490987611
ANOST,OG1241986,ANOST00031,7.302816901408451,4.674420106566385
ANOGA,OG1242667,ANOGA04473,6.8568181818181815,4.987069540652685
ANOSI,OG1244115,ANOSI05521,6.469740634005763,3.5138393645275454
ANOGA,OG1246006,ANOGA05367,14.843373493975903,5.647401067778134
ANOGA,OG1251119,ANOGA04663,11.659178931061193,5.360876051977738
ANOGA,OG1251511,ANOGA04057,9.79231433506045,5.184135458006671
ANOGA,OG1251552,ANOGA04696,8.08695652173913,3.69217958882312
ANOGA,OG341995,ANOGA04081,8.479052823315119,11.223823417008017
ANOGA,OG342477,ANOGA04643,111.97161936560934,544.1036568526611
ANOGA,OG344070,ANOGA05629,10.771039182282793,14.660916281440665
ANOST,OG348620,ANOST00261,11.097264437689969,4.204639042436957
ANOGA,OG351572,ANOGA04255,6.953510436432637,3.86743348443544
ANOGA,OG352732,ANOGA04305,9.49776119402985,4.425249236895404
ANOGA,OG362545,ANOGA07030,6.285245901639344,3.337901375905239
ANOGA,OG362633,ANOGA04668,4.991169977924945,2.9848642020100074
ANOGA,OG369576,ANOGA05331,6.861788617886178,2.9675075174103114
ANODA,OG373241,ANODA00581,6.045045045045045,1.6624490096489144
ANOGA,OG411836,ANOGA05239,13.098221191028616,6.912363018323875
ANOGA,OG419349,ANOGA04655,7.741271262309758,3.745749891729876
ANOGA,OG420493,ANOGA04637,8.716486902927581,4.306055790594018
ANOSI,OG420768,ANOSI13955,7.5075172694026815,6.075413608991857
ANOGA,OG451038,ANOGA04282,9.065663474692203,4.035554731134483
ANOST,OG451043,ANOST00313,3.682819383259912,1.7031925566845287
ANOGA,OG454890,ANOGA04502,469.1554404145078,1811.3051232228675
ANOGA,OG455346,ANOGA04634,10.884516680923866,5.399157947837906
ANOGA,OG456338,ANOGA05365,7.86487055356767,4.769740067398132
ANOGA,OG456351,ANOGA04056,8.465362673186634,13.533279071165536
ANOGA,OG456479,ANOGA05459,14.03266475644699,25.759735557525218
ANOGA,OG456648,ANOGA04680,6.7398452611218564,5.3577090985389
ANOGA,OG456691,ANOGA05703,3.354381443298969,1.6759153150325954
ANOGA,OG456720,ANOGA04313,8.827114427860696,6.648698008318
ANOGA,OG457108,ANOGA04521,12.247011952191235,5.979608529260403
ANOGA,OG457329,ANOGA04096,2.06651376146789,0.9780516826054333
ANOGA,OG457572,ANOGA05354,5.784810126582278,2.752080391800978
ANOGA,OG460076,ANOGA06525,6.722489959839358,3.4410258441838186
ANOGA,OG661167,ANOGA04541,6.9791425260718425,3.773976968876445
ANOGA,OG664391,ANOGA04327,8.438524590163935,4.468687905152654
ANOGA,OG665560,ANOGA04640,7.427414330218069,4.318315248489834
ANOGA,OG671266,ANOGA04325,10.354406816066442,4.503371260192638
ANOGA,OG673136,ANOGA04099,7.594812164579606,4.355968692192982
ANOST,OG674682,ANOST00263,5.651685393258427,2.1966579497531264
ANOGA,OG675570,ANOGA04091,6.0132802124834,3.974999427510072
ANOGA,OG676343,ANOGA05773,5.177067082683307,3.2195780980844804
ANOST,OG696447,ANOST00603,8.366515837104073,5.08405021549164
ANOGA,OG698904,ANOGA04041,11.425961538461538,5.516783747945685
ANOST,OG698997,ANOST00233,9.394771241830066,5.675784178154973
ANODA,OG699681,ANODA09332,4.852507374631268,2.338989374536234
ANOGA,OG703365,ANOGA04508,6.914253897550111,3.8776381277799308
ANOGA,OG708597,ANOGA04416,5.008703220191471,2.985300944632625
ANOGA,OG718578,ANOGA05248,8.303206997084548,4.470984027032549
ANOGA,OG719374,ANOGA05480,6.873936170212766,4.147809141797247
ANOGA,OG722946,ANOGA04328,8.477234401349072,3.5603547449155757
ANOST,OG736122,ANOST00177,6.0211161387631975,4.233334706367395
ANOGA,OG761976,ANOGA04435,7.733584905660377,4.175305251224662
ANOGA,OG762076,ANOGA05710,8.912429378531073,4.017013714547875
ANODA,OG784747,ANODA08561,8.734276729559749,2.949814184344988
ANOGA,OG790850,ANOGA04067,10.061831153388823,5.721102724587624
ANOST,OG792914,ANOST00139,8.026223776223777,4.705599744657126
ANOGA,OG792952,ANOGA04134,6.856190476190476,3.521807539413703
ANOGA,OG793899,ANOGA04677,7.275747508305648,4.279330278279547
ANOST,OG796653,ANOST00189,6.736292428198434,2.9181012171344163
ANOGA,OG814084,ANOGA05434,9.325897187196896,4.93768133236269
ANOGA,OG814870,ANOGA05303,6.16041108132261,4.348965364502992
ANOGA,OG817086,ANOGA04277,6.827210884353741,3.193755766226231
ANOGA,OG822311,ANOGA04636,10.299447513812154,4.902344655384133
ANOST,OG823022,ANOST00242,4.8029827315541604,2.0069636746151045
ANOGA,OG823032,ANOGA04468,6.257589696412143,4.243927951465004
ANOGA,OG823037,ANOGA04308,5.668411867364747,4.190281753970753
ANOST,OG828830,ANOST00552,4.63238512035011,2.08896271109761
ANOGA,OG839253,ANOGA05660,5.603603603603603,2.7648999437096733
ANOST,OG842298,ANOST00037,7.616339491916859,4.460408176853861
ANOST,OG846448,ANOST00517,7.890701468189233,4.189958671372771
ANOGA,OG848281,ANOGA05255,7.529374605180038,3.0723415217577243
ANOGA,OG853434,ANOGA04296,7.384810126582279,5.165491352554486
ANOGA,OG861720,ANOGA05778,16.017246596066567,53.37387898802322
ANOGA,OG877291,ANOGA05475,6.787305874409183,4.091294536710445
ANOST,OG896170,ANOST00127,9.08735632183908,4.752175656553101
ANOST,OG899270,ANOST00194,6.116772823779193,3.9144905174719122
ANOGA,OG911937,ANOGA04125,9.517689906347554,3.6100145813294335
ANOST,OG916860,ANOST00509,8.126060606060607,4.503317255019594
ANOST,OG917347,ANOST00382,8.360084477296727,3.679075682957768
ANOGA,OG924410,ANOGA04132,9.741731175228713,5.777831115621124
ANOGA,OG925865,ANOGA05617,7.988950276243094,3.195857615138449
ANODA,OG926503,ANODA08545,8.006172839506172,5.252273950313221
ANOGA,OG931899,ANOGA04558,5.823016564952049,4.204978197493958
ANOGA,OG932017,ANOGA04469,9.038123167155426,7.733843133612704
ANOGA,OG932104,ANOGA04539,8.14217032967033,4.864480107703243
ANOGA,OG944937,ANOGA05498,5.481622306717364,2.5311703268713908
ANOGA,OG946387,ANOGA05414,7.12062062062062,3.408898033238341
ANOGA,OG946885,ANOGA05407,6.75135553834237,3.462892269771513
ANOGA,OG949414,ANOGA05260,4.376470588235295,2.3058823529411763
ANOGA,OG949490,ANOGA04279,6.861561119293078,2.5203112301712207
ANOST,OG951333,ANOST00004,5.357142857142857,2.729700846902822
ANOGA,OG953187,ANOGA05445,10.944990176817289,2.9046604801275993
ANOST,OG953548,ANOST00599,8.740626605033384,3.183000593205104
ANOGA,OG958126,ANOGA04045,7.7751572327044025,3.673131982407321
ANOGA,OG960910,ANOGA05775,24.54566210045662,7.6109630270663065
ANOST,OG960945,ANOST00390,7.584089323098395,5.032214244937817
ANOGA,OG960979,ANOGA05643,9.575063613231553,5.783931623893942
ANOGA,OG961011,ANOGA05472,8.742036964215494,4.5895115534298645
ANOST,OG961013,ANOST00564,10.207276736493936,3.7912787947025377
ANOGA,OG961115,ANOGA04121,6.182495344506518,2.617487194022577
ANOGA,OG961299,ANOGA05478,6.501988862370724,4.346675960730538
ANODA,OG961322,ANODA05981,11.078498293515358,11.780876871477718
ANOGA,OG961377,ANOGA04332,9.535129932627527,4.759516858781681
ANOGA,OG961398,ANOGA05245,8.598484848484848,3.3007851928747303
ANOGA,OG961439,ANOGA04097,11.587317073170732,5.537317755362685
ANOGA,OG961440,ANOGA04483,7.356540084388186,3.8080005142418742
ANOGA,OG961564,ANOGA05927,6.122102882984737,2.8269903394716382
ANOGA,OG961602,ANOGA04058,10.441071428571428,6.206859016607419
ANOGA,OG962019,ANOGA04699,6.135642135642136,2.717388197081132
ANOGA,OG962230,ANOGA04299,3.9844961240310077,1.4331863785709837
ANOGA,OG963232,ANOGA04489,5.686939182452642,3.8397224506201924
ANOGA,OG964344,ANOGA04312,6.3024105186267345,3.927651225971693
ANOGA,OG964633,ANOGA05249,11.507964601769912,8.363413879951208
ANOGA,OG964673,ANOGA05646,9.196213425129088,3.4659970288035717
ANOGA,OG964929,ANOGA05473,6.260146699266504,3.871758567357629
ANOGA,OG966098,ANOGA04644,7.98009763424709,3.9053746136485983
ANOST,OG967514,ANOST00212,8.285993740219093,4.206241104783784
ANOST,OG968364,ANOST00614,5.623925974884336,3.1709410388479458
ANOGA,OG968775,ANOGA04415,8.578529878371231,4.843455697662614
ANOGA,OG970502,ANOGA04470,5.053649956024627,2.688083634474582
ANOGA,OG971123,ANOGA04434,10.155844155844155,4.98288519645927
ANOST,OG971355,ANOST00110,13.018796992481203,8.116995231325099
ANOGA,OG975279,ANOGA04631,8.229605263157895,3.212113970576433
ANOGA,OG976835,ANOGA04087,10.880492091388401,5.497063197747077
