#species,og,gene_id,coverage,std
ANOST,OG1079985,ANOST00101,8.493849384938494,4.363649999467093
ANOST,OG1081004,ANOST00389,8.776227390180878,4.506561765438229
ANOST,OG1138880,ANOST00591,4.766497461928934,2.250691433427638
ANOST,OG1139777,ANOST00117,3.505649717514124,1.7275506816091295
ANOST,OG1139996,ANOST00223,8.222312703583063,3.4272700021575164
ANOST,OG1144131,ANOST00602,11.689386562804284,4.110796850181375
ANOST,OG1146505,ANOST00349,8.38400945254037,3.986516798043668
ANOST,OG1146507,ANOST00365,7.336209996404171,4.035203042405916
ANOST,OG1150674,ANOST00260,5.176969696969697,2.5617613316415424
ANOST,OG1150857,ANOST00554,8.167961745367602,4.575709845639623
ANOST,OG1152239,ANOST00609,6.312087912087912,4.130743358715011
ANOST,OG1157040,ANOST00033,7.67948717948718,3.092561753393711
ANOST,OG1162063,ANOST00522,13.764705882352942,4.519421082225666
ANOST,OG1168250,ANOST00469,4.985380116959064,1.8925267776306651
ANOST,OG1168476,ANOST00411,9.900656814449919,4.285671268555856
ANOST,OG1170587,ANOST00146,12.859176256814052,4.677145127245242
ANOST,OG1174245,ANOST00043,8.021650879566982,3.9466423587506485
ANOST,OG1174608,ANOST00246,4.9774774774774775,4.330328508119386
ANOST,OG1174891,ANOST00152,8.217844727694091,5.533951376234091
ANOST,OG1176412,ANOST00547,8.523529411764706,4.342471510963476
ANOGA,OG1179948,ANOGA04501,2.713733075435203,1.5793839207055977
ANOST,OG1179969,ANOST00511,8.554193548387097,4.735040807259214
ANOST,OG1181227,ANOST00162,10.65470588235294,4.348245917672278
ANOST,OG1183200,ANOST00504,6.358156028368795,2.465957038859177
ANOGA,OG1189787,ANOGA04698,8.207836456558773,3.306244144740893
ANOST,OG1190683,ANOST00325,8.169179229480736,3.373935193482507
ANOST,OG1191966,ANOST00456,11.343091936312275,4.218652456631445
ANOST,OG1192905,ANOST00488,12.303571428571429,4.310276013017035
ANOST,OG1194738,ANOST00274,11.953168044077135,4.218777340651922
ANOST,OG1197765,ANOST00410,15.320061255742726,7.169583019259971
ANODA,OG1198488,ANODA06785,8.327652556349642,4.8728031560139815
ANODA,OG1198490,ANODA04841,9.172389127324749,3.3107375296466532
ANODA,OG1202204,ANODA07035,9.681753889674681,4.035450164123477
ANOST,OG1202789,ANOST00471,9.066815144766148,3.3128438538704152
ANOST,OG1203459,ANOST00222,7.447179487179487,3.973118615380985
ANOST,OG1204971,ANOST00430,9.496335078534031,4.258638283692037
ANOST,OG1208321,ANOST00225,11.202146690518784,4.8798227232476865
ANOST,OG1212040,ANOST00490,10.2481852069845,4.48053023750258
ANOST,OG1214309,ANOST00081,7.020050125313284,3.507185463042149
ANOST,OG1214658,ANOST00276,7.539249146757679,2.7281859822280357
ANOST,OG1215812,ANOST00126,11.164362519201228,4.60371405703741
ANOGA,OG1216622,ANOGA05381,6.244951712028095,2.4517572620355286
ANOST,OG1218157,ANOST00305,8.245590230664858,4.8732298624281984
ANOGA,OG1218158,ANOGA04293,6.196747967479674,4.170588754899705
ANOST,OG1218490,ANOST00495,7.010252365930599,4.777780023738942
ANOST,OG1219581,ANOST00235,9.146461538461539,4.092254759634532
ANOGA,OG1221639,ANOGA05250,3.729106628242075,1.297899015017629
ANOST,OG1221689,ANOST00123,7.74325500435161,4.167851204256379
ANOST,OG1222683,ANOST00125,9.18757327080891,4.628266822767699
ANOST,OG1223272,ANOST00111,10.049561403508772,4.88747950870221
ANOST,OG1223886,ANOST00473,9.407534246575343,4.871113984942934
ANOST,OG1224967,ANOST00112,12.086786114221724,4.684416288539188
ANOST,OG1225085,ANOST00424,8.769372693726938,4.019824395091463
ANOST,OG1226379,ANOST00147,18.782678428227747,7.07436191574021
ANOST,OG1229017,ANOST00425,9.69978783592645,5.282879123751983
ANOST,OG1230391,ANOST00331,8.620169651272384,3.5295879254029905
ANOST,OG1231177,ANOST00129,10.429866989117292,4.470199902118
ANOST,OG1231901,ANOST00272,8.511506730351716,5.081594121464666
ANOST,OG1235653,ANOST00565,13.120891364902507,4.622144022145727
ANOST,OG1236745,ANOST00324,12.405092592592593,6.198698488746615
ANOST,OG1240325,ANOST00269,9.32904884318766,4.352962454320017
ANOST,OG1240328,ANOST00270,9.53325817361894,4.274774450147897
ANOST,OG1240929,ANOST00157,7.840248962655601,3.893738768557623
ANOST,OG1240968,ANOST00230,9.555108608205954,4.139266578027146
ANOST,OG1241986,ANOST00031,8.023148148148149,4.732285482896438
ANOST,OG1242667,ANOST00533,8.3775,4.694144623890491
ANOST,OG1244115,ANOST00140,4.158333333333333,2.012443926064912
ANOST,OG1246006,ANOST00459,10.361138370951913,4.864110325998323
ANOST,OG1251119,ANOST00180,9.80840088430361,3.8704313624461464
ANOST,OG1251511,ANOST00045,10.541343669250645,5.108661262990462
ANOST,OG1251552,ANOST00206,10.507246376811594,4.333586066291616
ANOST,OG341995,ANOST00098,10.632276194299479,6.5808489772469425
