#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG966098,ANOGA04644,0.9888517279821628,0.9888517279821628,2661,2691,2691
ANOGA,OG961322,ANOGA05683,0.5523114355231143,0.5523114355231143,227,411,411
ANOGA,OG968364,ANOGA07027,0.8650580875781948,0.8650580875781948,1936,2238,2238
ANOGA,OG1223272,ANOGA04094,0.9882659713168188,0.9882659713168188,2274,2301,2301
ANOGA,OG1174245,ANOGA04055,0.8729096989966555,0.8729096989966555,1566,1794,1794
ANOGA,OG964344,ANOGA04312,0.9673758865248226,0.9673758865248226,1364,1410,1410
ANOGA,OG1162063,ANOGA04462,0.6508916323731139,0.6508916323731139,949,1458,1458
ANOGA,OG342477,ANOGA04643,0.9473962463653185,0.9473962463653185,3584,3783,3783
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOGA,OG1216622,ANOGA05381,0.9933499584372403,0.9933499584372403,1195,1203,1203
ANOGA,OG986805,ANOGA05928,0.9448789571694599,0.9448789571694599,5074,5370,5370
ANOGA,OG839253,ANOGA05660,0.993993993993994,0.993993993993994,331,333,333
ANOGA,OG1223886,ANOGA05389,0.1016260162601626,0.1016260162601626,50,492,492
ANOGA,OG1146505,ANOGA04324,0.9596899224806201,0.9596899224806201,2476,2580,2580
ANOGA,OG823022,ANOGA05671,0.7447447447447447,0.7447447447447447,992,1332,1332
ANOGA,OG456479,ANOGA05459,0.9327913279132791,0.9327913279132791,1721,1845,1845
ANOGA,OG1150857,ANOGA04505,0.872865275142315,0.872865275142315,1380,1581,1581
ANOGA,OG828830,ANOGA04503,0.9101796407185628,0.9101796407185628,456,501,501
ANOGA,OG932104,ANOGA04539,0.9515389652914211,0.9515389652914211,1453,1527,1527
ANOGA,OG961439,ANOGA04097,0.8374587458745875,0.8374587458745875,1015,1212,1212
ANOGA,OG946387,ANOGA05414,0.9530651340996169,0.9530651340996169,1990,2088,2088
ANOGA,OG1221689,ANOGA04113,0.9858247422680413,0.9858247422680413,2295,2328,2328
ANOGA,OG911937,ANOGA04125,0.994288681204569,0.994288681204569,1915,1926,1926
ANOGA,OG1241986,ANOGA04040,0.7494252873563219,0.7494252873563219,978,1305,1305
ANOGA,OG351572,ANOGA04255,0.967860422405877,0.967860422405877,1054,1089,1089
ANOGA,OG1230391,ANOGA04302,0.6685499058380414,0.6685499058380414,710,1062,1062
ANOGA,OG790850,ANOGA04067,0.877742946708464,0.877742946708464,840,957,957
ANOGA,OG949414,ANOGA05260,0.8512160228898427,0.8512160228898427,595,699,699
ANOGA,OG964929,ANOGA05473,0.9497206703910615,0.9497206703910615,2040,2148,2148
ANOGA,OG1139996,ANOGA05695,0.8299473288186606,0.8299473288186606,1103,1329,1329
ANOGA,OG1176412,ANOGA04492,0.9185624793933399,0.9185624793933399,2786,3033,3033
ANOGA,OG454890,ANOGA04502,0.960960960960961,0.960960960960961,960,999,999
ANOGA,OG696447,ANOGA06521,0.9491341991341992,0.9491341991341992,877,924,924
ANOGA,OG664391,ANOGA04327,0.8776097912167027,0.8776097912167027,1219,1389,1389
ANOGA,OG736122,ANOGA04659,0.5782747603833865,0.5782747603833865,543,939,939
ANOGA,OG925865,ANOGA05617,0.9818840579710145,0.9818840579710145,542,552,552
ANOGA,OG1215812,ANOGA04116,0.9754224270353302,0.9754224270353302,635,651,651
ANOGA,OG456720,ANOGA04313,0.988929889298893,0.988929889298893,804,813,813
ANOGA,OG976835,ANOGA04087,0.9918557300756253,0.9918557300756253,1705,1719,1719
ANOGA,OG960945,ANOGA04410,0.8801282051282051,0.8801282051282051,1373,1560,1560
ANOGA,OG951333,ANOGA05777,0.8844444444444445,0.8844444444444445,398,450,450
ANOGA,OG953187,ANOGA05445,0.9425925925925925,0.9425925925925925,509,540,540
ANOGA,OG719374,ANOGA05480,0.8975831538645609,0.8975831538645609,3751,4179,4179
ANOGA,OG961440,ANOGA04483,0.9992967651195499,0.9992967651195499,1421,1422,1422
ANOGA,OG961602,ANOGA04058,0.9876543209876543,0.9876543209876543,560,567,567
ANOGA,OG373241,ANOGA05645,1.0,1.0,333,333,333
ANOGA,OG460076,ANOGA06525,0.8806234502302515,0.8806234502302515,2486,2823,2823
ANOGA,OG814084,ANOGA05434,0.9781576448243114,0.9781576448243114,1030,1053,1053
ANOGA,OG917347,ANOGA05769,0.9688473520249221,0.9688473520249221,933,963,963
ANOGA,OG457329,ANOGA04096,0.5767195767195767,0.5767195767195767,436,756,756
ANOGA,OG978865,ANOGA04062,0.9450980392156862,0.9450980392156862,964,1020,1020
ANOGA,OG958126,ANOGA04045,0.954954954954955,0.954954954954955,636,666,666
ANOGA,OG1246006,ANOGA05367,0.9764705882352941,0.9764705882352941,996,1020,1020
ANOGA,OG963232,ANOGA04489,0.9444444444444444,0.9444444444444444,1003,1062,1062
ANOGA,OG1236745,ANOGA04294,0.9919540229885058,0.9919540229885058,863,870,870
ANOGA,OG823037,ANOGA04308,0.8466666666666667,0.8466666666666667,1143,1350,1350
ANOGA,OG861720,ANOGA05778,0.7953003875968992,0.7953003875968992,3283,4128,4128
ANOGA,OG961377,ANOGA04332,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOGA,OG975279,ANOGA04631,0.9312461632903621,0.9312461632903621,1517,1629,1629
ANOGA,OG375937,ANOGA13872,0.19730392156862744,0.19730392156862744,161,816,816
ANOGA,OG1146507,ANOGA05711,0.738831615120275,0.738831615120275,2150,2910,2910
ANOGA,OG1224967,ANOGA04095,0.972640982691234,0.972640982691234,1742,1791,1791
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG971355,ANOGA04093,0.9987445072190835,0.9987445072190835,1591,1593,1593
ANOGA,OG998211,ANOGA04098,0.8075040783034257,0.8075040783034257,2970,3678,3678
ANOGA,OG784747,ANOGA04289,1.0,1.0,636,636,636
ANOGA,OG1168476,ANOGA04432,0.9164696611505122,0.9164696611505122,1163,1269,1269
ANOGA,OG1225085,ANOGA05304,0.9152426520847573,0.9152426520847573,4017,4389,4389
ANOGA,OG792952,ANOGA04134,0.9830985915492958,0.9830985915492958,1047,1065,1065
ANOGA,OG1197765,ANOGA04431,0.9491525423728814,0.9491525423728814,672,708,708
ANOGA,OG853434,ANOGA04296,0.7995910020449898,0.7995910020449898,391,489,489
ANOGA,OG848281,ANOGA05255,0.9813432835820896,0.9813432835820896,1578,1608,1608
ANOGA,OG456648,ANOGA04680,0.6846666666666666,0.6846666666666666,1027,1500,1500
ANOGA,OG451043,ANOGA04280,0.8740157480314961,0.8740157480314961,666,762,762
ANOGA,OG988784,ANOGA04273,0.8550314465408805,0.8550314465408805,5438,6360,6360
