#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG964344,ANOGA04312,0.9127659574468086,0.9127659574468086,1287,1410,1410
ANOGA,OG975279,ANOGA04631,0.9337016574585635,0.9337016574585635,1521,1629,1629
ANOGA,OG458150,ANOGA04629,0.16344086021505377,0.16344086021505377,76,465,465
ANOGA,OG964929,ANOGA05473,0.8142458100558659,0.8142458100558659,1749,2148,2148
ANOGA,OG961440,ANOGA04483,0.950070323488045,0.950070323488045,1351,1422,1422
ANOGA,OG718578,ANOGA05248,0.6178010471204188,0.6178010471204188,1062,1719,1719
ANOGA,OG1223886,ANOGA05389,0.5609756097560976,0.5609756097560976,276,492,492
ANOGA,OG1225085,ANOGA05304,0.6377306903622693,0.6377306903622693,2799,4389,4389
ANOGA,OG967514,ANOGA05706,0.7966162706983442,0.7966162706983442,2213,2778,2778
ANOGA,OG719374,ANOGA05480,0.7705192629815746,0.7705192629815746,3220,4179,4179
ANOGA,OG1198490,ANOGA05372,0.9698795180722891,0.9698795180722891,1449,1494,1494
ANOGA,OG877291,ANOGA05475,0.9745060548119822,0.9745060548119822,1529,1569,1569
ANOGA,OG341995,ANOGA04081,0.6843259464450601,0.6843259464450601,5929,8664,8664
ANOGA,OG1152239,ANOGA06528,0.5939597315436241,0.5939597315436241,531,894,894
ANOGA,OG1218490,ANOGA05471,0.6130434782608696,0.6130434782608696,846,1380,1380
ANOGA,OG1150857,ANOGA04505,0.8349146110056926,0.8349146110056926,1320,1581,1581
ANOGA,OG342477,ANOGA04643,0.8445678033306899,0.8445678033306899,3195,3783,3783
ANOGA,OG1230391,ANOGA04302,0.7740112994350282,0.7740112994350282,822,1062,1062
ANOGA,OG998211,ANOGA04098,0.7411636759108211,0.7411636759108211,2726,3678,3678
ANOGA,OG953187,ANOGA05445,1.0,1.0,540,540,540
ANOGA,OG1150674,ANOGA05653,0.5667915106117354,0.5667915106117354,454,801,801
ANOGA,OG1204971,ANOGA05312,0.6752283105022832,0.6752283105022832,4732,7008,7008
ANOGA,OG420768,ANOGA04641,0.6577281191806331,0.6577281191806331,1766,2685,2685
ANOGA,OG1251119,ANOGA04663,0.9310344827586207,0.9310344827586207,1215,1305,1305
ANOGA,OG926503,ANOGA04270,0.9259259259259259,0.9259259259259259,450,486,486
ANOGA,OG1240325,ANOGA05642,0.7133838383838383,0.7133838383838383,565,792,792
ANOGA,OG968775,ANOGA04415,0.9608449252962391,0.9608449252962391,1865,1941,1941
ANOGA,OG1139996,ANOGA05695,0.6824680210684725,0.6824680210684725,907,1329,1329
ANOGA,OG1240328,ANOGA05641,0.615819209039548,0.615819209039548,545,885,885
ANOGA,OG1146505,ANOGA04324,0.6732558139534883,0.6732558139534883,1737,2580,2580
ANOGA,OG917347,ANOGA05769,1.0,1.0,963,963,963
ANOGA,OG1202789,ANOGA05383,0.8018273471959673,0.8018273471959673,2545,3174,3174
ANOGA,OG964673,ANOGA05646,0.9553264604810997,0.9553264604810997,556,582,582
ANOGA,OG1157040,ANOGA04042,0.9987228607918263,0.9987228607918263,782,783,783
ANOGA,OG460076,ANOGA06525,0.8969181721572795,0.8969181721572795,2532,2823,2823
ANOGA,OG1244115,ANOGA04136,0.9597701149425287,0.9597701149425287,334,348,348
ANOGA,OG698997,ANOGA05682,0.6449416342412452,0.6449416342412452,1989,3084,3084
ANOGA,OG986805,ANOGA05928,0.9500931098696462,0.9500931098696462,5102,5370,5370
ANOGA,OG1231177,ANOGA04120,0.8922085530169889,0.8922085530169889,1523,1707,1707
ANOGA,OG761976,ANOGA04435,0.8870472682627378,0.8870472682627378,1445,1629,1629
ANOGA,OG961011,ANOGA05472,0.8927038626609443,0.8927038626609443,2496,2796,2796
ANOGA,OG932017,ANOGA04469,0.6540755467196819,0.6540755467196819,987,1509,1509
ANOGA,OG1203459,ANOGA05696,0.8414634146341463,0.8414634146341463,828,984,984
ANOGA,OG817086,ANOGA04277,0.9057104913678619,0.9057104913678619,682,753,753
ANOGA,OG792952,ANOGA04134,0.847887323943662,0.847887323943662,903,1065,1065
ANOGA,OG1246006,ANOGA05367,0.9931372549019608,0.9931372549019608,1013,1020,1020
ANOGA,OG848281,ANOGA05255,0.9197761194029851,0.9197761194029851,1479,1608,1608
ANOGA,OG861720,ANOGA05778,0.6015019379844961,0.6015019379844961,2483,4128,4128
ANOGA,OG375937,ANOGA13872,0.19117647058823528,0.19117647058823528,156,816,816
ANOGA,OG456720,ANOGA04313,0.8154981549815498,0.8154981549815498,663,813,813
ANOGA,OG1183200,ANOGA05481,0.6803185437997725,0.6803185437997725,598,879,879
ANOGA,OG911937,ANOGA04125,0.9117341640706127,0.9117341640706127,1756,1926,1926
ANOGA,OG736122,ANOGA04659,0.3248136315228967,0.3248136315228967,305,939,939
ANOGA,OG796653,ANOGA04674,0.9450733752620545,0.9450733752620545,2254,2385,2385
ANOGA,OG1215812,ANOGA04116,0.9692780337941628,0.9692780337941628,631,651,651
ANOGA,OG961115,ANOGA04121,0.992633517495396,0.992633517495396,1078,1086,1086
ANOGA,OG1236745,ANOGA04294,0.9873563218390805,0.9873563218390805,859,870,870
ANOGA,OG675570,ANOGA04091,0.4994535519125683,0.4994535519125683,457,915,915
ANOGA,OG792914,ANOGA04135,0.7789029535864979,0.7789029535864979,923,1185,1185
ANOGA,OG960945,ANOGA04410,0.8307692307692308,0.8307692307692308,1296,1560,1560
ANOGA,OG1139777,ANOGA04100,1.0,1.0,354,354,354
ANOGA,OG373241,ANOGA05645,1.0,1.0,333,333,333
ANOGA,OG456479,ANOGA05459,0.8834688346883469,0.8834688346883469,1630,1845,1845
ANOGA,OG1221639,ANOGA05250,0.6031746031746031,0.6031746031746031,228,378,378
ANOGA,OG1224967,ANOGA04095,0.966499162479062,0.966499162479062,1731,1791,1791
ANOGA,OG671266,ANOGA04325,0.9909350463954318,0.9909350463954318,13883,14010,14010
ANOGA,OG828830,ANOGA04503,0.8003992015968064,0.8003992015968064,401,501,501
ANOGA,OG703365,ANOGA04508,0.6590136054421769,0.6590136054421769,775,1176,1176
ANOGA,OG1216622,ANOGA05381,0.9201995012468828,0.9201995012468828,1107,1203,1203
ANOGA,OG960910,ANOGA05775,1.0,1.0,1314,1314,1314
ANOGA,OG420493,ANOGA04637,0.6949152542372882,0.6949152542372882,492,708,708
ANOGA,OG1191966,ANOGA05362,0.9413863404689092,0.9413863404689092,1847,1962,1962
ANOGA,OG673136,ANOGA04099,0.7276995305164319,0.7276995305164319,930,1278,1278
ANOGA,OG1146507,ANOGA05711,0.31580756013745703,0.31580756013745703,919,2910,2910
ANOGA,OG960979,ANOGA05643,0.9925,0.9925,1191,1200,1200
ANOGA,OG352732,ANOGA04305,0.8458702064896755,0.8458702064896755,1147,1356,1356
ANOGA,OG362545,ANOGA07030,0.48968512486427795,0.48968512486427795,451,921,921
ANOGA,OG839253,ANOGA05660,0.978978978978979,0.978978978978979,326,333,333
ANOGA,OG944937,ANOGA05498,0.698005698005698,0.698005698005698,735,1053,1053
