#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1146507,ANOSI09519,0.28733264675592174,0.28733264675592174,837,2913,2913
ANOSI,OG917347,ANOSI11939,0.9664570230607966,0.9664570230607966,922,954,954
ANOSI,OG1208321,ANOSI11134,0.8161125014896914,0.8161125014896914,6848,8391,8391
ANOSI,OG792952,ANOSI05501,0.7209737827715356,0.7209737827715356,770,1068,1068
ANOSI,OG986274,ANOSI08263,0.6507936507936508,0.6507936507936508,1066,1638,1638
ANOSI,OG961440,ANOSI15201,0.9472573839662447,0.9472573839662447,1347,1422,1422
ANOSI,OG718578,ANOSI13311,0.33392751039809865,0.33392751039809865,562,1683,1683
ANOSI,OG1139996,ANOSI13881,0.437219730941704,0.437219730941704,585,1338,1338
ANOSI,OG848281,ANOSI16815,0.5196078431372549,0.5196078431372549,848,1632,1632
ANOSI,OG1170587,ANOSI05651,0.8091091091091092,0.8091091091091092,8083,9990,9990
ANOSI,OG944937,ANOSI18066,0.4046296296296296,0.4046296296296296,437,1080,1080
ANOSI,OG1152239,ANOSI16991,0.3312302839116719,0.3312302839116719,315,951,951
ANOSI,OG661167,ANOSI16743,0.8958333333333334,0.8958333333333334,774,864,864
ANOSI,OG1218158,ANOSI08297,0.9458689458689459,0.9458689458689459,664,702,702
ANOSI,OG967514,ANOSI18502,0.7697035430224151,0.7697035430224151,2129,2766,2766
ANOSI,OG968775,ANOSI11909,0.7529880478087649,0.7529880478087649,1701,2259,2259
ANOSI,OG961564,ANOSI18947,0.35400105988341285,0.35400105988341285,668,1887,1887
ANOSI,OG1203459,ANOSI13887,0.6229674796747967,0.6229674796747967,613,984,984
ANOSI,OG1198488,ANOSI18498,0.9337676438653637,0.9337676438653637,1720,1842,1842
ANOSI,OG877291,ANOSI08974,0.7124435847840103,0.7124435847840103,1105,1551,1551
ANOSI,OG1241986,ANOSI13275,0.6989247311827957,0.6989247311827957,910,1302,1302
ANOSI,OG1240929,ANOSI13949,0.2966183574879227,0.2966183574879227,307,1035,1035
ANOSI,OG420493,ANOSI13963,0.8604651162790697,0.8604651162790697,666,774,774
ANOSI,OG456720,ANOSI08234,0.7735849056603774,0.7735849056603774,615,795,795
ANOSI,OG796653,ANOSI16455,0.9296037296037296,0.9296037296037296,1994,2145,2145
ANOSI,OG1219581,ANOSI11081,0.432790837854129,0.432790837854129,718,1659,1659
ANOSI,OG1189787,ANOSI09481,0.673469387755102,0.673469387755102,396,588,588
ANOSI,OG964673,ANOSI18236,0.5945017182130584,0.5945017182130584,346,582,582
ANOSI,OG1139777,ANOSI13705,0.4406779661016949,0.4406779661016949,156,354,354
ANOSI,OG932104,ANOSI16749,0.4165029469548134,0.4165029469548134,636,1527,1527
ANOSI,OG674682,ANOSI10188,0.7612121212121212,0.7612121212121212,628,825,825
ANOSI,OG457572,ANOSI19201,0.5068493150684932,0.5068493150684932,222,438,438
ANOSI,OG1181227,ANOSI13961,0.8370927318295739,0.8370927318295739,1336,1596,1596
ANOSI,OG1079985,ANOSI16316,0.6092160383004189,0.6092160383004189,2036,3342,3342
ANOSI,OG451038,ANOSI08326,0.9704301075268817,0.9704301075268817,722,744,744
ANOSI,OG978616,ANOSI08335,0.4765840220385675,0.4765840220385675,1211,2541,2541
ANOSI,OG977782,ANOSI18323,0.39311043566362713,0.39311043566362713,776,1974,1974
ANOSI,OG451043,ANOSI08181,0.8621151271753681,0.8621151271753681,644,747,747
ANOSI,OG1215812,ANOSI12428,0.6820276497695853,0.6820276497695853,444,651,651
ANOSI,OG1216622,ANOSI15784,0.7366746221161495,0.7366746221161495,926,1257,1257
ANOSI,OG971123,ANOSI15824,0.1537190082644628,0.1537190082644628,279,1815,1815
ANOSI,OG1226379,ANOSI13958,0.6357466063348416,0.6357466063348416,843,1326,1326
ANOSI,OG966098,ANOSI13976,0.8771535580524344,0.8771535580524344,2342,2670,2670
ANOSI,OG949414,ANOSI16805,0.646551724137931,0.646551724137931,450,696,696
ANOSI,OG698997,ANOSI11073,0.6444026340545626,0.6444026340545626,2055,3189,3189
ANOSI,OG1190683,ANOSI08201,0.7451963241436925,0.7451963241436925,892,1197,1197
ANOSI,OG1240325,ANOSI13359,0.21338383838383837,0.21338383838383837,169,792,792
ANOSI,OG1214658,ANOSI13358,0.8731884057971014,0.8731884057971014,482,552,552
ANOSI,OG916860,ANOSI16582,0.541507024265645,0.541507024265645,424,783,783
ANOSI,OG823022,ANOSI10093,0.5455212922173275,0.5455212922173275,743,1362,1362
ANOSI,OG793899,ANOSI18657,0.7645107794361525,0.7645107794361525,461,603,603
ANOSI,OG784747,ANOSI08261,0.9062918340026773,0.9062918340026773,677,747,747
ANOSI,OG1183200,ANOSI14974,0.2824858757062147,0.2824858757062147,250,885,885
ANOSI,OG998211,ANOSI13712,0.5127782357790602,0.5127782357790602,1866,3639,3639
ANOSI,OG375937,ANOSI09099,0.06666666666666667,0.06666666666666667,52,780,780
ANOSI,OG1168476,ANOSI15819,0.8329278183292782,0.8329278183292782,1027,1233,1233
ANOSI,OG1246006,ANOSI08120,0.49506903353057197,0.49506903353057197,502,1014,1014
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG1231901,ANOSI13321,0.330861145447054,0.330861145447054,803,2427,2427
ANOSI,OG896170,ANOSI12371,0.9411764705882353,0.9411764705882353,1440,1530,1530
ANOSI,OG817086,ANOSI08325,0.9007936507936508,0.9007936507936508,681,756,756
ANOSI,OG1230391,ANOSI08180,0.22851746931067043,0.22851746931067043,242,1059,1059
ANOSI,OG1204971,ANOSI12470,0.535198950590293,0.535198950590293,3672,6861,6861
ANOSI,OG1202789,ANOSI15781,0.8040244969378828,0.8040244969378828,2757,3429,3429
ANOSI,OG454890,ANOSI16889,0.685064935064935,0.685064935064935,633,924,924
ANOSI,OG1150674,ANOSI16840,0.13108614232209737,0.13108614232209737,105,801,801
ANOSI,OG1231177,ANOSI05477,0.8591549295774648,0.8591549295774648,1464,1704,1704
ANOSI,OG978865,ANOSI19223,0.8303747534516766,0.8303747534516766,842,1014,1014
ANOSI,OG411836,ANOSI13282,0.6666666666666666,0.6666666666666666,872,1308,1308
ANOSI,OG790850,ANOSI19220,0.6262093227792436,0.6262093227792436,712,1137,1137
ANOSI,OG1251552,ANOSI09497,0.8234126984126984,0.8234126984126984,415,504,504
ANOSI,OG924410,ANOSI05511,0.7396392003900536,0.7396392003900536,4551,6153,6153
ANOSI,OG1197765,ANOSI15828,0.8987341772151899,0.8987341772151899,639,711,711
ANOSI,OG1081004,ANOSI11947,0.7401129943502824,0.7401129943502824,1441,1947,1947
ANOSI,OG926503,ANOSI08194,0.9917695473251029,0.9917695473251029,482,486,486
ANOSI,OG846448,ANOSI18065,0.7601115760111576,0.7601115760111576,545,717,717
ANOSI,OG839253,ANOSI18124,0.4954954954954955,0.4954954954954955,165,333,333
ANOSI,OG458150,ANOSI13956,0.14171656686626746,0.14171656686626746,71,501,501
ANOSI,OG971355,ANOSI13700,0.9943820224719101,0.9943820224719101,1593,1602,1602
ANOSI,OG676343,ANOSI11914,0.02225130890052356,0.02225130890052356,51,2292,2292
ANOSI,OG1174891,ANOSI13945,0.8226711560044894,0.8226711560044894,733,891,891
ANOSI,OG1251119,ANOSI19256,0.549062049062049,0.549062049062049,761,1386,1386
ANOSI,OG970502,ANOSI15209,0.9636184857423795,0.9636184857423795,980,1017,1017
ANOSI,OG953187,ANOSI10125,0.9425925925925925,0.9425925925925925,509,540,540
ANOSI,OG814084,ANOSI08197,0.8447619047619047,0.8447619047619047,887,1050,1050
ANOSI,OG455346,ANOSI13964,0.9051490514905149,0.9051490514905149,1002,1107,1107
ANOSI,OG951333,ANOSI11872,0.9924812030075187,0.9924812030075187,396,399,399
ANOSI,OG719374,ANOSI14969,0.37701804368471037,0.37701804368471037,1588,4212,4212
ANOSI,OG961322,ANOSI11117,0.2822384428223844,0.2822384428223844,116,411,411
ANOSI,OG911937,ANOSI05566,0.4421768707482993,0.4421768707482993,845,1911,1911
ANOSI,OG1157040,ANOSI13306,0.7828863346104725,0.7828863346104725,613,783,783
ANOSI,OG665560,ANOSI13979,0.5467995169082126,0.5467995169082126,1811,3312,3312
ANOSI,OG762076,ANOSI09475,0.34366925064599485,0.34366925064599485,266,774,774
ANOSI,OG1162063,ANOSI18068,0.24087591240875914,0.24087591240875914,297,1233,1233
ANOSI,OG344070,ANOSI13377,0.39485122032764963,0.39485122032764963,1181,2991,2991
ANOSI,OG1212040,ANOSI13772,0.8180587780355761,0.8180587780355761,4231,5172,5172
ANOSI,OG961377,ANOSI08182,0.9558117195004803,0.9558117195004803,995,1041,1041
ANOSI,OG842298,ANOSI13293,0.7792053295265287,0.7792053295265287,3275,4203,4203
ANOSI,OG961013,ANOSI18108,0.9430760810071155,0.9430760810071155,1723,1827,1827
ANOSI,OG1218157,ANOSI08193,0.6508563899868248,0.6508563899868248,494,759,759
ANOSI,OG1146505,ANOSI08230,0.6055295950155763,0.6055295950155763,1555,2568,2568
ANOSI,OG351572,ANOSI08252,0.584037558685446,0.584037558685446,622,1065,1065
ANOSI,OG1191966,ANOSI18157,0.7395514780835881,0.7395514780835881,1451,1962,1962
