#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG951333,ANOGA05777,0.9088888888888889,0.9088888888888889,409,450,450
ANOGA,OG708597,ANOGA04416,0.5480093676814989,0.5480093676814989,1404,2562,2562
ANOGA,OG456351,ANOGA04056,0.5605875152998776,0.5605875152998776,2748,4902,4902
ANOGA,OG736122,ANOGA04659,0.5867944621938233,0.5867944621938233,551,939,939
ANOGA,OG1139777,ANOGA04100,0.9943502824858758,0.9943502824858758,352,354,354
ANOGA,OG962230,ANOGA04299,0.7707317073170732,0.7707317073170732,474,615,615
ANOGA,OG961564,ANOGA05927,0.9269333333333334,0.9269333333333334,1738,1875,1875
ANOGA,OG1251511,ANOGA04057,0.9628670120898101,0.9628670120898101,2230,2316,2316
ANOGA,OG761976,ANOGA04435,0.805402087170043,0.805402087170043,1312,1629,1629
ANOGA,OG1079985,ANOGA04086,0.8757655293088364,0.8757655293088364,3003,3429,3429
ANOGA,OG968364,ANOGA07027,0.8449508489722967,0.8449508489722967,1891,2238,2238
ANOGA,OG1226379,ANOGA04627,0.8208616780045351,0.8208616780045351,1086,1323,1323
ANOGA,OG1219581,ANOGA05679,0.891317547055252,0.891317547055252,1468,1647,1647
ANOGA,OG1176412,ANOGA04492,0.8747115067589845,0.8747115067589845,2653,3033,3033
ANOGA,OG961439,ANOGA04097,0.9843234323432343,0.9843234323432343,1193,1212,1212
ANOGA,OG674682,ANOGA05648,0.9154228855721394,0.9154228855721394,736,804,804
ANOGA,OG1162063,ANOGA04462,0.678326474622771,0.678326474622771,989,1458,1458
ANOGA,OG1144131,ANOGA06520,0.8456189151599444,0.8456189151599444,1824,2157,2157
ANOGA,OG341995,ANOGA04081,0.7182594644506002,0.7182594644506002,6223,8664,8664
ANOGA,OG455346,ANOGA04634,0.6963528413910093,0.6963528413910093,821,1179,1179
ANOGA,OG853434,ANOGA04296,0.4601226993865031,0.4601226993865031,225,489,489
ANOGA,OG1212040,ANOGA05460,0.9202059202059202,0.9202059202059202,5005,5439,5439
ANOGA,OG460076,ANOGA06525,0.9985830676585193,0.9985830676585193,2819,2823,2823
ANOGA,OG1236745,ANOGA04294,0.9229885057471264,0.9229885057471264,803,870,870
ANOGA,OG719374,ANOGA05480,0.9119406556592486,0.9119406556592486,3811,4179,4179
ANOGA,OG926503,ANOGA04270,1.0,1.0,486,486,486
ANOGA,OG817086,ANOGA04277,0.8937583001328021,0.8937583001328021,673,753,753
ANOGA,OG1168476,ANOGA04432,0.9227738376674547,0.9227738376674547,1171,1269,1269
ANOGA,OG877291,ANOGA05475,0.8527724665391969,0.8527724665391969,1338,1569,1569
ANOGA,OG351572,ANOGA04255,0.6097337006427915,0.6097337006427915,664,1089,1089
ANOGA,OG964344,ANOGA04312,0.9808510638297873,0.9808510638297873,1383,1410,1410
ANOGA,OG1223272,ANOGA04094,0.9986962190352021,0.9986962190352021,2298,2301,2301
ANOGA,OG456720,ANOGA04313,0.9704797047970479,0.9704797047970479,789,813,813
ANOGA,OG976835,ANOGA04087,0.987783595113438,0.987783595113438,1698,1719,1719
ANOGA,OG842298,ANOGA04047,0.9428845692344613,0.9428845692344613,3929,4167,4167
ANOGA,OG961377,ANOGA04332,0.9961575408261287,0.9961575408261287,1037,1041,1041
ANOGA,OG828830,ANOGA04503,0.5788423153692615,0.5788423153692615,290,501,501
ANOGA,OG848281,ANOGA05255,0.9546019900497512,0.9546019900497512,1535,1608,1608
ANOGA,OG1208321,ANOGA05692,0.9475507765830347,0.9475507765830347,7931,8370,8370
ANOGA,OG1204971,ANOGA05312,0.7133276255707762,0.7133276255707762,4999,7008,7008
ANOGA,OG1081004,ANOGA04408,0.6313342631334263,0.6313342631334263,1358,2151,2151
ANOGA,OG451043,ANOGA04280,0.7283464566929134,0.7283464566929134,555,762,762
ANOGA,OG1183200,ANOGA05481,0.7633674630261661,0.7633674630261661,671,879,879
ANOGA,OG457108,ANOGA04521,0.9166666666666666,0.9166666666666666,517,564,564
ANOGA,OG671266,ANOGA04325,0.9995003568879371,0.9995003568879371,14003,14010,14010
ANOGA,OG1240968,ANOGA05685,0.8073739653875094,0.8073739653875094,1073,1329,1329
ANOGA,OG352732,ANOGA04305,0.9454277286135693,0.9454277286135693,1282,1356,1356
ANOGA,OG961440,ANOGA04483,0.9978902953586498,0.9978902953586498,1419,1422,1422
ANOGA,OG988784,ANOGA04273,0.8720125786163522,0.8720125786163522,5546,6360,6360
ANOGA,OG1246006,ANOGA05367,0.9931372549019608,0.9931372549019608,1013,1020,1020
ANOGA,OG1174245,ANOGA04055,0.8684503901895206,0.8684503901895206,1558,1794,1794
ANOGA,OG342477,ANOGA04643,0.8847475548506476,0.8847475548506476,3347,3783,3783
ANOGA,OG966098,ANOGA04644,0.8684503901895206,0.8684503901895206,2337,2691,2691
ANOGA,OG362545,ANOGA07030,0.7090119435396308,0.7090119435396308,653,921,921
ANOGA,OG944937,ANOGA05498,0.7150997150997151,0.7150997150997151,753,1053,1053
ANOGA,OG964673,ANOGA05646,0.9673539518900344,0.9673539518900344,563,582,582
ANOGA,OG960945,ANOGA04410,0.6301282051282051,0.6301282051282051,983,1560,1560
ANOGA,OG1139996,ANOGA05695,0.7712565838976674,0.7712565838976674,1025,1329,1329
ANOGA,OG1146507,ANOGA05711,0.6587628865979381,0.6587628865979381,1917,2910,2910
ANOGA,OG451038,ANOGA04282,1.0,1.0,744,744,744
ANOGA,OG675570,ANOGA04091,0.7639344262295082,0.7639344262295082,699,915,915
ANOGA,OG1198490,ANOGA05372,0.9344042838018741,0.9344042838018741,1396,1494,1494
ANOGA,OG419349,ANOGA04655,0.7029569892473119,0.7029569892473119,2092,2976,2976
ANOGA,OG932017,ANOGA04469,0.8482438701126573,0.8482438701126573,1280,1509,1509
ANOGA,OG960910,ANOGA05775,1.0,1.0,1314,1314,1314
ANOGA,OG961398,ANOGA05245,0.9061032863849765,0.9061032863849765,1158,1278,1278
ANOGA,OG457329,ANOGA04096,0.6177248677248677,0.6177248677248677,467,756,756
ANOGA,OG456648,ANOGA04680,0.5506666666666666,0.5506666666666666,826,1500,1500
ANOGA,OG1150857,ANOGA04505,0.782416192283365,0.782416192283365,1237,1581,1581
ANOGA,OG792952,ANOGA04134,0.9990610328638497,0.9990610328638497,1064,1065,1065
ANOGA,OG979200,ANOGA04436,0.682983682983683,0.682983682983683,1172,1716,1716
ANOGA,OG961013,ANOGA04514,0.9737274220032841,0.9737274220032841,1779,1827,1827
ANOGA,OG1230391,ANOGA04302,0.8634651600753296,0.8634651600753296,917,1062,1062
ANOGA,OG796653,ANOGA04674,0.9530398322851154,0.9530398322851154,2273,2385,2385
ANOGA,OG696447,ANOGA06521,0.9805194805194806,0.9805194805194806,906,924,924
ANOGA,OG931899,ANOGA04558,0.7029702970297029,0.7029702970297029,1065,1515,1515
ANOGA,OG1218158,ANOGA04293,0.9430199430199431,0.9430199430199431,662,702,702
ANOGA,OG1197765,ANOGA04431,0.9392655367231638,0.9392655367231638,665,708,708
ANOGA,OG676343,ANOGA05773,0.5364181662382177,0.5364181662382177,1252,2334,2334
ANOGA,OG790850,ANOGA04067,0.864158829676071,0.864158829676071,827,957,957
ANOGA,OG1221639,ANOGA05250,0.5793650793650794,0.5793650793650794,219,378,378
ANOGA,OG1202789,ANOGA05383,0.8831127914303718,0.8831127914303718,2803,3174,3174
ANOGA,OG348620,ANOGA05652,0.8542955326460481,0.8542955326460481,1243,1455,1455
ANOGA,OG698904,ANOGA04041,0.9551282051282052,0.9551282051282052,2980,3120,3120
ANOGA,OG839253,ANOGA05660,0.9519519519519519,0.9519519519519519,317,333,333
ANOGA,OG971123,ANOGA04434,0.3187022900763359,0.3187022900763359,501,1572,1572
ANOGA,OG1223886,ANOGA05389,0.9227642276422764,0.9227642276422764,454,492,492
ANOGA,OG362633,ANOGA04668,0.3547925608011445,0.3547925608011445,496,1398,1398
ANOGA,OG964929,ANOGA05473,0.9599627560521415,0.9599627560521415,2062,2148,2148
ANOGA,OG454890,ANOGA04502,0.8698698698698699,0.8698698698698699,869,999,999
ANOGA,OG1202204,ANOGA05611,0.9972337482710927,0.9972337482710927,721,723,723
ANOGA,OG1231901,ANOGA05639,0.5746147607461476,0.5746147607461476,1417,2466,2466
ANOGA,OG456338,ANOGA05365,0.7293711377680844,0.7293711377680844,4013,5502,5502
ANOGA,OG718578,ANOGA05248,0.9034322280395579,0.9034322280395579,1553,1719,1719
ANOGA,OG762076,ANOGA05710,0.8258145363408521,0.8258145363408521,659,798,798
ANOGA,OG977782,ANOGA05610,0.6146540027137042,0.6146540027137042,1359,2211,2211
ANOGA,OG456479,ANOGA05459,0.8525745257452575,0.8525745257452575,1573,1845,1845
ANOGA,OG1214658,ANOGA05631,0.8241912798874824,0.8241912798874824,586,711,711
