#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG968364,ANODA06500,0.9064830751577739,0.9064830751577739,1580,1743,1743
ANODA,OG986274,ANODA04898,0.7220101781170484,0.7220101781170484,1135,1572,1572
ANODA,OG971355,ANODA03504,0.8674033149171271,0.8674033149171271,1413,1629,1629
ANODA,OG1221639,ANODA05486,0.42328042328042326,0.42328042328042326,160,378,378
ANODA,OG1231901,ANODA00788,0.37745098039215685,0.37745098039215685,924,2448,2448
ANODA,OG1081004,ANODA08766,0.4289544235924933,0.4289544235924933,960,2238,2238
ANODA,OG961377,ANODA07077,0.983669548511047,0.983669548511047,1024,1041,1041
ANODA,OG916860,ANODA09028,0.3588807785888078,0.3588807785888078,295,822,822
ANODA,OG451038,ANODA08555,0.9855072463768116,0.9855072463768116,748,759,759
ANODA,OG953187,ANODA09070,0.9092592592592592,0.9092592592592592,491,540,540
ANODA,OG1179969,ANODA09026,0.49318710535061483,0.49318710535061483,1484,3009,3009
ANODA,OG1150857,ANODA10330,0.6298975286317059,0.6298975286317059,1045,1659,1659
ANODA,OG790850,ANODA06160,0.2905982905982906,0.2905982905982906,238,819,819
ANODA,OG1139996,ANODA03476,0.6700889801505818,0.6700889801505818,979,1461,1461
ANODA,OG1230391,ANODA03599,0.14258734655335223,0.14258734655335223,151,1059,1059
ANODA,OG455346,ANODA06172,0.9368421052631579,0.9368421052631579,1068,1140,1140
ANODA,OG949414,ANODA06508,0.4246376811594203,0.4246376811594203,293,690,690
ANODA,OG675570,ANODA03502,0.1553398058252427,0.1553398058252427,144,927,927
ANODA,OG703365,ANODA10334,0.17217981340118746,0.17217981340118746,203,1179,1179
ANODA,OG1236745,ANODA08566,0.6874279123414071,0.6874279123414071,596,867,867
ANODA,OG926503,ANODA08545,0.9979423868312757,0.9979423868312757,485,486,486
ANODA,OG1242667,ANODA10318,0.5433621043978627,0.5433621043978627,1322,2433,2433
ANODA,OG674682,ANODA07073,0.5389294403892944,0.5389294403892944,443,822,822
ANODA,OG978865,ANODA08940,0.8652900688298918,0.8652900688298918,880,1017,1017
ANODA,OG1202204,ANODA07035,0.9832635983263598,0.9832635983263598,705,717,717
ANODA,OG1192905,ANODA10252,0.7413962635201573,0.7413962635201573,754,1017,1017
ANODA,OG931899,ANODA03411,0.41196236559139787,0.41196236559139787,613,1488,1488
ANODA,OG823032,ANODA05893,0.6734848484848485,0.6734848484848485,889,1320,1320
ANODA,OG458150,ANODA02645,0.17989417989417988,0.17989417989417988,102,567,567
ANODA,OG1152239,ANODA05622,0.44761904761904764,0.44761904761904764,423,945,945
ANODA,OG1174891,ANODA02648,0.7725225225225225,0.7725225225225225,686,888,888
ANODA,OG960910,ANODA08504,1.0,1.0,1314,1314,1314
ANODA,OG671266,ANODA07081,0.9538604385401043,0.9538604385401043,13355,14001,14001
ANODA,OG976835,ANODA06297,0.764808362369338,0.764808362369338,1317,1722,1722
ANODA,OG1214658,ANODA02027,0.7378917378917379,0.7378917378917379,518,702,702
ANODA,OG784747,ANODA08561,0.9937106918238994,0.9937106918238994,632,636,636
ANODA,OG961602,ANODA09075,0.8500881834215167,0.8500881834215167,482,567,567
ANODA,OG457329,ANODA01668,0.08299866131191433,0.08299866131191433,62,747,747
ANODA,OG896170,ANODA03515,0.9904175222450377,0.9904175222450377,1447,1461,1461
ANODA,OG1146505,ANODA07082,0.5566778900112234,0.5566778900112234,1488,2673,2673
ANODA,OG1231177,ANODA03650,0.898315282791817,0.898315282791817,1493,1662,1662
ANODA,OG964929,ANODA07247,0.6573099415204678,0.6573099415204678,1124,1710,1710
ANODA,OG1251552,ANODA07755,0.8240740740740741,0.8240740740740741,445,540,540
ANODA,OG456479,ANODA10251,0.8248009101251422,0.8248009101251422,1450,1758,1758
ANODA,OG352732,ANODA04288,0.7276422764227642,0.7276422764227642,1074,1476,1476
ANODA,OG946885,ANODA07717,0.6821345707656613,0.6821345707656613,882,1293,1293
ANODA,OG1224967,ANODA01667,0.7066666666666667,0.7066666666666667,1272,1800,1800
ANODA,OG1162063,ANODA08486,0.30533333333333335,0.30533333333333335,458,1500,1500
ANODA,OG1251511,ANODA09076,0.9605034722222222,0.9605034722222222,2213,2304,2304
ANODA,OG1168250,ANODA06913,0.4064327485380117,0.4064327485380117,139,342,342
ANODA,OG814870,ANODA05594,0.43592677345537756,0.43592677345537756,2286,5244,5244
ANODA,OG961322,ANODA05981,0.8029197080291971,0.8029197080291971,330,411,411
ANODA,OG917347,ANODA01979,0.8245067497403946,0.8245067497403946,794,963,963
ANODA,OG1212040,ANODA10250,0.768449300364194,0.768449300364194,4009,5217,5217
ANODA,OG1240929,ANODA06171,0.5419103313840156,0.5419103313840156,556,1026,1026
ANODA,OG456351,ANODA09077,0.4259150518692503,0.4259150518692503,2176,5109,5109
ANODA,OG823022,ANODA00759,0.563165905631659,0.563165905631659,740,1314,1314
ANODA,OG966098,ANODA06161,0.779991697799917,0.779991697799917,1879,2409,2409
ANODA,OG1150674,ANODA06923,0.27965043695380776,0.27965043695380776,224,801,801
ANODA,OG1189787,ANODA07757,0.6632653061224489,0.6632653061224489,390,588,588
ANODA,OG977782,ANODA01117,0.14787339268051433,0.14787339268051433,299,2022,2022
ANODA,OG1197765,ANODA06617,0.9414225941422594,0.9414225941422594,675,717,717
ANODA,OG961013,ANODA08956,0.953416149068323,0.953416149068323,1842,1932,1932
ANODA,OG676343,ANODA08502,0.033796296296296297,0.033796296296296297,73,2160,2160
ANODA,OG975279,ANODA02647,0.6253908692933083,0.6253908692933083,1000,1599,1599
