#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,7.66724286949006,4.815245928191623
ANOSI,OG676343,ANOSI11914,2.0,0.0
ANOSI,OG951333,ANOSI11872,2.7831715210355985,1.4774162830743258
ANOSI,OG960910,ANOSI11898,40.018264840182646,18.374001420258345
ANOSI,OG848281,ANOSI16815,6.967259786476868,4.188485652856362
ANOSI,OG1221639,ANOSI13259,6.783269961977187,2.728978685985912
ANOSI,OG964633,ANOSI13303,66.23625981441828,175.57960059239153
ANOSI,OG718578,ANOSI13311,2.4872727272727273,1.491436713734237
ANOSI,OG961398,ANOSI02900,2.9511568123393315,1.7724483665014747
ANOSI,OG411836,ANOSI13282,11.923285198555957,6.750349585938508
ANOSI,OG1241986,ANOSI13275,7.508158508158508,5.727336291086126
ANOSI,OG698904,ANOSI13273,23.019028871391075,9.337730316081062
ANOSI,OG1157040,ANOSI13306,8.406380027739251,5.975206593132458
ANOSI,OG958126,ANOSI13277,6.327635327635328,3.4174522496166757
ANOSI,OG842298,ANOSI13293,10.128277153558052,7.5547993462194505
ANOSI,OG1174245,ANOSI10141,12.608527131782946,6.442940142172706
ANOSI,OG456351,ANOSI10182,31.756906077348066,85.75699007855698
ANOSI,OG1251511,ANOSI10202,24.045230631437526,8.638182448705175
ANOSI,OG961602,ANOSI10095,3.949771689497717,1.5326693349643519
ANOSI,OG953187,ANOSI10125,11.589390962671906,3.480843650193046
ANOSI,OG814084,ANOSI08197,7.908700322234157,5.781116666463959
ANOSI,OG699681,ANOSI08225,1.0,0.0
ANOSI,OG946387,ANOSI17759,14.058675078864354,8.284817295129033
ANOSI,OG946885,ANOSI17776,15.426693629929222,6.382320063384169
ANOSI,OG1214309,ANOSI17769,3.699248120300752,1.5092943250038897
ANOSI,OG341995,ANOSI16311,5.715833333333333,3.738549090965044
ANOSI,OG1079985,ANOSI16316,5.705518018018018,4.697552190077741
ANOSI,OG976835,ANOSI16315,17.877805486284288,8.028939624467013
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,23.290119572057897,9.54474260069813
ANOSI,OG1223272,ANOSI13699,16.322768092974115,6.23555017185259
