#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG454890,ANOST00551,0.8535353535353535,0.8535353535353535,845,990,990
ANOST,OG968364,ANOST00614,0.9967637540453075,0.9967637540453075,1540,1545,1545
ANOST,OG961115,ANOST00130,0.9778393351800554,0.9778393351800554,1059,1083,1083
ANOST,OG953187,ANOST00048,0.7518518518518519,0.7518518518518519,406,540,540
ANOST,OG998211,ANOST00115,0.398538961038961,0.398538961038961,1473,3696,3696
ANOST,OG1240328,ANOST00270,0.34797297297297297,0.34797297297297297,309,888,888
ANOST,OG1225085,ANOST00424,0.3709893048128342,0.3709893048128342,1665,4488,4488
ANOST,OG792914,ANOST00139,0.7290108063175395,0.7290108063175395,877,1203,1203
ANOST,OG790850,ANOST00477,0.832800851970181,0.832800851970181,782,939,939
ANOST,OG823037,ANOST00337,0.6183035714285714,0.6183035714285714,831,1344,1344
ANOST,OG1223272,ANOST00111,0.8217738545607398,0.8217738545607398,1955,2379,2379
ANOST,OG369576,ANOST00441,0.850828729281768,0.850828729281768,462,543,543
ANOST,OG848281,ANOST00012,0.5536723163841808,0.5536723163841808,882,1593,1593
ANOST,OG823032,ANOST00528,0.7965072133637054,0.7965072133637054,1049,1317,1317
ANOST,OG971355,ANOST00110,0.9486215538847118,0.9486215538847118,1514,1596,1596
ANOST,OG342477,ANOST00163,0.7562753036437248,0.7562753036437248,2802,3705,3705
ANOST,OG675570,ANOST00108,0.6787280701754386,0.6787280701754386,619,912,912
ANOST,OG703365,ANOST00557,0.08635578583765112,0.08635578583765112,100,1158,1158
ANOST,OG823022,ANOST00242,0.8148148148148148,0.8148148148148148,1100,1350,1350
ANOST,OG1174245,ANOST00043,0.6271855611957134,0.6271855611957134,1112,1773,1773
ANOST,OG456351,ANOST00044,0.48526758869512926,0.48526758869512926,2421,4989,4989
ANOST,OG762076,ANOST00214,0.34108527131782945,0.34108527131782945,264,774,774
ANOST,OG822311,ANOST00158,0.8073830409356725,0.8073830409356725,2209,2736,2736
ANOST,OG456338,ANOST00458,0.38731884057971017,0.38731884057971017,2138,5520,5520
ANOST,OG964344,ANOST00343,0.9509594882729211,0.9509594882729211,1338,1407,1407
ANOST,OG924410,ANOST00137,0.7220588235294118,0.7220588235294118,4419,6120,6120
