#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG962019,ANOST00209,0.5147232037691402,0.5147232037691402,437,849,849
ANOST,OG823037,ANOST00337,0.8757440476190477,0.8757440476190477,1177,1344,1344
ANOST,OG1215812,ANOST00126,1.0,1.0,651,651,651
ANOST,OG1174608,ANOST00246,1.0,1.0,444,444,444
ANOST,OG931899,ANOST00585,0.7402253147779987,0.7402253147779987,1117,1509,1509
ANOST,OG673136,ANOST00116,0.6927330173775671,0.6927330173775671,877,1266,1266
ANOST,OG961398,ANOST00021,0.8411580594679187,0.8411580594679187,1075,1278,1278
ANOST,OG1183200,ANOST00504,0.9055944055944056,0.9055944055944056,777,858,858
ANOST,OG761976,ANOST00415,0.9362373737373737,0.9362373737373737,1483,1584,1584
ANOST,OG946885,ANOST00079,0.9534706331045004,0.9534706331045004,1250,1311,1311
ANOST,OG1189787,ANOST00208,0.814625850340136,0.814625850340136,479,588,588
ANOST,OG352732,ANOST00335,0.9352678571428571,0.9352678571428571,1257,1344,1344
ANOST,OG822311,ANOST00158,0.9769736842105263,0.9769736842105263,2673,2736,2736
ANOST,OG1079985,ANOST00101,0.9356160374597601,0.9356160374597601,3197,3417,3417
ANOST,OG961011,ANOST00496,0.8935037273695421,0.8935037273695421,2517,2817,2817
ANOST,OG1221639,ANOST00016,0.6005291005291006,0.6005291005291006,227,378,378
ANOST,OG1251119,ANOST00180,0.8616629874908021,0.8616629874908021,1171,1359,1359
ANOST,OG1240325,ANOST00269,0.9303135888501742,0.9303135888501742,801,861,861
ANOST,OG1146507,ANOST00365,0.6006191950464397,0.6006191950464397,1746,2907,2907
ANOST,OG814870,ANOST00423,0.8906801781053278,0.8906801781053278,5801,6513,6513
ANOST,OG1194738,ANOST00274,0.9931129476584022,0.9931129476584022,1442,1452,1452
ANOST,OG1240929,ANOST00157,0.7524366471734892,0.7524366471734892,772,1026,1026
ANOST,OG1168476,ANOST00411,0.9453681710213777,0.9453681710213777,1194,1263,1263
ANOST,OG975279,ANOST00151,0.9858299595141701,0.9858299595141701,1461,1482,1482
ANOST,OG1219581,ANOST00235,0.9760147601476015,0.9760147601476015,1587,1626,1626
ANOST,OG932104,ANOST00578,0.8878648233486943,0.8878648233486943,1156,1302,1302
ANOST,OG456691,ANOST00218,0.44972288202692,0.44972288202692,568,1263,1263
ANOST,OG944937,ANOST00518,0.6838095238095238,0.6838095238095238,718,1050,1050
ANOST,OG877291,ANOST00499,0.9420289855072463,0.9420289855072463,1495,1587,1587
ANOST,OG719374,ANOST00503,0.955794504181601,0.955794504181601,4000,4185,4185
ANOST,OG1214309,ANOST00081,0.9774436090225563,0.9774436090225563,390,399,399
ANOST,OG924410,ANOST00137,0.9390522875816993,0.9390522875816993,5747,6120,6120
ANOST,OG1242667,ANOST00533,0.903052805280528,0.903052805280528,2189,2424,2424
ANOST,OG896170,ANOST00127,0.9994252873563219,0.9994252873563219,1739,1740,1740
ANOST,OG1225085,ANOST00424,0.8106060606060606,0.8106060606060606,3638,4488,4488
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG814084,ANOST00057,0.9525166191832859,0.9525166191832859,1003,1053,1053
ANOST,OG1181227,ANOST00162,0.9579923622476814,0.9579923622476814,1756,1833,1833
ANOST,OG842298,ANOST00037,0.9568264648163723,0.9568264648163723,3413,3567,3567
ANOST,OG1138880,ANOST00591,0.9882525697503671,0.9882525697503671,673,681,681
ANOST,OG971355,ANOST00110,0.974937343358396,0.974937343358396,1556,1596,1596
ANOST,OG457572,ANOST00450,0.9279279279279279,0.9279279279279279,412,444,444
ANOST,OG1214658,ANOST00276,0.896011396011396,0.896011396011396,629,702,702
ANOST,OG899270,ANOST00194,0.9970023980815348,0.9970023980815348,1663,1668,1668
ANOST,OG1152239,ANOST00609,0.5584415584415584,0.5584415584415584,516,924,924
ANOST,OG793899,ANOST00192,0.8905472636815921,0.8905472636815921,537,603,603
ANOST,OG362633,ANOST00370,0.2370184254606365,0.2370184254606365,283,1194,1194
ANOST,OG828830,ANOST00552,0.8043912175648703,0.8043912175648703,403,501,501
ANOST,OG1246006,ANOST00459,0.8705882352941177,0.8705882352941177,888,1020,1020
ANOST,OG455346,ANOST00156,0.9576719576719577,0.9576719576719577,1086,1134,1134
ANOST,OG1229017,ANOST00425,0.9851004851004851,0.9851004851004851,2843,2886,2886
ANOST,OG967514,ANOST00212,0.9673274596182085,0.9673274596182085,2635,2724,2724
ANOST,OG1235653,ANOST00565,0.9951219512195122,0.9951219512195122,1836,1845,1845
ANOST,OG1223272,ANOST00111,0.9987389659520807,0.9987389659520807,2376,2379,2379
ANOST,OG1204971,ANOST00430,0.7988013698630136,0.7988013698630136,5598,7008,7008
ANOST,OG792914,ANOST00139,0.9891936824605154,0.9891936824605154,1190,1203,1203
ANOST,OG970502,ANOST00530,0.9920844327176781,0.9920844327176781,1128,1137,1137
ANOST,OG451043,ANOST00313,0.8862433862433863,0.8862433862433863,670,756,756
ANOST,OG419349,ANOST00176,0.7553299492385787,0.7553299492385787,2232,2955,2955
ANOST,OG961013,ANOST00564,0.9737274220032841,0.9737274220032841,1779,1827,1827
ANOST,OG1218158,ANOST00323,0.9943019943019943,0.9943019943019943,698,702,702
ANOST,OG853434,ANOST00326,0.7313131313131314,0.7313131313131314,362,495,495
ANOST,OG961439,ANOST00114,0.855036855036855,0.855036855036855,1044,1221,1221
ANOST,OG736122,ANOST00177,0.7585470085470085,0.7585470085470085,710,936,936
ANOST,OG1231177,ANOST00129,0.9927536231884058,0.9927536231884058,1644,1656,1656
ANOST,OG1176412,ANOST00547,0.9145644130507904,0.9145644130507904,2719,2973,2973
ANOST,OG1174245,ANOST00043,0.8336153412295544,0.8336153412295544,1478,1773,1773
ANOST,OG963232,ANOST00545,0.9295774647887324,0.9295774647887324,990,1065,1065
ANOST,OG456351,ANOST00044,0.6973341350972139,0.6973341350972139,3479,4989,4989
ANOST,OG960979,ANOST00268,0.9991666666666666,0.9991666666666666,1199,1200,1200
ANOST,OG1218490,ANOST00495,0.9336250911743253,0.9336250911743253,1280,1371,1371
ANOST,OG968364,ANOST00614,0.9676375404530745,0.9676375404530745,1495,1545,1545
ANOST,OG1224967,ANOST00112,0.9587513935340022,0.9587513935340022,1720,1794,1794
ANOST,OG699681,ANOST00058,0.9321533923303835,0.9321533923303835,316,339,339
ANOST,OG961440,ANOST00539,0.9985964912280701,0.9985964912280701,1423,1425,1425
ANOST,OG998211,ANOST00115,0.7286255411255411,0.7286255411255411,2693,3696,3696
ANOST,OG411836,ANOST00028,0.9359251259899208,0.9359251259899208,1300,1389,1389
ANOST,OG976835,ANOST00102,1.0,1.0,1710,1710,1710
ANOST,OG762076,ANOST00214,0.8682170542635659,0.8682170542635659,672,774,774
ANOST,OG932017,ANOST00529,0.8191419141914191,0.8191419141914191,1241,1515,1515
ANOST,OG817086,ANOST00310,0.976911976911977,0.976911976911977,677,693,693
ANOST,OG961377,ANOST00356,0.9961575408261287,0.9961575408261287,1037,1041,1041
ANOST,OG1240968,ANOST00230,0.891647855530474,0.891647855530474,1185,1329,1329
ANOST,OG1150674,ANOST00260,0.8717026378896883,0.8717026378896883,727,834,834
ANOST,OG1223886,ANOST00473,0.733739837398374,0.733739837398374,361,492,492
ANOST,OG1190683,ANOST00325,1.0,1.0,1194,1194,1194
ANOST,OG1179969,ANOST00511,0.9830128205128205,0.9830128205128205,3067,3120,3120
ANOST,OG792952,ANOST00138,0.9812206572769953,0.9812206572769953,1045,1065,1065
ANOST,OG703365,ANOST00557,0.7003454231433506,0.7003454231433506,811,1158,1158
ANOST,OG457329,ANOST00113,0.5710691823899371,0.5710691823899371,454,795,795
ANOST,OG978616,ANOST00322,0.9453193350831146,0.9453193350831146,2161,2286,2286
ANOST,OG964673,ANOST00265,0.9472789115646258,0.9472789115646258,557,588,588
ANOST,OG456338,ANOST00458,0.8539855072463768,0.8539855072463768,4714,5520,5520
ANOST,OG457108,ANOST00570,0.9202127659574468,0.9202127659574468,519,564,564
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG420493,ANOST00159,0.9922480620155039,0.9922480620155039,768,774,774
ANOST,OG420768,ANOST00161,0.8610511159107271,0.8610511159107271,2392,2778,2778
ANOST,OG846448,ANOST00517,0.8960863697705803,0.8960863697705803,664,741,741
ANOST,OG1251511,ANOST00045,0.9371231696813093,0.9371231696813093,2176,2322,2322
ANOST,OG675570,ANOST00108,0.6578947368421053,0.6578947368421053,600,912,912
ANOST,OG458150,ANOST00149,0.3609467455621302,0.3609467455621302,183,507,507
ANOST,OG344070,ANOST00277,0.7670645852464034,0.7670645852464034,2506,3267,3267
ANOST,OG1150857,ANOST00554,0.9396654719235364,0.9396654719235364,1573,1674,1674
ANOST,OG696447,ANOST00603,0.9301075268817204,0.9301075268817204,865,930,930
ANOST,OG977782,ANOST00291,0.6029481692819781,0.6029481692819781,1268,2103,2103
ANOST,OG961322,ANOST00232,0.7299270072992701,0.7299270072992701,300,411,411
ANOST,OG1170587,ANOST00146,0.9871369711586775,0.9871369711586775,9823,9951,9951
ANOST,OG375937,ANOST00377,0.2882205513784461,0.2882205513784461,230,798,798
ANOST,OG960910,ANOST00006,0.9985601151907847,0.9985601151907847,1387,1389,1389
ANOST,OG1226379,ANOST00147,0.8425076452599388,0.8425076452599388,1102,1308,1308
ANOST,OG917347,ANOST00382,0.9730010384215991,0.9730010384215991,937,963,963
ANOST,OG961602,ANOST00046,0.8635578583765112,0.8635578583765112,500,579,579
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG823022,ANOST00242,0.8237037037037037,0.8237037037037037,1112,1350,1350
ANOST,OG671266,ANOST00350,0.9921882725205181,0.9921882725205181,10034,10113,10113
ANOST,OG964929,ANOST00497,0.9194194194194194,0.9194194194194194,1837,1998,1998
ANOST,OG848281,ANOST00012,0.9836785938480854,0.9836785938480854,1567,1593,1593
ANOST,OG698997,ANOST00233,0.8511058451816745,0.8511058451816745,2155,2532,2532
ANOST,OG839253,ANOST00256,1.0,1.0,333,333,333
ANOST,OG861720,ANOST00002,0.6812227074235808,0.6812227074235808,2808,4122,4122
ANOST,OG1081004,ANOST00389,0.9736842105263158,0.9736842105263158,1887,1938,1938
ANOST,OG1240328,ANOST00270,0.7916666666666666,0.7916666666666666,703,888,888
ANOST,OG1168250,ANOST00469,0.8625730994152047,0.8625730994152047,295,342,342
ANOST,OG1222683,ANOST00125,0.8988304093567251,0.8988304093567251,1537,1710,1710
ANOST,OG342477,ANOST00163,0.9484480431848853,0.9484480431848853,3514,3705,3705
ANOST,OG925865,ANOST00286,0.950937950937951,0.950937950937951,659,693,693
ANOST,OG1212040,ANOST00490,0.921911421911422,0.921911421911422,4746,5148,5148
ANOST,OG823032,ANOST00528,0.8071374335611238,0.8071374335611238,1063,1317,1317
ANOST,OG1139996,ANOST00223,0.8577138289368506,0.8577138289368506,1073,1251,1251
ANOST,OG964633,ANOST00017,0.991812865497076,0.991812865497076,1696,1710,1710
ANOST,OG966098,ANOST00164,0.9988776655443322,0.9988776655443322,2670,2673,2673
ANOST,OG1230391,ANOST00331,0.864406779661017,0.864406779661017,918,1062,1062
ANOST,OG1144131,ANOST00602,0.8644382544103992,0.8644382544103992,1862,2154,2154
ANOST,OG722946,ANOST00353,0.9855810008481765,0.9855810008481765,1162,1179,1179
ANOST,OG362545,ANOST00615,0.6849942726231386,0.6849942726231386,598,873,873
ANOST,OG676343,ANOST00003,0.52925877763329,0.52925877763329,1221,2307,2307
ANOST,OG698904,ANOST00032,0.9577329490874159,0.9577329490874159,2991,3123,3123
ANOST,OG665560,ANOST00160,0.8815004262574595,0.8815004262574595,3102,3519,3519
ANOST,OG961115,ANOST00130,0.9926131117266851,0.9926131117266851,1075,1083,1083
ANOST,OG1231901,ANOST00272,0.9353358364622445,0.9353358364622445,2242,2397,2397
ANOST,OG971123,ANOST00414,0.7172251616696061,0.7172251616696061,1220,1701,1701
ANOST,OG960945,ANOST00390,0.9035759897828863,0.9035759897828863,1415,1566,1566
ANOST,OG341995,ANOST00098,0.8906146289658834,0.8906146289658834,6709,7533,7533
ANOST,OG1203459,ANOST00222,0.873598369011213,0.873598369011213,857,981,981
ANOST,OG1198490,ANOST00464,0.9705488621151271,0.9705488621151271,1450,1494,1494
ANOST,OG978865,ANOST00481,0.8259587020648967,0.8259587020648967,840,1017,1017
ANOST,OG986274,ANOST00366,0.9987080103359173,0.9987080103359173,1546,1548,1548
ANOST,OG456720,ANOST00347,0.9176029962546817,0.9176029962546817,735,801,801
ANOST,OG1179948,ANOST00550,1.0,1.0,564,564,564
ANOST,OG962230,ANOST00328,0.8910569105691057,0.8910569105691057,548,615,615
ANOST,OG456479,ANOST00489,0.9638888888888889,0.9638888888888889,1735,1800,1800
ANOST,OG1221689,ANOST00123,0.9896373056994818,0.9896373056994818,2292,2316,2316
ANOST,OG661167,ANOST00579,1.0,1.0,864,864,864
ANOST,OG1198488,ANOST00216,1.0,1.0,1842,1842,1842
ANOST,OG1244115,ANOST00140,0.9626436781609196,0.9626436781609196,335,348,348
ANOST,OG968775,ANOST00395,0.9865513928914506,0.9865513928914506,2054,2082,2082
ANOST,OG961564,ANOST00601,0.8710010319917441,0.8710010319917441,1688,1938,1938
ANOST,OG949414,ANOST00379,0.9961832061068703,0.9961832061068703,783,786,786
ANOST,OG964344,ANOST00343,0.8905472636815921,0.8905472636815921,1253,1407,1407
ANOST,OG988784,ANOST00369,0.8408496732026144,0.8408496732026144,5146,6120,6120
ANOST,OG961299,ANOST00501,0.8487151646760768,0.8487151646760768,2345,2763,2763
ANOST,OG718578,ANOST00019,0.6315172817809022,0.6315172817809022,1078,1707,1707
ANOST,OG958126,ANOST00036,0.8528528528528528,0.8528528528528528,568,666,666
ANOST,OG460076,ANOST00607,0.9702627939142462,0.9702627939142462,2806,2892,2892
ANOST,OG454890,ANOST00551,0.9171717171717172,0.9171717171717172,908,990,990
ANOST,OG784747,ANOST00320,0.9711399711399712,0.9711399711399712,673,693,693
ANOST,OG790850,ANOST00477,0.832800851970181,0.832800851970181,782,939,939
ANOST,OG1197765,ANOST00410,0.9188405797101449,0.9188405797101449,634,690,690
ANOST,OG456648,ANOST00195,0.49719887955182074,0.49719887955182074,710,1428,1428
ANOST,OG946387,ANOST00073,0.9634966378482228,0.9634966378482228,2006,2082,2082
ANOST,OG348620,ANOST00261,0.976401179941003,0.976401179941003,1324,1356,1356
ANOST,OG1241986,ANOST00031,0.8937644341801386,0.8937644341801386,1161,1299,1299
ANOST,OG369576,ANOST00441,0.9281767955801105,0.9281767955801105,504,543,543
ANOST,OG796653,ANOST00189,0.9993626513702996,0.9993626513702996,1568,1569,1569
ANOST,OG951333,ANOST00004,0.8955555555555555,0.8955555555555555,403,450,450
ANOST,OG953187,ANOST00048,1.0,1.0,540,540,540
ANOST,OG1157040,ANOST00033,1.0,1.0,783,783,783
ANOST,OG1162063,ANOST00522,0.9505271695052717,0.9505271695052717,1172,1233,1233
ANOST,OG674682,ANOST00263,0.9509803921568627,0.9509803921568627,776,816,816
ANOST,OG916860,ANOST00509,0.9306930693069307,0.9306930693069307,846,909,909
ANOST,OG1251552,ANOST00206,0.8462962962962963,0.8462962962962963,457,540,540
ANOST,OG1191966,ANOST00456,0.9738058551617874,0.9738058551617874,1896,1947,1947
ANOST,OG1146505,ANOST00349,0.9215456674473068,0.9215456674473068,2361,2562,2562
ANOST,OG1216622,ANOST00470,0.9732072498029944,0.9732072498029944,1235,1269,1269
ANOST,OG911937,ANOST00134,0.9749216300940439,0.9749216300940439,1866,1914,1914
ANOST,OG1218157,ANOST00305,0.9617918313570487,0.9617918313570487,730,759,759
ANOST,OG979200,ANOST00416,0.7321637426900585,0.7321637426900585,1252,1710,1710
ANOST,OG451038,ANOST00315,0.956989247311828,0.956989247311828,712,744,744
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG1208321,ANOST00225,0.9244371224601867,0.9244371224601867,8417,9105,9105
ANOST,OG1192905,ANOST00488,0.9970238095238095,0.9970238095238095,1005,1008,1008
ANOST,OG1139777,ANOST00117,1.0,1.0,354,354,354
ANOST,OG1236745,ANOST00324,0.9885057471264368,0.9885057471264368,860,870,870
ANOST,OG953548,ANOST00599,1.0,1.0,1947,1947,1947
ANOST,OG986805,ANOST00600,0.9597270760525878,0.9597270760525878,5767,6009,6009
ANOST,OG351572,ANOST00298,0.9098360655737705,0.9098360655737705,999,1098,1098
ANOST,OG664391,ANOST00352,0.9453900709219858,0.9453900709219858,1333,1410,1410
ANOST,OG949490,ANOST00312,0.842896174863388,0.842896174863388,617,732,732
ANOST,OG1202789,ANOST00471,0.9381071329447682,0.9381071329447682,3380,3603,3603
ANOST,OG708597,ANOST00396,0.7796869033982436,0.7796869033982436,2042,2619,2619
