#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,10.846467391304348,5.792335970827026
ANOSI,OG1081004,ANOSI11947,7.272845953002611,3.741304137932351
ANOSI,OG1139777,ANOSI13705,3.6216216216216215,0.615915842707647
ANOGA,OG1139996,ANOGA05695,5.113801452784504,4.1792903842091045
ANOGA,OG1144131,ANOGA06520,7.558428128231644,5.420903355151174
ANOGA,OG1146505,ANOGA04324,11.101503759398497,7.869055077574158
ANOGA,OG1146507,ANOGA05711,8.20534223706177,5.562175939027535
ANOSI,OG1150857,ANOSI15844,6.419854280510018,3.5925757254460975
ANODA,OG1152239,ANODA05622,1.4417808219178083,0.49659896023193
ANODA,OG1157040,ANODA03571,13.025706940874036,4.1426190846730435
ANOGA,OG1162063,ANOGA04462,2.5473441108545036,1.5477611378330747
ANOGA,OG1168250,ANOGA05380,3.513157894736842,1.9228092185286418
ANOGA,OG1168476,ANOGA04432,6.033210332103321,4.542014243020897
ANOSI,OG1170587,ANOSI05651,7.497363465160075,5.750189763322664
ANOGA,OG1174245,ANOGA04055,10.689933872152828,5.194324609744267
ANOSI,OG1174608,ANOSI10178,10.288288288288289,4.347283271747746
ANODA,OG1174891,ANODA02648,6.657064471879287,3.7170622273716902
ANODA,OG1176412,ANODA07141,4.20268972142171,4.033509074629696
ANOSI,OG1179948,ANOSI16890,8.356020942408376,5.06801414887271
ANOSI,OG1179969,ANOSI16583,6.350402761795167,4.921220852840478
ANOSI,OG1181227,ANOSI13961,14.077209302325581,7.647622620585447
ANODA,OG1183200,ANODA07300,2.7028985507246377,1.2505617305363048
ANOGA,OG1189787,ANOGA04698,10.052810902896082,5.253272341410899
ANOGA,OG1190683,ANOGA04295,13.278169014084508,8.176211769579584
ANOGA,OG1191966,ANOGA05362,13.839633447880871,7.822746277095491
ANOGA,OG1192905,ANOGA05458,14.364285714285714,9.269800466044137
ANOGA,OG1194738,ANOGA05637,15.218685121107267,6.90563660759923
ANODA,OG1197765,ANODA06617,9.19204152249135,4.556390886250925
ANOGA,OG1198488,ANOGA05707,17.385227272727274,7.833741701081049
ANOGA,OG1198490,ANOGA05372,20.140401146131804,9.752102167595421
ANOGA,OG1202204,ANOGA05611,11.480902777777779,4.5635538985523425
ANODA,OG1202789,ANODA06915,11.76482292081178,7.82783330636672
ANOST,OG1204971,ANOST00430,6.155769230769231,4.044674250529875
ANOGA,OG1208321,ANOGA05692,12.23027397260274,7.369596088001125
ANOGA,OG1212040,ANOGA05460,10.900307534597642,7.668827974939546
ANOGA,OG1214658,ANOGA05631,3.997560975609756,2.3159034274568455
ANODA,OG1215812,ANODA08572,14.825688073394495,5.218487548527744
ANOGA,OG1216622,ANOGA05381,4.420880913539968,2.3228114554557706
ANODA,OG1218157,ANODA08542,8.794366197183098,6.246573986604575
ANOSI,OG1218158,ANOSI08297,12.716440422322774,4.024189827757766
ANOSI,OG1218490,ANOSI09061,11.922374429223744,6.203431207456685
ANOGA,OG1219581,ANOGA05679,6.185909980430528,5.85127790612902
ANOSI,OG1221639,ANOSI13259,4.319277108433735,2.603378612557027
ANOST,OG1221689,ANOST00123,14.51892890120037,7.120410232660164
ANOST,OG1222683,ANOST00125,18.060725552050474,8.047587375422331
ANOGA,OG1223272,ANOGA04094,16.777148739063303,8.451627531307441
ANODA,OG1223886,ANODA06917,7.165745856353591,3.5747948396174793
ANOST,OG1224967,ANOST00112,19.50941176470588,9.767438384507768
ANODA,OG1226379,ANODA02643,23.263616557734206,39.22453942672358
ANOGA,OG1229017,ANOGA05305,6.023535302954432,3.877692828588916
ANOSI,OG1231177,ANOSI05477,9.150208623087622,4.711093862435421
ANOGA,OG1235653,ANOGA04515,11.271569195136074,8.735767117231838
ANOGA,OG1236745,ANOGA04294,5.357414448669202,3.3093961413870865
ANODA,OG1240325,ANODA00791,8.608791208791208,3.4400245447517004
ANOGA,OG1240929,ANOGA04635,8.775735294117647,6.231832375269749
ANOST,OG1240968,ANOST00230,10.394570135746607,5.445407166076472
ANOSI,OG1241986,ANOSI13275,10.322757111597374,6.47835874311253
ANOGA,OG1244115,ANOGA04136,3.5,1.794221493916169
ANOSI,OG1246006,ANOSI08120,11.429887410440124,6.374482722314664
ANODA,OG1251119,ANODA03237,15.019638648860958,7.536895841576306
ANOGA,OG1251511,ANOGA04057,21.546188340807173,9.418775795674904
ANOGA,OG1251552,ANOGA04696,9.553684210526315,6.22412641135184
ANOGA,OG342477,ANOGA04643,34.556349873843565,115.04475479212219
ANOSI,OG344070,ANOSI13377,8.42377495462795,4.92476031423067
ANOGA,OG348620,ANOGA05652,7.018220793140407,5.658814013667753
ANOGA,OG351572,ANOGA04255,3.411917098445596,2.964603434998699
ANOSI,OG362545,ANOSI14857,9.905511811023622,3.951343977210596
ANOSI,OG373241,ANOSI13370,6.63939393939394,3.435151568614871
ANOGA,OG411836,ANOGA05239,19.547153024911033,12.132149757196034
ANOGA,OG419349,ANOGA04655,12.633198380566801,8.391958695204695
ANODA,OG420768,ANODA06165,8.223741794310722,6.127452378521935
ANOGA,OG451038,ANOGA04282,12.789865871833085,6.640589083802972
ANOGA,OG451043,ANOGA04280,4.322265625,2.1856358896081844
ANOGA,OG454890,ANOGA04502,13.62730627306273,11.086602721415916
ANOSI,OG455346,ANOSI13964,15.996932515337424,6.291731094149685
ANOST,OG456479,ANOST00489,9.926073926073926,6.4534395935765545
ANOST,OG456648,ANOST00195,2.50990990990991,1.6476548966790474
ANOGA,OG456720,ANOGA04313,11.319832402234637,8.2280483627759
ANOSI,OG460076,ANOSI16987,6.091709844559586,4.922864459413646
ANOST,OG661167,ANOST00579,9.796084828711257,4.273578792904869
ANOGA,OG664391,ANOGA04327,10.497080900750625,6.484583616022557
ANOST,OG665560,ANOST00160,15.24880838894185,16.862593374115068
ANOGA,OG671266,ANOGA04325,22.84489561661525,9.42644834630231
ANODA,OG673136,ANODA03220,9.622668579626973,6.104278180418537
ANOST,OG674682,ANOST00263,11.786324786324787,6.370778722851664
ANODA,OG696447,ANODA04792,4.7604617604617605,2.3262839252280427
ANOGA,OG698904,ANOGA04041,22.219382321618742,11.93180274876227
ANOST,OG698997,ANOST00233,24.340095465393794,21.136392870374987
ANODA,OG699681,ANODA09332,8.097633136094675,3.8236952396247816
ANOSI,OG708597,ANOSI11937,10.23855421686747,5.063623271989616
ANOGA,OG719374,ANOGA05480,8.711072664359861,6.330126399486365
ANOST,OG722946,ANOST00353,12.93511988716502,9.089355475202709
ANOGA,OG761976,ANOGA04435,4.31062124248497,2.854821785977023
ANOGA,OG762076,ANOGA05710,3.0063291139240507,1.5073525934734426
