#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG790850,ANOGA04067,0.7889237199582028,0.7889237199582028,755,957,957
ANOGA,OG1224967,ANOGA04095,0.8213288665549973,0.8213288665549973,1471,1791,1791
ANOGA,OG961322,ANOGA05683,0.9197080291970803,0.9197080291970803,378,411,411
ANOGA,OG998211,ANOGA04098,0.2909189777052746,0.2909189777052746,1070,3678,3678
ANOGA,OG961013,ANOGA04514,0.9742747673782156,0.9742747673782156,1780,1827,1827
ANOGA,OG457329,ANOGA04096,0.29365079365079366,0.29365079365079366,222,756,756
ANOGA,OG1202204,ANOGA05611,0.9930843706777317,0.9930843706777317,718,723,723
ANOGA,OG451043,ANOGA04280,0.8805774278215223,0.8805774278215223,671,762,762
ANOGA,OG1219581,ANOGA05679,0.3928354584092289,0.3928354584092289,647,1647,1647
ANOGA,OG1236745,ANOGA04294,0.9885057471264368,0.9885057471264368,860,870,870
ANOGA,OG718578,ANOGA05248,0.40081442699243747,0.40081442699243747,689,1719,1719
ANOGA,OG341995,ANOGA04081,0.2995152354570637,0.2995152354570637,2595,8664,8664
ANOGA,OG1221689,ANOGA04113,0.9261168384879725,0.9261168384879725,2156,2328,2328
ANOGA,OG1246006,ANOGA05367,0.8970588235294118,0.8970588235294118,915,1020,1020
ANOGA,OG1216622,ANOGA05381,0.4056525353283458,0.4056525353283458,488,1203,1203
ANOGA,OG454890,ANOGA04502,0.8948948948948949,0.8948948948948949,894,999,999
ANOGA,OG968364,ANOGA07027,0.822609472743521,0.822609472743521,1841,2238,2238
ANOGA,OG964344,ANOGA04312,0.7191489361702128,0.7191489361702128,1014,1410,1410
ANOGA,OG1194738,ANOGA05637,0.9951790633608816,0.9951790633608816,1445,1452,1452
ANOGA,OG793899,ANOGA04677,1.0,1.0,603,603,603
ANOGA,OG853434,ANOGA04296,0.7361963190184049,0.7361963190184049,360,489,489
ANOGA,OG1197765,ANOGA04431,0.9661016949152542,0.9661016949152542,684,708,708
ANOGA,OG456720,ANOGA04313,0.8499384993849939,0.8499384993849939,691,813,813
ANOGA,OG961299,ANOGA05478,0.6553486673968602,0.6553486673968602,1795,2739,2739
ANOGA,OG1212040,ANOGA05460,0.8115462401176687,0.8115462401176687,4414,5439,5439
ANOGA,OG961564,ANOGA05927,0.6618666666666667,0.6618666666666667,1241,1875,1875
ANOGA,OG351572,ANOGA04255,0.8172635445362718,0.8172635445362718,890,1089,1089
ANOGA,OG968775,ANOGA04415,0.9721792890262752,0.9721792890262752,1887,1941,1941
ANOGA,OG1251511,ANOGA04057,0.9987046632124352,0.9987046632124352,2313,2316,2316
ANOGA,OG964929,ANOGA05473,0.7108938547486033,0.7108938547486033,1527,2148,2148
ANOGA,OG1079985,ANOGA04086,0.5701370662000583,0.5701370662000583,1955,3429,3429
ANOGA,OG1240929,ANOGA04635,0.24975984630163303,0.24975984630163303,260,1041,1041
ANOGA,OG420768,ANOGA04641,0.7869646182495345,0.7869646182495345,2113,2685,2685
ANOGA,OG817086,ANOGA04277,0.9070385126162018,0.9070385126162018,683,753,753
ANOGA,OG762076,ANOGA05710,0.7781954887218046,0.7781954887218046,621,798,798
ANOGA,OG861720,ANOGA05778,0.20155038759689922,0.20155038759689922,832,4128,4128
ANOGA,OG673136,ANOGA04099,0.2566510172143975,0.2566510172143975,328,1278,1278
ANOGA,OG1181227,ANOGA04642,0.900163666121113,0.900163666121113,1650,1833,1833
ANOGA,OG962019,ANOGA04699,0.3497076023391813,0.3497076023391813,299,855,855
ANOGA,OG964673,ANOGA05646,0.9398625429553265,0.9398625429553265,547,582,582
ANOGA,OG953548,ANOGA05931,0.9846153846153847,0.9846153846153847,1920,1950,1950
ANOGA,OG1157040,ANOGA04042,0.8045977011494253,0.8045977011494253,630,783,783
ANOGA,OG976835,ANOGA04087,0.7655613728912158,0.7655613728912158,1316,1719,1719
ANOGA,OG1146505,ANOGA04324,0.7779069767441861,0.7779069767441861,2007,2580,2580
ANOGA,OG1218490,ANOGA05471,0.7036231884057971,0.7036231884057971,971,1380,1380
ANOGA,OG455346,ANOGA04634,0.9329940627650551,0.9329940627650551,1100,1179,1179
ANOGA,OG1198488,ANOGA05707,0.9619978284473398,0.9619978284473398,1772,1842,1842
ANOGA,OG1198490,ANOGA05372,0.9939759036144579,0.9939759036144579,1485,1494,1494
ANOGA,OG457108,ANOGA04521,0.7943262411347518,0.7943262411347518,448,564,564
ANOGA,OG792914,ANOGA04135,0.7637130801687764,0.7637130801687764,905,1185,1185
ANOGA,OG961398,ANOGA05245,0.8622848200312989,0.8622848200312989,1102,1278,1278
ANOGA,OG967514,ANOGA05706,0.7962562994960403,0.7962562994960403,2212,2778,2778
ANOGA,OG823037,ANOGA04308,0.6985185185185185,0.6985185185185185,943,1350,1350
ANOGA,OG1139777,ANOGA04100,0.9661016949152542,0.9661016949152542,342,354,354
ANOGA,OG1146507,ANOGA05711,0.4048109965635739,0.4048109965635739,1178,2910,2910
ANOGA,OG1204971,ANOGA05312,0.485587899543379,0.485587899543379,3403,7008,7008
ANOGA,OG696447,ANOGA06521,0.737012987012987,0.737012987012987,681,924,924
ANOGA,OG814084,ANOGA05434,0.8252611585944919,0.8252611585944919,869,1053,1053
ANOGA,OG1214309,ANOGA05405,0.5049751243781094,0.5049751243781094,203,402,402
ANOGA,OG961011,ANOGA05472,0.8505007153075823,0.8505007153075823,2378,2796,2796
ANOGA,OG1231177,ANOGA04120,0.8933801991798477,0.8933801991798477,1525,1707,1707
ANOGA,OG971123,ANOGA04434,0.48409669211195927,0.48409669211195927,761,1572,1572
ANOGA,OG457572,ANOGA05354,0.773972602739726,0.773972602739726,339,438,438
ANOGA,OG925865,ANOGA05617,0.8442028985507246,0.8442028985507246,466,552,552
ANOGA,OG1168476,ANOGA04432,0.8652482269503546,0.8652482269503546,1098,1269,1269
ANOGA,OG1240328,ANOGA05641,0.41129943502824856,0.41129943502824856,364,885,885
ANOGA,OG960910,ANOGA05775,1.0,1.0,1314,1314,1314
ANOGA,OG1244115,ANOGA04136,0.7557471264367817,0.7557471264367817,263,348,348
ANOGA,OG926503,ANOGA04270,0.9979423868312757,0.9979423868312757,485,486,486
ANOGA,OG348620,ANOGA05652,0.9312714776632303,0.9312714776632303,1355,1455,1455
ANOGA,OG1152239,ANOGA06528,0.5425055928411633,0.5425055928411633,485,894,894
ANOGA,OG949414,ANOGA05260,0.4363376251788269,0.4363376251788269,305,699,699
ANOGA,OG949490,ANOGA04279,0.8955823293172691,0.8955823293172691,669,747,747
ANOGA,OG823022,ANOGA05671,0.6208708708708709,0.6208708708708709,827,1332,1332
ANOGA,OG665560,ANOGA04640,0.6330196749358425,0.6330196749358425,2220,3507,3507
ANOGA,OG944937,ANOGA05498,0.560303893637227,0.560303893637227,590,1053,1053
ANOGA,OG1174891,ANOGA04632,0.3890746934225195,0.3890746934225195,349,897,897
ANOGA,OG708597,ANOGA04416,0.19672131147540983,0.19672131147540983,504,2562,2562
ANOGA,OG698904,ANOGA04041,0.9512820512820512,0.9512820512820512,2968,3120,3120
