#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1157040,ANOGA04042,0.4240102171136654,0.4240102171136654,332,783,783
ANOGA,OG1181227,ANOGA04642,0.651936715766503,0.651936715766503,1195,1833,1833
ANOGA,OG964673,ANOGA05646,0.8865979381443299,0.8865979381443299,516,582,582
ANOGA,OG971123,ANOGA04434,0.22900763358778625,0.22900763358778625,360,1572,1572
ANOGA,OG842298,ANOGA04047,0.6378689704823615,0.6378689704823615,2658,4167,4167
ANOGA,OG853434,ANOGA04296,0.6768916155419223,0.6768916155419223,331,489,489
ANOGA,OG369576,ANOGA05331,0.1282051282051282,0.1282051282051282,70,546,546
ANOGA,OG1240929,ANOGA04635,0.5168107588856868,0.5168107588856868,538,1041,1041
ANOGA,OG1251552,ANOGA04696,0.8722222222222222,0.8722222222222222,471,540,540
ANOGA,OG961322,ANOGA05683,0.26277372262773724,0.26277372262773724,108,411,411
ANOGA,OG708597,ANOGA04416,0.20140515222482436,0.20140515222482436,516,2562,2562
ANOGA,OG793899,ANOGA04677,0.9187396351575456,0.9187396351575456,554,603,603
ANOGA,OG814870,ANOGA05303,0.12648981161091888,0.12648981161091888,658,5202,5202
ANOGA,OG1241986,ANOGA04040,0.5915708812260536,0.5915708812260536,772,1305,1305
ANOGA,OG977782,ANOGA05610,0.1044776119402985,0.1044776119402985,231,2211,2211
ANOGA,OG661167,ANOGA04541,0.6215277777777778,0.6215277777777778,537,864,864
ANOGA,OG1152239,ANOGA06528,0.2740492170022371,0.2740492170022371,245,894,894
ANOGA,OG796653,ANOGA04674,0.9077568134171907,0.9077568134171907,2165,2385,2385
ANOGA,OG784747,ANOGA04289,0.9984276729559748,0.9984276729559748,635,636,636
ANOGA,OG1150857,ANOGA04505,0.5167615433270082,0.5167615433270082,817,1581,1581
ANOGA,OG966098,ANOGA04644,0.6060943887030844,0.6060943887030844,1631,2691,2691
ANOGA,OG1191966,ANOGA05362,0.8863404689092762,0.8863404689092762,1739,1962,1962
ANOGA,OG978616,ANOGA04292,0.42245522062035823,0.42245522062035823,967,2289,2289
ANOGA,OG814084,ANOGA05434,0.5792972459639126,0.5792972459639126,610,1053,1053
ANOGA,OG1146505,ANOGA04324,0.6108527131782946,0.6108527131782946,1576,2580,2580
ANOGA,OG1198488,ANOGA05707,0.9549402823018458,0.9549402823018458,1759,1842,1842
ANOGA,OG877291,ANOGA05475,0.5321861057998726,0.5321861057998726,835,1569,1569
ANOGA,OG411836,ANOGA05239,0.8570336391437309,0.8570336391437309,1121,1308,1308
ANOGA,OG968775,ANOGA04415,0.12570839773312725,0.12570839773312725,244,1941,1941
ANOGA,OG664391,ANOGA04327,0.857451403887689,0.857451403887689,1191,1389,1389
ANOGA,OG926503,ANOGA04270,0.8600823045267489,0.8600823045267489,418,486,486
ANOGA,OG1246006,ANOGA05367,0.9509803921568627,0.9509803921568627,970,1020,1020
ANOGA,OG1231177,ANOGA04120,0.8424135910954892,0.8424135910954892,1438,1707,1707
ANOGA,OG698904,ANOGA04041,0.9003205128205128,0.9003205128205128,2809,3120,3120
ANOGA,OG1144131,ANOGA06520,0.44367176634214184,0.44367176634214184,957,2157,2157
ANOGA,OG1168476,ANOGA04432,0.6359338061465721,0.6359338061465721,807,1269,1269
ANOGA,OG961440,ANOGA04483,0.2651195499296765,0.2651195499296765,377,1422,1422
ANOGA,OG674682,ANOGA05648,0.5062189054726368,0.5062189054726368,407,804,804
ANOGA,OG1235653,ANOGA04515,0.9061333333333333,0.9061333333333333,1699,1875,1875
ANOGA,OG968364,ANOGA07027,0.7761394101876675,0.7761394101876675,1737,2238,2238
ANOGA,OG362545,ANOGA07030,0.2301845819761129,0.2301845819761129,212,921,921
ANOGA,OG958126,ANOGA04045,0.8048048048048048,0.8048048048048048,536,666,666
ANOGA,OG675570,ANOGA04091,0.16939890710382513,0.16939890710382513,155,915,915
ANOGA,OG962230,ANOGA04299,0.8032520325203252,0.8032520325203252,494,615,615
ANOGA,OG961377,ANOGA04332,0.7694524495677233,0.7694524495677233,801,1041,1041
ANOGA,OG719374,ANOGA05480,0.546542234984446,0.546542234984446,2284,4179,4179
ANOGA,OG761976,ANOGA04435,0.3014119091467158,0.3014119091467158,491,1629,1629
ANOGA,OG1139777,ANOGA04100,0.2937853107344633,0.2937853107344633,104,354,354
ANOGA,OG454890,ANOGA04502,0.26226226226226224,0.26226226226226224,262,999,999
ANOGA,OG1219581,ANOGA05679,0.3084395871281117,0.3084395871281117,508,1647,1647
ANOGA,OG1162063,ANOGA04462,0.29012345679012347,0.29012345679012347,423,1458,1458
ANOGA,OG822311,ANOGA04636,0.8085339168490153,0.8085339168490153,2217,2742,2742
ANOGA,OG986274,ANOGA04306,0.5009345794392523,0.5009345794392523,804,1605,1605
ANOGA,OG1204971,ANOGA05312,0.23045091324200914,0.23045091324200914,1615,7008,7008
ANOGA,OG924410,ANOGA04132,0.5800677310111272,0.5800677310111272,3597,6201,6201
ANOGA,OG944937,ANOGA05498,0.0788224121557455,0.0788224121557455,83,1053,1053
ANOGA,OG953548,ANOGA05931,0.9605128205128205,0.9605128205128205,1873,1950,1950
ANOGA,OG1222683,ANOGA04115,0.7153153153153153,0.7153153153153153,1191,1665,1665
ANOGA,OG1176412,ANOGA04492,0.20771513353115728,0.20771513353115728,630,3033,3033
ANOGA,OG1215812,ANOGA04116,0.728110599078341,0.728110599078341,474,651,651
ANOGA,OG1179969,ANOGA05488,0.5417075564278705,0.5417075564278705,1656,3057,3057
ANOGA,OG792914,ANOGA04135,0.42278481012658226,0.42278481012658226,501,1185,1185
ANOGA,OG352732,ANOGA04305,0.24262536873156343,0.24262536873156343,329,1356,1356
ANOGA,OG673136,ANOGA04099,0.42801251956181535,0.42801251956181535,547,1278,1278
ANOGA,OG961439,ANOGA04097,0.5577557755775577,0.5577557755775577,676,1212,1212
ANOGA,OG420493,ANOGA04637,0.21610169491525424,0.21610169491525424,153,708,708
ANOGA,OG419349,ANOGA04655,0.4116263440860215,0.4116263440860215,1225,2976,2976
ANOGA,OG1214658,ANOGA05631,0.5724331926863573,0.5724331926863573,407,711,711
ANOGA,OG967514,ANOGA05706,0.2526997840172786,0.2526997840172786,702,2778,2778
ANOGA,OG375937,ANOGA13872,0.09313725490196079,0.09313725490196079,76,816,816
ANOGA,OG988784,ANOGA04273,0.4042452830188679,0.4042452830188679,2571,6360,6360
ANOGA,OG961115,ANOGA04121,0.638121546961326,0.638121546961326,693,1086,1086
ANOGA,OG1223272,ANOGA04094,0.8426770969143851,0.8426770969143851,1939,2301,2301
ANOGA,OG1240968,ANOGA05685,0.8239277652370203,0.8239277652370203,1095,1329,1329
ANOGA,OG1202204,ANOGA05611,0.7856154910096819,0.7856154910096819,568,723,723
ANOGA,OG1221689,ANOGA04113,0.8161512027491409,0.8161512027491409,1900,2328,2328
ANOGA,OG962019,ANOGA04699,0.5309941520467836,0.5309941520467836,454,855,855
ANOGA,OG351572,ANOGA04255,0.699724517906336,0.699724517906336,762,1089,1089
ANOGA,OG1244115,ANOGA04136,0.7385057471264368,0.7385057471264368,257,348,348
ANOGA,OG823022,ANOGA05671,0.4189189189189189,0.4189189189189189,558,1332,1332
ANOGA,OG1174245,ANOGA04055,0.749721293199554,0.749721293199554,1345,1794,1794
ANOGA,OG896170,ANOGA04117,0.9592656339644291,0.9592656339644291,1672,1743,1743
ANOGA,OG932017,ANOGA04469,0.26772697150430746,0.26772697150430746,404,1509,1509
ANOGA,OG456479,ANOGA05459,0.47804878048780486,0.47804878048780486,882,1845,1845
ANOGA,OG1190683,ANOGA04295,0.9463986599664992,0.9463986599664992,1130,1194,1194
ANOGA,OG1212040,ANOGA05460,0.7096892811178526,0.7096892811178526,3860,5439,5439
ANOGA,OG762076,ANOGA05710,0.38847117794486213,0.38847117794486213,310,798,798
ANOGA,OG971355,ANOGA04093,0.7451349654739485,0.7451349654739485,1187,1593,1593
ANOGA,OG817086,ANOGA04277,0.9017264276228419,0.9017264276228419,679,753,753
ANOGA,OG961564,ANOGA05927,0.5504,0.5504,1032,1875,1875
ANOGA,OG823037,ANOGA04308,0.27111111111111114,0.27111111111111114,366,1350,1350
ANOGA,OG458150,ANOGA04629,0.16559139784946236,0.16559139784946236,77,465,465
ANOGA,OG961013,ANOGA04514,0.9967159277504105,0.9967159277504105,1821,1827,1827
ANOGA,OG1189787,ANOGA04698,0.9948979591836735,0.9948979591836735,585,588,588
ANOGA,OG455346,ANOGA04634,0.833757421543681,0.833757421543681,983,1179,1179
ANOGA,OG696447,ANOGA06521,0.5746753246753247,0.5746753246753247,531,924,924
ANOGA,OG986805,ANOGA05928,0.5562383612662942,0.5562383612662942,2987,5370,5370
ANOGA,OG1194738,ANOGA05637,0.9944903581267218,0.9944903581267218,1444,1452,1452
ANOGA,OG1251119,ANOGA04663,0.7969348659003831,0.7969348659003831,1040,1305,1305
ANOGA,OG456338,ANOGA05365,0.20283533260632497,0.20283533260632497,1116,5502,5502
ANOGA,OG1168250,ANOGA05380,0.4444444444444444,0.4444444444444444,152,342,342
ANOGA,OG946387,ANOGA05414,0.492816091954023,0.492816091954023,1029,2088,2088
ANOGA,OG451038,ANOGA04282,0.896505376344086,0.896505376344086,667,744,744
ANOGA,OG341995,ANOGA04081,0.14450600184672208,0.14450600184672208,1252,8664,8664
ANOGA,OG344070,ANOGA05629,0.28509130553284273,0.28509130553284273,1046,3669,3669
ANOGA,OG1221639,ANOGA05250,0.8518518518518519,0.8518518518518519,322,378,378
ANOGA,OG953187,ANOGA05445,0.7574074074074074,0.7574074074074074,409,540,540
ANOGA,OG1240325,ANOGA05642,0.2904040404040404,0.2904040404040404,230,792,792
ANOGA,OG456720,ANOGA04313,0.8659286592865929,0.8659286592865929,704,813,813
ANOGA,OG975279,ANOGA04631,0.6629834254143646,0.6629834254143646,1080,1629,1629
ANOGA,OG916860,ANOGA05486,0.4858548585485855,0.4858548585485855,395,813,813
ANOGA,OG960979,ANOGA05643,0.9983333333333333,0.9983333333333333,1198,1200,1200
ANOGA,OG970502,ANOGA04470,0.58311345646438,0.58311345646438,663,1137,1137
ANOGA,OG931899,ANOGA04558,0.11749174917491749,0.11749174917491749,178,1515,1515
ANOGA,OG1251511,ANOGA04057,0.9589810017271158,0.9589810017271158,2221,2316,2316
ANOGA,OG846448,ANOGA05497,0.4949928469241774,0.4949928469241774,346,699,699
ANOGA,OG1231901,ANOGA05639,0.22830494728304948,0.22830494728304948,563,2466,2466
ANOGA,OG960910,ANOGA05775,0.9908675799086758,0.9908675799086758,1302,1314,1314
ANOGA,OG949490,ANOGA04279,0.892904953145917,0.892904953145917,667,747,747
ANOGA,OG1081004,ANOGA04408,0.34309623430962344,0.34309623430962344,738,2151,2151
ANOGA,OG1225085,ANOGA05304,0.22920938710412395,0.22920938710412395,1006,4389,4389
ANOGA,OG1079985,ANOGA04086,0.42723826188393116,0.42723826188393116,1465,3429,3429
ANOGA,OG1197765,ANOGA04431,0.7584745762711864,0.7584745762711864,537,708,708
ANOGA,OG932104,ANOGA04539,0.3143418467583497,0.3143418467583497,480,1527,1527
