#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1204971,ANODA05655,0.11348110971699428,0.11348110971699428,814,7173,7173
ANODA,OG1251511,ANODA09076,0.66015625,0.66015625,1521,2304,2304
ANODA,OG961602,ANODA09075,0.8130511463844797,0.8130511463844797,461,567,567
ANODA,OG1179969,ANODA09026,0.2269857095380525,0.2269857095380525,683,3009,3009
ANODA,OG1190683,ANODA08567,0.7531172069825436,0.7531172069825436,906,1203,1203
ANODA,OG1221639,ANODA05486,0.42063492063492064,0.42063492063492064,159,378,378
ANODA,OG1192905,ANODA10252,0.47099311701081614,0.47099311701081614,479,1017,1017
ANODA,OG1224967,ANODA01667,0.6705555555555556,0.6705555555555556,1207,1800,1800
ANODA,OG960979,ANODA00582,0.7725,0.7725,927,1200,1200
ANODA,OG964633,ANODA05487,0.4631217838765009,0.4631217838765009,810,1749,1749
ANODA,OG1222683,ANODA08571,0.6102385107620709,0.6102385107620709,1049,1719,1719
ANODA,OG344070,ANODA02026,0.07527881040892194,0.07527881040892194,243,3228,3228
ANODA,OG1139777,ANODA01246,0.4444444444444444,0.4444444444444444,156,351,351
ANODA,OG342477,ANODA06162,0.1359977796280877,0.1359977796280877,490,3603,3603
ANODA,OG1152239,ANODA05622,0.17037037037037037,0.17037037037037037,161,945,945
ANODA,OG960910,ANODA08504,0.80441400304414,0.80441400304414,1057,1314,1314
ANODA,OG961299,ANODA07298,0.07706489675516225,0.07706489675516225,209,2712,2712
ANODA,OG946885,ANODA07717,0.42691415313225056,0.42691415313225056,552,1293,1293
ANODA,OG451043,ANODA08553,0.3386880856760375,0.3386880856760375,253,747,747
ANODA,OG978616,ANODA08564,0.15755366545159985,0.15755366545159985,389,2469,2469
ANODA,OG1229017,ANODA05596,0.4014336917562724,0.4014336917562724,1008,2511,2511
ANODA,OG456479,ANODA10251,0.4055745164960182,0.4055745164960182,713,1758,1758
ANODA,OG998211,ANODA01670,0.12503412503412503,0.12503412503412503,458,3663,3663
ANODA,OG451038,ANODA08555,0.33992094861660077,0.33992094861660077,258,759,759
ANODA,OG814870,ANODA05594,0.004576659038901602,0.004576659038901602,24,5244,5244
ANODA,OG1174245,ANODA09078,0.05265848670756646,0.05265848670756646,103,1956,1956
ANODA,OG1214309,ANODA07715,0.6230769230769231,0.6230769230769231,243,390,390
ANODA,OG1079985,ANODA06296,0.18336425479282623,0.18336425479282623,593,3234,3234
ANODA,OG846448,ANODA08490,0.5683930942895087,0.5683930942895087,428,753,753
ANODA,OG986805,ANODA04795,0.3007135575942915,0.3007135575942915,1475,4905,4905
ANODA,OG953187,ANODA09070,0.7055555555555556,0.7055555555555556,381,540,540
ANODA,OG419349,ANODA03242,0.011834319526627219,0.011834319526627219,36,3042,3042
ANODA,OG877291,ANODA07249,0.3136869679109365,0.3136869679109365,479,1527,1527
ANODA,OG661167,ANODA02918,0.2606689734717416,0.2606689734717416,226,867,867
ANODA,OG665560,ANODA06166,0.23166241857830644,0.23166241857830644,818,3531,3531
ANODA,OG722946,ANODA07079,0.45962199312714774,0.45962199312714774,535,1164,1164
ANODA,OG1198488,ANODA06785,0.9077090119435396,0.9077090119435396,1672,1842,1842
ANODA,OG1236745,ANODA08566,0.3091118800461361,0.3091118800461361,268,867,867
ANODA,OG1168476,ANODA06616,0.21606425702811244,0.21606425702811244,269,1245,1245
ANODA,OG784747,ANODA08561,0.6918238993710691,0.6918238993710691,440,636,636
ANODA,OG958126,ANODA01492,0.1975867269984917,0.1975867269984917,131,663,663
ANODA,OG1216622,ANODA06914,0.12106918238993711,0.12106918238993711,154,1272,1272
ANODA,OG953548,ANODA07452,0.8928205128205128,0.8928205128205128,1741,1950,1950
ANODA,OG986274,ANODA04898,0.45165394402035625,0.45165394402035625,710,1572,1572
ANODA,OG1139996,ANODA03476,0.29842573579739906,0.29842573579739906,436,1461,1461
ANODA,OG976835,ANODA06297,0.6672473867595818,0.6672473867595818,1149,1722,1722
ANODA,OG762076,ANODA10391,0.2515964240102171,0.2515964240102171,197,783,783
ANODA,OG1194738,ANODA04923,0.918732782369146,0.918732782369146,1334,1452,1452
ANODA,OG964929,ANODA07247,0.17017543859649123,0.17017543859649123,291,1710,1710
ANODA,OG817086,ANODA08550,0.41426611796982166,0.41426611796982166,302,729,729
ANODA,OG1174608,ANODA04336,0.6238738738738738,0.6238738738738738,277,444,444
ANODA,OG1198490,ANODA04841,0.8982597054886211,0.8982597054886211,1342,1494,1494
ANODA,OG966098,ANODA06161,0.4487339144873391,0.4487339144873391,1081,2409,2409
ANODA,OG964344,ANODA02629,0.5714285714285714,0.5714285714285714,792,1386,1386
ANODA,OG671266,ANODA07081,0.8722234126133848,0.8722234126133848,12212,14001,14001
ANODA,OG698997,ANODA05980,0.5548286604361371,0.5548286604361371,1781,3210,3210
ANODA,OG926503,ANODA08545,0.8559670781893004,0.8559670781893004,416,486,486
ANODA,OG1241986,ANODA03573,0.29022324865280985,0.29022324865280985,377,1299,1299
ANODA,OG978865,ANODA08940,0.4759095378564405,0.4759095378564405,484,1017,1017
ANODA,OG796653,ANODA01604,0.2942643391521197,0.2942643391521197,708,2406,2406
ANODA,OG373241,ANODA00581,0.6186186186186187,0.6186186186186187,206,333,333
ANODA,OG792952,ANODA03657,0.12863849765258217,0.12863849765258217,137,1065,1065
ANODA,OG674682,ANODA07073,0.25304136253041365,0.25304136253041365,208,822,822
ANODA,OG1218158,ANODA08565,0.9415954415954416,0.9415954415954416,661,702,702
ANODA,OG961011,ANODA07246,0.5827980014275518,0.5827980014275518,1633,2802,2802
ANODA,OG1244115,ANODA03659,0.9942528735632183,0.9942528735632183,346,348,348
ANODA,OG1240968,ANODA05983,0.6064073226544623,0.6064073226544623,795,1311,1311
ANODA,OG1235653,ANODA08957,0.25333333333333335,0.25333333333333335,475,1875,1875
ANODA,OG946387,ANODA07723,0.18577648766328012,0.18577648766328012,384,2067,2067
ANODA,OG1150857,ANODA10330,0.14406268836648584,0.14406268836648584,239,1659,1659
ANODA,OG960945,ANODA08768,0.2943805874840358,0.2943805874840358,461,1566,1566
ANODA,OG1183200,ANODA07300,0.13600891861761427,0.13600891861761427,122,897,897
ANODA,OG1212040,ANODA10250,0.4753689860072839,0.4753689860072839,2480,5217,5217
ANODA,OG822311,ANODA06170,0.3749072011878248,0.3749072011878248,1010,2694,2694
ANODA,OG971355,ANODA03504,0.10620012277470842,0.10620012277470842,173,1629,1629
ANODA,OG1215812,ANODA08572,0.808868501529052,0.808868501529052,529,654,654
ANODA,OG1251119,ANODA03237,0.7579908675799086,0.7579908675799086,996,1314,1314
ANODA,OG456351,ANODA09077,0.05108631826189078,0.05108631826189078,261,5109,5109
ANODA,OG460076,ANODA05621,0.3734261100066269,0.3734261100066269,1127,3018,3018
ANODA,OG961439,ANODA01669,0.1453437771975631,0.1453437771975631,167,1149,1149
ANODA,OG341995,ANODA06295,0.02567582852618482,0.02567582852618482,227,8841,8841
ANODA,OG963232,ANODA07139,0.1011433597185576,0.1011433597185576,115,1137,1137
ANODA,OG896170,ANODA03515,0.946611909650924,0.946611909650924,1383,1461,1461
ANODA,OG696447,ANODA04792,0.6043715846994535,0.6043715846994535,553,915,915
ANODA,OG348620,ANODA06924,0.4142752023546726,0.4142752023546726,563,1359,1359
ANODA,OG1197765,ANODA06617,0.37796373779637377,0.37796373779637377,271,717,717
ANODA,OG1225085,ANODA05595,0.09065934065934066,0.09065934065934066,396,4368,4368
ANODA,OG842298,ANODA01152,0.3955604075691412,0.3955604075691412,1087,2748,2748
ANODA,OG1223272,ANODA01666,0.5780780780780781,0.5780780780780781,1155,1998,1998
ANODA,OG1203459,ANODA03477,0.1839430894308943,0.1839430894308943,181,984,984
ANODA,OG1218157,ANODA08542,0.11725955204216074,0.11725955204216074,89,759,759
ANODA,OG1202789,ANODA06915,0.6902961562696912,0.6902961562696912,2191,3174,3174
ANODA,OG1242667,ANODA10318,0.011097410604192354,0.011097410604192354,27,2433,2433
ANODA,OG1176412,ANODA07141,0.12140992167101827,0.12140992167101827,279,2298,2298
