#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG451038,ANODA08555,0.8853754940711462,0.8853754940711462,672,759,759
ANODA,OG1162063,ANODA08486,0.5946666666666667,0.5946666666666667,892,1500,1500
ANODA,OG671266,ANODA07081,0.9981429897864438,0.9981429897864438,13975,14001,14001
ANODA,OG949414,ANODA06508,0.881159420289855,0.881159420289855,608,690,690
ANODA,OG348620,ANODA06924,0.8520971302428256,0.8520971302428256,1158,1359,1359
ANODA,OG1221689,ANODA08570,0.9685209141871496,0.9685209141871496,2246,2319,2319
ANODA,OG823037,ANODA01777,0.16518518518518518,0.16518518518518518,223,1350,1350
ANODA,OG951333,ANODA08505,0.9,0.9,405,450,450
ANODA,OG1221639,ANODA05486,0.6005291005291006,0.6005291005291006,227,378,378
ANODA,OG1218490,ANODA07244,0.6529080675422139,0.6529080675422139,1044,1599,1599
ANODA,OG967514,ANODA06786,0.7946127946127947,0.7946127946127947,2360,2970,2970
ANODA,OG966098,ANODA06161,0.937733499377335,0.937733499377335,2259,2409,2409
ANODA,OG1231901,ANODA00788,0.6262254901960784,0.6262254901960784,1533,2448,2448
ANODA,OG419349,ANODA03242,0.18967784352399736,0.18967784352399736,577,3042,3042
ANODA,OG411836,ANODA03579,0.7420091324200914,0.7420091324200914,975,1314,1314
ANODA,OG1235653,ANODA08957,0.8186666666666667,0.8186666666666667,1535,1875,1875
ANODA,OG708597,ANODA05161,0.2463627546071775,0.2463627546071775,762,3093,3093
ANODA,OG960979,ANODA00582,1.0,1.0,1200,1200,1200
ANODA,OG916860,ANODA09028,0.3126520681265207,0.3126520681265207,257,822,822
ANODA,OG823032,ANODA05893,0.6128787878787879,0.6128787878787879,809,1320,1320
ANODA,OG696447,ANODA04792,0.9890710382513661,0.9890710382513661,905,915,915
ANODA,OG1251511,ANODA09076,0.8910590277777778,0.8910590277777778,2053,2304,2304
ANODA,OG457329,ANODA01668,0.20080321285140562,0.20080321285140562,150,747,747
ANODA,OG978865,ANODA08940,0.8249754178957719,0.8249754178957719,839,1017,1017
ANODA,OG342477,ANODA06162,0.7091312794893144,0.7091312794893144,2555,3603,3603
ANODA,OG674682,ANODA07073,0.7396593673965937,0.7396593673965937,608,822,822
ANODA,OG946885,ANODA07717,0.9110595514307811,0.9110595514307811,1178,1293,1293
ANODA,OG1194738,ANODA04923,0.9979338842975206,0.9979338842975206,1449,1452,1452
ANODA,OG964344,ANODA02629,0.816017316017316,0.816017316017316,1131,1386,1386
ANODA,OG457572,ANODA02309,0.5607064017660044,0.5607064017660044,254,453,453
ANODA,OG792952,ANODA03657,0.9530516431924883,0.9530516431924883,1015,1065,1065
ANODA,OG961299,ANODA07298,0.6839970501474927,0.6839970501474927,1855,2712,2712
ANODA,OG344070,ANODA02026,0.3277571251548947,0.3277571251548947,1058,3228,3228
ANODA,OG1216622,ANODA06914,0.6682389937106918,0.6682389937106918,850,1272,1272
ANODA,OG961011,ANODA07246,0.7369735902926481,0.7369735902926481,2065,2802,2802
ANODA,OG1190683,ANODA08567,0.798836242726517,0.798836242726517,961,1203,1203
ANODA,OG961115,ANODA03651,0.8686868686868687,0.8686868686868687,946,1089,1089
ANODA,OG1230391,ANODA03599,0.08687440982058546,0.08687440982058546,92,1059,1059
ANODA,OG1183200,ANODA07300,0.40022296544035674,0.40022296544035674,359,897,897
ANODA,OG1139996,ANODA03476,0.39561943874058864,0.39561943874058864,578,1461,1461
ANODA,OG1198488,ANODA06785,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANODA,OG970502,ANODA05891,0.8496042216358839,0.8496042216358839,966,1137,1137
ANODA,OG953548,ANODA07452,0.9405128205128205,0.9405128205128205,1834,1950,1950
ANODA,OG1150674,ANODA06923,0.4307116104868914,0.4307116104868914,345,801,801
ANODA,OG926503,ANODA08545,1.0,1.0,486,486,486
ANODA,OG1189787,ANODA07757,0.8809523809523809,0.8809523809523809,518,588,588
ANODA,OG341995,ANODA06295,0.40097274064019905,0.40097274064019905,3545,8841,8841
ANODA,OG362633,ANODA07026,0.07151979565772669,0.07151979565772669,112,1566,1566
ANODA,OG451043,ANODA08553,0.8888888888888888,0.8888888888888888,664,747,747
ANODA,OG1219581,ANODA05977,0.1984551396316102,0.1984551396316102,334,1683,1683
ANODA,OG1236745,ANODA08566,0.9884659746251442,0.9884659746251442,857,867,867
ANODA,OG1203459,ANODA03477,0.9034552845528455,0.9034552845528455,889,984,984
ANODA,OG924410,ANODA03655,0.7537842190016103,0.7537842190016103,4681,6210,6210
ANODA,OG784747,ANODA08561,0.9984276729559748,0.9984276729559748,635,636,636
ANODA,OG932104,ANODA02917,0.655150351887396,0.655150351887396,1024,1563,1563
ANODA,OG899270,ANODA01952,0.7130124777183601,0.7130124777183601,1200,1683,1683
ANODA,OG946387,ANODA07723,0.6429608127721336,0.6429608127721336,1329,2067,2067
ANODA,OG456648,ANODA01951,0.42661179698216734,0.42661179698216734,622,1458,1458
ANODA,OG793899,ANODA01385,0.9966832504145937,0.9966832504145937,601,603,603
ANODA,OG761976,ANODA05741,0.5861635220125786,0.5861635220125786,932,1590,1590
ANODA,OG1179948,ANODA10325,0.849290780141844,0.849290780141844,479,564,564
ANODA,OG986805,ANODA04795,0.78144750254842,0.78144750254842,3833,4905,4905
ANODA,OG961322,ANODA05981,0.9367396593673966,0.9367396593673966,385,411,411
ANODA,OG960910,ANODA08504,1.0,1.0,1314,1314,1314
