#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,3.9730941704035874,3.205473573389267
ANOSI,OG676343,ANOSI11914,1.955223880597015,0.20681203672464205
ANOSI,OG951333,ANOSI11872,3.2,1.2955181770005297
ANOSI,OG960910,ANOSI11898,13.831652443754848,6.773314394172755
ANOSI,OG848281,ANOSI16815,6.5627450980392155,4.844947268347119
ANOSI,OG1221639,ANOSI13259,1.1824817518248176,0.3862410673086994
ANOSI,OG964633,ANOSI13303,30.053691275167786,73.14891588923557
ANOSI,OG718578,ANOSI13311,3.785031847133758,3.436405714500916
ANOSI,OG961398,ANOSI02900,4.099462365591398,3.1738683922249034
ANOSI,OG411836,ANOSI13282,6.264631043256998,6.771155401743336
ANOSI,OG1241986,ANOSI13275,3.0745920745920747,1.8216600523745843
ANOSI,OG698904,ANOSI13273,7.701977401129944,4.725160630342648
ANOSI,OG1157040,ANOSI13306,4.189944134078212,2.753405103082993
ANOSI,OG958126,ANOSI13277,1.1310861423220975,0.337494541605058
ANOSI,OG842298,ANOSI13293,5.411185506104766,4.026924074235324
ANOSI,OG1174245,ANOSI10141,6.828109201213347,3.809781801538633
ANOSI,OG456351,ANOSI10182,10.907853403141361,29.431184997650774
ANOSI,OG1251511,ANOSI10202,8.310152990264255,4.150702341242651
ANOSI,OG961602,ANOSI10095,8.205047318611987,4.615046002310181
ANOSI,OG953187,ANOSI10125,9.63758389261745,4.572872200045704
ANOSI,OG814084,ANOSI08197,3.9886749716874292,2.5984329169113485
ANOSI,OG699681,ANOSI08225,2.339622641509434,0.892527953012535
ANOSI,OG946387,ANOSI17759,6.278884462151394,4.227248965383547
ANOSI,OG946885,ANOSI17776,6.6939736346516,4.90527421204463
ANOSI,OG1214309,ANOSI17769,2.3438485804416405,0.901314330748958
ANOSI,OG341995,ANOSI16311,3.695873015873016,3.0777566737162947
ANOSI,OG1079985,ANOSI16316,3.361915367483296,2.8574868460314358
ANOSI,OG976835,ANOSI16315,9.739193083573488,6.559832572822878
ANOSI,OG675570,ANOSI13707,nan,nan
ANOSI,OG971355,ANOSI13700,11.106649937264743,4.2148888805278855
ANOSI,OG1223272,ANOSI13699,5.720104438642298,4.376412922408208
ANOSI,OG1224967,ANOSI13721,6.065883887801696,4.113867351293568
ANOSI,OG457329,ANOSI13708,2.2235772357723578,0.8987417854312572
ANOSI,OG961439,ANOSI13690,4.006593406593407,1.7471988380653036
ANOSI,OG998211,ANOSI13712,4.139735099337749,2.8715913734235157
ANOSI,OG673136,ANOSI13684,3.5662983425414363,3.475609108260402
ANOSI,OG1139777,ANOSI13705,1.9657142857142857,0.39852790340943295
ANOSI,OG1221689,ANOSI12385,5.723138430784608,3.7269778860687803
ANOSI,OG1222683,ANOSI12376,6.8518859245630175,4.90471804416753
ANOSI,OG1215812,ANOSI12428,6.692468619246862,3.585708757699146
ANOSI,OG896170,ANOSI12371,9.593926553672317,4.747695528439437
ANOSI,OG1231177,ANOSI05477,5.086142322097379,3.2573849984970398
ANOSI,OG961115,ANOSI05647,3.725663716814159,2.055939878007903
ANOSI,OG911937,ANOSI05566,4.0,2.310462138646216
ANOSI,OG924410,ANOSI05511,5.278171788810087,3.619418198339443
ANOSI,OG792952,ANOSI05501,4.794037940379404,3.4379308090598655
