#species,og,gene_id,coverage,std
ANOGA,OG861720,ANOGA05778,83.96461187214612,321.03544052787294
ANOGA,OG676343,ANOGA05773,7.92020202020202,6.76433725837546
ANOGA,OG951333,ANOGA05777,55.490196078431374,30.418519333605772
ANOGA,OG960910,ANOGA05775,142.6537290715373,50.41605774738927
ANOGA,OG848281,ANOGA05255,36.038300835654596,20.204678528468246
ANOGA,OG1221639,ANOGA05250,27.8343949044586,16.061326393719142
ANOGA,OG964633,ANOGA05249,57.510975609756095,56.13331150060359
ANOGA,OG718578,ANOGA05248,20.112716763005782,14.606654201235097
ANOGA,OG961398,ANOGA05245,21.068493150684933,15.49904376443877
ANOGA,OG411836,ANOGA05239,51.535601265822784,31.52024161208237
ANOGA,OG1241986,ANOGA04040,32.8597502401537,21.075946187979316
ANOGA,OG698904,ANOGA04041,68.2330222079176,24.59222175957768
ANOGA,OG1157040,ANOGA04042,43.27190332326284,16.033059567543365
ANOGA,OG958126,ANOGA04045,32.55820105820106,24.450642409231826
ANOGA,OG842298,ANOGA04047,74.74699718885765,188.51815480568686
ANOGA,OG1174245,ANOGA04055,39.1276455026455,23.61306758119132
ANOGA,OG456351,ANOGA04056,29.991764080765144,56.09942295864466
ANOGA,OG1251511,ANOGA04057,73.01554404145078,24.68927312483828
ANOGA,OG961602,ANOGA04058,52.730923694779115,27.69048463475189
ANOGA,OG953187,ANOGA05445,55.61100196463654,20.82139307079717
ANOGA,OG814084,ANOGA05434,36.98140900195695,21.508853289626444
ANOGA,OG699681,ANOGA05433,35.24188790560472,13.266072813053611
ANOGA,OG946387,ANOGA05414,43.24735169491525,24.370653532059837
ANOGA,OG946885,ANOGA05407,40.24764890282132,31.648809361029283
ANOGA,OG1214309,ANOGA05405,31.015706806282722,11.95759367473045
ANOGA,OG341995,ANOGA04081,34.60176198297745,58.27511804524969
ANOGA,OG1079985,ANOGA04086,63.83976833976834,77.00967823612352
ANOGA,OG976835,ANOGA04087,78.3925,36.99638081961532
ANOGA,OG675570,ANOGA04091,9.747787610619469,7.157403461372919
ANOGA,OG971355,ANOGA04093,99.95914519170333,52.30671729391005
ANOGA,OG1223272,ANOGA04094,83.75860507246377,58.37251661424462
ANOGA,OG1224967,ANOGA04095,51.09534750143596,22.86144581928642
ANOGA,OG457329,ANOGA04096,6.375,3.233666219977291
ANOGA,OG961439,ANOGA04097,24.751396648044693,18.769096368666812
ANOGA,OG998211,ANOGA04098,31.84576393917451,26.84934161843194
ANOGA,OG673136,ANOGA04099,16.525339925834363,11.880624321927044
ANOGA,OG1139777,ANOGA04100,18.208333333333332,3.7222851510908916
ANOGA,OG1221689,ANOGA04113,47.24072438162544,22.496994353742082
ANOGA,OG1222683,ANOGA04115,55.04584717607973,28.114784142959664
ANOGA,OG1215812,ANOGA04116,42.19055374592834,26.6151454889919
ANOGA,OG896170,ANOGA04117,68.88123924268503,18.591239963980332
ANOGA,OG1231177,ANOGA04120,47.52055660974067,29.939329141084738
ANOGA,OG961115,ANOGA04121,30.869565217391305,22.31763923773403
ANOGA,OG911937,ANOGA04125,31.18576195773081,19.95526079861314
ANOGA,OG924410,ANOGA04132,49.23502538071066,34.32641302394887
ANOGA,OG792952,ANOGA04134,32.961968680089484,13.150084718941933
ANOGA,OG792914,ANOGA04135,23.23747016706444,12.524141052905458
ANOGA,OG1244115,ANOGA04136,33.91954022988506,8.884273061685377
ANOGA,OG1170587,ANOGA04139,51.57903511514015,28.093914498889514
ANOGA,OG1226379,ANOGA04627,47.20526793823797,28.073013818533052
ANOGA,OG458150,ANOGA04629,7.223684210526316,6.201334075933149
ANOGA,OG975279,ANOGA04631,59.863751584283904,37.43341961469488
ANOGA,OG1174891,ANOGA04632,31.252830188679244,16.370866173957612
ANOGA,OG455346,ANOGA04634,65.05803571428571,26.43849377866369
ANOGA,OG1240929,ANOGA04635,32.15017064846416,23.947187281530663
ANOGA,OG822311,ANOGA04636,54.882375189107414,23.52615001975079
ANOGA,OG420493,ANOGA04637,50.70397111913358,12.116719604641565
ANOGA,OG665560,ANOGA04640,33.71621621621622,25.215606331623224
ANOGA,OG420768,ANOGA04641,52.707000864304234,30.136432398833676
ANOGA,OG1181227,ANOGA04642,54.43464467005076,24.637334814299887
ANOGA,OG342477,ANOGA04643,291.8618737616756,1088.6000938520408
ANOGA,OG966098,ANOGA04644,49.711479198767336,20.951452596818857
ANOGA,OG419349,ANOGA04655,32.75512934879572,27.289724550058384
ANOGA,OG736122,ANOGA04659,21.92154065620542,17.36084616751315
ANOGA,OG1251119,ANOGA04663,49.259706643658326,22.51489447189271
ANOGA,OG796653,ANOGA04674,68.84282655246253,20.395608938181017
ANOGA,OG793899,ANOGA04677,32.33167495854063,17.561154223423326
ANOGA,OG899270,ANOGA04679,40.94671864847304,19.618115491671418
ANOGA,OG456648,ANOGA04680,34.65483584738243,35.36681568101566
ANOGA,OG1251552,ANOGA04696,22.097421203438394,14.14828223488441
ANOGA,OG1189787,ANOGA04698,31.556701030927837,12.839989941355975
