#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,7.33265306122449,3.0781579274904436
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,12.920987654320987,2.9277183653842247
ANODA,OG960910,ANODA08504,54.7351598173516,16.603667133051477
ANODA,OG848281,ANODA03007,8.02032235459005,4.258830691509897
ANODA,OG1221639,ANODA05486,nan,nan
ANODA,OG964633,ANODA05487,29.222846441947567,21.060365112322007
ANODA,OG718578,ANODA00549,4.027397260273973,3.5066229181399167
ANODA,OG961398,ANODA01312,9.239819004524886,5.429552781413462
ANODA,OG411836,ANODA03579,9.623336745138179,5.805742041921035
ANODA,OG1241986,ANODA03573,28.41322314049587,14.044377376457707
ANODA,OG698904,ANODA03572,22.753246753246753,11.16919767248662
ANODA,OG1157040,ANODA03571,8.745362563237775,3.290476253490877
ANODA,OG958126,ANODA01492,8.824786324786325,4.437513086204968
ANODA,OG842298,ANODA01152,9.934462773071779,6.900585889036293
ANODA,OG1174245,ANODA09078,17.818691588785047,10.422693885016981
ANODA,OG456351,ANODA09077,10.354430379746836,21.711146728143937
ANODA,OG1251511,ANODA09076,24.513525698827774,8.356789495454661
ANODA,OG961602,ANODA09075,14.525050100200401,5.139816063423539
ANODA,OG953187,ANODA09070,10.552062868369351,2.741613514706986
ANODA,OG814084,ANODA09331,14.010775862068966,10.741370445767638
ANODA,OG699681,ANODA09332,2.148936170212766,0.5504961223552712
ANODA,OG946387,ANODA07723,7.099848714069592,4.158437458362887
ANODA,OG946885,ANODA07717,18.516798418972332,7.177638366250931
ANODA,OG1214309,ANODA07715,1.5209580838323353,0.499560565619502
ANODA,OG341995,ANODA06295,4.379402585822559,2.7929061465449183
ANODA,OG1079985,ANODA06296,16.57080291970803,9.5395564780624
ANODA,OG976835,ANODA06297,26.250368188512518,18.691489459509445
ANODA,OG675570,ANODA03502,nan,nan
ANODA,OG971355,ANODA03504,27.918432883750803,12.939378465670805
ANODA,OG1223272,ANODA01666,25.36,8.089539938108743
ANODA,OG1224967,ANODA01667,14.866955445544555,8.607301594035622
ANODA,OG457329,ANODA01668,nan,nan
ANODA,OG961439,ANODA01669,8.114854517611025,4.328117039484022
ANODA,OG998211,ANODA01670,6.889014722536806,3.2757600836280822
ANODA,OG673136,ANODA03220,3.4328358208955225,0.9014727683905372
ANODA,OG1139777,ANODA01246,1.8775510204081634,0.3278036409022247
ANODA,OG1221689,ANODA08570,21.184664246823957,8.126770131107303
ANODA,OG1222683,ANODA08571,20.179335793357932,5.687263001166588
ANODA,OG1215812,ANODA08572,6.066235864297254,4.280980276965436
ANODA,OG896170,ANODA03515,31.98135359116022,11.649416571446132
ANODA,OG1231177,ANODA03650,36.30317040951123,11.841752833084474
ANODA,OG961115,ANODA03651,8.167591564927857,5.881336163249409
ANODA,OG911937,ANODA03653,22.752244165170556,9.166307998566513
ANODA,OG924410,ANODA03655,15.399686169020399,10.596048879792589
ANODA,OG792952,ANODA03657,18.037401574803148,6.663641116778864
ANODA,OG792914,ANODA03658,13.416149068322982,7.167004282663469
ANODA,OG1244115,ANODA03659,5.684824902723736,1.4353388909894618
ANODA,OG1170587,ANODA03456,28.982353578001515,14.532750467909434
ANODA,OG1226379,ANODA02643,15.59538784067086,5.445731860776363
ANODA,OG458150,ANODA02645,nan,nan
ANODA,OG975279,ANODA02647,9.635761589403973,5.290995167750757
ANODA,OG1174891,ANODA02648,7.442536327608983,4.085730934098984
ANODA,OG455346,ANODA06172,20.05979381443299,8.983979553476361
ANODA,OG1240929,ANODA06171,3.85480572597137,0.79452524253834
ANODA,OG822311,ANODA06170,41.08446519524618,22.70716915790246
ANODA,OG420493,ANODA06168,12.111825192802057,8.246310323031476
ANODA,OG665560,ANODA06166,16.95625812039844,10.611542904755732
ANODA,OG420768,ANODA06165,17.640273704789834,10.38353557651635
