#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG986274,ANOST00366,0.9786821705426356,0.9786821705426356,1515,1548,1548
ANOST,OG949414,ANOST00379,0.8867684478371501,0.8867684478371501,697,786,786
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG946387,ANOST00073,0.9702209414024976,0.9702209414024976,2020,2082,2082
ANOST,OG1226379,ANOST00147,0.8662079510703364,0.8662079510703364,1133,1308,1308
ANOST,OG792914,ANOST00139,0.9301745635910225,0.9301745635910225,1119,1203,1203
ANOST,OG1251119,ANOST00180,0.8638704930095659,0.8638704930095659,1174,1359,1359
ANOST,OG1079985,ANOST00101,0.9795141937371964,0.9795141937371964,3347,3417,3417
ANOST,OG673136,ANOST00116,0.7748815165876777,0.7748815165876777,981,1266,1266
ANOST,OG839253,ANOST00256,1.0,1.0,333,333,333
ANOST,OG1146507,ANOST00365,0.9181286549707602,0.9181286549707602,2669,2907,2907
ANOST,OG1225085,ANOST00424,0.8518270944741533,0.8518270944741533,3823,4488,4488
ANOST,OG823037,ANOST00337,0.8913690476190477,0.8913690476190477,1198,1344,1344
ANOST,OG351572,ANOST00298,0.9471766848816029,0.9471766848816029,1040,1098,1098
ANOST,OG1202789,ANOST00471,0.9680821537607549,0.9680821537607549,3488,3603,3603
ANOST,OG1139777,ANOST00117,0.9971751412429378,0.9971751412429378,353,354,354
ANOST,OG352732,ANOST00335,0.9263392857142857,0.9263392857142857,1245,1344,1344
ANOST,OG699681,ANOST00058,1.0,1.0,339,339,339
ANOST,OG964344,ANOST00343,0.9971570717839374,0.9971570717839374,1403,1407,1407
ANOST,OG1229017,ANOST00425,0.9688149688149689,0.9688149688149689,2796,2886,2886
ANOST,OG375937,ANOST00377,0.15037593984962405,0.15037593984962405,120,798,798
ANOST,OG1179948,ANOST00550,0.973404255319149,0.973404255319149,549,564,564
ANOST,OG1204971,ANOST00430,0.7353025114155252,0.7353025114155252,5153,7008,7008
ANOST,OG961322,ANOST00232,0.8126520681265207,0.8126520681265207,334,411,411
ANOST,OG968775,ANOST00395,0.9923150816522575,0.9923150816522575,2066,2082,2082
ANOST,OG719374,ANOST00503,0.9228195937873357,0.9228195937873357,3862,4185,4185
ANOST,OG949490,ANOST00312,0.8825136612021858,0.8825136612021858,646,732,732
ANOST,OG961377,ANOST00356,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOST,OG970502,ANOST00530,0.9322779243623571,0.9322779243623571,1060,1137,1137
ANOST,OG456648,ANOST00195,0.8095238095238095,0.8095238095238095,1156,1428,1428
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG1150857,ANOST00554,0.974910394265233,0.974910394265233,1632,1674,1674
ANOST,OG1176412,ANOST00547,0.9690548267743021,0.9690548267743021,2881,2973,2973
ANOST,OG675570,ANOST00108,0.5789473684210527,0.5789473684210527,528,912,912
ANOST,OG932104,ANOST00578,0.869431643625192,0.869431643625192,1132,1302,1302
ANOST,OG967514,ANOST00212,0.9453010279001468,0.9453010279001468,2575,2724,2724
ANOST,OG344070,ANOST00277,0.7903275176002449,0.7903275176002449,2582,3267,3267
ANOST,OG988784,ANOST00369,0.9532679738562092,0.9532679738562092,5834,6120,6120
