#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG456338,ANOST00458,0.7052536231884058,0.7052536231884058,3893,5520,5520
ANOST,OG978616,ANOST00322,0.7992125984251969,0.7992125984251969,1827,2286,2286
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG1191966,ANOST00456,0.9768875192604006,0.9768875192604006,1902,1947,1947
ANOST,OG953548,ANOST00599,1.0,1.0,1947,1947,1947
ANOST,OG1208321,ANOST00225,0.9277320153761669,0.9277320153761669,8447,9105,9105
ANOST,OG1081004,ANOST00389,0.6666666666666666,0.6666666666666666,1292,1938,1938
ANOST,OG828830,ANOST00552,0.4251497005988024,0.4251497005988024,213,501,501
ANOST,OG960910,ANOST00006,0.9445644348452124,0.9445644348452124,1312,1389,1389
ANOST,OG1150857,ANOST00554,0.7520908004778972,0.7520908004778972,1259,1674,1674
ANOST,OG1240968,ANOST00230,0.8969149736644093,0.8969149736644093,1192,1329,1329
ANOST,OG1251511,ANOST00045,0.962532299741602,0.962532299741602,2235,2322,2322
ANOST,OG1152239,ANOST00609,0.6417748917748918,0.6417748917748918,593,924,924
ANOST,OG979200,ANOST00416,0.35906432748538014,0.35906432748538014,614,1710,1710
ANOST,OG961322,ANOST00232,0.8418491484184915,0.8418491484184915,346,411,411
ANOST,OG761976,ANOST00415,0.6483585858585859,0.6483585858585859,1027,1584,1584
ANOST,OG342477,ANOST00163,0.8620782726045884,0.8620782726045884,3194,3705,3705
ANOST,OG971355,ANOST00110,0.9974937343358395,0.9974937343358395,1592,1596,1596
ANOST,OG958126,ANOST00036,0.8678678678678678,0.8678678678678678,578,666,666
ANOST,OG362633,ANOST00370,0.19597989949748743,0.19597989949748743,234,1194,1194
ANOST,OG1216622,ANOST00470,0.8289992119779354,0.8289992119779354,1052,1269,1269
ANOST,OG986274,ANOST00366,0.9702842377260982,0.9702842377260982,1502,1548,1548
ANOST,OG1197765,ANOST00410,0.9507246376811594,0.9507246376811594,656,690,690
ANOST,OG978865,ANOST00481,0.6411012782694199,0.6411012782694199,652,1017,1017
ANOST,OG1202789,ANOST00471,0.9208992506244796,0.9208992506244796,3318,3603,3603
ANOST,OG988784,ANOST00369,0.7834967320261438,0.7834967320261438,4795,6120,6120
ANOST,OG664391,ANOST00352,0.9184397163120568,0.9184397163120568,1295,1410,1410
ANOST,OG962019,ANOST00209,0.5217903415783275,0.5217903415783275,443,849,849
ANOST,OG451043,ANOST00313,0.7341269841269841,0.7341269841269841,555,756,756
ANOST,OG977782,ANOST00291,0.5934379457917262,0.5934379457917262,1248,2103,2103
ANOST,OG718578,ANOST00019,0.8394844756883422,0.8394844756883422,1433,1707,1707
ANOST,OG961439,ANOST00114,0.6560196560196561,0.6560196560196561,801,1221,1221
ANOST,OG344070,ANOST00277,0.4315886134067952,0.4315886134067952,1410,3267,3267
ANOST,OG961011,ANOST00496,0.8210862619808307,0.8210862619808307,2313,2817,2817
ANOST,OG451038,ANOST00315,0.9744623655913979,0.9744623655913979,725,744,744
ANOST,OG1214309,ANOST00081,0.87468671679198,0.87468671679198,349,399,399
ANOST,OG341995,ANOST00098,0.7264038231780168,0.7264038231780168,5472,7533,7533
ANOST,OG369576,ANOST00441,0.8674033149171271,0.8674033149171271,471,543,543
ANOST,OG916860,ANOST00509,0.6347634763476347,0.6347634763476347,577,909,909
ANOST,OG1170587,ANOST00146,0.9852276153150437,0.9852276153150437,9804,9951,9951
ANOST,OG823032,ANOST00528,0.8154897494305239,0.8154897494305239,1074,1317,1317
ANOST,OG1198490,ANOST00464,0.9344042838018741,0.9344042838018741,1396,1494,1494
ANOST,OG1240325,ANOST00269,0.9105691056910569,0.9105691056910569,784,861,861
ANOST,OG964929,ANOST00497,0.9054054054054054,0.9054054054054054,1809,1998,1998
ANOST,OG722946,ANOST00353,0.9660729431721798,0.9660729431721798,1139,1179,1179
ANOST,OG1251119,ANOST00180,0.9330389992641648,0.9330389992641648,1268,1359,1359
ANOST,OG457108,ANOST00570,0.8687943262411347,0.8687943262411347,490,564,564
