#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.9733684518583553,0.9733684518583553,3326,3417,3417
ANOST,OG1081004,ANOST00389,0.9984520123839009,0.9984520123839009,1935,1938,1938
ANOST,OG1138880,ANOST00591,0.8678414096916299,0.8678414096916299,591,681,681
ANOST,OG1139777,ANOST00117,0.9830508474576272,0.9830508474576272,348,354,354
ANOST,OG1139996,ANOST00223,0.9816147082334132,0.9816147082334132,1228,1251,1251
ANOST,OG1144131,ANOST00602,0.9535747446610956,0.9535747446610956,2054,2154,2154
ANOST,OG1146505,ANOST00349,0.9847775175644028,0.9847775175644028,2523,2562,2562
ANOST,OG1146507,ANOST00365,0.9408324733402132,0.9408324733402132,2735,2907,2907
ANOST,OG1150674,ANOST00260,0.986810551558753,0.986810551558753,823,834,834
ANOST,OG1150857,ANOST00554,0.997610513739546,0.997610513739546,1670,1674,1674
ANOST,OG1152239,ANOST00609,0.9783549783549783,0.9783549783549783,904,924,924
ANOST,OG1157040,ANOST00033,0.9961685823754789,0.9961685823754789,780,783,783
ANOST,OG1162063,ANOST00522,0.9764801297648013,0.9764801297648013,1204,1233,1233
ANOST,OG1168250,ANOST00469,1.0,1.0,342,342,342
ANOST,OG1168476,ANOST00411,0.9635787806809184,0.9635787806809184,1217,1263,1263
ANOST,OG1170587,ANOST00146,0.9951763641845041,0.9951763641845041,9903,9951,9951
ANOST,OG1174245,ANOST00043,0.8291032148900169,0.8291032148900169,1470,1773,1773
ANOST,OG1174608,ANOST00246,0.8851351351351351,0.8851351351351351,393,444,444
ANOST,OG1174891,ANOST00152,0.9872685185185185,0.9872685185185185,853,864,864
ANOST,OG1176412,ANOST00547,0.955264043054154,0.955264043054154,2840,2973,2973
ANOGA,OG1179948,ANOGA04501,0.9166666666666666,0.9166666666666666,517,564,564
ANOST,OG1179969,ANOST00511,0.985897435897436,0.985897435897436,3076,3120,3120
ANOST,OG1181227,ANOST00162,0.9274413529732679,0.9274413529732679,1700,1833,1833
ANOST,OG1183200,ANOST00504,0.9813519813519813,0.9813519813519813,842,858,858
ANOGA,OG1189787,ANOGA04698,0.9982993197278912,0.9982993197278912,587,588,588
ANOST,OG1190683,ANOST00325,0.9991624790619765,0.9991624790619765,1193,1194,1194
ANOST,OG1191966,ANOST00456,1.0,1.0,1947,1947,1947
ANOST,OG1192905,ANOST00488,1.0,1.0,1008,1008,1008
ANOST,OG1194738,ANOST00274,1.0,1.0,1452,1452,1452
ANOST,OG1197765,ANOST00410,0.946376811594203,0.946376811594203,653,690,690
ANODA,OG1198488,ANODA06785,0.987513572204126,0.987513572204126,1819,1842,1842
ANODA,OG1198490,ANODA04841,0.9357429718875502,0.9357429718875502,1398,1494,1494
ANODA,OG1202204,ANODA07035,0.9846582984658299,0.9846582984658299,706,717,717
ANOST,OG1202789,ANOST00471,0.9966694421315571,0.9966694421315571,3591,3603,3603
ANOST,OG1203459,ANOST00222,0.9938837920489296,0.9938837920489296,975,981,981
ANOST,OG1204971,ANOST00430,0.9531963470319634,0.9531963470319634,6680,7008,7008
ANOST,OG1208321,ANOST00225,0.9815485996705107,0.9815485996705107,8937,9105,9105
ANOST,OG1212040,ANOST00490,0.986985236985237,0.986985236985237,5081,5148,5148
ANOST,OG1214309,ANOST00081,1.0,1.0,399,399,399
ANOST,OG1214658,ANOST00276,0.8347578347578347,0.8347578347578347,586,702,702
ANOST,OG1215812,ANOST00126,1.0,1.0,651,651,651
ANOGA,OG1216622,ANOGA05381,0.9459684123025769,0.9459684123025769,1138,1203,1203
ANOST,OG1218157,ANOST00305,0.9710144927536232,0.9710144927536232,737,759,759
ANOGA,OG1218158,ANOGA04293,0.8703703703703703,0.8703703703703703,611,702,702
ANOST,OG1218490,ANOST00495,0.9212253829321663,0.9212253829321663,1263,1371,1371
ANOST,OG1219581,ANOST00235,0.9993849938499385,0.9993849938499385,1625,1626,1626
ANOGA,OG1221639,ANOGA05250,0.917989417989418,0.917989417989418,347,378,378
ANOST,OG1221689,ANOST00123,0.9917962003454232,0.9917962003454232,2297,2316,2316
ANOST,OG1222683,ANOST00125,0.9923976608187135,0.9923976608187135,1697,1710,1710
ANOST,OG1223272,ANOST00111,0.9583858764186634,0.9583858764186634,2280,2379,2379
ANOST,OG1223886,ANOST00473,0.5914634146341463,0.5914634146341463,291,492,492
ANOST,OG1224967,ANOST00112,0.9955406911928651,0.9955406911928651,1786,1794,1794
ANOST,OG1225085,ANOST00424,0.9650178253119429,0.9650178253119429,4331,4488,4488
ANOST,OG1226379,ANOST00147,0.9495412844036697,0.9495412844036697,1242,1308,1308
ANOST,OG1229017,ANOST00425,0.9778239778239778,0.9778239778239778,2822,2886,2886
ANOST,OG1230391,ANOST00331,0.9990583804143126,0.9990583804143126,1061,1062,1062
ANOST,OG1231177,ANOST00129,0.998792270531401,0.998792270531401,1654,1656,1656
ANOST,OG1231901,ANOST00272,0.9457655402586567,0.9457655402586567,2267,2397,2397
ANOST,OG1235653,ANOST00565,0.9691056910569106,0.9691056910569106,1788,1845,1845
ANOST,OG1236745,ANOST00324,0.993103448275862,0.993103448275862,864,870,870
ANOST,OG1240325,ANOST00269,0.9012775842044135,0.9012775842044135,776,861,861
ANOST,OG1240328,ANOST00270,0.9954954954954955,0.9954954954954955,884,888,888
ANOST,OG1240929,ANOST00157,0.9395711500974658,0.9395711500974658,964,1026,1026
ANOST,OG1240968,ANOST00230,0.9352896914973664,0.9352896914973664,1243,1329,1329
ANOST,OG1241986,ANOST00031,0.9930715935334873,0.9930715935334873,1290,1299,1299
ANOST,OG1242667,ANOST00533,0.9888613861386139,0.9888613861386139,2397,2424,2424
ANOST,OG1244115,ANOST00140,0.6810344827586207,0.6810344827586207,237,348,348
ANOST,OG1246006,ANOST00459,0.9990196078431373,0.9990196078431373,1019,1020,1020
ANOST,OG1251119,ANOST00180,0.9985283296541575,0.9985283296541575,1357,1359,1359
ANOST,OG1251511,ANOST00045,1.0,1.0,2322,2322,2322
ANOST,OG1251552,ANOST00206,0.8944444444444445,0.8944444444444445,483,540,540
ANOST,OG341995,ANOST00098,0.9840700915969733,0.9840700915969733,7413,7533,7533
ANOST,OG342477,ANOST00163,0.9975708502024292,0.9975708502024292,3696,3705,3705
ANOST,OG344070,ANOST00277,0.85736149372513,0.85736149372513,2801,3267,3267
ANOST,OG348620,ANOST00261,0.9992625368731564,0.9992625368731564,1355,1356,1356
ANOST,OG351572,ANOST00298,0.8014571948998178,0.8014571948998178,880,1098,1098
ANOST,OG352732,ANOST00335,0.9546130952380952,0.9546130952380952,1283,1344,1344
ANOST,OG362545,ANOST00615,0.983963344788087,0.983963344788087,859,873,873
ANOST,OG362633,ANOST00370,0.916247906197655,0.916247906197655,1094,1194,1194
ANOST,OG369576,ANOST00441,0.9668508287292817,0.9668508287292817,525,543,543
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANOST,OG375937,ANOST00377,0.4924812030075188,0.4924812030075188,393,798,798
ANOST,OG411836,ANOST00028,0.978401727861771,0.978401727861771,1359,1389,1389
ANOST,OG419349,ANOST00176,0.8419627749576988,0.8419627749576988,2488,2955,2955
ANOST,OG420493,ANOST00159,0.9987080103359173,0.9987080103359173,773,774,774
ANOST,OG420768,ANOST00161,0.9679625629949604,0.9679625629949604,2689,2778,2778
ANOST,OG451038,ANOST00315,0.9986559139784946,0.9986559139784946,743,744,744
ANOST,OG451043,ANOST00313,0.8346560846560847,0.8346560846560847,631,756,756
ANOST,OG454890,ANOST00551,0.8545454545454545,0.8545454545454545,846,990,990
ANOST,OG455346,ANOST00156,1.0,1.0,1134,1134,1134
ANOST,OG456338,ANOST00458,0.9817028985507247,0.9817028985507247,5419,5520,5520
ANOST,OG456351,ANOST00044,0.8177991581479255,0.8177991581479255,4080,4989,4989
ANOST,OG456479,ANOST00489,0.9983333333333333,0.9983333333333333,1797,1800,1800
ANOST,OG456648,ANOST00195,0.8991596638655462,0.8991596638655462,1284,1428,1428
ANOST,OG456691,ANOST00218,0.9881235154394299,0.9881235154394299,1248,1263,1263
ANOST,OG456720,ANOST00347,1.0,1.0,801,801,801
ANOST,OG457108,ANOST00570,0.9308510638297872,0.9308510638297872,525,564,564
ANOST,OG457329,ANOST00113,0.7974842767295598,0.7974842767295598,634,795,795
ANOST,OG457572,ANOST00450,1.0,1.0,444,444,444
ANOST,OG458150,ANOST00149,0.5384615384615384,0.5384615384615384,273,507,507
ANOST,OG460076,ANOST00607,0.9993084370677732,0.9993084370677732,2890,2892,2892
ANOST,OG661167,ANOST00579,1.0,1.0,864,864,864
ANOST,OG664391,ANOST00352,0.9787234042553191,0.9787234042553191,1380,1410,1410
ANOST,OG665560,ANOST00160,0.9619210002841716,0.9619210002841716,3385,3519,3519
ANOST,OG671266,ANOST00350,0.9997033521210323,0.9997033521210323,10110,10113,10113
ANOST,OG673136,ANOST00116,0.9794628751974723,0.9794628751974723,1240,1266,1266
ANOST,OG674682,ANOST00263,0.9926470588235294,0.9926470588235294,810,816,816
ANOST,OG675570,ANOST00108,1.0,1.0,912,912,912
ANOST,OG676343,ANOST00003,0.88209796272215,0.88209796272215,2035,2307,2307
ANOST,OG696447,ANOST00603,0.9806451612903225,0.9806451612903225,912,930,930
ANOST,OG698904,ANOST00032,0.962536023054755,0.962536023054755,3006,3123,3123
ANOST,OG698997,ANOST00233,0.8534755134281201,0.8534755134281201,2161,2532,2532
ANODA,OG699681,ANODA09332,1.0,1.0,339,339,339
ANOST,OG703365,ANOST00557,0.7357512953367875,0.7357512953367875,852,1158,1158
ANOST,OG708597,ANOST00396,0.880106911034746,0.880106911034746,2305,2619,2619
ANOST,OG718578,ANOST00019,1.0,1.0,1707,1707,1707
ANOST,OG719374,ANOST00503,0.989247311827957,0.989247311827957,4140,4185,4185
ANOST,OG722946,ANOST00353,0.9991518235793045,0.9991518235793045,1178,1179,1179
ANOST,OG736122,ANOST00177,0.9700854700854701,0.9700854700854701,908,936,936
ANOST,OG761976,ANOST00415,0.9684343434343434,0.9684343434343434,1534,1584,1584
ANOST,OG762076,ANOST00214,0.9974160206718347,0.9974160206718347,772,774,774
ANOGA,OG784747,ANOGA04289,1.0,1.0,636,636,636
ANOST,OG790850,ANOST00477,0.8849840255591054,0.8849840255591054,831,939,939
ANOST,OG792914,ANOST00139,0.9925187032418953,0.9925187032418953,1194,1203,1203
ANOST,OG792952,ANOST00138,1.0,1.0,1065,1065,1065
ANOST,OG793899,ANOST00192,1.0,1.0,603,603,603
ANOST,OG796653,ANOST00189,1.0,1.0,1569,1569,1569
ANOST,OG814084,ANOST00057,0.949667616334283,0.949667616334283,1000,1053,1053
ANOST,OG814870,ANOST00423,0.9462613235068325,0.9462613235068325,6163,6513,6513
ANOGA,OG817086,ANOGA04277,0.9774236387782205,0.9774236387782205,736,753,753
ANOST,OG822311,ANOST00158,0.9572368421052632,0.9572368421052632,2619,2736,2736
ANOST,OG823022,ANOST00242,0.9696296296296296,0.9696296296296296,1309,1350,1350
ANOST,OG823032,ANOST00528,0.9946848899012908,0.9946848899012908,1310,1317,1317
ANOST,OG823037,ANOST00337,0.9985119047619048,0.9985119047619048,1342,1344,1344
ANOST,OG828830,ANOST00552,0.8483033932135728,0.8483033932135728,425,501,501
ANOST,OG839253,ANOST00256,0.987987987987988,0.987987987987988,329,333,333
ANOST,OG842298,ANOST00037,0.9341183067003084,0.9341183067003084,3332,3567,3567
ANOST,OG846448,ANOST00517,0.9932523616734144,0.9932523616734144,736,741,741
ANOST,OG848281,ANOST00012,0.9792843691148776,0.9792843691148776,1560,1593,1593
ANOST,OG853434,ANOST00326,0.9858585858585859,0.9858585858585859,488,495,495
ANOST,OG861720,ANOST00002,0.9742843279961184,0.9742843279961184,4016,4122,4122
ANOST,OG877291,ANOST00499,0.9785759294265911,0.9785759294265911,1553,1587,1587
ANOGA,OG896170,ANOGA04117,0.9913941480206541,0.9913941480206541,1728,1743,1743
ANOST,OG899270,ANOST00194,0.9886091127098321,0.9886091127098321,1649,1668,1668
ANOST,OG911937,ANOST00134,0.93521421107628,0.93521421107628,1790,1914,1914
ANOST,OG916860,ANOST00509,0.900990099009901,0.900990099009901,819,909,909
ANOST,OG917347,ANOST00382,1.0,1.0,963,963,963
ANOST,OG924410,ANOST00137,0.956045751633987,0.956045751633987,5851,6120,6120
ANOST,OG925865,ANOST00286,1.0,1.0,693,693,693
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG931899,ANOST00585,0.9178263750828363,0.9178263750828363,1385,1509,1509
ANOST,OG932017,ANOST00529,0.9828382838283828,0.9828382838283828,1489,1515,1515
ANOST,OG932104,ANOST00578,0.9754224270353302,0.9754224270353302,1270,1302,1302
ANOST,OG944937,ANOST00518,0.7133333333333334,0.7133333333333334,749,1050,1050
ANOST,OG946387,ANOST00073,0.9971181556195965,0.9971181556195965,2076,2082,2082
ANOST,OG946885,ANOST00079,1.0,1.0,1311,1311,1311
ANOST,OG949414,ANOST00379,0.8956743002544529,0.8956743002544529,704,786,786
ANOST,OG949490,ANOST00312,0.9426229508196722,0.9426229508196722,690,732,732
ANOST,OG951333,ANOST00004,0.8266666666666667,0.8266666666666667,372,450,450
ANOSI,OG953187,ANOSI10125,0.8240740740740741,0.8240740740740741,445,540,540
ANOST,OG953548,ANOST00599,1.0,1.0,1947,1947,1947
ANOST,OG958126,ANOST00036,0.996996996996997,0.996996996996997,664,666,666
ANOST,OG960910,ANOST00006,1.0,1.0,1389,1389,1389
ANOST,OG960945,ANOST00390,0.9897828863346104,0.9897828863346104,1550,1566,1566
ANOST,OG960979,ANOST00268,0.8875,0.8875,1065,1200,1200
ANOST,OG961011,ANOST00496,0.9740859069932553,0.9740859069932553,2744,2817,2817
ANOST,OG961013,ANOST00564,1.0,1.0,1827,1827,1827
ANOST,OG961115,ANOST00130,0.9852262234533703,0.9852262234533703,1067,1083,1083
ANOST,OG961299,ANOST00501,0.9522258414766558,0.9522258414766558,2631,2763,2763
ANOST,OG961322,ANOST00232,0.6009732360097324,0.6009732360097324,247,411,411
ANOST,OG961377,ANOST00356,0.8866474543707973,0.8866474543707973,923,1041,1041
ANOST,OG961398,ANOST00021,0.9992175273865415,0.9992175273865415,1277,1278,1278
ANOST,OG961439,ANOST00114,0.9746109746109746,0.9746109746109746,1190,1221,1221
ANOST,OG961440,ANOST00539,0.9291228070175439,0.9291228070175439,1324,1425,1425
ANOST,OG961564,ANOST00601,0.9886480908152735,0.9886480908152735,1916,1938,1938
ANOST,OG961602,ANOST00046,0.9792746113989638,0.9792746113989638,567,579,579
ANOST,OG962019,ANOST00209,0.9305064782096584,0.9305064782096584,790,849,849
ANOST,OG962230,ANOST00328,0.9967479674796748,0.9967479674796748,613,615,615
ANOST,OG963232,ANOST00545,1.0,1.0,1065,1065,1065
ANOST,OG964344,ANOST00343,0.9872068230277186,0.9872068230277186,1389,1407,1407
ANOST,OG964633,ANOST00017,0.9912280701754386,0.9912280701754386,1695,1710,1710
ANOGA,OG964673,ANOGA05646,0.9673539518900344,0.9673539518900344,563,582,582
ANOST,OG964929,ANOST00497,0.943943943943944,0.943943943943944,1886,1998,1998
ANOST,OG966098,ANOST00164,0.9996258885147774,0.9996258885147774,2672,2673,2673
ANOST,OG967514,ANOST00212,0.9981644640234949,0.9981644640234949,2719,2724,2724
ANOST,OG968364,ANOST00614,0.9902912621359223,0.9902912621359223,1530,1545,1545
ANOGA,OG968775,ANOGA04415,0.9505409582689336,0.9505409582689336,1845,1941,1941
ANOST,OG970502,ANOST00530,0.9991204925241864,0.9991204925241864,1136,1137,1137
ANOST,OG971123,ANOST00414,0.9218106995884774,0.9218106995884774,1568,1701,1701
ANOST,OG971355,ANOST00110,1.0,1.0,1596,1596,1596
ANOST,OG975279,ANOST00151,0.9912280701754386,0.9912280701754386,1469,1482,1482
ANOST,OG976835,ANOST00102,0.9941520467836257,0.9941520467836257,1700,1710,1710
ANOST,OG977782,ANOST00291,0.828340466000951,0.828340466000951,1742,2103,2103
ANOST,OG978616,ANOST00322,0.9238845144356955,0.9238845144356955,2112,2286,2286
ANOST,OG978865,ANOST00481,0.9911504424778761,0.9911504424778761,1008,1017,1017
ANOST,OG979200,ANOST00416,0.9491228070175438,0.9491228070175438,1623,1710,1710
ANOST,OG986274,ANOST00366,1.0,1.0,1548,1548,1548
ANOST,OG986805,ANOST00600,0.9823597936428691,0.9823597936428691,5903,6009,6009
ANOST,OG988784,ANOST00369,0.9856209150326798,0.9856209150326798,6032,6120,6120
ANOST,OG998211,ANOST00115,0.9093614718614719,0.9093614718614719,3361,3696,3696
