#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,0.8880139982502188,0.8880139982502188,3045,3429,3429
ANOGA,OG1081004,ANOGA04408,0.9302649930264993,0.9302649930264993,2001,2151,2151
ANOGA,OG1138880,ANOGA05943,0.9911894273127754,0.9911894273127754,675,681,681
ANOGA,OG1139777,ANOGA04100,0.9971751412429378,0.9971751412429378,353,354,354
ANOGA,OG1139996,ANOGA05695,0.927012791572611,0.927012791572611,1232,1329,1329
ANOGA,OG1144131,ANOGA06520,0.9745016226240149,0.9745016226240149,2102,2157,2157
ANOGA,OG1146505,ANOGA04324,0.9829457364341085,0.9829457364341085,2536,2580,2580
ANOGA,OG1146507,ANOGA05711,0.7649484536082474,0.7649484536082474,2226,2910,2910
ANOST,OG1150674,ANOST00260,0.9268585131894485,0.9268585131894485,773,834,834
ANOGA,OG1150857,ANOGA04505,0.9114484503478811,0.9114484503478811,1441,1581,1581
ANOGA,OG1152239,ANOGA06528,0.9787472035794184,0.9787472035794184,875,894,894
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG1162063,ANOGA04462,0.8017832647462277,0.8017832647462277,1169,1458,1458
ANOGA,OG1168250,ANOGA05380,0.8567251461988304,0.8567251461988304,293,342,342
ANOGA,OG1168476,ANOGA04432,0.9196217494089834,0.9196217494089834,1167,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9745796241345203,0.9745796241345203,9853,10110,10110
ANOGA,OG1174245,ANOGA04055,0.794314381270903,0.794314381270903,1425,1794,1794
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOST,OG1176412,ANOST00547,0.9196098217288934,0.9196098217288934,2734,2973,2973
ANOGA,OG1179948,ANOGA04501,0.9645390070921985,0.9645390070921985,544,564,564
ANOGA,OG1179969,ANOGA05488,0.9941118743866536,0.9941118743866536,3039,3057,3057
ANOST,OG1181227,ANOST00162,0.9639934533551555,0.9639934533551555,1767,1833,1833
ANOGA,OG1183200,ANOGA05481,0.9237770193401593,0.9237770193401593,812,879,879
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG1190683,ANOGA04295,1.0,1.0,1194,1194,1194
ANOGA,OG1191966,ANOGA05362,0.9989806320081549,0.9989806320081549,1960,1962,1962
ANOST,OG1192905,ANOST00488,0.9990079365079365,0.9990079365079365,1007,1008,1008
ANOGA,OG1194738,ANOGA05637,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9307909604519774,0.9307909604519774,659,708,708
ANODA,OG1198488,ANODA06785,0.9549402823018458,0.9549402823018458,1759,1842,1842
ANODA,OG1198490,ANODA04841,0.9725568942436412,0.9725568942436412,1453,1494,1494
ANODA,OG1202204,ANODA07035,0.99860529986053,0.99860529986053,716,717,717
ANOGA,OG1202789,ANOGA05383,0.9618777567737871,0.9618777567737871,3053,3174,3174
ANOGA,OG1203459,ANOGA05696,0.9776422764227642,0.9776422764227642,962,984,984
ANOGA,OG1204971,ANOGA05312,0.9342180365296804,0.9342180365296804,6547,7008,7008
ANOGA,OG1208321,ANOGA05692,0.977299880525687,0.977299880525687,8180,8370,8370
ANOGA,OG1212040,ANOGA05460,0.9652509652509652,0.9652509652509652,5250,5439,5439
ANOGA,OG1214309,ANOGA05405,1.0,1.0,402,402,402
ANOST,OG1214658,ANOST00276,0.8347578347578347,0.8347578347578347,586,702,702
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOSI,OG1216622,ANOSI15784,0.9888623707239459,0.9888623707239459,1243,1257,1257
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOST,OG1218158,ANOST00323,0.9985754985754985,0.9985754985754985,701,702,702
ANOGA,OG1218490,ANOGA05471,0.8420289855072464,0.8420289855072464,1162,1380,1380
ANOGA,OG1219581,ANOGA05679,0.978749241044323,0.978749241044323,1612,1647,1647
ANOST,OG1221639,ANOST00016,0.9232804232804233,0.9232804232804233,349,378,378
ANOST,OG1221689,ANOST00123,0.9952504317789291,0.9952504317789291,2305,2316,2316
ANOGA,OG1222683,ANOGA04115,0.9225225225225225,0.9225225225225225,1536,1665,1665
ANOGA,OG1223272,ANOGA04094,0.9982616253802694,0.9982616253802694,2297,2301,2301
ANOGA,OG1223886,ANOGA05389,0.9369918699186992,0.9369918699186992,461,492,492
ANOGA,OG1224967,ANOGA04095,1.0,1.0,1791,1791,1791
ANOGA,OG1225085,ANOGA05304,0.9562542720437457,0.9562542720437457,4197,4389,4389
ANOGA,OG1226379,ANOGA04627,0.963718820861678,0.963718820861678,1275,1323,1323
ANOGA,OG1229017,ANOGA05305,0.983635716826752,0.983635716826752,2765,2811,2811
ANOGA,OG1230391,ANOGA04302,0.9105461393596986,0.9105461393596986,967,1062,1062
ANOST,OG1231177,ANOST00129,0.9975845410628019,0.9975845410628019,1652,1656,1656
ANOGA,OG1231901,ANOGA05639,0.8304947283049473,0.8304947283049473,2048,2466,2466
ANOST,OG1235653,ANOST00565,0.997289972899729,0.997289972899729,1840,1845,1845
ANOGA,OG1236745,ANOGA04294,0.9701149425287356,0.9701149425287356,844,870,870
ANOGA,OG1240325,ANOGA05642,0.9532828282828283,0.9532828282828283,755,792,792
ANOGA,OG1240328,ANOGA05641,1.0,1.0,885,885,885
ANOGA,OG1240929,ANOGA04635,0.9807877041306436,0.9807877041306436,1021,1041,1041
ANOST,OG1240968,ANOST00230,0.9352896914973664,0.9352896914973664,1243,1329,1329
ANOGA,OG1241986,ANOGA04040,0.9969348659003832,0.9969348659003832,1301,1305,1305
ANOGA,OG1242667,ANOGA04473,0.9728395061728395,0.9728395061728395,2364,2430,2430
ANOST,OG1244115,ANOST00140,0.764367816091954,0.764367816091954,266,348,348
ANOGA,OG1246006,ANOGA05367,1.0,1.0,1020,1020,1020
ANOGA,OG1251119,ANOGA04663,0.9624521072796934,0.9624521072796934,1256,1305,1305
ANOGA,OG1251511,ANOGA04057,0.9628670120898101,0.9628670120898101,2230,2316,2316
ANOGA,OG1251552,ANOGA04696,0.9981481481481481,0.9981481481481481,539,540,540
ANOGA,OG341995,ANOGA04081,0.8087488457987073,0.8087488457987073,7007,8664,8664
ANOGA,OG342477,ANOGA04643,0.9981496167063177,0.9981496167063177,3776,3783,3783
ANOGA,OG344070,ANOGA05629,0.9536658490051785,0.9536658490051785,3499,3669,3669
ANOSI,OG348620,ANOSI16831,0.9970501474926253,0.9970501474926253,1352,1356,1356
ANOGA,OG351572,ANOGA04255,0.9660238751147842,0.9660238751147842,1052,1089,1089
ANOGA,OG352732,ANOGA04305,0.9771386430678466,0.9771386430678466,1325,1356,1356
ANOGA,OG362545,ANOGA07030,0.753528773072747,0.753528773072747,694,921,921
ANOGA,OG362633,ANOGA04668,0.8812589413447782,0.8812589413447782,1232,1398,1398
ANOGA,OG369576,ANOGA05331,0.86996336996337,0.86996336996337,475,546,546
ANOGA,OG373241,ANOGA05645,1.0,1.0,333,333,333
ANOGA,OG375937,ANOGA13872,0.4889705882352941,0.4889705882352941,399,816,816
ANOGA,OG411836,ANOGA05239,0.9334862385321101,0.9334862385321101,1221,1308,1308
ANOGA,OG419349,ANOGA04655,0.7127016129032258,0.7127016129032258,2121,2976,2976
ANOST,OG420493,ANOST00159,0.9987080103359173,0.9987080103359173,773,774,774
ANOGA,OG420768,ANOGA04641,0.8085661080074488,0.8085661080074488,2171,2685,2685
ANOGA,OG451038,ANOGA04282,0.9341397849462365,0.9341397849462365,695,744,744
ANOGA,OG451043,ANOGA04280,0.9488188976377953,0.9488188976377953,723,762,762
ANOGA,OG454890,ANOGA04502,0.9109109109109109,0.9109109109109109,910,999,999
