#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.9795141937371964,0.9795141937371964,3347,3417,3417
ANOST,OG1081004,ANOST00389,0.9891640866873065,0.9891640866873065,1917,1938,1938
ANOST,OG1138880,ANOST00591,0.9441997063142438,0.9441997063142438,643,681,681
ANOST,OG1139777,ANOST00117,0.9971751412429378,0.9971751412429378,353,354,354
ANOST,OG1139996,ANOST00223,0.9608313349320543,0.9608313349320543,1202,1251,1251
ANOST,OG1144131,ANOST00602,0.9391829155060353,0.9391829155060353,2023,2154,2154
ANOST,OG1146505,ANOST00349,0.919984387197502,0.919984387197502,2357,2562,2562
ANOST,OG1146507,ANOST00365,0.9181286549707602,0.9181286549707602,2669,2907,2907
ANOST,OG1150674,ANOST00260,0.9532374100719424,0.9532374100719424,795,834,834
ANOST,OG1150857,ANOST00554,0.974910394265233,0.974910394265233,1632,1674,1674
ANOST,OG1152239,ANOST00609,0.6006493506493507,0.6006493506493507,555,924,924
ANOST,OG1157040,ANOST00033,1.0,1.0,783,783,783
ANOST,OG1162063,ANOST00522,0.9578264395782644,0.9578264395782644,1181,1233,1233
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANOST,OG1168476,ANOST00411,0.9809976247030879,0.9809976247030879,1239,1263,1263
ANOST,OG1170587,ANOST00146,0.989247311827957,0.989247311827957,9844,9951,9951
ANOST,OG1174245,ANOST00043,0.8759165256627186,0.8759165256627186,1553,1773,1773
ANOGA,OG1174608,ANOGA05668,1.0,1.0,444,444,444
ANOST,OG1174891,ANOST00152,0.9282407407407407,0.9282407407407407,802,864,864
ANOST,OG1176412,ANOST00547,0.9690548267743021,0.9690548267743021,2881,2973,2973
ANOST,OG1179948,ANOST00550,0.973404255319149,0.973404255319149,549,564,564
ANOST,OG1179969,ANOST00511,0.9977564102564103,0.9977564102564103,3113,3120,3120
ANOGA,OG1181227,ANOGA04642,0.9650845608292417,0.9650845608292417,1769,1833,1833
ANOST,OG1183200,ANOST00504,0.9545454545454546,0.9545454545454546,819,858,858
ANOST,OG1189787,ANOST00208,1.0,1.0,588,588,588
ANOST,OG1190683,ANOST00325,1.0,1.0,1194,1194,1194
ANOGA,OG1191966,ANOGA05362,0.9857288481141692,0.9857288481141692,1934,1962,1962
ANOST,OG1192905,ANOST00488,0.9950396825396826,0.9950396825396826,1003,1008,1008
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOST,OG1197765,ANOST00410,0.936231884057971,0.936231884057971,646,690,690
ANOST,OG1198488,ANOST00216,0.9847991313789359,0.9847991313789359,1814,1842,1842
ANOSI,OG1198490,ANOSI18566,1.0,1.0,1494,1494,1494
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOST,OG1202789,ANOST00471,0.9680821537607549,0.9680821537607549,3488,3603,3603
ANOST,OG1203459,ANOST00222,0.8695208970438328,0.8695208970438328,853,981,981
ANOST,OG1204971,ANOST00430,0.7353025114155252,0.7353025114155252,5153,7008,7008
ANOST,OG1208321,ANOST00225,0.9524437122460186,0.9524437122460186,8672,9105,9105
ANOST,OG1212040,ANOST00490,0.9500777000777001,0.9500777000777001,4891,5148,5148
ANOST,OG1214309,ANOST00081,0.9899749373433584,0.9899749373433584,395,399,399
ANOGA,OG1214658,ANOGA05631,1.0,1.0,711,711,711
ANOST,OG1215812,ANOST00126,1.0,1.0,651,651,651
ANOGA,OG1216622,ANOGA05381,0.9600997506234414,0.9600997506234414,1155,1203,1203
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOSI,OG1218158,ANOSI08297,0.9458689458689459,0.9458689458689459,664,702,702
ANOST,OG1218490,ANOST00495,0.8840262582056893,0.8840262582056893,1212,1371,1371
ANOST,OG1219581,ANOST00235,0.9378843788437884,0.9378843788437884,1525,1626,1626
ANOST,OG1221639,ANOST00016,0.9206349206349206,0.9206349206349206,348,378,378
ANOGA,OG1221689,ANOGA04113,0.9815292096219931,0.9815292096219931,2285,2328,2328
ANOGA,OG1222683,ANOGA04115,0.8690690690690691,0.8690690690690691,1447,1665,1665
ANOGA,OG1223272,ANOGA04094,0.9743589743589743,0.9743589743589743,2242,2301,2301
ANOGA,OG1223886,ANOGA05389,0.5894308943089431,0.5894308943089431,290,492,492
ANOST,OG1224967,ANOST00112,0.9988851727982163,0.9988851727982163,1792,1794,1794
ANOST,OG1225085,ANOST00424,0.8518270944741533,0.8518270944741533,3823,4488,4488
ANOST,OG1226379,ANOST00147,0.8662079510703364,0.8662079510703364,1133,1308,1308
ANOGA,OG1229017,ANOGA05305,0.9772323016720028,0.9772323016720028,2747,2811,2811
ANOST,OG1230391,ANOST00331,0.7909604519774012,0.7909604519774012,840,1062,1062
ANOST,OG1231177,ANOST00129,0.9891304347826086,0.9891304347826086,1638,1656,1656
ANOST,OG1231901,ANOST00272,0.9524405506883604,0.9524405506883604,2283,2397,2397
ANOST,OG1235653,ANOST00565,0.9355013550135501,0.9355013550135501,1726,1845,1845
ANOGA,OG1236745,ANOGA04294,0.993103448275862,0.993103448275862,864,870,870
ANOGA,OG1240325,ANOGA05642,0.9532828282828283,0.9532828282828283,755,792,792
ANOST,OG1240328,ANOST00270,0.9662162162162162,0.9662162162162162,858,888,888
ANOST,OG1240929,ANOST00157,0.8742690058479532,0.8742690058479532,897,1026,1026
ANOST,OG1240968,ANOST00230,0.8638073739653875,0.8638073739653875,1148,1329,1329
ANOST,OG1241986,ANOST00031,0.7705927636643572,0.7705927636643572,1001,1299,1299
ANOST,OG1242667,ANOST00533,0.9476072607260726,0.9476072607260726,2297,2424,2424
ANOST,OG1244115,ANOST00140,1.0,1.0,348,348,348
ANOST,OG1246006,ANOST00459,1.0,1.0,1020,1020,1020
ANOST,OG1251119,ANOST00180,0.8638704930095659,0.8638704930095659,1174,1359,1359
ANOST,OG1251511,ANOST00045,1.0,1.0,2322,2322,2322
ANOGA,OG1251552,ANOGA04696,0.9981481481481481,0.9981481481481481,539,540,540
ANOST,OG341995,ANOST00098,0.9065445373689102,0.9065445373689102,6829,7533,7533
ANOST,OG342477,ANOST00163,0.9403508771929825,0.9403508771929825,3484,3705,3705
ANOST,OG344070,ANOST00277,0.7903275176002449,0.7903275176002449,2582,3267,3267
ANOST,OG348620,ANOST00261,1.0,1.0,1356,1356,1356
ANOGA,OG351572,ANOGA04255,0.960514233241506,0.960514233241506,1046,1089,1089
ANOST,OG352732,ANOST00335,0.9263392857142857,0.9263392857142857,1245,1344,1344
ANOST,OG362545,ANOST00615,0.695303550973654,0.695303550973654,607,873,873
ANOST,OG362633,ANOST00370,0.44221105527638194,0.44221105527638194,528,1194,1194
ANOST,OG369576,ANOST00441,0.8747697974217311,0.8747697974217311,475,543,543
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANOGA,OG411836,ANOGA05239,0.9762996941896025,0.9762996941896025,1277,1308,1308
ANOST,OG419349,ANOST00176,0.7106598984771574,0.7106598984771574,2100,2955,2955
ANOST,OG420493,ANOST00159,0.9715762273901809,0.9715762273901809,752,774,774
ANOST,OG420768,ANOST00161,0.8092152627789777,0.8092152627789777,2248,2778,2778
ANOST,OG451038,ANOST00315,1.0,1.0,744,744,744
ANOSI,OG451043,ANOSI08181,0.8621151271753681,0.8621151271753681,644,747,747
