#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,5.342592592592593,5.844294522322505
ANODA,OG676343,ANODA08502,5.1,2.628265165042861
ANODA,OG951333,ANODA08505,9.75062344139651,3.4659232968431555
ANODA,OG960910,ANODA08504,28.409436834094368,7.963659994296717
ANODA,OG848281,ANODA03007,10.907033144704931,7.775877797050657
ANODA,OG1221639,ANODA05486,3.6777777777777776,1.6521217185302983
ANODA,OG964633,ANODA05487,53.93973634651601,131.52853899124293
ANODA,OG718578,ANODA00549,6.621659634317862,5.429412325658586
ANODA,OG961398,ANODA01312,7.441119691119691,5.635776532534818
ANODA,OG411836,ANODA03579,8.070680628272251,6.389637312224485
ANODA,OG1241986,ANODA03573,10.714585519412381,7.991099932647406
ANODA,OG698904,ANODA03572,15.336894824707846,8.439336172492705
ANODA,OG1157040,ANODA03571,11.336414048059149,7.256939141206448
ANODA,OG958126,ANODA01492,5.8595317725752505,3.0470668688381464
ANODA,OG842298,ANODA01152,10.607706592386258,8.530994124777875
ANODA,OG1174245,ANODA09078,7.583876221498372,4.1037403242863695
ANODA,OG456351,ANODA09077,24.03395061728395,81.69847773111402
ANODA,OG1251511,ANODA09076,15.597915762049501,7.20332068680245
ANODA,OG961602,ANODA09075,11.04356846473029,5.729027250865823
ANODA,OG953187,ANODA09070,13.860510805500983,7.135937476488343
ANODA,OG814084,ANODA09331,6.74835886214442,5.083775468864284
ANODA,OG699681,ANODA09332,10.923303834808259,7.9151111776703456
ANODA,OG946387,ANODA07723,6.363083164300203,2.333288564349438
ANODA,OG946885,ANODA07717,10.09008097165992,6.566306370073689
ANODA,OG1214309,ANODA07715,3.6692913385826773,0.710496312172005
ANODA,OG341995,ANODA06295,7.456898783329019,8.736404676428075
ANODA,OG1079985,ANODA06296,10.163716814159292,6.300273998696049
ANODA,OG976835,ANODA06297,17.559322033898304,14.209957993109612
ANODA,OG675570,ANODA03502,5.015113350125945,2.783501826455702
ANODA,OG971355,ANODA03504,14.385858585858585,7.668550626244491
ANODA,OG1223272,ANODA01666,10.967948717948717,5.6339590061377125
ANODA,OG1224967,ANODA01667,5.611782477341389,4.517209137705659
ANODA,OG457329,ANODA01668,4.481865284974093,2.9906473630713544
ANODA,OG961439,ANODA01669,13.301568154402895,15.982446944300538
ANODA,OG998211,ANODA01670,7.018783542039356,4.850041545440816
ANODA,OG673136,ANODA03220,5.292397660818714,3.1635535177091176
ANODA,OG1139777,ANODA01246,2.5033557046979866,1.1621789363887032
ANODA,OG1221689,ANODA08570,12.487743871935969,7.032385945642877
ANODA,OG1222683,ANODA08571,13.46941403734707,6.8357040187004525
ANODA,OG1215812,ANODA08572,13.25511811023622,5.9037784332747085
ANODA,OG896170,ANODA03515,17.232808022922637,6.908807208438662
ANODA,OG1231177,ANODA03650,10.507266435986159,5.256676341648378
ANODA,OG961115,ANODA03651,5.120310478654592,4.21323779731464
ANODA,OG911937,ANODA03653,12.205785667324129,6.141257909323472
ANODA,OG924410,ANODA03655,9.715925744992672,7.0986251591645555
ANODA,OG792952,ANODA03657,10.67934224049332,6.627510851083312
ANODA,OG792914,ANODA03658,6.889772727272727,4.004018997228321
ANODA,OG1244115,ANODA03659,7.315634218289086,6.264858947822788
ANODA,OG1170587,ANODA03456,11.266491709411905,7.004443448520422
ANODA,OG1226379,ANODA02643,11.59034907597536,6.725899959729531
ANODA,OG458150,ANODA02645,2.0,0.0
ANODA,OG975279,ANODA02647,6.545754328112118,3.4971087616309315
ANODA,OG1174891,ANODA02648,6.646017699115045,4.610819046858441
ANODA,OG455346,ANODA06172,12.97856477166822,6.227027266936969
ANODA,OG1240929,ANODA06171,5.102106969205835,3.75129740083748
ANODA,OG822311,ANODA06170,20.868903803131992,12.328185432943728
ANODA,OG420493,ANODA06168,8.154742096505824,6.4398676344931145
ANODA,OG665560,ANODA06166,10.59580291970803,7.5780573491783985
ANODA,OG420768,ANODA06165,8.986967418546365,7.529912318563493
ANODA,OG1181227,ANODA06163,8.93937125748503,6.141427565217601
ANODA,OG342477,ANODA06162,120.98348544111256,512.2739733811956
ANODA,OG966098,ANODA06161,9.977754785307813,6.304074650087756
ANODA,OG419349,ANODA03242,9.400495970241785,5.754497936328486
ANODA,OG736122,ANODA03241,3.229357798165138,1.5862541851388074
ANODA,OG1251119,ANODA03237,17.484330484330485,6.757711043678135
ANODA,OG796653,ANODA01604,14.341866666666666,6.665007665578654
ANODA,OG793899,ANODA01385,15.344941956882256,5.4365405900271195
ANODA,OG899270,ANODA01952,9.049881235154395,6.042725777625768
ANODA,OG456648,ANODA01951,9.880083420229406,8.306134873158607
ANODA,OG1251552,ANODA07755,7.168241965973535,4.121048021546802
ANODA,OG1189787,ANODA07757,7.831858407079646,6.331411584513979
ANODA,OG962019,ANODA07758,4.349570200573066,3.0020778074489214
ANODA,OG967514,ANODA06786,17.089101034208433,23.27493010232754
ANODA,OG762076,ANODA10391,9.707530647985989,5.311679233922826
ANODA,OG1198488,ANODA06785,15.108514190317194,6.372059197436146
ANODA,OG456691,ANODA06792,2.6526946107784433,1.0912177656758733
ANODA,OG1203459,ANODA03477,7.528023598820059,7.54328390570307
ANODA,OG1139996,ANODA03476,9.602409638554217,5.837975588836235
ANODA,OG1208321,ANODA05883,16.69616658778987,28.600678103066215
ANODA,OG1240968,ANODA05983,12.575527426160338,5.48011289847659
ANODA,OG961322,ANODA05981,9.86588921282799,6.39420084015412
ANODA,OG698997,ANODA05980,16.478410206084398,11.541590748311311
ANODA,OG1219581,ANODA05977,8.522580645161291,5.035575140555896
ANODA,OG823022,ANODA00759,5.108695652173913,2.934441582914215
ANODA,OG1174608,ANODA04336,9.439635535307517,3.8372797709166595
ANODA,OG839253,ANODA06918,nan,nan
ANODA,OG1150674,ANODA06923,8.393846153846154,6.217490884545653
ANODA,OG348620,ANODA06924,11.123324396782841,6.258719118032915
ANODA,OG674682,ANODA07073,5.265822784810126,2.9097093963982186
ANODA,OG964673,ANODA07075,5.408247422680413,2.8880011317034073
ANODA,OG373241,ANODA00581,15.654654654654655,5.498371390129959
ANODA,OG960979,ANODA00582,11.704355108877722,4.294501700095384
ANODA,OG1240325,ANODA00791,6.3188010899182565,4.50119580614201
ANODA,OG1240328,ANODA00790,7.849865951742627,5.5573038415577924
ANODA,OG1231901,ANODA00788,7.264227642276423,4.926873876210089
ANODA,OG1194738,ANODA04923,14.038567493112948,5.900333850361364
ANODA,OG1214658,ANODA02027,7.3023715415019765,3.8767415197009862
ANODA,OG344070,ANODA02026,76.9904831625183,195.7884179277265
ANODA,OG925865,ANODA07041,9.857429718875501,6.571032559321478
ANODA,OG1202204,ANODA07035,10.587628865979381,7.707515610195372
ANODA,OG977782,ANODA01117,4.770042194092827,2.6797941381181194
ANODA,OG351572,ANODA06536,6.380337636544191,4.6894979420577245
ANODA,OG1218157,ANODA08542,7.366952789699571,5.4807997037495335
ANODA,OG926503,ANODA08545,17.613168724279834,6.357535906205532
ANODA,OG817086,ANODA08550,13.764094955489615,5.107667346638888
ANODA,OG949490,ANODA08552,18.532637075718014,29.824435897376926
ANODA,OG451043,ANODA08553,10.484984984984985,3.3692546136239394
ANODA,OG451038,ANODA08555,11.523415977961433,3.8467728108594215
ANODA,OG784747,ANODA08561,14.190251572327044,5.634571459676027
ANODA,OG978616,ANODA08564,11.853851217906518,8.071257490555693
ANODA,OG1218158,ANODA08565,14.423076923076923,6.651622571992242
ANODA,OG1236745,ANODA08566,9.160919540229886,4.982693437552849
ANODA,OG1190683,ANODA08567,9.720603015075376,5.023395279976023
ANODA,OG853434,ANODA08568,8.252225519287833,4.520169382760376
ANODA,OG962230,ANODA03598,7.300653594771242,3.55734528197177
ANODA,OG1230391,ANODA03599,5.105263157894737,3.7071964653228604
ANODA,OG352732,ANODA04288,7.058044806517311,4.685603405426185
ANODA,OG823037,ANODA01777,4.010482180293501,2.3782503254008946
ANODA,OG964344,ANODA02629,6.972296693476318,4.451118805596532
ANODA,OG456720,ANODA07083,7.138888888888889,4.021341326848468
ANODA,OG1146505,ANODA07082,28.771684387241187,125.13409672863207
ANODA,OG671266,ANODA07081,15.800865483350448,7.191243013108918
ANODA,OG664391,ANODA07080,13.701540957015409,5.924242404858024
ANODA,OG722946,ANODA07079,8.267080745341614,4.104243772461713
ANODA,OG961377,ANODA07077,13.984984984984985,7.021971436685884
ANODA,OG1146507,ANODA10392,4.444099378881988,3.291478640717231
ANODA,OG986274,ANODA04898,13.843925985518906,8.662238150948141
ANODA,OG988784,ANODA08548,9.213010516018587,12.73231627323633
ANODA,OG362633,ANODA07026,3.5671641791044775,1.9966928921052256
ANODA,OG375937,ANODA00223,3.7,0.714142842854285
ANODA,OG949414,ANODA06508,2.7860576923076925,1.74171054198343
ANODA,OG917347,ANODA01979,7.997818974918212,3.2711013885820908
ANODA,OG1081004,ANODA08766,6.309377738825591,4.032057088262781
ANODA,OG960945,ANODA08768,11.664010624169986,5.884907056160538
ANODA,OG968775,ANODA05162,9.564760026298488,6.518464702357254
ANODA,OG708597,ANODA05161,4.520123839009288,3.3251485041969446
ANODA,OG1197765,ANODA06617,10.280346820809248,4.474011777209074
ANODA,OG1168476,ANODA06616,8.69328493647913,5.008914947881312
ANODA,OG971123,ANODA05742,16.09099018733274,44.72050898833375
ANODA,OG761976,ANODA05741,36.670833333333334,103.07047540059936
