#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG986274,ANOGA04306,1.0,1.0,1605,1605,1605
ANOGA,OG665560,ANOGA04640,0.9044767607641859,0.9044767607641859,3172,3507,3507
ANOGA,OG1218157,ANOGA04267,0.9723320158102767,0.9723320158102767,738,759,759
ANOGA,OG961299,ANOGA05478,0.9824753559693319,0.9824753559693319,2691,2739,2739
ANOGA,OG1179969,ANOGA05488,0.9986915276414786,0.9986915276414786,3053,3057,3057
ANOGA,OG924410,ANOGA04132,0.9409772617319787,0.9409772617319787,5835,6201,6201
ANOGA,OG1202204,ANOGA05611,1.0,1.0,723,723,723
ANOGA,OG961115,ANOGA04121,1.0,1.0,1086,1086,1086
ANOGA,OG342477,ANOGA04643,0.9986782976473698,0.9986782976473698,3778,3783,3783
ANOGA,OG1150674,ANOGA05653,0.8938826466916354,0.8938826466916354,716,801,801
ANOGA,OG1216622,ANOGA05381,0.6517040731504572,0.6517040731504572,784,1203,1203
ANOGA,OG362633,ANOGA04668,0.9792560801144492,0.9792560801144492,1369,1398,1398
ANOGA,OG1240968,ANOGA05685,1.0,1.0,1329,1329,1329
ANOGA,OG460076,ANOGA06525,1.0,1.0,2823,2823,2823
ANOGA,OG708597,ANOGA04416,0.9890710382513661,0.9890710382513661,2534,2562,2562
ANOGA,OG978616,ANOGA04292,1.0,1.0,2289,2289,2289
ANOGA,OG455346,ANOGA04634,1.0,1.0,1179,1179,1179
ANOGA,OG1183200,ANOGA05481,0.9954493742889647,0.9954493742889647,875,879,879
ANOGA,OG949490,ANOGA04279,1.0,1.0,747,747,747
ANOGA,OG986805,ANOGA05928,0.9553072625698324,0.9553072625698324,5130,5370,5370
ANOGA,OG1168250,ANOGA05380,0.5146198830409356,0.5146198830409356,176,342,342
ANOGA,OG1214658,ANOGA05631,0.8241912798874824,0.8241912798874824,586,711,711
ANOGA,OG953548,ANOGA05931,0.7282051282051282,0.7282051282051282,1420,1950,1950
ANOGA,OG1152239,ANOGA06528,0.8154362416107382,0.8154362416107382,729,894,894
ANOGA,OG362545,ANOGA07030,1.0,1.0,921,921,921
ANOGA,OG348620,ANOGA05652,0.8783505154639175,0.8783505154639175,1278,1455,1455
ANOGA,OG967514,ANOGA05706,1.0,1.0,2778,2778,2778
ANOGA,OG1230391,ANOGA04302,1.0,1.0,1062,1062,1062
ANOGA,OG344070,ANOGA05629,0.9983646770237122,0.9983646770237122,3663,3669,3669
ANOGA,OG946885,ANOGA05407,1.0,1.0,1308,1308,1308
ANOGA,OG456338,ANOGA05365,0.960559796437659,0.960559796437659,5285,5502,5502
ANOGA,OG1204971,ANOGA05312,0.992722602739726,0.992722602739726,6957,7008,7008
ANOGA,OG964633,ANOGA05249,0.991812865497076,0.991812865497076,1696,1710,1710
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOGA,OG456720,ANOGA04313,0.990159901599016,0.990159901599016,805,813,813
ANOGA,OG451038,ANOGA04282,0.9529569892473119,0.9529569892473119,709,744,744
ANOGA,OG1081004,ANOGA04408,0.9465364946536494,0.9465364946536494,2036,2151,2151
ANOGA,OG1246006,ANOGA05367,0.9882352941176471,0.9882352941176471,1008,1020,1020
ANOGA,OG846448,ANOGA05497,1.0,1.0,699,699,699
ANOGA,OG736122,ANOGA04659,1.0,1.0,939,939,939
ANOGA,OG961602,ANOGA04058,0.8818342151675485,0.8818342151675485,500,567,567
ANOGA,OG1194738,ANOGA05637,1.0,1.0,1452,1452,1452
ANOGA,OG1251511,ANOGA04057,0.8622625215889465,0.8622625215889465,1997,2316,2316
ANOGA,OG456648,ANOGA04680,0.9553333333333334,0.9553333333333334,1433,1500,1500
ANOGA,OG961322,ANOGA05683,1.0,1.0,411,411,411
ANOGA,OG456351,ANOGA04056,0.9575683394532843,0.9575683394532843,4694,4902,4902
ANOGA,OG961564,ANOGA05927,0.9712,0.9712,1821,1875,1875
ANOGA,OG419349,ANOGA04655,0.9516129032258065,0.9516129032258065,2832,2976,2976
ANOGA,OG698904,ANOGA04041,1.0,1.0,3120,3120,3120
ANOGA,OG1144131,ANOGA06520,0.6648122392211405,0.6648122392211405,1434,2157,2157
ANOGA,OG341995,ANOGA04081,0.9230147737765466,0.9230147737765466,7997,8664,8664
ANOGA,OG953187,ANOGA05445,0.9425925925925925,0.9425925925925925,509,540,540
ANOGA,OG823032,ANOGA04468,1.0,1.0,1320,1320,1320
ANOGA,OG1202789,ANOGA05383,0.9341524889729048,0.9341524889729048,2965,3174,3174
ANOGA,OG454890,ANOGA04502,1.0,1.0,999,999,999
ANOGA,OG946387,ANOGA05414,1.0,1.0,2088,2088,2088
ANOGA,OG1181227,ANOGA04642,0.9738134206219312,0.9738134206219312,1785,1833,1833
ANOGA,OG861720,ANOGA05778,0.9634205426356589,0.9634205426356589,3977,4128,4128
ANOGA,OG1208321,ANOGA05692,0.6641577060931899,0.6641577060931899,5559,8370,8370
ANOGA,OG718578,ANOGA05248,0.8795811518324608,0.8795811518324608,1512,1719,1719
ANOGA,OG822311,ANOGA04636,0.9201312910284464,0.9201312910284464,2523,2742,2742
ANOGA,OG823037,ANOGA04308,0.9992592592592593,0.9992592592592593,1349,1350,1350
ANOGA,OG420493,ANOGA04637,0.923728813559322,0.923728813559322,654,708,708
ANOGA,OG784747,ANOGA04289,1.0,1.0,636,636,636
ANOGA,OG1197765,ANOGA04431,0.9661016949152542,0.9661016949152542,684,708,708
ANOGA,OG1231177,ANOGA04120,0.9689513766842414,0.9689513766842414,1654,1707,1707
ANOGA,OG1240929,ANOGA04635,0.951969260326609,0.951969260326609,991,1041,1041
ANOGA,OG1203459,ANOGA05696,0.8648373983739838,0.8648373983739838,851,984,984
ANOGA,OG411836,ANOGA05239,0.9908256880733946,0.9908256880733946,1296,1308,1308
ANOGA,OG793899,ANOGA04677,0.988391376451078,0.988391376451078,596,603,603
ANOGA,OG964929,ANOGA05473,0.9799813780260708,0.9799813780260708,2105,2148,2148
ANOGA,OG1198490,ANOGA05372,0.5776439089692101,0.5776439089692101,863,1494,1494
ANOGA,OG932104,ANOGA04539,0.9574328749181401,0.9574328749181401,1462,1527,1527
ANOGA,OG877291,ANOGA05475,1.0,1.0,1569,1569,1569
ANOGA,OG968775,ANOGA04415,0.9804224626481195,0.9804224626481195,1903,1941,1941
ANOGA,OG961013,ANOGA04514,0.9781061850027367,0.9781061850027367,1787,1827,1827
ANOGA,OG1079985,ANOGA04086,0.9833770778652668,0.9833770778652668,3372,3429,3429
ANOGA,OG899270,ANOGA04679,0.9344066785927251,0.9344066785927251,1567,1677,1677
ANOGA,OG1189787,ANOGA04698,1.0,1.0,588,588,588
ANOGA,OG661167,ANOGA04541,1.0,1.0,864,864,864
ANOGA,OG1174245,ANOGA04055,0.8985507246376812,0.8985507246376812,1612,1794,1794
ANOGA,OG1139777,ANOGA04100,0.5282485875706214,0.5282485875706214,187,354,354
ANOGA,OG1229017,ANOGA05305,0.7744574884382782,0.7744574884382782,2177,2811,2811
ANOGA,OG968364,ANOGA07027,0.9052725647899911,0.9052725647899911,2026,2238,2238
ANOGA,OG998211,ANOGA04098,0.9994562262098967,0.9994562262098967,3676,3678,3678
ANOGA,OG896170,ANOGA04117,0.8376362593230063,0.8376362593230063,1460,1743,1743
ANOGA,OG1146505,ANOGA04324,0.7503875968992249,0.7503875968992249,1936,2580,2580
ANOGA,OG1219581,ANOGA05679,0.9678202792956891,0.9678202792956891,1594,1647,1647
ANOGA,OG958126,ANOGA04045,1.0,1.0,666,666,666
ANOGA,OG1240325,ANOGA05642,0.63510101010101,0.63510101010101,503,792,792
ANOGA,OG970502,ANOGA04470,1.0,1.0,1137,1137,1137
ANOGA,OG676343,ANOGA05773,0.9892887746358183,0.9892887746358183,2309,2334,2334
ANOGA,OG961440,ANOGA04483,1.0,1.0,1422,1422,1422
ANOGA,OG456691,ANOGA05703,1.0,1.0,1257,1257,1257
ANOGA,OG1179948,ANOGA04501,0.6737588652482269,0.6737588652482269,380,564,564
ANOGA,OG911937,ANOGA04125,0.935098650051921,0.935098650051921,1801,1926,1926
ANOGA,OG951333,ANOGA05777,0.8133333333333334,0.8133333333333334,366,450,450
ANOGA,OG963232,ANOGA04489,1.0,1.0,1062,1062,1062
ANOGA,OG978865,ANOGA04062,0.95,0.95,969,1020,1020
ANOGA,OG932017,ANOGA04469,1.0,1.0,1509,1509,1509
ANOGA,OG451043,ANOGA04280,0.8884514435695539,0.8884514435695539,677,762,762
ANOGA,OG964344,ANOGA04312,0.9397163120567376,0.9397163120567376,1325,1410,1410
ANOGA,OG976835,ANOGA04087,1.0,1.0,1719,1719,1719
ANOGA,OG1176412,ANOGA04492,1.0,1.0,3033,3033,3033
ANOGA,OG848281,ANOGA05255,0.996268656716418,0.996268656716418,1602,1608,1608
ANOGA,OG842298,ANOGA04047,0.9455243580513559,0.9455243580513559,3940,4167,4167
ANOGA,OG1251119,ANOGA04663,0.9984674329501916,0.9984674329501916,1303,1305,1305
ANOGA,OG1198488,ANOGA05707,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOGA,OG698997,ANOGA05682,0.9902723735408561,0.9902723735408561,3054,3084,3084
ANOGA,OG1223886,ANOGA05389,0.9288617886178862,0.9288617886178862,457,492,492
ANOGA,OG960910,ANOGA05775,0.9923896499238964,0.9923896499238964,1304,1314,1314
ANOGA,OG1236745,ANOGA04294,0.828735632183908,0.828735632183908,721,870,870
ANOGA,OG762076,ANOGA05710,1.0,1.0,798,798,798
ANOGA,OG1222683,ANOGA04115,0.9981981981981982,0.9981981981981982,1662,1665,1665
ANOGA,OG961398,ANOGA05245,0.9436619718309859,0.9436619718309859,1206,1278,1278
ANOGA,OG1231901,ANOGA05639,0.810624493106245,0.810624493106245,1999,2466,2466
ANOGA,OG1240328,ANOGA05641,0.9005649717514125,0.9005649717514125,797,885,885
ANOGA,OG1150857,ANOGA04505,0.9728020240354206,0.9728020240354206,1538,1581,1581
ANOGA,OG1190683,ANOGA04295,0.9355108877721943,0.9355108877721943,1117,1194,1194
ANOGA,OG823022,ANOGA05671,0.9962462462462462,0.9962462462462462,1327,1332,1332
ANOGA,OG375937,ANOGA13872,0.9730392156862745,0.9730392156862745,794,816,816
ANOGA,OG925865,ANOGA05617,0.8804347826086957,0.8804347826086957,486,552,552
ANOGA,OG796653,ANOGA04674,0.8557651991614256,0.8557651991614256,2041,2385,2385
ANOGA,OG1168476,ANOGA04432,1.0,1.0,1269,1269,1269
ANOGA,OG1242667,ANOGA04473,0.9995884773662551,0.9995884773662551,2429,2430,2430
ANOGA,OG373241,ANOGA05645,1.0,1.0,333,333,333
ANOGA,OG674682,ANOGA05648,0.9888059701492538,0.9888059701492538,795,804,804
ANOGA,OG352732,ANOGA04305,1.0,1.0,1356,1356,1356
ANOGA,OG1162063,ANOGA04462,0.9142661179698217,0.9142661179698217,1333,1458,1458
ANOGA,OG664391,ANOGA04327,1.0,1.0,1389,1389,1389
ANOGA,OG1241986,ANOGA04040,0.9923371647509579,0.9923371647509579,1295,1305,1305
ANOGA,OG916860,ANOGA05486,0.9544895448954489,0.9544895448954489,776,813,813
ANOGA,OG960945,ANOGA04410,1.0,1.0,1560,1560,1560
ANOGA,OG1218158,ANOGA04293,0.6082621082621082,0.6082621082621082,427,702,702
ANOGA,OG1192905,ANOGA05458,1.0,1.0,1017,1017,1017
ANOGA,OG853434,ANOGA04296,0.9897750511247444,0.9897750511247444,484,489,489
ANOGA,OG1214309,ANOGA05405,0.9626865671641791,0.9626865671641791,387,402,402
ANOGA,OG369576,ANOGA05331,0.86996336996337,0.86996336996337,475,546,546
ANOGA,OG1191966,ANOGA05362,0.9138634046890928,0.9138634046890928,1793,1962,1962
ANOGA,OG971123,ANOGA04434,1.0,1.0,1572,1572,1572
ANOGA,OG988784,ANOGA04273,0.9891509433962264,0.9891509433962264,6291,6360,6360
ANOGA,OG703365,ANOGA04508,0.951530612244898,0.951530612244898,1119,1176,1176
ANOGA,OG926503,ANOGA04270,1.0,1.0,486,486,486
ANOGA,OG458150,ANOGA04629,0.9978494623655914,0.9978494623655914,464,465,465
ANOGA,OG975279,ANOGA04631,1.0,1.0,1629,1629,1629
ANOGA,OG696447,ANOGA06521,0.8917748917748918,0.8917748917748918,824,924,924
ANOGA,OG1218490,ANOGA05471,0.9369565217391305,0.9369565217391305,1293,1380,1380
ANOGA,OG961439,ANOGA04097,1.0,1.0,1212,1212,1212
ANOGA,OG966098,ANOGA04644,0.9680416202155333,0.9680416202155333,2605,2691,2691
ANOGA,OG1139996,ANOGA05695,0.909706546275395,0.909706546275395,1209,1329,1329
ANOGA,OG1146507,ANOGA05711,0.9996563573883162,0.9996563573883162,2909,2910,2910
ANOGA,OG457108,ANOGA04521,0.9184397163120568,0.9184397163120568,518,564,564
ANOGA,OG1174608,ANOGA05668,0.5540540540540541,0.5540540540540541,246,444,444
ANOGA,OG1221689,ANOGA04113,0.9725085910652921,0.9725085910652921,2264,2328,2328
ANOGA,OG917347,ANOGA05769,1.0,1.0,963,963,963
ANOGA,OG457329,ANOGA04096,1.0,1.0,756,756,756
ANOGA,OG962230,ANOGA04299,0.7430894308943089,0.7430894308943089,457,615,615
ANOGA,OG722946,ANOGA04328,0.9975,0.9975,1197,1200,1200
ANOGA,OG949414,ANOGA05260,1.0,1.0,699,699,699
ANOGA,OG979200,ANOGA04436,1.0,1.0,1716,1716,1716
ANOGA,OG719374,ANOGA05480,0.960995453457765,0.960995453457765,4016,4179,4179
ANOGA,OG1223272,ANOGA04094,0.92916123424598,0.92916123424598,2138,2301,2301
ANOGA,OG456479,ANOGA05459,1.0,1.0,1845,1845,1845
ANOGA,OG675570,ANOGA04091,0.9989071038251366,0.9989071038251366,914,915,915
ANOGA,OG1174891,ANOGA04632,1.0,1.0,897,897,897
ANOGA,OG1212040,ANOGA05460,0.7100569957712815,0.7100569957712815,3862,5439,5439
ANOGA,OG817086,ANOGA04277,0.8353253652058433,0.8353253652058433,629,753,753
ANOGA,OG1138880,ANOGA05943,0.9911894273127754,0.9911894273127754,675,681,681
ANOGA,OG351572,ANOGA04255,0.9972451790633609,0.9972451790633609,1086,1089,1089
ANOGA,OG1224967,ANOGA04095,0.9994416527079844,0.9994416527079844,1790,1791,1791
ANOGA,OG673136,ANOGA04099,0.97339593114241,0.97339593114241,1244,1278,1278
ANOGA,OG792914,ANOGA04135,1.0,1.0,1185,1185,1185
ANOGA,OG671266,ANOGA04325,0.7846538187009279,0.7846538187009279,10993,14010,14010
ANOGA,OG792952,ANOGA04134,0.6938967136150235,0.6938967136150235,739,1065,1065
ANOGA,OG944937,ANOGA05498,0.9924026590693258,0.9924026590693258,1045,1053,1053
ANOGA,OG977782,ANOGA05610,0.9990954319312528,0.9990954319312528,2209,2211,2211
ANOGA,OG699681,ANOGA05433,0.9970501474926253,0.9970501474926253,338,339,339
ANOGA,OG1235653,ANOGA04515,1.0,1.0,1875,1875,1875
ANOGA,OG814084,ANOGA05434,0.9515669515669516,0.9515669515669516,1002,1053,1053
ANOGA,OG964673,ANOGA05646,0.8367697594501718,0.8367697594501718,487,582,582
ANOGA,OG931899,ANOGA04558,1.0,1.0,1515,1515,1515
ANOGA,OG790850,ANOGA04067,0.8526645768025078,0.8526645768025078,816,957,957
ANOGA,OG1170587,ANOGA04139,0.520375865479723,0.520375865479723,5261,10110,10110
ANOGA,OG761976,ANOGA04435,0.9711479435236341,0.9711479435236341,1582,1629,1629
ANOGA,OG962019,ANOGA04699,1.0,1.0,855,855,855
ANOGA,OG971355,ANOGA04093,0.9912115505335845,0.9912115505335845,1579,1593,1593
ANOGA,OG961377,ANOGA04332,1.0,1.0,1041,1041,1041
ANOGA,OG1225085,ANOGA05304,0.7270448849396218,0.7270448849396218,3191,4389,4389
ANOGA,OG1226379,ANOGA04627,1.0,1.0,1323,1323,1323
ANOGA,OG828830,ANOGA04503,0.35528942115768464,0.35528942115768464,178,501,501
ANOGA,OG1157040,ANOGA04042,1.0,1.0,783,783,783
ANOGA,OG839253,ANOGA05660,0.8408408408408409,0.8408408408408409,280,333,333
ANOGA,OG961011,ANOGA05472,0.984620886981402,0.984620886981402,2753,2796,2796
ANOGA,OG814870,ANOGA05303,0.7537485582468282,0.7537485582468282,3921,5202,5202
ANOGA,OG457572,ANOGA05354,0.6986301369863014,0.6986301369863014,306,438,438
