#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,4.806547619047619,2.9962404991396814
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,3.382059800664452,1.9657052388709955
ANODA,OG960910,ANODA08504,36.50152207001522,23.88532498388687
ANODA,OG848281,ANODA03007,9.557935735150926,5.761682414801651
ANODA,OG1221639,ANODA05486,19.286995515695068,4.749147805071911
ANODA,OG964633,ANODA05487,20.597624350408314,11.176119692088092
ANODA,OG718578,ANODA00549,2.579136690647482,0.8085847677512902
ANODA,OG961398,ANODA01312,8.474645030425963,4.592951002406596
ANODA,OG411836,ANODA03579,16.23076923076923,8.858506687675083
ANODA,OG1241986,ANODA03573,9.283969465648855,3.8130314279878914
ANODA,OG698904,ANODA03572,20.558834378458133,11.205178196379945
ANODA,OG1157040,ANODA03571,13.741035856573705,5.343636544212433
ANODA,OG958126,ANODA01492,7.902777777777778,2.752909515852117
ANODA,OG842298,ANODA01152,12.049511002444987,9.925239787856814
ANODA,OG1174245,ANODA09078,5.1850117096018735,3.8143031920145387
ANODA,OG456351,ANODA09077,18.67534722222222,36.03220709027
ANODA,OG1251511,ANODA09076,16.01431209602955,7.369691504667742
ANODA,OG961602,ANODA09075,10.117216117216117,5.120614476437082
ANODA,OG953187,ANODA09070,18.113259668508288,9.344593431023942
ANODA,OG814084,ANODA09331,7.333333333333333,4.891214226364159
ANODA,OG699681,ANODA09332,7.957264957264957,2.8053464292164176
ANODA,OG946387,ANODA07723,7.5850840336134455,6.36058538355628
ANODA,OG946885,ANODA07717,14.96149358226371,7.7641525302939165
ANODA,OG1214309,ANODA07715,nan,nan
ANODA,OG341995,ANODA06295,25.48933577087142,91.89273899729035
ANODA,OG1079985,ANODA06296,10.969738651994499,10.441184869174329
ANODA,OG976835,ANODA06297,22.072943172179812,15.715713569550804
ANODA,OG675570,ANODA03502,nan,nan
ANODA,OG971355,ANODA03504,18.28500823723229,9.546961321250567
ANODA,OG1223272,ANODA01666,10.75592105263158,8.727016684084754
ANODA,OG1224967,ANODA01667,4.851929824561403,4.067307156319441
ANODA,OG457329,ANODA01668,nan,nan
ANODA,OG961439,ANODA01669,3.4143920595533497,1.1890698723900892
ANODA,OG998211,ANODA01670,7.2648870636550305,4.270338355326218
ANODA,OG673136,ANODA03220,2.8296296296296295,1.1420627260501923
