#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,20.203337213814514,29.55123837151088
ANOST,OG676343,ANOST00003,7.058555627846454,4.57587873841607
ANOST,OG951333,ANOST00004,6.495073891625616,1.8764092554790432
ANOST,OG960910,ANOST00006,50.25701943844492,21.073344510438623
ANOST,OG848281,ANOST00012,5.5598326359832635,3.3649027747152456
ANOST,OG1221639,ANOST00016,6.137426900584796,2.752213854055975
ANOST,OG964633,ANOST00017,24.35554245283019,8.546577707341795
ANOST,OG718578,ANOST00019,9.241354975299929,5.772043237215457
ANOST,OG961398,ANOST00021,14.863471971066907,6.203188839544676
ANOST,OG411836,ANOST00028,22.690586419753085,9.03341384557879
ANOST,OG1241986,ANOST00031,13.320305862361938,8.205839803049601
ANOST,OG698904,ANOST00032,18.787713310580205,8.22524121619341
ANOST,OG1157040,ANOST00033,8.257731958762887,5.197696457493104
ANOST,OG958126,ANOST00036,6.541176470588235,4.073224968145884
ANOST,OG842298,ANOST00037,13.966545213646903,8.52441539671624
ANOST,OG1174245,ANOST00043,14.741556534508076,6.15135981171216
ANOST,OG456351,ANOST00044,15.928802588996763,26.32297737810842
ANOST,OG1251511,ANOST00045,26.166815742397137,9.811295964393942
ANOST,OG961602,ANOST00046,13.358,5.064171798033712
ANOST,OG953187,ANOST00048,8.501098901098901,4.015833894639997
ANOST,OG814084,ANOST00057,11.527065527065528,7.834741258723724
ANOST,OG699681,ANOST00058,2.135135135135135,1.1189319753775377
ANOST,OG946387,ANOST00073,13.140749846342963,7.1731062418056215
ANOST,OG946885,ANOST00079,16.570731707317073,8.683286737767874
ANOST,OG1214309,ANOST00081,6.621134020618556,1.9892149289568652
ANOST,OG341995,ANOST00098,15.125358640476716,33.21549655320758
ANOST,OG1079985,ANOST00101,17.150621669626997,9.014457233952752
ANOST,OG976835,ANOST00102,22.261776982707215,9.262940951840068
ANOST,OG675570,ANOST00108,12.610526315789473,6.165344122110649
ANOST,OG971355,ANOST00110,27.383458646616543,10.978827976017596
ANOST,OG1223272,ANOST00111,22.14371812702828,7.658189485385934
ANOST,OG1224967,ANOST00112,16.286654697785757,7.540899549008392
ANOST,OG457329,ANOST00113,2.4371069182389937,1.286409534989983
ANOST,OG961439,ANOST00114,31.965931863727455,23.473492526382586
ANOST,OG998211,ANOST00115,16.194883370955605,8.58737787956503
ANOST,OG673136,ANOST00116,11.071244635193134,5.547847797937562
ANOST,OG1139777,ANOST00117,nan,nan
ANOST,OG1221689,ANOST00123,19.648380129589633,8.571432320192955
ANOST,OG1222683,ANOST00125,17.7292899408284,7.51757900991883
ANOST,OG1215812,ANOST00126,7.439324116743472,4.997749616866572
ANOST,OG896170,ANOST00127,21.8205865439908,13.277894634031231
ANOST,OG1231177,ANOST00129,19.984737484737483,7.524588040237551
ANOST,OG961115,ANOST00130,12.473098330241188,4.328007748173891
ANOST,OG911937,ANOST00134,15.58813559322034,8.102268317651482
ANOST,OG924410,ANOST00137,20.75503478579275,9.955671030751057
ANOST,OG792952,ANOST00138,18.37330754352031,6.818871249284186
ANOST,OG792914,ANOST00139,14.234756097560975,8.26558464808497
ANOST,OG1244115,ANOST00140,3.1525974025974026,1.6882211514186016
ANOST,OG1170587,ANOST00146,22.42401755852843,8.847833148164124
ANOST,OG1226379,ANOST00147,13.694793536804308,6.564021802863554
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,17.21551132463967,8.76938305892073
ANOST,OG1174891,ANOST00152,15.920046349942062,7.853635244672907
ANOST,OG455346,ANOST00156,16.419277108433736,5.964361180940076
ANOST,OG1240929,ANOST00157,6.829487179487179,3.146492103522261
ANOST,OG822311,ANOST00158,23.031053459119498,10.168636010999023
ANOST,OG420493,ANOST00159,14.415584415584416,5.147312120034672
ANOST,OG665560,ANOST00160,17.316213494461227,8.367485443745824
ANOST,OG420768,ANOST00161,13.491105121293801,7.807578156911466
ANOST,OG1181227,ANOST00162,27.09515765765766,9.350618998270637
ANOST,OG342477,ANOST00163,56.62880523731587,179.8925693820263
ANOST,OG966098,ANOST00164,18.746467817896388,8.625566625538386
