#species,og,gene_id,coverage,std
ANOGA,OG1079985,ANOGA04086,30.25575969670458,10.807398105889611
ANOGA,OG1081004,ANOGA04408,27.837048043585934,14.169905619416447
ANOGA,OG1138880,ANOGA05943,13.879588839941263,5.348380885670116
ANOGA,OG1139777,ANOGA04100,3.901129943502825,2.2758493466509178
ANOGA,OG1139996,ANOGA05695,18.006772009029344,8.904769101745092
ANOGA,OG1144131,ANOGA06520,34.90820584144645,12.036065120575902
ANOGA,OG1146505,ANOGA04324,35.35556417215975,9.66148535199011
ANOGA,OG1146507,ANOGA05711,36.80824742268041,10.642245487898343
ANOGA,OG1150674,ANOGA05653,8.771535580524345,3.7518519790170792
ANOGA,OG1150857,ANOGA04505,30.11703511053316,10.159550769281962
ANOGA,OG1152239,ANOGA06528,20.666666666666668,7.469554115415964
ANOGA,OG1157040,ANOGA04042,14.424010217113665,5.359755980787423
ANOGA,OG1162063,ANOGA04462,32.41152263374486,15.747734533864742
ANOGA,OG1168250,ANOGA05380,10.51864406779661,2.7908126862230387
ANOGA,OG1168476,ANOGA04432,26.698975571315998,10.537075100293345
ANOGA,OG1170587,ANOGA04139,41.19888954987111,12.645108671176592
ANOGA,OG1174245,ANOGA04055,26.54976851851852,10.991729843223782
ANOGA,OG1174608,ANOGA05668,5.77027027027027,1.993552426776214
ANOGA,OG1174891,ANOGA04632,20.49944258639911,6.316640242085184
ANOGA,OG1176412,ANOGA04492,26.70952851961754,12.458822312761496
ANOSI,OG1179948,ANOSI16890,6.03030303030303,3.504267370958234
ANOGA,OG1179969,ANOGA05488,29.800785083415114,10.729853707643857
ANOGA,OG1181227,ANOGA04642,31.569826135726306,12.372219723621518
ANOGA,OG1183200,ANOGA05481,27.17178612059158,10.063340937566432
ANOGA,OG1189787,ANOGA04698,17.952380952380953,4.646457700334496
ANOGA,OG1190683,ANOGA04295,30.82998324958124,8.009442009669092
ANOST,OG1191966,ANOST00456,23.654028436018958,9.34657424245669
ANOGA,OG1192905,ANOGA05458,33.445427728613566,11.080079533867613
ANODA,OG1194738,ANODA04923,27.856060606060606,7.753028230319335
ANOGA,OG1197765,ANOGA04431,25.140350877192983,5.964383361482824
ANODA,OG1198488,ANODA06785,30.04753820033956,12.12843937861373
ANODA,OG1198490,ANODA04841,25.253400143163923,7.349652495416273
ANOGA,OG1202204,ANOGA05611,21.831258644536653,7.002016460663242
ANOGA,OG1202789,ANOGA05383,31.288467614533964,12.456149043528935
ANOGA,OG1203459,ANOGA05696,20.158536585365855,4.865181199330612
ANOGA,OG1204971,ANOGA05312,40.27725456621005,10.073802250275802
ANOGA,OG1208321,ANOGA05692,38.297534781547476,12.422936037246767
ANOGA,OG1212040,ANOGA05460,32.52092760180995,11.671354991802925
ANOGA,OG1214309,ANOGA05405,9.447761194029852,3.51167313706425
ANOGA,OG1214658,ANOGA05631,6.114334470989761,2.7813799428382078
ANOGA,OG1215812,ANOGA04116,7.340909090909091,5.115612893627686
ANOGA,OG1216622,ANOGA05381,14.9175,7.340346977493639
ANOGA,OG1218157,ANOGA04267,13.567750677506774,4.708165147888242
ANOGA,OG1218158,ANOGA04293,17.2605421686747,3.481432290076956
ANOST,OG1218490,ANOST00495,24.928953399541633,9.987478511500832
ANOGA,OG1219581,ANOGA05679,28.785670916818457,10.240559555428593
ANOGA,OG1221639,ANOGA05250,7.816091954022989,3.2941213247069827
ANOGA,OG1221689,ANOGA04113,26.68041237113402,7.0348978774464985
ANOGA,OG1222683,ANOGA04115,29.0018018018018,7.434478342491943
ANOGA,OG1223272,ANOGA04094,33.636245110821385,14.019799390470862
ANOGA,OG1223886,ANOGA05389,5.664444444444444,2.0134719108550954
ANOGA,OG1224967,ANOGA04095,35.00391061452514,13.475012518017389
ANOGA,OG1225085,ANOGA05304,38.82342219184324,11.262988018776982
ANOGA,OG1226379,ANOGA04627,27.14134542705971,10.222193941785532
ANOGA,OG1229017,ANOGA05305,25.227797833935018,14.411628622567152
ANOGA,OG1230391,ANOGA04302,25.059322033898304,9.660394551597138
ANOST,OG1231177,ANOST00129,36.58766626360339,13.130375639898782
ANOGA,OG1231901,ANOGA05639,28.873833671399595,11.359687491626964
ANOGA,OG1235653,ANOGA04515,35.361066666666666,13.307252315769606
ANOGA,OG1236745,ANOGA04294,27.525462962962962,7.1212579366626025
ANOST,OG1240325,ANOST00269,10.831395348837209,5.53913689918252
ANOGA,OG1240328,ANOGA05641,16.950282485875707,8.569807230352353
ANOGA,OG1240929,ANOGA04635,26.078770413064362,9.90635988703514
ANOGA,OG1240968,ANOGA05685,30.212942061700527,9.104474189141925
ANOGA,OG1241986,ANOGA04040,26.942528735632184,15.563507017816347
ANOGA,OG1242667,ANOGA04473,29.634979423868312,9.649606630694779
ANOSI,OG1244115,ANOSI05521,6.2518796992481205,1.486940720853471
ANOGA,OG1246006,ANOGA05367,24.23627450980392,8.195889562980089
ANOGA,OG1251119,ANOGA04663,27.850345356868765,10.938319265476018
ANOST,OG1251511,ANOST00045,26.140429338103758,8.412814603171313
ANOGA,OG1251552,ANOGA04696,13.12603305785124,3.7739078063909544
ANOGA,OG341995,ANOGA04081,34.308178350023844,13.692186121038185
ANOGA,OG342477,ANOGA04643,66.5725614591594,166.07046349465327
ANOGA,OG344070,ANOGA05629,28.48239148239148,9.526298989680626
ANOGA,OG348620,ANOGA05652,37.4446735395189,10.333520546578049
ANOGA,OG351572,ANOGA04255,20.667584940312214,11.462305602410114
ANOGA,OG352732,ANOGA04305,26.101769911504423,8.526721651264966
ANOGA,OG362545,ANOGA07030,33.66015200868621,9.303346483163827
ANOGA,OG362633,ANOGA04668,28.272011453113816,13.13572766137666
ANOGA,OG369576,ANOGA05331,19.970772442588725,2.620614764046223
ANODA,OG373241,ANODA00581,8.558558558558559,2.6969608677632992
ANOGA,OG375937,ANOGA13872,49.13767209011264,16.098370010154422
ANOGA,OG411836,ANOGA05239,40.98688271604938,19.835838174501472
ANOGA,OG419349,ANOGA04655,38.0141193081539,10.919941557733322
ANOGA,OG420493,ANOGA04637,38.22457627118644,13.885594513377718
ANOGA,OG420768,ANOGA04641,25.87153846153846,10.242466158975166
ANOGA,OG451038,ANOGA04282,26.993279569892472,11.091079821641026
ANOGA,OG451043,ANOGA04280,9.360123647604327,5.0757920465385045
ANOGA,OG454890,ANOGA04502,27.45845845845846,9.526320213116335
ANOGA,OG455346,ANOGA04634,22.36047497879559,6.9392002808503745
ANOGA,OG456338,ANOGA05365,33.852165898617514,12.466503965239607
ANOGA,OG456351,ANOGA04056,35.99394066025909,10.730046392581489
ANOGA,OG456479,ANOGA05459,28.80921409214092,9.503125811824074
ANOGA,OG456648,ANOGA04680,21.462666666666667,6.730770601416221
ANOGA,OG456691,ANOGA05703,24.41368337311058,11.328426261578766
ANOGA,OG456720,ANOGA04313,28.809937888198757,9.448909398233104
ANOGA,OG457108,ANOGA04521,16.668439716312058,3.0460409798000416
ANOGA,OG457329,ANOGA04096,19.461640211640212,5.191553932142157
ANOGA,OG457572,ANOGA05354,6.340632603406326,3.4416623874382766
ANOGA,OG458150,ANOGA04629,19.997844827586206,5.214162958254361
ANOGA,OG460076,ANOGA06525,31.00141693234148,14.128402547023391
ANOGA,OG661167,ANOGA04541,17.953703703703702,5.591427398853798
ANOGA,OG664391,ANOGA04327,24.192944564434846,9.975213733335472
ANOGA,OG665560,ANOGA04640,30.825834542815674,9.433773449042722
ANOGA,OG671266,ANOGA04325,38.366952177016415,10.748737949780855
ANOGA,OG673136,ANOGA04099,27.743405275779377,11.310197611837076
ANOGA,OG674682,ANOGA05648,22.075187969924812,8.83512929596657
ANOGA,OG675570,ANOGA04091,25.86448087431694,9.482292708186801
ANOGA,OG676343,ANOGA05773,41.74317886530966,10.583510734442438
ANOGA,OG696447,ANOGA06521,24.156926406926406,9.088445025265216
ANOGA,OG698904,ANOGA04041,34.75608974358974,10.618703025354087
ANOGA,OG698997,ANOGA05682,36.14468085106383,20.267006970517095
ANOGA,OG699681,ANOGA05433,2.1540785498489425,0.5417382617861632
