#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1218158,ANOGA04293,0.9415954415954416,0.9415954415954416,661,702,702
ANOGA,OG1174891,ANOGA04632,0.8862876254180602,0.8862876254180602,795,897,897
ANOGA,OG1251119,ANOGA04663,0.8827586206896552,0.8827586206896552,1152,1305,1305
ANOGA,OG977782,ANOGA05610,0.4862053369516056,0.4862053369516056,1075,2211,2211
ANOGA,OG1251552,ANOGA04696,0.6407407407407407,0.6407407407407407,346,540,540
ANOGA,OG962019,ANOGA04699,0.5274853801169591,0.5274853801169591,451,855,855
ANOGA,OG958126,ANOGA04045,0.5585585585585585,0.5585585585585585,372,666,666
ANOGA,OG1212040,ANOGA05460,0.9431880860452289,0.9431880860452289,5130,5439,5439
ANOGA,OG420768,ANOGA04641,0.8532588454376164,0.8532588454376164,2291,2685,2685
ANOGA,OG457572,ANOGA05354,0.7579908675799086,0.7579908675799086,332,438,438
ANOGA,OG420493,ANOGA04637,0.7824858757062146,0.7824858757062146,554,708,708
ANOGA,OG828830,ANOGA04503,0.6407185628742516,0.6407185628742516,321,501,501
ANOGA,OG861720,ANOGA05778,0.6237887596899225,0.6237887596899225,2575,4128,4128
ANOGA,OG676343,ANOGA05773,0.4117395029991431,0.4117395029991431,961,2334,2334
ANOGA,OG1223886,ANOGA05389,0.5630081300813008,0.5630081300813008,277,492,492
ANOGA,OG931899,ANOGA04558,0.526072607260726,0.526072607260726,797,1515,1515
ANOGA,OG1214309,ANOGA05405,0.9502487562189055,0.9502487562189055,382,402,402
ANOGA,OG456691,ANOGA05703,0.573587907716786,0.573587907716786,721,1257,1257
ANOGA,OG792952,ANOGA04134,0.8347417840375587,0.8347417840375587,889,1065,1065
ANOGA,OG665560,ANOGA04640,0.866837753065298,0.866837753065298,3040,3507,3507
ANOGA,OG1229017,ANOGA05305,0.9886161508360014,0.9886161508360014,2779,2811,2811
ANOGA,OG1183200,ANOGA05481,0.6109215017064846,0.6109215017064846,537,879,879
ANOGA,OG961013,ANOGA04514,0.9824849480021893,0.9824849480021893,1795,1827,1827
ANOGA,OG1174608,ANOGA05668,0.9977477477477478,0.9977477477477478,443,444,444
ANOGA,OG373241,ANOGA05645,0.996996996996997,0.996996996996997,332,333,333
ANOGA,OG823032,ANOGA04468,0.7757575757575758,0.7757575757575758,1024,1320,1320
ANOGA,OG817086,ANOGA04277,0.896414342629482,0.896414342629482,675,753,753
ANOGA,OG967514,ANOGA05706,0.9553635709143269,0.9553635709143269,2654,2778,2778
ANOGA,OG1081004,ANOGA04408,0.8372849837284984,0.8372849837284984,1801,2151,2151
ANOGA,OG1218490,ANOGA05471,0.8318840579710145,0.8318840579710145,1148,1380,1380
ANOGA,OG986805,ANOGA05928,0.9169459962756052,0.9169459962756052,4924,5370,5370
ANOGA,OG342477,ANOGA04643,0.9180544541369283,0.9180544541369283,3473,3783,3783
ANOGA,OG822311,ANOGA04636,0.9635302698760029,0.9635302698760029,2642,2742,2742
