#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1226379,ANOSI13958,0.7217194570135747,0.7217194570135747,957,1326,1326
ANOSI,OG1179948,ANOSI16890,0.6506238859180036,0.6506238859180036,365,561,561
ANOSI,OG419349,ANOSI16375,0.6124367317425886,0.6124367317425886,1694,2766,2766
ANOSI,OG362545,ANOSI14857,0.5634638196915777,0.5634638196915777,475,843,843
ANOSI,OG998211,ANOSI13712,0.5949436658422643,0.5949436658422643,2165,3639,3639
ANOSI,OG1197765,ANOSI15828,0.9648382559774965,0.9648382559774965,686,711,711
ANOSI,OG1231177,ANOSI05477,0.9671361502347418,0.9671361502347418,1648,1704,1704
ANOSI,OG344070,ANOSI13377,0.2848545636910732,0.2848545636910732,852,2991,2991
ANOSI,OG1222683,ANOSI12376,0.7273809523809524,0.7273809523809524,1222,1680,1680
ANOSI,OG1198488,ANOSI18498,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANOSI,OG460076,ANOSI16987,0.8441657164576207,0.8441657164576207,2221,2631,2631
ANOSI,OG698904,ANOSI13273,0.9724888035828535,0.9724888035828535,3040,3126,3126
ANOSI,OG916860,ANOSI16582,0.6960408684546615,0.6960408684546615,545,783,783
ANOSI,OG946885,ANOSI17776,0.7530581039755352,0.7530581039755352,985,1308,1308
ANOSI,OG1223272,ANOSI13699,0.791038525963149,0.791038525963149,1889,2388,2388
ANOSI,OG1176412,ANOSI15222,0.6617179215270413,0.6617179215270413,1872,2829,2829
ANOSI,OG917347,ANOSI11939,0.9633123689727463,0.9633123689727463,919,954,954
ANOSI,OG926503,ANOSI08194,0.8765432098765432,0.8765432098765432,426,486,486
ANOSI,OG960910,ANOSI11898,1.0,1.0,1314,1314,1314
ANOSI,OG961299,ANOSI14995,0.5312169312169313,0.5312169312169313,1506,2835,2835
ANOSI,OG420493,ANOSI13963,0.8281653746770026,0.8281653746770026,641,774,774
ANOSI,OG1224967,ANOSI13721,0.947986577181208,0.947986577181208,1695,1788,1788
ANOSI,OG1174245,ANOSI10141,0.540356394129979,0.540356394129979,1031,1908,1908
ANOSI,OG1150857,ANOSI15844,0.8394833948339483,0.8394833948339483,1365,1626,1626
ANOSI,OG961322,ANOSI11117,0.8029197080291971,0.8029197080291971,330,411,411
ANOSI,OG664391,ANOSI08311,0.6377440347071583,0.6377440347071583,882,1383,1383
ANOSI,OG971355,ANOSI13700,0.9893882646691635,0.9893882646691635,1585,1602,1602
ANOSI,OG454890,ANOSI16889,0.816017316017316,0.816017316017316,754,924,924
ANOSI,OG1244115,ANOSI05521,0.8936781609195402,0.8936781609195402,311,348,348
ANOSI,OG944937,ANOSI18066,0.39351851851851855,0.39351851851851855,425,1080,1080
ANOSI,OG1240325,ANOSI13359,0.8585858585858586,0.8585858585858586,680,792,792
ANOSI,OG839253,ANOSI18124,0.8858858858858859,0.8858858858858859,295,333,333
ANOSI,OG1202204,ANOSI18328,0.9260808926080892,0.9260808926080892,664,717,717
ANOSI,OG1168476,ANOSI15819,0.8418491484184915,0.8418491484184915,1038,1233,1233
ANOSI,OG1139996,ANOSI13881,0.601644245142003,0.601644245142003,805,1338,1338
ANOSI,OG961011,ANOSI08989,0.7469402447804175,0.7469402447804175,2075,2778,2778
ANOSI,OG1246006,ANOSI08120,0.8471400394477318,0.8471400394477318,859,1014,1014
ANOSI,OG1241986,ANOSI13275,0.6543778801843319,0.6543778801843319,852,1302,1302
ANOSI,OG451038,ANOSI08326,0.956989247311828,0.956989247311828,712,744,744
ANOSI,OG1168250,ANOSI15785,0.8567251461988304,0.8567251461988304,293,342,342
ANOSI,OG1202789,ANOSI15781,0.8880139982502188,0.8880139982502188,3045,3429,3429
ANOSI,OG1150674,ANOSI16840,0.3533083645443196,0.3533083645443196,283,801,801
ANOSI,OG456338,ANOSI18154,0.4793028322440087,0.4793028322440087,2420,5049,5049
ANOSI,OG1240968,ANOSI11112,0.9436619718309859,0.9436619718309859,1206,1278,1278
ANOSI,OG814870,ANOSI12461,0.4317829457364341,0.4317829457364341,2228,5160,5160
ANOSI,OG931899,ANOSI11633,0.17501670006680026,0.17501670006680026,262,1497,1497
ANOSI,OG925865,ANOSI19077,0.894927536231884,0.894927536231884,494,552,552
ANOSI,OG369576,ANOSI18640,0.8260869565217391,0.8260869565217391,456,552,552
ANOSI,OG977782,ANOSI18323,0.1838905775075988,0.1838905775075988,363,1974,1974
ANOSI,OG718578,ANOSI13311,0.3256090314913844,0.3256090314913844,548,1683,1683
ANOSI,OG1189787,ANOSI09481,0.6581632653061225,0.6581632653061225,387,588,588
ANOSI,OG1081004,ANOSI11947,0.5778120184899846,0.5778120184899846,1125,1947,1947
ANOSI,OG661167,ANOSI16743,0.9166666666666666,0.9166666666666666,792,864,864
ANOSI,OG411836,ANOSI13282,0.845565749235474,0.845565749235474,1106,1308,1308
ANOSI,OG1138880,ANOSI11144,0.2,0.2,135,675,675
