#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG761976,ANOST00415,0.5915404040404041,0.5915404040404041,937,1584,1584
ANOST,OG932017,ANOST00529,0.6858085808580858,0.6858085808580858,1039,1515,1515
ANOST,OG814084,ANOST00057,0.8888888888888888,0.8888888888888888,936,1053,1053
ANOST,OG949414,ANOST00379,0.9287531806615776,0.9287531806615776,730,786,786
ANOST,OG842298,ANOST00037,0.936080740117746,0.936080740117746,3339,3567,3567
ANOST,OG1251511,ANOST00045,0.9948320413436692,0.9948320413436692,2310,2322,2322
ANOST,OG1244115,ANOST00140,0.9971264367816092,0.9971264367816092,347,348,348
ANOST,OG1202204,ANOST00290,0.99860529986053,0.99860529986053,716,717,717
ANOST,OG451038,ANOST00315,0.9731182795698925,0.9731182795698925,724,744,744
ANOST,OG1174245,ANOST00043,0.8612521150592216,0.8612521150592216,1527,1773,1773
ANOST,OG1174608,ANOST00246,0.9864864864864865,0.9864864864864865,438,444,444
ANOST,OG953187,ANOST00048,0.8777777777777778,0.8777777777777778,474,540,540
ANOST,OG916860,ANOST00509,0.6732673267326733,0.6732673267326733,612,909,909
ANOST,OG348620,ANOST00261,0.9240412979351033,0.9240412979351033,1253,1356,1356
ANOST,OG964344,ANOST00343,0.9132906894100924,0.9132906894100924,1285,1407,1407
ANOST,OG1157040,ANOST00033,0.8901660280970626,0.8901660280970626,697,783,783
ANOST,OG1221689,ANOST00123,0.9991364421416234,0.9991364421416234,2314,2316,2316
ANOST,OG966098,ANOST00164,0.9655817433595212,0.9655817433595212,2581,2673,2673
ANOST,OG1079985,ANOST00101,0.8223587942639743,0.8223587942639743,2810,3417,3417
ANOST,OG1218158,ANOST00323,0.9430199430199431,0.9430199430199431,662,702,702
ANOST,OG708597,ANOST00396,0.616647575410462,0.616647575410462,1615,2619,2619
ANOST,OG456720,ANOST00347,0.8576779026217228,0.8576779026217228,687,801,801
ANOST,OG932104,ANOST00578,0.6812596006144394,0.6812596006144394,887,1302,1302
ANOST,OG1190683,ANOST00325,0.8668341708542714,0.8668341708542714,1035,1194,1194
ANOST,OG457572,ANOST00450,0.7635135135135135,0.7635135135135135,339,444,444
ANOST,OG1240325,ANOST00269,0.5760743321718932,0.5760743321718932,496,861,861
ANOST,OG411836,ANOST00028,0.9020878329733621,0.9020878329733621,1253,1389,1389
ANOST,OG420768,ANOST00161,0.9013678905687545,0.9013678905687545,2504,2778,2778
ANOST,OG673136,ANOST00116,0.6303317535545023,0.6303317535545023,798,1266,1266
ANOST,OG790850,ANOST00477,0.8413205537806177,0.8413205537806177,790,939,939
ANOST,OG1216622,ANOST00470,0.9598108747044918,0.9598108747044918,1218,1269,1269
ANOST,OG456351,ANOST00044,0.7362196833032671,0.7362196833032671,3673,4989,4989
ANOST,OG1198488,ANOST00216,1.0,1.0,1842,1842,1842
ANOST,OG1192905,ANOST00488,0.8779761904761905,0.8779761904761905,885,1008,1008
ANOST,OG817086,ANOST00310,0.963924963924964,0.963924963924964,668,693,693
ANOST,OG1230391,ANOST00331,0.4604519774011299,0.4604519774011299,489,1062,1062
ANOST,OG846448,ANOST00517,0.8205128205128205,0.8205128205128205,608,741,741
ANOST,OG946885,ANOST00079,0.9824561403508771,0.9824561403508771,1288,1311,1311
ANOST,OG342477,ANOST00163,0.8825910931174089,0.8825910931174089,3270,3705,3705
ANOST,OG674682,ANOST00263,0.866421568627451,0.866421568627451,707,816,816
ANOST,OG784747,ANOST00320,0.9725829725829725,0.9725829725829725,674,693,693
ANOST,OG1146505,ANOST00349,0.8153786104605777,0.8153786104605777,2089,2562,2562
ANOST,OG964633,ANOST00017,0.9157894736842105,0.9157894736842105,1566,1710,1710
ANOST,OG814870,ANOST00423,0.6348840779978504,0.6348840779978504,4135,6513,6513
ANOST,OG964929,ANOST00497,0.8428428428428428,0.8428428428428428,1684,1998,1998
ANOST,OG454890,ANOST00551,0.9121212121212121,0.9121212121212121,903,990,990
ANOST,OG718578,ANOST00019,0.7943760984182777,0.7943760984182777,1356,1707,1707
ANOST,OG1231901,ANOST00272,0.6533166458072591,0.6533166458072591,1566,2397,2397
ANOST,OG961440,ANOST00539,0.9473684210526315,0.9473684210526315,1350,1425,1425
ANOST,OG1236745,ANOST00324,0.8206896551724138,0.8206896551724138,714,870,870
ANOST,OG362633,ANOST00370,0.4271356783919598,0.4271356783919598,510,1194,1194
ANOST,OG988784,ANOST00369,0.7911764705882353,0.7911764705882353,4842,6120,6120
ANOST,OG960979,ANOST00268,0.9975,0.9975,1197,1200,1200
ANOST,OG1224967,ANOST00112,0.9437012263099219,0.9437012263099219,1693,1794,1794
ANOST,OG961439,ANOST00114,0.7108927108927109,0.7108927108927109,868,1221,1221
ANOST,OG1146507,ANOST00365,0.5930512555899553,0.5930512555899553,1724,2907,2907
ANOST,OG1226379,ANOST00147,0.8944954128440367,0.8944954128440367,1170,1308,1308
ANOST,OG1139777,ANOST00117,0.9661016949152542,0.9661016949152542,342,354,354
ANOST,OG975279,ANOST00151,0.9278002699055331,0.9278002699055331,1375,1482,1482
ANOST,OG978865,ANOST00481,0.6381514257620452,0.6381514257620452,649,1017,1017
ANOST,OG703365,ANOST00557,0.4775474956822107,0.4775474956822107,553,1158,1158
ANOST,OG963232,ANOST00545,0.4563380281690141,0.4563380281690141,486,1065,1065
ANOST,OG1221639,ANOST00016,0.9497354497354498,0.9497354497354498,359,378,378
ANOST,OG419349,ANOST00176,0.6267343485617597,0.6267343485617597,1852,2955,2955
ANOST,OG344070,ANOST00277,0.7174778083868993,0.7174778083868993,2344,3267,3267
ANOST,OG961011,ANOST00496,0.8917287894923678,0.8917287894923678,2512,2817,2817
ANOST,OG971123,ANOST00414,0.7407407407407407,0.7407407407407407,1260,1701,1701
ANOST,OG961013,ANOST00564,0.9753694581280788,0.9753694581280788,1782,1827,1827
ANOST,OG848281,ANOST00012,0.8066541117388575,0.8066541117388575,1285,1593,1593
ANOST,OG1242667,ANOST00533,0.8485973597359736,0.8485973597359736,2057,2424,2424
ANOST,OG823022,ANOST00242,0.7614814814814815,0.7614814814814815,1028,1350,1350
ANOST,OG970502,ANOST00530,0.9525065963060686,0.9525065963060686,1083,1137,1137
ANOST,OG1170587,ANOST00146,0.9010149733695106,0.9010149733695106,8966,9951,9951
