#species,og,gene_id,coverage,std
ANOST,OG861720,ANOST00002,nan,nan
ANOST,OG676343,ANOST00003,nan,nan
ANOST,OG951333,ANOST00004,nan,nan
ANOST,OG960910,ANOST00006,15.822003577817531,11.909451858530227
ANOST,OG848281,ANOST00012,nan,nan
ANOST,OG1221639,ANOST00016,nan,nan
ANOST,OG964633,ANOST00017,10.115702479338843,4.7357559360821275
ANOST,OG718578,ANOST00019,nan,nan
ANOST,OG961398,ANOST00021,nan,nan
ANOST,OG411836,ANOST00028,6.426470588235294,1.0046388943090334
ANOST,OG1241986,ANOST00031,nan,nan
ANOST,OG698904,ANOST00032,16.204545454545453,11.433562129765447
ANOST,OG1157040,ANOST00033,nan,nan
ANOST,OG958126,ANOST00036,nan,nan
ANOST,OG842298,ANOST00037,nan,nan
ANOST,OG1174245,ANOST00043,nan,nan
ANOST,OG456351,ANOST00044,4.173410404624278,2.7526106240718127
ANOST,OG1251511,ANOST00045,13.674378748928877,11.262630305983079
ANOST,OG961602,ANOST00046,nan,nan
ANOST,OG953187,ANOST00048,nan,nan
ANOST,OG814084,ANOST00057,nan,nan
ANOST,OG699681,ANOST00058,nan,nan
ANOST,OG946387,ANOST00073,7.919732441471572,4.965457126681029
ANOST,OG946885,ANOST00079,9.52450980392157,4.652048595216608
ANOST,OG1214309,ANOST00081,nan,nan
ANOST,OG341995,ANOST00098,19.904166666666665,27.906002627371926
ANOST,OG1079985,ANOST00101,nan,nan
ANOST,OG976835,ANOST00102,6.329113924050633,4.08430623762684
ANOST,OG675570,ANOST00108,nan,nan
ANOST,OG971355,ANOST00110,12.792483660130719,7.347873889376263
ANOST,OG1223272,ANOST00111,20.0919881305638,10.301414205001395
ANOST,OG1224967,ANOST00112,10.535307517084282,4.858640175886274
ANOST,OG457329,ANOST00113,nan,nan
ANOST,OG961439,ANOST00114,nan,nan
ANOST,OG998211,ANOST00115,nan,nan
ANOST,OG673136,ANOST00116,nan,nan
ANOST,OG1139777,ANOST00117,nan,nan
ANOST,OG1221689,ANOST00123,10.220403022670025,7.939667768289936
ANOST,OG1222683,ANOST00125,3.8766404199475066,2.3349462552827935
ANOST,OG1215812,ANOST00126,3.826839826839827,1.4550607209382318
ANOST,OG896170,ANOST00127,15.5121387283237,9.988902659987064
ANOST,OG1231177,ANOST00129,nan,nan
ANOST,OG961115,ANOST00130,nan,nan
ANOST,OG911937,ANOST00134,nan,nan
ANOST,OG924410,ANOST00137,10.187290969899665,6.06418062404881
ANOST,OG792952,ANOST00138,nan,nan
ANOST,OG792914,ANOST00139,nan,nan
ANOST,OG1244115,ANOST00140,nan,nan
ANOST,OG1170587,ANOST00146,nan,nan
ANOST,OG1226379,ANOST00147,nan,nan
ANOST,OG458150,ANOST00149,nan,nan
ANOST,OG975279,ANOST00151,nan,nan
ANOST,OG1174891,ANOST00152,nan,nan
ANOST,OG455346,ANOST00156,5.810344827586207,0.9276759346423866
ANOST,OG1240929,ANOST00157,nan,nan
ANOST,OG822311,ANOST00158,7.686679174484053,8.072452801063703
ANOST,OG420493,ANOST00159,nan,nan
ANOST,OG665560,ANOST00160,nan,nan
ANOST,OG420768,ANOST00161,4.405882352941177,1.753977190889086
ANOST,OG1181227,ANOST00162,nan,nan
ANOST,OG342477,ANOST00163,125.4297385620915,268.2083924774847
ANOST,OG966098,ANOST00164,6.223255813953489,2.2796202467610573
ANOST,OG419349,ANOST00176,nan,nan
ANOST,OG736122,ANOST00177,nan,nan
ANOST,OG1251119,ANOST00180,2.7526315789473683,0.6129037196241232
ANOST,OG796653,ANOST00189,10.380514705882353,8.401268445882666
ANOST,OG793899,ANOST00192,nan,nan
ANOST,OG899270,ANOST00194,nan,nan
ANOST,OG456648,ANOST00195,nan,nan
ANOST,OG1251552,ANOST00206,nan,nan
ANOST,OG1189787,ANOST00208,nan,nan
ANOST,OG962019,ANOST00209,nan,nan
ANOST,OG967514,ANOST00212,nan,nan
ANOST,OG762076,ANOST00214,1.4285714285714286,0.49487165930539345
ANOST,OG1198488,ANOST00216,35.32688588007737,24.884533722908632
ANOST,OG456691,ANOST00218,nan,nan
ANOST,OG1203459,ANOST00222,nan,nan
ANOST,OG1139996,ANOST00223,nan,nan
ANOST,OG1208321,ANOST00225,9.156689655172414,7.319336700225799
ANOST,OG1240968,ANOST00230,nan,nan
ANOST,OG961322,ANOST00232,nan,nan
ANOST,OG698997,ANOST00233,5.890295358649789,2.579657255980509
ANOST,OG1219581,ANOST00235,nan,nan
ANOST,OG823022,ANOST00242,nan,nan
ANOST,OG1174608,ANOST00246,nan,nan
ANOST,OG839253,ANOST00256,nan,nan
ANOST,OG1150674,ANOST00260,nan,nan
ANOST,OG348620,ANOST00261,nan,nan
ANOST,OG674682,ANOST00263,nan,nan
ANOST,OG964673,ANOST00265,nan,nan
ANOST,OG373241,ANOST00266,nan,nan
ANOST,OG960979,ANOST00268,4.968152866242038,4.132241387079234
ANOST,OG1240325,ANOST00269,nan,nan
ANOST,OG1240328,ANOST00270,nan,nan
ANOST,OG1231901,ANOST00272,nan,nan
ANOST,OG1194738,ANOST00274,nan,nan
ANOST,OG1214658,ANOST00276,nan,nan
ANOST,OG344070,ANOST00277,1.5616438356164384,0.4961854870212283
ANOST,OG925865,ANOST00286,nan,nan
ANOST,OG1202204,ANOST00290,nan,nan
ANOST,OG977782,ANOST00291,nan,nan
ANOST,OG351572,ANOST00298,nan,nan
ANOST,OG1218157,ANOST00305,nan,nan
ANOST,OG926503,ANOST00307,nan,nan
ANOST,OG817086,ANOST00310,nan,nan
ANOST,OG949490,ANOST00312,nan,nan
ANOST,OG451043,ANOST00313,nan,nan
ANOST,OG451038,ANOST00315,nan,nan
ANOST,OG784747,ANOST00320,13.83695652173913,7.478389891876542
ANOST,OG978616,ANOST00322,2.0,0.0
ANOST,OG1218158,ANOST00323,nan,nan
ANOST,OG1236745,ANOST00324,nan,nan
ANOST,OG1190683,ANOST00325,11.226720647773279,5.485831453456032
ANOST,OG853434,ANOST00326,nan,nan
ANOST,OG962230,ANOST00328,nan,nan
ANOST,OG1230391,ANOST00331,nan,nan
ANOST,OG352732,ANOST00335,nan,nan
ANOST,OG823037,ANOST00337,nan,nan
ANOST,OG964344,ANOST00343,2.0,0.0
ANOST,OG456720,ANOST00347,nan,nan
ANOST,OG1146505,ANOST00349,nan,nan
ANOST,OG671266,ANOST00350,14.11702303994696,10.522291160216371
ANOST,OG664391,ANOST00352,5.56056338028169,3.501085500613011
ANOST,OG722946,ANOST00353,nan,nan
ANOST,OG961377,ANOST00356,15.634116192830655,8.018805029905419
ANOST,OG1146507,ANOST00365,nan,nan
ANOST,OG986274,ANOST00366,nan,nan
ANOST,OG988784,ANOST00369,21.286811779769526,26.552915163192104
ANOST,OG362633,ANOST00370,nan,nan
ANOST,OG375937,ANOST00377,nan,nan
ANOST,OG949414,ANOST00379,nan,nan
ANOST,OG917347,ANOST00382,11.41409691629956,5.200421403573771
ANOST,OG1081004,ANOST00389,nan,nan
ANOST,OG960945,ANOST00390,nan,nan
ANOST,OG968775,ANOST00395,8.174863387978142,2.9219392201881558
ANOST,OG708597,ANOST00396,nan,nan
ANOST,OG1197765,ANOST00410,nan,nan
ANOST,OG1168476,ANOST00411,nan,nan
ANOST,OG971123,ANOST00414,nan,nan
ANOST,OG761976,ANOST00415,nan,nan
ANOST,OG979200,ANOST00416,nan,nan
ANOST,OG814870,ANOST00423,nan,nan
ANOST,OG1225085,ANOST00424,nan,nan
ANOST,OG1229017,ANOST00425,4.262626262626263,1.3072127691989317
ANOST,OG1204971,ANOST00430,4.235294117647059,2.079597839953256
ANOST,OG369576,ANOST00441,nan,nan
ANOST,OG457572,ANOST00450,nan,nan
ANOST,OG1191966,ANOST00456,nan,nan
ANOST,OG456338,ANOST00458,nan,nan
ANOST,OG1246006,ANOST00459,10.692028985507246,6.152889760507411
ANOST,OG1198490,ANOST00464,28.546628407460545,10.610404369526853
ANOST,OG1168250,ANOST00469,nan,nan
ANOST,OG1216622,ANOST00470,nan,nan
ANOST,OG1202789,ANOST00471,3.051063829787234,1.4386566340928524
ANOST,OG1223886,ANOST00473,nan,nan
ANOST,OG790850,ANOST00477,2.417910447761194,0.9002363492537445
ANOST,OG978865,ANOST00481,nan,nan
ANOST,OG1192905,ANOST00488,6.64,1.0150862032359618
ANOST,OG456479,ANOST00489,12.045454545454545,3.87020068792524
ANOST,OG1212040,ANOST00490,6.64493758668516,7.909430458847496
ANOST,OG1218490,ANOST00495,nan,nan
ANOST,OG961011,ANOST00496,12.133514986376023,7.867509458752679
ANOST,OG964929,ANOST00497,9.807780320366133,7.790132458624044
ANOST,OG877291,ANOST00499,nan,nan
ANOST,OG961299,ANOST00501,nan,nan
ANOST,OG719374,ANOST00503,2.0,0.0
ANOST,OG1183200,ANOST00504,nan,nan
ANOST,OG916860,ANOST00509,nan,nan
ANOST,OG1179969,ANOST00511,nan,nan
ANOST,OG846448,ANOST00517,nan,nan
ANOST,OG944937,ANOST00518,nan,nan
ANOST,OG1162063,ANOST00522,nan,nan
ANOST,OG823032,ANOST00528,nan,nan
ANOST,OG932017,ANOST00529,nan,nan
ANOST,OG970502,ANOST00530,nan,nan
ANOST,OG1242667,ANOST00533,nan,nan
ANOST,OG961440,ANOST00539,1.0,0.0
ANOST,OG963232,ANOST00545,nan,nan
ANOST,OG1176412,ANOST00547,2.4893617021276597,1.0987873475468388
ANOST,OG1179948,ANOST00550,nan,nan
ANOST,OG454890,ANOST00551,5.319148936170213,2.9805971816698578
ANOST,OG828830,ANOST00552,nan,nan
ANOST,OG1150857,ANOST00554,11.088942307692308,5.966595540408738
ANOST,OG703365,ANOST00557,nan,nan
ANOST,OG961013,ANOST00564,13.350935093509351,8.039988869257803
ANOST,OG1235653,ANOST00565,6.913494809688581,4.160631677088853
ANOST,OG457108,ANOST00570,nan,nan
ANOST,OG932104,ANOST00578,nan,nan
ANOST,OG661167,ANOST00579,nan,nan
ANOST,OG931899,ANOST00585,2.0,0.0
ANOST,OG1138880,ANOST00591,nan,nan
ANOST,OG953548,ANOST00599,16.56511350059737,11.027699528313201
ANOST,OG986805,ANOST00600,108.03846153846153,216.42842141833665
ANOST,OG961564,ANOST00601,nan,nan
ANOST,OG1144131,ANOST00602,nan,nan
ANOST,OG696447,ANOST00603,nan,nan
ANOST,OG460076,ANOST00607,nan,nan
ANOST,OG1152239,ANOST00609,nan,nan
ANOST,OG968364,ANOST00614,12.079646017699115,8.582313738352893
ANOST,OG362545,ANOST00615,nan,nan
