#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG964673,ANOST00265,1.0,1.0,588,588,588
ANOST,OG1202204,ANOST00290,0.99302649930265,0.99302649930265,712,717,717
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG1225085,ANOST00424,0.785204991087344,0.785204991087344,3524,4488,4488
ANOST,OG792914,ANOST00139,0.9052369077306733,0.9052369077306733,1089,1203,1203
ANOST,OG975279,ANOST00151,0.9757085020242915,0.9757085020242915,1446,1482,1482
ANOST,OG1197765,ANOST00410,0.8724637681159421,0.8724637681159421,602,690,690
ANOST,OG1179969,ANOST00511,0.8919871794871795,0.8919871794871795,2783,3120,3120
ANOST,OG971355,ANOST00110,0.9987468671679198,0.9987468671679198,1594,1596,1596
ANOST,OG961377,ANOST00356,0.9980787704130644,0.9980787704130644,1039,1041,1041
ANOST,OG1181227,ANOST00162,0.9639934533551555,0.9639934533551555,1767,1833,1833
ANOST,OG762076,ANOST00214,0.7583979328165374,0.7583979328165374,587,774,774
ANOST,OG970502,ANOST00530,0.9885664028144239,0.9885664028144239,1124,1137,1137
ANOST,OG924410,ANOST00137,0.9073529411764706,0.9073529411764706,5553,6120,6120
ANOST,OG828830,ANOST00552,0.8922155688622755,0.8922155688622755,447,501,501
ANOST,OG351572,ANOST00298,0.9371584699453552,0.9371584699453552,1029,1098,1098
ANOST,OG456351,ANOST00044,0.7891360994187212,0.7891360994187212,3937,4989,4989
ANOST,OG817086,ANOST00310,0.9725829725829725,0.9725829725829725,674,693,693
ANOST,OG457108,ANOST00570,0.8368794326241135,0.8368794326241135,472,564,564
ANOST,OG946387,ANOST00073,0.8611911623439001,0.8611911623439001,1793,2082,2082
ANOST,OG979200,ANOST00416,0.7654970760233918,0.7654970760233918,1309,1710,1710
ANOST,OG925865,ANOST00286,0.8181818181818182,0.8181818181818182,567,693,693
ANOST,OG1189787,ANOST00208,0.6632653061224489,0.6632653061224489,390,588,588
ANOST,OG946885,ANOST00079,0.9672006102212052,0.9672006102212052,1268,1311,1311
ANOST,OG967514,ANOST00212,0.9100587371512482,0.9100587371512482,2479,2724,2724
ANOST,OG369576,ANOST00441,0.8692449355432781,0.8692449355432781,472,543,543
ANOST,OG949414,ANOST00379,0.8269720101781171,0.8269720101781171,650,786,786
ANOST,OG953187,ANOST00048,0.9814814814814815,0.9814814814814815,530,540,540
ANOST,OG1162063,ANOST00522,0.47364152473641524,0.47364152473641524,584,1233,1233
ANOST,OG1174891,ANOST00152,0.9988425925925926,0.9988425925925926,863,864,864
ANOST,OG961322,ANOST00232,0.5571776155717761,0.5571776155717761,229,411,411
ANOST,OG718578,ANOST00019,0.7439953134153485,0.7439953134153485,1270,1707,1707
ANOST,OG699681,ANOST00058,1.0,1.0,339,339,339
ANOST,OG839253,ANOST00256,0.918918918918919,0.918918918918919,306,333,333
ANOST,OG1240325,ANOST00269,0.959349593495935,0.959349593495935,826,861,861
ANOST,OG457572,ANOST00450,0.6396396396396397,0.6396396396396397,284,444,444
ANOST,OG1202789,ANOST00471,0.8678878712184291,0.8678878712184291,3127,3603,3603
ANOST,OG419349,ANOST00176,0.8155668358714044,0.8155668358714044,2410,2955,2955
ANOST,OG1146507,ANOST00365,0.6504987960096319,0.6504987960096319,1891,2907,2907
ANOST,OG1168476,ANOST00411,0.9263657957244655,0.9263657957244655,1170,1263,1263
ANOST,OG454890,ANOST00551,0.8525252525252526,0.8525252525252526,844,990,990
ANOST,OG703365,ANOST00557,0.5785837651122625,0.5785837651122625,670,1158,1158
ANOST,OG676343,ANOST00003,0.6835717381881231,0.6835717381881231,1577,2307,2307
ANOST,OG1198490,ANOST00464,0.9939759036144579,0.9939759036144579,1485,1494,1494
ANOST,OG1240968,ANOST00230,0.871331828442438,0.871331828442438,1158,1329,1329
ANOST,OG698904,ANOST00032,0.9907140569964777,0.9907140569964777,3094,3123,3123
ANOST,OG458150,ANOST00149,0.26429980276134124,0.26429980276134124,134,507,507
ANOST,OG420768,ANOST00161,0.7894168466522679,0.7894168466522679,2193,2778,2778
ANOST,OG916860,ANOST00509,0.9174917491749175,0.9174917491749175,834,909,909
ANOST,OG986805,ANOST00600,0.9179563987352305,0.9179563987352305,5516,6009,6009
ANOST,OG1235653,ANOST00565,0.9707317073170731,0.9707317073170731,1791,1845,1845
ANOST,OG962230,ANOST00328,0.9934959349593496,0.9934959349593496,611,615,615
ANOST,OG708597,ANOST00396,0.632684230622375,0.632684230622375,1657,2619,2619
ANOST,OG823032,ANOST00528,0.9377372817008353,0.9377372817008353,1235,1317,1317
ANOST,OG958126,ANOST00036,0.7912912912912913,0.7912912912912913,527,666,666
ANOST,OG456479,ANOST00489,0.8966666666666666,0.8966666666666666,1614,1800,1800
ANOST,OG1231177,ANOST00129,0.9830917874396136,0.9830917874396136,1628,1656,1656
ANOST,OG1179948,ANOST00550,0.9911347517730497,0.9911347517730497,559,564,564
ANOST,OG963232,ANOST00545,0.9230046948356807,0.9230046948356807,983,1065,1065
ANOST,OG411836,ANOST00028,0.9323254139668826,0.9323254139668826,1295,1389,1389
ANOST,OG341995,ANOST00098,0.7022434621000929,0.7022434621000929,5290,7533,7533
ANOST,OG853434,ANOST00326,0.7313131313131314,0.7313131313131314,362,495,495
ANOST,OG846448,ANOST00517,0.7719298245614035,0.7719298245614035,572,741,741
ANOST,OG793899,ANOST00192,0.9983416252072969,0.9983416252072969,602,603,603
ANOST,OG362545,ANOST00615,0.7193585337915235,0.7193585337915235,628,873,873
ANOST,OG1146505,ANOST00349,0.8017174082747853,0.8017174082747853,2054,2562,2562
ANOST,OG1139777,ANOST00117,0.9943502824858758,0.9943502824858758,352,354,354
ANOST,OG1229017,ANOST00425,0.967082467082467,0.967082467082467,2791,2886,2886
ANOST,OG899270,ANOST00194,0.8579136690647482,0.8579136690647482,1431,1668,1668
ANOST,OG877291,ANOST00499,0.9143037177063642,0.9143037177063642,1451,1587,1587
ANOST,OG986274,ANOST00366,0.9877260981912145,0.9877260981912145,1529,1548,1548
ANOST,OG1208321,ANOST00225,0.9799011532125206,0.9799011532125206,8922,9105,9105
ANOST,OG932104,ANOST00578,0.7073732718894009,0.7073732718894009,921,1302,1302
ANOST,OG968364,ANOST00614,0.998705501618123,0.998705501618123,1543,1545,1545
ANOST,OG960945,ANOST00390,0.888250319284802,0.888250319284802,1391,1566,1566
ANOST,OG961564,ANOST00601,0.8839009287925697,0.8839009287925697,1713,1938,1938
ANOST,OG978616,ANOST00322,0.7580927384076991,0.7580927384076991,1733,2286,2286
ANOST,OG961013,ANOST00564,0.9759168035030104,0.9759168035030104,1783,1827,1827
ANOST,OG1190683,ANOST00325,0.9489112227805695,0.9489112227805695,1133,1194,1194
ANOST,OG661167,ANOST00579,0.9976851851851852,0.9976851851851852,862,864,864
ANOST,OG698997,ANOST00233,0.8384676145339652,0.8384676145339652,2123,2532,2532
ANOST,OG961602,ANOST00046,0.9758203799654577,0.9758203799654577,565,579,579
ANOST,OG342477,ANOST00163,0.9290148448043185,0.9290148448043185,3442,3705,3705
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG962019,ANOST00209,0.5594817432273262,0.5594817432273262,475,849,849
ANOST,OG1218490,ANOST00495,0.987600291757841,0.987600291757841,1354,1371,1371
ANOST,OG1240929,ANOST00157,0.7719298245614035,0.7719298245614035,792,1026,1026
ANOST,OG1251552,ANOST00206,0.9333333333333333,0.9333333333333333,504,540,540
ANOST,OG719374,ANOST00503,0.9041816009557945,0.9041816009557945,3784,4185,4185
ANOST,OG1218158,ANOST00323,0.9430199430199431,0.9430199430199431,662,702,702
ANOST,OG1194738,ANOST00274,0.9986225895316805,0.9986225895316805,1450,1452,1452
ANOST,OG664391,ANOST00352,0.924822695035461,0.924822695035461,1304,1410,1410
ANOST,OG1246006,ANOST00459,0.9382352941176471,0.9382352941176471,957,1020,1020
ANOST,OG673136,ANOST00116,0.9249605055292259,0.9249605055292259,1171,1266,1266
ANOST,OG456720,ANOST00347,0.7615480649188514,0.7615480649188514,610,801,801
ANOST,OG796653,ANOST00189,1.0,1.0,1569,1569,1569
ANOST,OG953548,ANOST00599,0.9994863893168978,0.9994863893168978,1946,1947,1947
ANOST,OG1240328,ANOST00270,0.8592342342342343,0.8592342342342343,763,888,888
ANOST,OG457329,ANOST00113,0.2679245283018868,0.2679245283018868,213,795,795
ANOST,OG1174608,ANOST00246,1.0,1.0,444,444,444
ANOST,OG951333,ANOST00004,0.9022222222222223,0.9022222222222223,406,450,450
ANOST,OG1214309,ANOST00081,0.9724310776942355,0.9724310776942355,388,399,399
ANOST,OG348620,ANOST00261,0.915929203539823,0.915929203539823,1242,1356,1356
ANOST,OG722946,ANOST00353,0.9508057675996607,0.9508057675996607,1121,1179,1179
ANOST,OG1242667,ANOST00533,0.9405940594059405,0.9405940594059405,2280,2424,2424
ANOST,OG344070,ANOST00277,0.7159473523109887,0.7159473523109887,2339,3267,3267
ANOST,OG814084,ANOST00057,1.0,1.0,1053,1053,1053
ANOST,OG861720,ANOST00002,0.7023289665211062,0.7023289665211062,2895,4122,4122
ANOST,OG456691,ANOST00218,0.552652414885194,0.552652414885194,698,1263,1263
ANOST,OG964633,ANOST00017,0.9912280701754386,0.9912280701754386,1695,1710,1710
ANOST,OG1226379,ANOST00147,0.8922018348623854,0.8922018348623854,1167,1308,1308
ANOST,OG961115,ANOST00130,0.9593721144967683,0.9593721144967683,1039,1083,1083
ANOST,OG822311,ANOST00158,0.9506578947368421,0.9506578947368421,2601,2736,2736
ANOST,OG1236745,ANOST00324,0.9632183908045977,0.9632183908045977,838,870,870
ANOST,OG966098,ANOST00164,0.998129442573887,0.998129442573887,2668,2673,2673
ANOST,OG976835,ANOST00102,0.9865497076023392,0.9865497076023392,1687,1710,1710
ANOST,OG1251511,ANOST00045,0.9995693367786391,0.9995693367786391,2321,2322,2322
ANOST,OG1219581,ANOST00235,0.7484624846248462,0.7484624846248462,1217,1626,1626
ANOST,OG823037,ANOST00337,0.6599702380952381,0.6599702380952381,887,1344,1344
ANOST,OG455346,ANOST00156,0.9109347442680776,0.9109347442680776,1033,1134,1134
ANOST,OG998211,ANOST00115,0.8127705627705628,0.8127705627705628,3004,3696,3696
ANOST,OG1221689,ANOST00123,0.9995682210708118,0.9995682210708118,2315,2316,2316
ANOST,OG961398,ANOST00021,0.8575899843505478,0.8575899843505478,1096,1278,1278
ANOST,OG1215812,ANOST00126,0.9984639016897081,0.9984639016897081,650,651,651
ANOST,OG1224967,ANOST00112,0.9236343366778149,0.9236343366778149,1657,1794,1794
ANOST,OG949490,ANOST00312,0.9972677595628415,0.9972677595628415,730,732,732
ANOST,OG1223886,ANOST00473,0.21341463414634146,0.21341463414634146,105,492,492
ANOST,OG977782,ANOST00291,0.6538278649548265,0.6538278649548265,1375,2103,2103
ANOST,OG1150857,ANOST00554,0.8835125448028673,0.8835125448028673,1479,1674,1674
ANOST,OG671266,ANOST00350,0.9999011173736775,0.9999011173736775,10112,10113,10113
ANOST,OG460076,ANOST00607,0.9467496542185339,0.9467496542185339,2738,2892,2892
ANOST,OG352732,ANOST00335,0.9360119047619048,0.9360119047619048,1258,1344,1344
ANOST,OG790850,ANOST00477,0.9158679446219382,0.9158679446219382,860,939,939
ANOST,OG1192905,ANOST00488,0.9216269841269841,0.9216269841269841,929,1008,1008
