#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG419349,ANOST00176,0.1840947546531303,0.1840947546531303,544,2955,2955
ANOST,OG1189787,ANOST00208,0.7227891156462585,0.7227891156462585,425,588,588
ANOST,OG967514,ANOST00212,0.8370044052863436,0.8370044052863436,2280,2724,2724
ANOST,OG964673,ANOST00265,0.9302721088435374,0.9302721088435374,547,588,588
ANOST,OG1152239,ANOST00609,0.5216450216450217,0.5216450216450217,482,924,924
ANOST,OG1208321,ANOST00225,0.8780889621087314,0.8780889621087314,7995,9105,9105
ANOST,OG1197765,ANOST00410,0.7724637681159421,0.7724637681159421,533,690,690
ANOST,OG1157040,ANOST00033,0.9821200510855683,0.9821200510855683,769,783,783
ANOST,OG373241,ANOST00266,1.0,1.0,333,333,333
ANOST,OG1202204,ANOST00290,0.99721059972106,0.99721059972106,715,717,717
ANOST,OG352732,ANOST00335,0.6495535714285714,0.6495535714285714,873,1344,1344
ANOST,OG420493,ANOST00159,0.29069767441860467,0.29069767441860467,225,774,774
ANOST,OG814084,ANOST00057,0.8603988603988604,0.8603988603988604,906,1053,1053
ANOST,OG846448,ANOST00517,0.650472334682861,0.650472334682861,482,741,741
ANOST,OG1242667,ANOST00533,0.5264026402640264,0.5264026402640264,1276,2424,2424
ANOST,OG896170,ANOST00127,0.9971264367816092,0.9971264367816092,1735,1740,1740
ANOST,OG664391,ANOST00352,0.8900709219858156,0.8900709219858156,1255,1410,1410
ANOST,OG978616,ANOST00322,0.6146106736657918,0.6146106736657918,1405,2286,2286
ANOST,OG949490,ANOST00312,0.889344262295082,0.889344262295082,651,732,732
ANOST,OG1146507,ANOST00365,0.5015479876160991,0.5015479876160991,1458,2907,2907
ANOST,OG961011,ANOST00496,0.7199148029818956,0.7199148029818956,2028,2817,2817
ANOST,OG457329,ANOST00113,0.16981132075471697,0.16981132075471697,135,795,795
ANOST,OG362545,ANOST00615,0.3115693012600229,0.3115693012600229,272,873,873
ANOST,OG420768,ANOST00161,0.8311735061195105,0.8311735061195105,2309,2778,2778
ANOST,OG932017,ANOST00529,0.40066006600660065,0.40066006600660065,607,1515,1515
ANOST,OG673136,ANOST00116,0.2772511848341232,0.2772511848341232,351,1266,1266
ANOST,OG1139996,ANOST00223,0.5267785771382894,0.5267785771382894,659,1251,1251
ANOST,OG718578,ANOST00019,0.36086701816051553,0.36086701816051553,616,1707,1707
ANOST,OG1240325,ANOST00269,0.23809523809523808,0.23809523809523808,205,861,861
ANOST,OG342477,ANOST00163,0.6987854251012146,0.6987854251012146,2589,3705,3705
ANOST,OG925865,ANOST00286,0.7012987012987013,0.7012987012987013,486,693,693
ANOST,OG1192905,ANOST00488,0.9246031746031746,0.9246031746031746,932,1008,1008
ANOST,OG451043,ANOST00313,0.8743386243386243,0.8743386243386243,661,756,756
ANOST,OG460076,ANOST00607,0.6009681881051175,0.6009681881051175,1738,2892,2892
ANOST,OG964633,ANOST00017,0.804093567251462,0.804093567251462,1375,1710,1710
ANOST,OG924410,ANOST00137,0.7037581699346406,0.7037581699346406,4307,6120,6120
ANOST,OG953187,ANOST00048,0.8759259259259259,0.8759259259259259,473,540,540
ANOST,OG988784,ANOST00369,0.47990196078431374,0.47990196078431374,2937,6120,6120
ANOST,OG926503,ANOST00307,1.0,1.0,486,486,486
ANOST,OG961602,ANOST00046,0.8618307426597582,0.8618307426597582,499,579,579
ANOST,OG1240929,ANOST00157,0.40253411306042886,0.40253411306042886,413,1026,1026
ANOST,OG451038,ANOST00315,0.8938172043010753,0.8938172043010753,665,744,744
ANOST,OG848281,ANOST00012,0.7746390458254865,0.7746390458254865,1234,1593,1593
ANOST,OG963232,ANOST00545,0.748356807511737,0.748356807511737,797,1065,1065
ANOST,OG790850,ANOST00477,0.7401490947816827,0.7401490947816827,695,939,939
ANOST,OG454890,ANOST00551,0.8828282828282829,0.8828282828282829,874,990,990
ANOST,OG1219581,ANOST00235,0.2047970479704797,0.2047970479704797,333,1626,1626
ANOST,OG456648,ANOST00195,0.5819327731092437,0.5819327731092437,831,1428,1428
ANOST,OG1150674,ANOST00260,0.23980815347721823,0.23980815347721823,200,834,834
ANOST,OG1174608,ANOST00246,1.0,1.0,444,444,444
ANOST,OG817086,ANOST00310,0.9884559884559885,0.9884559884559885,685,693,693
ANOST,OG960979,ANOST00268,1.0,1.0,1200,1200,1200
ANOST,OG1170587,ANOST00146,0.9047331926439554,0.9047331926439554,9003,9951,9951
ANOST,OG968364,ANOST00614,0.9967637540453075,0.9967637540453075,1540,1545,1545
ANOST,OG917347,ANOST00382,0.960539979231568,0.960539979231568,925,963,963
ANOST,OG1218158,ANOST00323,0.9444444444444444,0.9444444444444444,663,702,702
ANOST,OG1216622,ANOST00470,0.3743104806934594,0.3743104806934594,475,1269,1269
ANOST,OG1231901,ANOST00272,0.5227367542761786,0.5227367542761786,1253,2397,2397
ANOST,OG1251511,ANOST00045,0.8664944013781223,0.8664944013781223,2012,2322,2322
ANOST,OG961398,ANOST00021,0.744131455399061,0.744131455399061,951,1278,1278
ANOST,OG977782,ANOST00291,0.08559201141226819,0.08559201141226819,180,2103,2103
ANOST,OG960945,ANOST00390,0.8256704980842912,0.8256704980842912,1293,1566,1566
ANOST,OG671266,ANOST00350,0.9986156432314842,0.9986156432314842,10099,10113,10113
ANOST,OG961440,ANOST00539,0.9129824561403509,0.9129824561403509,1301,1425,1425
ANOST,OG961013,ANOST00564,0.9742747673782156,0.9742747673782156,1780,1827,1827
ANOST,OG1223272,ANOST00111,0.9029003783102144,0.9029003783102144,2148,2379,2379
ANOST,OG842298,ANOST00037,0.7311466218110457,0.7311466218110457,2608,3567,3567
ANOST,OG986274,ANOST00366,0.810077519379845,0.810077519379845,1254,1548,1548
ANOST,OG1176412,ANOST00547,0.6115035317860746,0.6115035317860746,1818,2973,2973
ANOST,OG1226379,ANOST00147,0.7087155963302753,0.7087155963302753,927,1308,1308
ANOST,OG986805,ANOST00600,0.7498751872191712,0.7498751872191712,4506,6009,6009
ANOST,OG1244115,ANOST00140,0.7557471264367817,0.7557471264367817,263,348,348
