#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1170587,ANOSI05651,0.9078078078078078,0.9078078078078078,9069,9990,9990
ANOSI,OG1240968,ANOSI11112,0.9287949921752738,0.9287949921752738,1187,1278,1278
ANOSI,OG1174608,ANOSI10178,0.9887387387387387,0.9887387387387387,439,444,444
ANOSI,OG979200,ANOSI15839,0.2879858657243816,0.2879858657243816,489,1698,1698
ANOSI,OG931899,ANOSI11633,0.1963927855711423,0.1963927855711423,294,1497,1497
ANOSI,OG949414,ANOSI16805,0.9367816091954023,0.9367816091954023,652,696,696
ANOSI,OG962230,ANOSI08287,0.7739837398373983,0.7739837398373983,476,615,615
ANOSI,OG457572,ANOSI19201,0.6461187214611872,0.6461187214611872,283,438,438
ANOSI,OG671266,ANOSI08178,0.9972847445516256,0.9972847445516256,13957,13995,13995
ANOSI,OG796653,ANOSI16455,0.9967365967365968,0.9967365967365968,2138,2145,2145
ANOSI,OG988784,ANOSI08226,0.5482850482850483,0.5482850482850483,3293,6006,6006
ANOSI,OG817086,ANOSI08325,0.9047619047619048,0.9047619047619048,684,756,756
ANOSI,OG964344,ANOSI08292,0.9378531073446328,0.9378531073446328,1328,1416,1416
ANOSI,OG451043,ANOSI08181,0.8888888888888888,0.8888888888888888,664,747,747
ANOSI,OG674682,ANOSI10188,0.6145454545454545,0.6145454545454545,507,825,825
ANOSI,OG664391,ANOSI08311,0.9052783803326103,0.9052783803326103,1252,1383,1383
ANOSI,OG960910,ANOSI11898,0.9992389649923896,0.9992389649923896,1313,1314,1314
ANOSI,OG911937,ANOSI05566,0.9010989010989011,0.9010989010989011,1722,1911,1911
ANOSI,OG673136,ANOSI13684,0.7297734627831716,0.7297734627831716,902,1236,1236
ANOSI,OG451038,ANOSI08326,0.9247311827956989,0.9247311827956989,688,744,744
ANOSI,OG1240929,ANOSI13949,0.5256038647342995,0.5256038647342995,544,1035,1035
ANOSI,OG958126,ANOSI13277,0.5822021116138764,0.5822021116138764,386,663,663
ANOSI,OG1221639,ANOSI13259,0.917989417989418,0.917989417989418,347,378,378
ANOSI,OG853434,ANOSI08170,0.6224899598393574,0.6224899598393574,310,498,498
ANOSI,OG953187,ANOSI10125,0.9425925925925925,0.9425925925925925,509,540,540
ANOSI,OG1226379,ANOSI13958,0.6523378582202112,0.6523378582202112,865,1326,1326
ANOSI,OG784747,ANOSI08261,0.9062918340026773,0.9062918340026773,677,747,747
ANOSI,OG722946,ANOSI08175,0.9101899827288429,0.9101899827288429,1054,1158,1158
ANOSI,OG1212040,ANOSI13772,0.8810904872389791,0.8810904872389791,4557,5172,5172
ANOSI,OG1242667,ANOSI15210,0.7726005575467941,0.7726005575467941,1940,2511,2511
ANOSI,OG961398,ANOSI02900,0.5402843601895735,0.5402843601895735,684,1266,1266
ANOSI,OG1191966,ANOSI18157,0.9582059123343527,0.9582059123343527,1880,1962,1962
ANOSI,OG1236745,ANOSI08307,0.9941724941724942,0.9941724941724942,853,858,858
ANOSI,OG1190683,ANOSI08201,0.8713450292397661,0.8713450292397661,1043,1197,1197
ANOSI,OG457329,ANOSI13708,0.33816425120772947,0.33816425120772947,280,828,828
ANOSI,OG968775,ANOSI11909,0.8424081451969898,0.8424081451969898,1903,2259,2259
ANOSI,OG352732,ANOSI08184,0.7654046028210839,0.7654046028210839,1031,1347,1347
ANOSI,OG1198490,ANOSI18566,1.0,1.0,1494,1494,1494
ANOSI,OG698997,ANOSI11073,0.6660395108184384,0.6660395108184384,2124,3189,3189
ANOSI,OG1202204,ANOSI18328,0.9735006973500697,0.9735006973500697,698,717,717
ANOSI,OG828830,ANOSI16895,0.6287425149700598,0.6287425149700598,315,501,501
ANOSI,OG1192905,ANOSI13732,0.880039331366765,0.880039331366765,895,1017,1017
ANOSI,OG1168476,ANOSI15819,0.894566098945661,0.894566098945661,1103,1233,1233
ANOSI,OG455346,ANOSI13964,0.8789521228545619,0.8789521228545619,973,1107,1107
ANOSI,OG966098,ANOSI13976,0.9561797752808989,0.9561797752808989,2553,2670,2670
ANOSI,OG964633,ANOSI13303,0.8433806146572104,0.8433806146572104,1427,1692,1692
ANOSI,OG676343,ANOSI11914,0.030977312390924956,0.030977312390924956,71,2292,2292
ANOSI,OG968364,ANOSI14862,0.8024210981409425,0.8024210981409425,1856,2313,2313
ANOSI,OG978865,ANOSI19223,0.7859960552268245,0.7859960552268245,797,1014,1014
ANOSI,OG1150674,ANOSI16840,0.25218476903870163,0.25218476903870163,202,801,801
ANOSI,OG848281,ANOSI16815,0.7555147058823529,0.7555147058823529,1233,1632,1632
ANOSI,OG1230391,ANOSI08180,0.14825306893295562,0.14825306893295562,157,1059,1059
ANOSI,OG1146505,ANOSI08230,0.7951713395638629,0.7951713395638629,2042,2568,2568
ANOSI,OG793899,ANOSI18657,0.9950248756218906,0.9950248756218906,600,603,603
ANOSI,OG369576,ANOSI18640,0.4945652173913043,0.4945652173913043,273,552,552
ANOSI,OG1231177,ANOSI05477,0.8433098591549296,0.8433098591549296,1437,1704,1704
ANOSI,OG1204971,ANOSI12470,0.630083078268474,0.630083078268474,4323,6861,6861
ANOSI,OG977782,ANOSI18323,0.03850050658561297,0.03850050658561297,76,1974,1974
ANOSI,OG1214658,ANOSI13358,0.483695652173913,0.483695652173913,267,552,552
ANOSI,OG456351,ANOSI10182,0.21201272871917262,0.21201272871917262,1066,5028,5028
ANOSI,OG961377,ANOSI08182,0.8683957732949087,0.8683957732949087,904,1041,1041
ANOSI,OG917347,ANOSI11939,0.980083857442348,0.980083857442348,935,954,954
ANOSI,OG960945,ANOSI11923,0.7075351213282248,0.7075351213282248,1108,1566,1566
ANOSI,OG961322,ANOSI11117,0.9367396593673966,0.9367396593673966,385,411,411
ANOSI,OG1216622,ANOSI15784,0.9594272076372315,0.9594272076372315,1206,1257,1257
