#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG823037,ANOGA04308,0.8437037037037037,0.8437037037037037,1139,1350,1350
ANOGA,OG975279,ANOGA04631,0.9686924493554327,0.9686924493554327,1578,1629,1629
ANOGA,OG1198490,ANOGA05372,0.998661311914324,0.998661311914324,1492,1494,1494
ANOGA,OG961011,ANOGA05472,0.8508583690987125,0.8508583690987125,2379,2796,2796
ANOGA,OG964929,ANOGA05473,0.9506517690875232,0.9506517690875232,2042,2148,2148
ANOGA,OG932017,ANOGA04469,0.94831013916501,0.94831013916501,1431,1509,1509
ANOGA,OG848281,ANOGA05255,0.8513681592039801,0.8513681592039801,1369,1608,1608
ANOGA,OG1203459,ANOGA05696,0.8658536585365854,0.8658536585365854,852,984,984
ANOGA,OG961013,ANOGA04514,0.9742747673782156,0.9742747673782156,1780,1827,1827
ANOGA,OG1214309,ANOGA05405,0.9502487562189055,0.9502487562189055,382,402,402
ANOGA,OG1146507,ANOGA05711,0.7948453608247422,0.7948453608247422,2313,2910,2910
ANOGA,OG796653,ANOGA04674,0.9731656184486374,0.9731656184486374,2321,2385,2385
ANOGA,OG823022,ANOGA05671,0.8851351351351351,0.8851351351351351,1179,1332,1332
ANOGA,OG792952,ANOGA04134,0.9990610328638497,0.9990610328638497,1064,1065,1065
ANOGA,OG1194738,ANOGA05637,0.9951790633608816,0.9951790633608816,1445,1452,1452
ANOGA,OG1174245,ANOGA04055,0.882943143812709,0.882943143812709,1584,1794,1794
ANOGA,OG916860,ANOGA05486,0.949569495694957,0.949569495694957,772,813,813
ANOGA,OG964344,ANOGA04312,0.8595744680851064,0.8595744680851064,1212,1410,1410
ANOGA,OG1226379,ANOGA04627,0.8072562358276644,0.8072562358276644,1068,1323,1323
ANOGA,OG1176412,ANOGA04492,0.9706561160567095,0.9706561160567095,2944,3033,3033
ANOGA,OG1144131,ANOGA06520,0.9471488178025035,0.9471488178025035,2043,2157,2157
ANOGA,OG953187,ANOGA05445,0.8907407407407407,0.8907407407407407,481,540,540
ANOGA,OG1242667,ANOGA04473,0.8823045267489712,0.8823045267489712,2144,2430,2430
ANOGA,OG673136,ANOGA04099,0.945226917057903,0.945226917057903,1208,1278,1278
ANOGA,OG1224967,ANOGA04095,0.9994416527079844,0.9994416527079844,1790,1791,1791
ANOGA,OG971355,ANOGA04093,1.0,1.0,1593,1593,1593
ANOGA,OG1218158,ANOGA04293,0.9430199430199431,0.9430199430199431,662,702,702
ANOGA,OG1174891,ANOGA04632,0.9933110367892977,0.9933110367892977,891,897,897
ANOGA,OG1240325,ANOGA05642,0.952020202020202,0.952020202020202,754,792,792
ANOGA,OG369576,ANOGA05331,0.8608058608058609,0.8608058608058609,470,546,546
ANOGA,OG674682,ANOGA05648,0.9875621890547264,0.9875621890547264,794,804,804
ANOGA,OG1191966,ANOGA05362,0.9673802242609582,0.9673802242609582,1898,1962,1962
ANOGA,OG949490,ANOGA04279,0.9946452476572959,0.9946452476572959,743,747,747
ANOGA,OG671266,ANOGA04325,0.9994289793004997,0.9994289793004997,14002,14010,14010
ANOGA,OG703365,ANOGA04508,0.4642857142857143,0.4642857142857143,546,1176,1176
ANOGA,OG761976,ANOGA04435,0.8950276243093923,0.8950276243093923,1458,1629,1629
ANOGA,OG661167,ANOGA04541,0.9965277777777778,0.9965277777777778,861,864,864
ANOGA,OG1219581,ANOGA05679,0.9089253187613844,0.9089253187613844,1497,1647,1647
ANOGA,OG976835,ANOGA04087,0.9842931937172775,0.9842931937172775,1692,1719,1719
ANOGA,OG961322,ANOGA05683,1.0,1.0,411,411,411
ANOGA,OG1215812,ANOGA04116,1.0,1.0,651,651,651
ANOGA,OG1229017,ANOGA05305,0.983279971540377,0.983279971540377,2764,2811,2811
ANOGA,OG790850,ANOGA04067,0.8422152560083594,0.8422152560083594,806,957,957
ANOGA,OG1179948,ANOGA04501,0.8812056737588653,0.8812056737588653,497,564,564
ANOGA,OG1216622,ANOGA05381,0.9800498753117207,0.9800498753117207,1179,1203,1203
ANOGA,OG842298,ANOGA04047,0.9596832253419726,0.9596832253419726,3999,4167,4167
ANOGA,OG419349,ANOGA04655,0.8225806451612904,0.8225806451612904,2448,2976,2976
ANOGA,OG968364,ANOGA07027,0.840929401251117,0.840929401251117,1882,2238,2238
ANOGA,OG846448,ANOGA05497,0.9012875536480687,0.9012875536480687,630,699,699
ANOGA,OG1240328,ANOGA05641,0.9932203389830508,0.9932203389830508,879,885,885
ANOGA,OG931899,ANOGA04558,0.8376237623762376,0.8376237623762376,1269,1515,1515
ANOGA,OG352732,ANOGA04305,0.9771386430678466,0.9771386430678466,1325,1356,1356
