#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG456479,ANOSI13787,0.7542142468733007,0.7542142468733007,1387,1839,1839
ANOSI,OG1230391,ANOSI08180,0.08404154863078375,0.08404154863078375,89,1059,1059
ANOSI,OG373241,ANOSI13370,0.996996996996997,0.996996996996997,332,333,333
ANOSI,OG971355,ANOSI13700,0.9931335830212235,0.9931335830212235,1591,1602,1602
ANOSI,OG1226379,ANOSI13958,0.7088989441930619,0.7088989441930619,940,1326,1326
ANOSI,OG839253,ANOSI18124,0.8588588588588588,0.8588588588588588,286,333,333
ANOSI,OG931899,ANOSI11633,0.3393453573814295,0.3393453573814295,508,1497,1497
ANOSI,OG1231177,ANOSI05477,0.9107981220657277,0.9107981220657277,1552,1704,1704
ANOSI,OG958126,ANOSI13277,0.46003016591251883,0.46003016591251883,305,663,663
ANOSI,OG458150,ANOSI13956,0.10778443113772455,0.10778443113772455,54,501,501
ANOSI,OG1146507,ANOSI09519,0.44352900789564026,0.44352900789564026,1292,2913,2913
ANOSI,OG1162063,ANOSI18068,0.14193025141930252,0.14193025141930252,175,1233,1233
ANOSI,OG964633,ANOSI13303,0.7411347517730497,0.7411347517730497,1254,1692,1692
ANOSI,OG817086,ANOSI08325,0.8465608465608465,0.8465608465608465,640,756,756
ANOSI,OG823032,ANOSI15205,0.6347760060744115,0.6347760060744115,836,1317,1317
ANOSI,OG1139777,ANOSI13705,0.4717514124293785,0.4717514124293785,167,354,354
ANOSI,OG953548,ANOSI16981,1.0,1.0,1947,1947,1947
ANOSI,OG699681,ANOSI08225,1.0,1.0,339,339,339
ANOSI,OG848281,ANOSI16815,0.8609068627450981,0.8609068627450981,1405,1632,1632
ANOSI,OG1181227,ANOSI13961,0.8020050125313283,0.8020050125313283,1280,1596,1596
ANOSI,OG456648,ANOSI18213,0.49541930937279777,0.49541930937279777,703,1419,1419
ANOSI,OG1183200,ANOSI14974,0.384180790960452,0.384180790960452,340,885,885
ANOSI,OG457329,ANOSI13708,0.20772946859903382,0.20772946859903382,172,828,828
ANOSI,OG988784,ANOSI08226,0.6323676323676324,0.6323676323676324,3798,6006,6006
ANOSI,OG853434,ANOSI08170,0.3333333333333333,0.3333333333333333,166,498,498
ANOSI,OG961011,ANOSI08989,0.5442764578833693,0.5442764578833693,1512,2778,2778
ANOSI,OG698997,ANOSI11073,0.7532141737221699,0.7532141737221699,2402,3189,3189
ANOSI,OG960910,ANOSI11898,1.0,1.0,1314,1314,1314
ANOSI,OG451043,ANOSI08181,0.8795180722891566,0.8795180722891566,657,747,747
ANOSI,OG968364,ANOSI14862,0.8166882836143536,0.8166882836143536,1889,2313,2313
ANOSI,OG460076,ANOSI16987,0.927784112504751,0.927784112504751,2441,2631,2631
ANOSI,OG456720,ANOSI08234,0.7735849056603774,0.7735849056603774,615,795,795
ANOSI,OG1251552,ANOSI09497,0.7023809523809523,0.7023809523809523,354,504,504
ANOSI,OG961299,ANOSI14995,0.5502645502645502,0.5502645502645502,1560,2835,2835
ANOSI,OG911937,ANOSI05566,0.7781266352694924,0.7781266352694924,1487,1911,1911
ANOSI,OG1203459,ANOSI13887,0.8221544715447154,0.8221544715447154,809,984,984
ANOSI,OG348620,ANOSI16831,0.9734513274336283,0.9734513274336283,1320,1356,1356
ANOSI,OG1236745,ANOSI08307,0.5128205128205128,0.5128205128205128,440,858,858
ANOSI,OG986274,ANOSI08263,0.6929181929181929,0.6929181929181929,1135,1638,1638
ANOSI,OG877291,ANOSI08974,0.8052869116698904,0.8052869116698904,1249,1551,1551
ANOSI,OG976835,ANOSI16315,0.9368115942028985,0.9368115942028985,1616,1725,1725
ANOSI,OG964673,ANOSI18236,0.5567010309278351,0.5567010309278351,324,582,582
ANOSI,OG944937,ANOSI18066,0.5416666666666666,0.5416666666666666,585,1080,1080
ANOSI,OG792914,ANOSI05550,0.5160493827160494,0.5160493827160494,627,1215,1215
ANOSI,OG676343,ANOSI11914,0.1169284467713787,0.1169284467713787,268,2292,2292
ANOSI,OG1168476,ANOSI15819,0.8694241686942417,0.8694241686942417,1072,1233,1233
ANOSI,OG362545,ANOSI14857,0.5812574139976275,0.5812574139976275,490,843,843
ANOSI,OG1202204,ANOSI18328,0.9191073919107392,0.9191073919107392,659,717,717
ANOSI,OG1208321,ANOSI11134,0.9622214277201764,0.9622214277201764,8074,8391,8391
ANOSI,OG419349,ANOSI16375,0.7255965292841648,0.7255965292841648,2007,2766,2766
ANOSI,OG675570,ANOSI13707,0.2916666666666667,0.2916666666666667,266,912,912
ANOSI,OG1174245,ANOSI10141,0.6205450733752621,0.6205450733752621,1184,1908,1908
ANOSI,OG1198488,ANOSI18498,0.999457111834962,0.999457111834962,1841,1842,1842
ANOSI,OG703365,ANOSI15845,0.2808888888888889,0.2808888888888889,316,1125,1125
ANOSI,OG1221639,ANOSI13259,0.671957671957672,0.671957671957672,254,378,378
ANOSI,OG925865,ANOSI19077,0.9365942028985508,0.9365942028985508,517,552,552
ANOSI,OG986805,ANOSI17797,0.8703703703703703,0.8703703703703703,5264,6048,6048
ANOSI,OG1251119,ANOSI19256,0.7950937950937951,0.7950937950937951,1102,1386,1386
ANOSI,OG949490,ANOSI08215,0.8808567603748326,0.8808567603748326,658,747,747
ANOSI,OG456351,ANOSI10182,0.47255369928400953,0.47255369928400953,2376,5028,5028
ANOSI,OG1246006,ANOSI08120,0.7909270216962525,0.7909270216962525,802,1014,1014
ANOSI,OG661167,ANOSI16743,0.9328703703703703,0.9328703703703703,806,864,864
ANOSI,OG962230,ANOSI08287,0.7723577235772358,0.7723577235772358,475,615,615
ANOSI,OG1189787,ANOSI09481,0.717687074829932,0.717687074829932,422,588,588
ANOSI,OG962019,ANOSI09471,0.20521541950113378,0.20521541950113378,181,882,882
ANOSI,OG671266,ANOSI08178,0.9877098963915684,0.9877098963915684,13823,13995,13995
ANOSI,OG967514,ANOSI18502,0.8289949385394071,0.8289949385394071,2293,2766,2766
ANOSI,OG1231901,ANOSI13321,0.5718994643592913,0.5718994643592913,1388,2427,2427
ANOSI,OG814084,ANOSI08197,0.8990476190476191,0.8990476190476191,944,1050,1050
ANOSI,OG1174891,ANOSI13945,0.9315375982042648,0.9315375982042648,830,891,891
ANOSI,OG966098,ANOSI13976,0.8850187265917603,0.8850187265917603,2363,2670,2670
ANOSI,OG964929,ANOSI08966,0.7910798122065728,0.7910798122065728,1685,2130,2130
ANOSI,OG1144131,ANOSI18952,0.653566229985444,0.653566229985444,1347,2061,2061
ANOSI,OG1240968,ANOSI11112,0.9217527386541471,0.9217527386541471,1178,1278,1278
ANOSI,OG953187,ANOSI10125,0.9425925925925925,0.9425925925925925,509,540,540
ANOSI,OG674682,ANOSI10188,0.816969696969697,0.816969696969697,674,825,825
ANOSI,OG896170,ANOSI12371,0.9575163398692811,0.9575163398692811,1465,1530,1530
ANOSI,OG696447,ANOSI18946,0.9559955995599559,0.9559955995599559,869,909,909
ANOSI,OG420768,ANOSI13955,0.8762006403415155,0.8762006403415155,2463,2811,2811
ANOSI,OG1179948,ANOSI16890,0.8698752228163993,0.8698752228163993,488,561,561
ANOSI,OG344070,ANOSI13377,0.6084921430959546,0.6084921430959546,1820,2991,2991
ANOSI,OG1194738,ANOSI13345,0.9986225895316805,0.9986225895316805,1450,1452,1452
ANOSI,OG971123,ANOSI15824,0.5707988980716253,0.5707988980716253,1036,1815,1815
ANOSI,OG1139996,ANOSI13881,0.6778774289985052,0.6778774289985052,907,1338,1338
ANOSI,OG451038,ANOSI08326,0.956989247311828,0.956989247311828,712,744,744
ANOSI,OG1146505,ANOSI08230,0.594626168224299,0.594626168224299,1527,2568,2568
ANOSI,OG1244115,ANOSI05521,1.0,1.0,348,348,348
ANOSI,OG846448,ANOSI18065,0.6471408647140865,0.6471408647140865,464,717,717
ANOSI,OG814870,ANOSI12461,0.3817829457364341,0.3817829457364341,1970,5160,5160
ANOSI,OG975279,ANOSI13957,0.6629213483146067,0.6629213483146067,1062,1602,1602
ANOSI,OG961440,ANOSI15201,0.9268635724331927,0.9268635724331927,1318,1422,1422
ANOSI,OG454890,ANOSI16889,0.854978354978355,0.854978354978355,790,924,924
ANOSI,OG411836,ANOSI13282,0.7637614678899083,0.7637614678899083,999,1308,1308
ANOSI,OG736122,ANOSI16384,0.4049145299145299,0.4049145299145299,379,936,936
ANOSI,OG977782,ANOSI18323,0.36828774062816616,0.36828774062816616,727,1974,1974
ANOSI,OG375937,ANOSI09099,0.14358974358974358,0.14358974358974358,112,780,780
ANOSI,OG1223272,ANOSI13699,0.8613902847571189,0.8613902847571189,2057,2388,2388
ANOSI,OG1251511,ANOSI10202,0.9974126778783958,0.9974126778783958,2313,2319,2319
ANOSI,OG1174608,ANOSI10178,0.9977477477477478,0.9977477477477478,443,444,444
ANOSI,OG932104,ANOSI16749,0.44793713163064836,0.44793713163064836,684,1527,1527
ANOSI,OG796653,ANOSI16455,0.9976689976689976,0.9976689976689976,2140,2145,2145
ANOSI,OG1179969,ANOSI16583,0.6712871287128713,0.6712871287128713,2034,3030,3030
ANOSI,OG1219581,ANOSI11081,0.6051838456901748,0.6051838456901748,1004,1659,1659
ANOSI,OG673136,ANOSI13684,0.5161812297734628,0.5161812297734628,638,1236,1236
ANOSI,OG718578,ANOSI13311,0.43612596553773025,0.43612596553773025,734,1683,1683
ANOSI,OG1222683,ANOSI12376,0.763095238095238,0.763095238095238,1282,1680,1680
