#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1079985,ANOST00101,0.8788410886742757,0.8788410886742757,3003,3417,3417
ANOGA,OG1081004,ANOGA04408,0.7517433751743375,0.7517433751743375,1617,2151,2151
ANOGA,OG1138880,ANOGA05943,0.7635829662261381,0.7635829662261381,520,681,681
ANOGA,OG1139777,ANOGA04100,0.96045197740113,0.96045197740113,340,354,354
ANOST,OG1139996,ANOST00223,0.5419664268585132,0.5419664268585132,678,1251,1251
ANOST,OG1144131,ANOST00602,0.8430826369545033,0.8430826369545033,1816,2154,2154
ANOGA,OG1146505,ANOGA04324,0.8736434108527131,0.8736434108527131,2254,2580,2580
ANOST,OG1146507,ANOST00365,0.7540419676642587,0.7540419676642587,2192,2907,2907
ANOSI,OG1150674,ANOSI16840,0.7715355805243446,0.7715355805243446,618,801,801
ANOST,OG1150857,ANOST00554,0.7520908004778972,0.7520908004778972,1259,1674,1674
ANOGA,OG1152239,ANOGA06528,0.7024608501118568,0.7024608501118568,628,894,894
ANOGA,OG1157040,ANOGA04042,0.9987228607918263,0.9987228607918263,782,783,783
ANODA,OG1162063,ANODA08486,0.7266666666666667,0.7266666666666667,1090,1500,1500
ANOGA,OG1168250,ANOGA05380,0.8625730994152047,0.8625730994152047,295,342,342
ANODA,OG1168476,ANODA06616,0.944578313253012,0.944578313253012,1176,1245,1245
ANOST,OG1170587,ANOST00146,0.9852276153150437,0.9852276153150437,9804,9951,9951
ANOST,OG1174245,ANOST00043,0.8121827411167513,0.8121827411167513,1440,1773,1773
ANOGA,OG1174608,ANOGA05668,0.7612612612612613,0.7612612612612613,338,444,444
ANOST,OG1174891,ANOST00152,0.9895833333333334,0.9895833333333334,855,864,864
ANOST,OG1176412,ANOST00547,0.9138916918937101,0.9138916918937101,2717,2973,2973
ANODA,OG1179948,ANODA10325,0.6365248226950354,0.6365248226950354,359,564,564
ANOST,OG1179969,ANOST00511,0.9253205128205129,0.9253205128205129,2887,3120,3120
ANOSI,OG1181227,ANOSI13961,0.8778195488721805,0.8778195488721805,1401,1596,1596
ANOGA,OG1183200,ANOGA05481,0.9135381114903299,0.9135381114903299,803,879,879
ANOST,OG1189787,ANOST00208,1.0,1.0,588,588,588
ANOGA,OG1190683,ANOGA04295,0.9991624790619765,0.9991624790619765,1193,1194,1194
ANOST,OG1191966,ANOST00456,0.9768875192604006,0.9768875192604006,1902,1947,1947
ANOGA,OG1192905,ANOGA05458,1.0,1.0,1017,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.961864406779661,0.961864406779661,681,708,708
ANODA,OG1198488,ANODA06785,0.9592833876221498,0.9592833876221498,1767,1842,1842
ANODA,OG1198490,ANODA04841,0.9350736278447122,0.9350736278447122,1397,1494,1494
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANODA,OG1202789,ANODA06915,0.9417139256458728,0.9417139256458728,2989,3174,3174
ANOST,OG1203459,ANOST00222,0.8419979612640163,0.8419979612640163,826,981,981
ANOGA,OG1204971,ANOGA05312,0.769263698630137,0.769263698630137,5391,7008,7008
ANOSI,OG1208321,ANOSI11134,0.9785484447622452,0.9785484447622452,8211,8391,8391
ANOGA,OG1212040,ANOGA05460,0.894649751792609,0.894649751792609,4866,5439,5439
ANOSI,OG1214309,ANOSI17769,0.9595959595959596,0.9595959595959596,380,396,396
ANOST,OG1214658,ANOST00276,0.4373219373219373,0.4373219373219373,307,702,702
ANOST,OG1215812,ANOST00126,1.0,1.0,651,651,651
ANOGA,OG1216622,ANOGA05381,0.8877805486284289,0.8877805486284289,1068,1203,1203
ANOST,OG1218157,ANOST00305,0.9723320158102767,0.9723320158102767,738,759,759
ANOST,OG1218158,ANOST00323,0.9458689458689459,0.9458689458689459,664,702,702
ANOGA,OG1218490,ANOGA05471,0.7666666666666667,0.7666666666666667,1058,1380,1380
ANOGA,OG1219581,ANOGA05679,0.8694596235579842,0.8694596235579842,1432,1647,1647
ANOST,OG1221639,ANOST00016,0.8915343915343915,0.8915343915343915,337,378,378
ANOST,OG1221689,ANOST00123,0.9987046632124352,0.9987046632124352,2313,2316,2316
ANOGA,OG1222683,ANOGA04115,0.7615615615615615,0.7615615615615615,1268,1665,1665
ANOGA,OG1223272,ANOGA04094,0.9261190786614515,0.9261190786614515,2131,2301,2301
ANOGA,OG1223886,ANOGA05389,0.8109756097560976,0.8109756097560976,399,492,492
ANOGA,OG1224967,ANOGA04095,0.9988833054159687,0.9988833054159687,1789,1791,1791
ANOGA,OG1225085,ANOGA05304,0.8575985418090681,0.8575985418090681,3764,4389,4389
ANOGA,OG1226379,ANOGA04627,0.8707482993197279,0.8707482993197279,1152,1323,1323
ANOGA,OG1229017,ANOGA05305,0.912842404838136,0.912842404838136,2566,2811,2811
ANOGA,OG1230391,ANOGA04302,0.7796610169491526,0.7796610169491526,828,1062,1062
ANOST,OG1231177,ANOST00129,0.9981884057971014,0.9981884057971014,1653,1656,1656
ANOST,OG1231901,ANOST00272,0.7763871506049228,0.7763871506049228,1861,2397,2397
ANOST,OG1235653,ANOST00565,0.9951219512195122,0.9951219512195122,1836,1845,1845
