#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG968775,ANODA05162,0.1130690161527166,0.1130690161527166,231,2043,2043
ANODA,OG1208321,ANODA05883,0.24274139095205943,0.24274139095205943,2157,8886,8886
ANODA,OG961013,ANODA08956,0.41563146997929606,0.41563146997929606,803,1932,1932
ANODA,OG455346,ANODA06172,0.12631578947368421,0.12631578947368421,144,1140,1140
ANODA,OG1222683,ANODA08571,0.11518324607329843,0.11518324607329843,198,1719,1719
ANODA,OG796653,ANODA01604,0.40980881130507063,0.40980881130507063,986,2406,2406
ANODA,OG961377,ANODA07077,0.5091258405379443,0.5091258405379443,530,1041,1041
ANODA,OG673136,ANODA03220,0.03269537480063796,0.03269537480063796,41,1254,1254
ANODA,OG420768,ANODA06165,0.24873294346978558,0.24873294346978558,638,2565,2565
ANODA,OG1212040,ANODA10250,0.12995974698102358,0.12995974698102358,678,5217,5217
ANODA,OG451043,ANODA08553,0.2543507362784471,0.2543507362784471,190,747,747
ANODA,OG698904,ANODA03572,0.0910244211861719,0.0910244211861719,287,3153,3153
ANODA,OG698997,ANODA05980,0.04236760124610592,0.04236760124610592,136,3210,3210
ANODA,OG1176412,ANODA07141,0.07354221061792864,0.07354221061792864,169,2298,2298
ANODA,OG967514,ANODA06786,0.03164983164983165,0.03164983164983165,94,2970,2970
ANODA,OG960910,ANODA08504,0.3980213089802131,0.3980213089802131,523,1314,1314
ANODA,OG456648,ANODA01951,0.0411522633744856,0.0411522633744856,60,1458,1458
ANODA,OG1181227,ANODA06163,0.1116557734204793,0.1116557734204793,205,1836,1836
ANODA,OG1204971,ANODA05655,0.0520005576467308,0.0520005576467308,373,7173,7173
ANODA,OG961011,ANODA07246,0.21841541755888652,0.21841541755888652,612,2802,2802
ANODA,OG961440,ANODA00293,0.20193637621023514,0.20193637621023514,292,1446,1446
ANODA,OG341995,ANODA06295,0.011310937676733402,0.011310937676733402,100,8841,8841
ANODA,OG968364,ANODA06500,0.2134251290877797,0.2134251290877797,372,1743,1743
ANODA,OG896170,ANODA03515,0.3990417522245038,0.3990417522245038,583,1461,1461
ANODA,OG1251511,ANODA09076,0.2052951388888889,0.2052951388888889,473,2304,2304
ANODA,OG1198488,ANODA06785,0.9104234527687296,0.9104234527687296,1677,1842,1842
ANODA,OG454890,ANODA10326,0.08231707317073171,0.08231707317073171,81,984,984
ANODA,OG949490,ANODA08552,0.05710955710955711,0.05710955710955711,49,858,858
