#species,og,gene_id,coverage,std
ANODA,OG861720,ANODA08506,12.215991692627206,9.113058978973001
ANODA,OG676343,ANODA08502,nan,nan
ANODA,OG951333,ANODA08505,13.57037037037037,5.064825309759591
ANODA,OG960910,ANODA08504,43.51141552511415,19.429855276827986
ANODA,OG848281,ANODA03007,6.649955237242614,3.820283763987634
ANODA,OG1221639,ANODA05486,4.203619909502263,0.760557975907645
ANODA,OG964633,ANODA05487,24.806297056810404,14.51144093156804
ANODA,OG718578,ANODA00549,8.749303621169917,4.125954713829497
ANODA,OG961398,ANODA01312,1.89749430523918,1.0590613927278525
ANODA,OG411836,ANODA03579,16.575514874141877,9.276425918647195
ANODA,OG1241986,ANODA03573,13.864957264957265,5.692149583287108
ANODA,OG698904,ANODA03572,25.721993410214168,12.089645683988085
ANODA,OG1157040,ANODA03571,6.992141453831041,2.6042011418213273
ANODA,OG958126,ANODA01492,5.2272727272727275,2.7512831967375035
ANODA,OG842298,ANODA01152,13.547327121137812,8.725815957040371
ANODA,OG1174245,ANODA09078,8.117339312406576,4.582785894303652
ANODA,OG456351,ANODA09077,6.0156062424969985,9.990439434512123
ANODA,OG1251511,ANODA09076,25.260045146726863,11.71451635585893
ANODA,OG961602,ANODA09075,13.236472945891784,4.698973621010384
ANODA,OG953187,ANODA09070,5.506887052341598,2.0494793952734778
ANODA,OG814084,ANODA09331,6.566079295154185,2.3891815738514355
ANODA,OG699681,ANODA09332,1.9305555555555556,0.25420840580171006
ANODA,OG946387,ANODA07723,15.750293083235638,8.320641463087089
ANODA,OG946885,ANODA07717,7.165369649805448,3.598244162105936
ANODA,OG1214309,ANODA07715,nan,nan
ANODA,OG341995,ANODA06295,5.566647759500851,4.87186459162462
ANODA,OG1079985,ANODA06296,12.064928676832267,8.363702213406404
ANODA,OG976835,ANODA06297,33.02200647249191,21.85434649443875
ANODA,OG675570,ANODA03502,1.4539007092198581,0.4978703198520353
ANODA,OG971355,ANODA03504,25.201315789473686,15.375912411275772
ANODA,OG1223272,ANODA01666,75.87262455059066,27.8398126319097
ANODA,OG1224967,ANODA01667,8.97238278741169,5.326935737779947
ANODA,OG457329,ANODA01668,1.233502538071066,0.42305921900537324
ANODA,OG961439,ANODA01669,4.996830427892235,3.4521849717259867
ANODA,OG998211,ANODA01670,3.7980295566502464,2.1889998298958453
ANODA,OG673136,ANODA03220,1.1872509960159363,0.39011288174959824
ANODA,OG1139777,ANODA01246,2.4358974358974357,1.335796541295498
ANODA,OG1221689,ANODA08570,17.160994057266343,11.597984692644358
ANODA,OG1222683,ANODA08571,23.257142857142856,10.60154239157832
