#species,og,gene_id,coverage,std
ANOSI,OG1079985,ANOSI16316,2.673636363636364,1.8087754407447383
ANOSI,OG1081004,ANOSI11947,2.1169950738916254,1.4141636930407488
ANOSI,OG1138880,ANOSI11144,1.3237704918032787,0.46791362497873656
ANOSI,OG1139996,ANOSI13881,2.780630105017503,1.5649152361442962
ANOSI,OG1144131,ANOSI18952,2.313063063063063,1.5461986474202825
ANOSI,OG1150857,ANOSI15844,3.888888888888889,3.9664376795761203
ANOGA,OG1152239,ANOGA06528,2.610738255033557,1.495906761423359
ANOGA,OG1162063,ANOGA04462,4.126684636118599,1.2231436477476416
ANOSI,OG1168250,ANOSI15785,1.0,0.0
ANOGA,OG1168476,ANOGA04432,2.203225806451613,1.5242097626719064
ANOSI,OG1170587,ANOSI05651,2.0356912491937216,1.7149020702171716
ANOSI,OG1174245,ANOSI10141,3.229710144927536,2.410150918970827
ANODA,OG1174608,ANODA04336,1.0,0.0
ANOSI,OG1174891,ANOSI13945,2.2302452316076296,1.359239527254124
ANOSI,OG1176412,ANOSI15222,3.227773695811903,3.2774461566211213
ANOSI,OG1179948,ANOSI16890,2.3498759305210917,1.2055161613914578
ANOSI,OG1179969,ANOSI16583,1.7793427230046948,1.2211537451915717
ANOSI,OG1181227,ANOSI13961,1.7142857142857142,0.7637724684755455
ANOSI,OG1183200,ANOSI14974,1.273838630806846,0.44592716342994615
ANOSI,OG1189787,ANOSI09481,2.536842105263158,1.2853604285217446
ANOSI,OG1190683,ANOSI08201,1.4337606837606838,0.6043761019781205
ANOGA,OG1191966,ANOGA05362,1.3664021164021165,0.4818211343415379
ANOSI,OG1192905,ANOSI13732,2.4864864864864864,1.8102056269881461
ANOGA,OG1194738,ANOGA05637,1.9895104895104896,1.2227951445388083
ANOSI,OG1197765,ANOSI15828,4.702857142857143,5.258760620650661
ANOSI,OG1198490,ANOSI18566,3.4245647969052224,1.8535908102480918
ANOSI,OG1202204,ANOSI18328,1.8969465648854962,0.6660168637456138
ANOSI,OG1202789,ANOSI15781,1.7160578911095796,1.1282402914095875
ANOSI,OG1203459,ANOSI13887,3.322905027932961,1.755973188901903
ANOSI,OG1204971,ANOSI12470,1.778830963665087,1.1750676999172442
ANOSI,OG1208321,ANOSI11134,4.888242625675114,3.2899996990144658
ANOSI,OG1212040,ANOSI13772,3.052039832958561,2.6795659607880844
ANOST,OG1214309,ANOST00081,1.0,0.0
ANOSI,OG1214658,ANOSI13358,2.25,2.165063509461097
ANOST,OG1215812,ANOST00126,1.262857142857143,0.5232239150747245
ANOSI,OG1216622,ANOSI15784,1.523076923076923,0.7434811086490397
ANOSI,OG1218157,ANOSI08193,1.6335403726708075,0.819201052435894
ANOSI,OG1218158,ANOSI08297,2.543661971830986,1.6867948099301762
ANOSI,OG1218490,ANOSI09061,2.9481946624803768,2.7619557218601916
ANOSI,OG1219581,ANOSI11081,2.4965034965034967,1.2283033148227507
ANOSI,OG1221639,ANOSI13259,1.0,0.0
ANOSI,OG1221689,ANOSI12385,2.476275738585497,1.8658264235129338
ANOSI,OG1222683,ANOSI12376,1.964253798033959,1.1107445642323546
ANOSI,OG1226379,ANOSI13958,1.6944444444444444,0.6702450261372541
ANOSI,OG1230391,ANOSI08180,1.6897435897435897,0.8525361476041524
ANOGA,OG1231177,ANOGA04120,2.4983792544570504,1.2687800769710766
ANOSI,OG1235653,ANOSI18112,1.6215429403202328,0.6287636773735961
ANOST,OG1236745,ANOST00324,1.0380116959064327,0.19122449341219244
ANOSI,OG1240325,ANOSI13359,1.1239495798319328,0.32952402263176517
ANOGA,OG1240968,ANOGA05685,2.264394829612221,1.6742717389541217
ANOSI,OG1241986,ANOSI13275,1.069243156199678,0.2538671729845845
ANOSI,OG1242667,ANOSI15210,4.469957081545064,2.9057362976764427
ANOGA,OG1244115,ANOGA04136,1.4901960784313726,0.8094026447274625
ANOSI,OG1246006,ANOSI08120,4.903780068728523,2.7134887545034987
ANOGA,OG1251119,ANOGA04663,2.813380281690141,5.930874048355062
ANOST,OG1251511,ANOST00045,1.7084942084942085,0.8148982283410185
ANOSI,OG1251552,ANOSI09497,1.0,0.0
ANOSI,OG341995,ANOSI16311,2.3201754385964914,2.1273358606384045
ANOSI,OG342477,ANOSI13940,66.68837535014005,189.9026625337742
ANOSI,OG344070,ANOSI13377,4.590217391304348,5.194009086199564
ANOSI,OG348620,ANOSI16831,1.5714285714285714,0.864500441509931
ANOGA,OG351572,ANOGA04255,2.5106382978723403,1.5986675359336495
ANOSI,OG352732,ANOSI08184,4.079037800687285,2.311271844512342
ANOSI,OG362545,ANOSI14857,2.3846153846153846,1.6542933205851205
ANOSI,OG369576,ANOSI18640,4.463709677419355,2.6117548999950744
ANODA,OG373241,ANODA00581,2.715355805243446,1.0816256339322805
