#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOST,OG1194738,ANOST00274,0.8622589531680441,0.8622589531680441,1252,1452,1452
ANOST,OG964673,ANOST00265,0.7278911564625851,0.7278911564625851,428,588,588
ANOST,OG460076,ANOST00607,0.4166666666666667,0.4166666666666667,1205,2892,2892
ANOST,OG420768,ANOST00161,0.2919366450683945,0.2919366450683945,811,2778,2778
ANOST,OG1183200,ANOST00504,0.14219114219114218,0.14219114219114218,122,858,858
ANOST,OG1236745,ANOST00324,0.4126436781609195,0.4126436781609195,359,870,870
ANOST,OG961115,ANOST00130,0.283471837488458,0.283471837488458,307,1083,1083
ANOST,OG699681,ANOST00058,0.7610619469026548,0.7610619469026548,258,339,339
ANOST,OG1146507,ANOST00365,0.07980736154110767,0.07980736154110767,232,2907,2907
ANOST,OG1222683,ANOST00125,0.6368421052631579,0.6368421052631579,1089,1710,1710
ANOST,OG1191966,ANOST00456,0.7678479712378018,0.7678479712378018,1495,1947,1947
ANOST,OG1162063,ANOST00522,0.18248175182481752,0.18248175182481752,225,1233,1233
ANOST,OG348620,ANOST00261,0.577433628318584,0.577433628318584,783,1356,1356
ANOST,OG966098,ANOST00164,0.3071455293677516,0.3071455293677516,821,2673,2673
ANOST,OG917347,ANOST00382,0.8213914849428868,0.8213914849428868,791,963,963
ANOST,OG896170,ANOST00127,0.9356321839080459,0.9356321839080459,1628,1740,1740
ANOST,OG1212040,ANOST00490,0.4898989898989899,0.4898989898989899,2522,5148,5148
ANOST,OG1150857,ANOST00554,0.17383512544802868,0.17383512544802868,291,1674,1674
ANOST,OG842298,ANOST00037,0.3423044575273339,0.3423044575273339,1221,3567,3567
ANOST,OG673136,ANOST00116,0.3341232227488152,0.3341232227488152,423,1266,1266
ANOST,OG978865,ANOST00481,0.2487708947885939,0.2487708947885939,253,1017,1017
ANOST,OG964633,ANOST00017,0.6111111111111112,0.6111111111111112,1045,1710,1710
ANOST,OG1219581,ANOST00235,0.13161131611316113,0.13161131611316113,214,1626,1626
ANOST,OG790850,ANOST00477,0.15654952076677317,0.15654952076677317,147,939,939
ANOST,OG1202204,ANOST00290,0.38493723849372385,0.38493723849372385,276,717,717
ANOST,OG1157040,ANOST00033,0.4329501915708812,0.4329501915708812,339,783,783
ANOST,OG961377,ANOST00356,0.5984630163304515,0.5984630163304515,623,1041,1041
ANOST,OG1226379,ANOST00147,0.2882262996941896,0.2882262996941896,377,1308,1308
ANOST,OG1181227,ANOST00162,0.71303873431533,0.71303873431533,1307,1833,1833
ANOST,OG1223272,ANOST00111,0.6473308112652375,0.6473308112652375,1540,2379,2379
ANOST,OG665560,ANOST00160,0.13498152884342143,0.13498152884342143,475,3519,3519
ANOST,OG1251119,ANOST00180,0.7027225901398086,0.7027225901398086,955,1359,1359
ANOST,OG1208321,ANOST00225,0.6460186710598572,0.6460186710598572,5882,9105,9105
ANOST,OG344070,ANOST00277,0.15304560759106214,0.15304560759106214,500,3267,3267
ANOST,OG814870,ANOST00423,0.0632580991862429,0.0632580991862429,412,6513,6513
ANOST,OG963232,ANOST00545,0.09953051643192488,0.09953051643192488,106,1065,1065
