#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG848281,ANODA03007,0.6326164874551972,0.6326164874551972,1059,1674,1674
ANODA,OG665560,ANODA06166,0.40073633531577457,0.40073633531577457,1415,3531,3531
ANODA,OG796653,ANODA01604,0.6679135494596842,0.6679135494596842,1607,2406,2406
ANODA,OG971123,ANODA05742,0.25411061285500747,0.25411061285500747,510,2007,2007
ANODA,OG456648,ANODA01951,0.18998628257887518,0.18998628257887518,277,1458,1458
ANODA,OG975279,ANODA02647,0.3883677298311445,0.3883677298311445,621,1599,1599
ANODA,OG718578,ANODA00549,0.1195079086115993,0.1195079086115993,204,1707,1707
ANODA,OG1212040,ANODA10250,0.7092198581560284,0.7092198581560284,3700,5217,5217
ANODA,OG1174245,ANODA09078,0.3834355828220859,0.3834355828220859,750,1956,1956
ANODA,OG979200,ANODA05740,0.18257956448911222,0.18257956448911222,327,1791,1791
ANODA,OG362545,ANODA06501,0.314878892733564,0.314878892733564,273,867,867
ANODA,OG457329,ANODA01668,0.18206157965194109,0.18206157965194109,136,747,747
ANODA,OG1251119,ANODA03237,0.8074581430745814,0.8074581430745814,1061,1314,1314
ANODA,OG962019,ANODA07758,0.5006747638326585,0.5006747638326585,371,741,741
ANODA,OG823022,ANODA00759,0.1856925418569254,0.1856925418569254,244,1314,1314
ANODA,OG1189787,ANODA07757,0.6751700680272109,0.6751700680272109,397,588,588
ANODA,OG964633,ANODA05487,0.7701543739279588,0.7701543739279588,1347,1749,1749
ANODA,OG1240929,ANODA06171,0.05360623781676413,0.05360623781676413,55,1026,1026
ANODA,OG1168476,ANODA06616,0.7357429718875502,0.7357429718875502,916,1245,1245
ANODA,OG932017,ANODA05892,0.44576719576719576,0.44576719576719576,674,1512,1512
ANODA,OG1157040,ANODA03571,0.5448954489544895,0.5448954489544895,443,813,813
ANODA,OG1223886,ANODA06917,0.29065040650406504,0.29065040650406504,143,492,492
ANODA,OG699681,ANODA09332,0.6371681415929203,0.6371681415929203,216,339,339
ANODA,OG1202789,ANODA06915,0.7391304347826086,0.7391304347826086,2346,3174,3174
ANODA,OG814870,ANODA05594,0.33428680396643784,0.33428680396643784,1753,5244,5244
ANODA,OG960945,ANODA08768,0.4106002554278416,0.4106002554278416,643,1566,1566
ANODA,OG1221639,ANODA05486,0.5079365079365079,0.5079365079365079,192,378,378
ANODA,OG1240968,ANODA05983,0.8497330282227308,0.8497330282227308,1114,1311,1311
ANODA,OG1240328,ANODA00790,0.14527027027027026,0.14527027027027026,129,888,888
ANODA,OG1231901,ANODA00788,0.2855392156862745,0.2855392156862745,699,2448,2448
ANODA,OG352732,ANODA04288,0.489159891598916,0.489159891598916,722,1476,1476
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANODA,OG457572,ANODA02309,0.30242825607064017,0.30242825607064017,137,453,453
ANODA,OG961299,ANODA07298,0.35914454277286134,0.35914454277286134,974,2712,2712
ANODA,OG960979,ANODA00582,1.0,1.0,1200,1200,1200
ANODA,OG420768,ANODA06165,0.5902534113060429,0.5902534113060429,1514,2565,2565
ANODA,OG970502,ANODA05891,0.604221635883905,0.604221635883905,687,1137,1137
ANODA,OG916860,ANODA09028,0.4781021897810219,0.4781021897810219,393,822,822
ANODA,OG967514,ANODA06786,0.5565656565656566,0.5565656565656566,1653,2970,2970
