#species,og,gene_id,coverage,std
ANOSI,OG861720,ANOSI11902,3.1060240963855423,1.9433761082751184
ANOSI,OG676343,ANOSI11914,nan,nan
ANOSI,OG951333,ANOSI11872,nan,nan
ANOSI,OG960910,ANOSI11898,30.53167808219178,27.113107011952255
ANOSI,OG848281,ANOSI16815,14.110655737704919,6.647654264496709
ANOSI,OG1221639,ANOSI13259,5.538961038961039,3.839529727837717
ANOSI,OG964633,ANOSI13303,15.522043386983905,11.977368314358362
ANOSI,OG718578,ANOSI13311,4.362477231329691,3.151854061859363
ANOSI,OG961398,ANOSI02900,3.731034482758621,2.214389220417358
ANOSI,OG411836,ANOSI13282,5.959501557632398,3.9416065588203346
ANOSI,OG1241986,ANOSI13275,11.278461538461539,9.933207589583109
ANOSI,OG698904,ANOSI13273,18.293556085918855,10.114183567797449
ANOSI,OG1157040,ANOSI13306,12.706703910614525,4.189373331696649
ANOSI,OG958126,ANOSI13277,6.457300275482094,4.7505511219411405
ANOSI,OG842298,ANOSI13293,11.911791451955137,8.842554170922128
ANOSI,OG1174245,ANOSI10141,4.603903559127439,3.5385926629561606
ANOSI,OG456351,ANOSI10182,52.53617021276596,153.52093824280047
ANOSI,OG1251511,ANOSI10202,19.86654724585759,9.63066807717656
ANOSI,OG961602,ANOSI10095,11.522546419098143,5.890706242968555
ANOSI,OG953187,ANOSI10125,22.31529411764706,8.56308775923255
ANOSI,OG814084,ANOSI08197,7.863679694947569,5.130100168344878
ANOSI,OG699681,ANOSI08225,4.9326599326599325,2.460908648433886
ANOSI,OG946387,ANOSI17759,12.033503277494537,7.7806068721397
ANOSI,OG946885,ANOSI17776,8.031847133757962,6.408215648547414
ANOSI,OG1214309,ANOSI17769,7.910526315789474,3.5276941532368085
ANOSI,OG341995,ANOSI16311,5.592666005946482,4.564436330730051
ANOSI,OG1079985,ANOSI16316,11.68005540166205,12.868937283681785
ANOSI,OG976835,ANOSI16315,17.977115117891817,8.043839865220871
