#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOSI,OG1204971,ANOSI12470,0.2439877568867512,0.2439877568867512,1674,6861,6861
ANOSI,OG953187,ANOSI10125,0.7537037037037037,0.7537037037037037,407,540,540
ANOSI,OG961439,ANOSI13690,0.36553524804177545,0.36553524804177545,420,1149,1149
ANOSI,OG962230,ANOSI08287,0.45203252032520325,0.45203252032520325,278,615,615
ANOSI,OG1198490,ANOSI18566,0.9337349397590361,0.9337349397590361,1395,1494,1494
ANOSI,OG917347,ANOSI11939,0.8658280922431866,0.8658280922431866,826,954,954
ANOSI,OG1144131,ANOSI18952,0.15817564289180008,0.15817564289180008,326,2061,2061
ANOSI,OG1251119,ANOSI19256,0.8080808080808081,0.8080808080808081,1120,1386,1386
ANOSI,OG1146507,ANOSI09519,0.17336079642979746,0.17336079642979746,505,2913,2913
ANOSI,OG456648,ANOSI18213,0.10993657505285412,0.10993657505285412,156,1419,1419
ANOSI,OG1174891,ANOSI13945,0.4500561167227834,0.4500561167227834,401,891,891
ANOSI,OG673136,ANOSI13684,0.5331715210355987,0.5331715210355987,659,1236,1236
ANOSI,OG828830,ANOSI16895,0.16966067864271456,0.16966067864271456,85,501,501
ANOSI,OG932017,ANOSI15215,0.19228210246174318,0.19228210246174318,289,1503,1503
ANOSI,OG1179948,ANOSI16890,0.3404634581105169,0.3404634581105169,191,561,561
ANOSI,OG1198488,ANOSI18498,0.9543973941368078,0.9543973941368078,1758,1842,1842
ANOSI,OG839253,ANOSI18124,0.2912912912912913,0.2912912912912913,97,333,333
ANOSI,OG796653,ANOSI16455,0.9291375291375291,0.9291375291375291,1993,2145,2145
ANOSI,OG1139996,ANOSI13881,0.461136023916293,0.461136023916293,617,1338,1338
ANOSI,OG460076,ANOSI16987,0.7293804637020145,0.7293804637020145,1919,2631,2631
ANOSI,OG951333,ANOSI11872,0.9172932330827067,0.9172932330827067,366,399,399
ANOSI,OG946885,ANOSI17776,0.7140672782874617,0.7140672782874617,934,1308,1308
