#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1079985,ANODA06296,0.992269635126778,0.992269635126778,3209,3234,3234
ANODA,OG1081004,ANODA08766,0.998212689901698,0.998212689901698,2234,2238,2238
ANODA,OG1138880,ANODA05178,1.0,1.0,678,678,678
ANODA,OG1139777,ANODA01246,0.9373219373219374,0.9373219373219374,329,351,351
ANODA,OG1139996,ANODA03476,0.9288158795345653,0.9288158795345653,1357,1461,1461
ANODA,OG1144131,ANODA04793,0.9936247723132969,0.9936247723132969,2182,2196,2196
ANODA,OG1146505,ANODA07082,0.9685746352413019,0.9685746352413019,2589,2673,2673
ANODA,OG1146507,ANODA10392,0.9833163091590058,0.9833163091590058,2888,2937,2937
ANODA,OG1150674,ANODA06923,0.9987515605493134,0.9987515605493134,800,801,801
ANODA,OG1150857,ANODA10330,0.974080771549126,0.974080771549126,1616,1659,1659
ANODA,OG1152239,ANODA05622,1.0,1.0,945,945,945
ANODA,OG1157040,ANODA03571,1.0,1.0,813,813,813
ANODA,OG1162063,ANODA08486,0.9353333333333333,0.9353333333333333,1403,1500,1500
ANODA,OG1168250,ANODA06913,0.8625730994152047,0.8625730994152047,295,342,342
ANODA,OG1168476,ANODA06616,0.9927710843373494,0.9927710843373494,1236,1245,1245
ANODA,OG1170587,ANODA03456,0.9948994899489949,0.9948994899489949,9948,9999,9999
ANODA,OG1174245,ANODA09078,0.971881390593047,0.971881390593047,1901,1956,1956
ANODA,OG1174608,ANODA04336,1.0,1.0,444,444,444
ANODA,OG1174891,ANODA02648,0.9954954954954955,0.9954954954954955,884,888,888
ANODA,OG1176412,ANODA07141,0.9973890339425587,0.9973890339425587,2292,2298,2298
ANODA,OG1179948,ANODA10325,0.8918439716312057,0.8918439716312057,503,564,564
ANODA,OG1179969,ANODA09026,0.9980059820538385,0.9980059820538385,3003,3009,3009
ANODA,OG1181227,ANODA06163,0.9738562091503268,0.9738562091503268,1788,1836,1836
ANODA,OG1183200,ANODA07300,1.0,1.0,897,897,897
ANODA,OG1189787,ANODA07757,1.0,1.0,588,588,588
ANODA,OG1190683,ANODA08567,0.999168744804655,0.999168744804655,1202,1203,1203
ANODA,OG1191966,ANODA01579,0.9694656488549618,0.9694656488549618,1905,1965,1965
ANODA,OG1192905,ANODA10252,1.0,1.0,1017,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9759887005649718,0.9759887005649718,691,708,708
ANODA,OG1198488,ANODA06785,1.0,1.0,1842,1842,1842
ANODA,OG1198490,ANODA04841,1.0,1.0,1494,1494,1494
ANOGA,OG1202204,ANOGA05611,0.9986168741355463,0.9986168741355463,722,723,723
ANODA,OG1202789,ANODA06915,0.9996849401386263,0.9996849401386263,3173,3174,3174
ANODA,OG1203459,ANODA03477,1.0,1.0,984,984,984
ANODA,OG1204971,ANODA05655,0.9981876481249129,0.9981876481249129,7160,7173,7173
ANODA,OG1208321,ANODA05883,0.9933603421111862,0.9933603421111862,8827,8886,8886
ANODA,OG1212040,ANODA10250,0.9907993099482462,0.9907993099482462,5169,5217,5217
ANODA,OG1214309,ANODA07715,1.0,1.0,390,390,390
ANODA,OG1214658,ANODA02027,0.8361823361823362,0.8361823361823362,587,702,702
ANODA,OG1215812,ANODA08572,1.0,1.0,654,654,654
ANOSI,OG1216622,ANOSI15784,0.9594272076372315,0.9594272076372315,1206,1257,1257
ANODA,OG1218157,ANODA08542,0.9710144927536232,0.9710144927536232,737,759,759
ANOST,OG1218158,ANOST00323,0.9458689458689459,0.9458689458689459,664,702,702
ANODA,OG1218490,ANODA07244,0.9956222639149468,0.9956222639149468,1592,1599,1599
ANODA,OG1219581,ANODA05977,0.9554367201426025,0.9554367201426025,1608,1683,1683
ANODA,OG1221639,ANODA05486,0.9444444444444444,0.9444444444444444,357,378,378
ANODA,OG1221689,ANODA08570,1.0,1.0,2319,2319,2319
ANODA,OG1222683,ANODA08571,1.0,1.0,1719,1719,1719
ANODA,OG1223272,ANODA01666,1.0,1.0,1998,1998,1998
ANODA,OG1223886,ANODA06917,0.9126016260162602,0.9126016260162602,449,492,492
ANODA,OG1224967,ANODA01667,0.9994444444444445,0.9994444444444445,1799,1800,1800
ANODA,OG1225085,ANODA05595,0.997481684981685,0.997481684981685,4357,4368,4368
ANODA,OG1226379,ANODA02643,0.9922299922299922,0.9922299922299922,1277,1287,1287
ANODA,OG1229017,ANODA05596,1.0,1.0,2511,2511,2511
ANODA,OG1230391,ANODA03599,0.9990557129367328,0.9990557129367328,1058,1059,1059
ANODA,OG1231177,ANODA03650,0.9945848375451264,0.9945848375451264,1653,1662,1662
ANODA,OG1231901,ANODA00788,0.9987745098039216,0.9987745098039216,2445,2448,2448
ANODA,OG1235653,ANODA08957,1.0,1.0,1875,1875,1875
ANOSI,OG1236745,ANOSI08307,0.9941724941724942,0.9941724941724942,853,858,858
ANODA,OG1240325,ANODA00791,0.9558080808080808,0.9558080808080808,757,792,792
ANODA,OG1240328,ANODA00790,1.0,1.0,888,888,888
ANODA,OG1240929,ANODA06171,0.9990253411306043,0.9990253411306043,1025,1026,1026
ANODA,OG1240968,ANODA05983,0.9610983981693364,0.9610983981693364,1260,1311,1311
ANODA,OG1241986,ANODA03573,0.9953810623556582,0.9953810623556582,1293,1299,1299
ANODA,OG1242667,ANODA10318,0.9975339087546239,0.9975339087546239,2427,2433,2433
ANODA,OG1244115,ANODA03659,1.0,1.0,348,348,348
