#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG420493,ANOGA04637,0.4646892655367232,0.4646892655367232,329,708,708
ANOGA,OG1079985,ANOGA04086,0.6710411198600175,0.6710411198600175,2301,3429,3429
ANOGA,OG1223886,ANOGA05389,0.3089430894308943,0.3089430894308943,152,492,492
ANOGA,OG342477,ANOGA04643,0.7332804652392281,0.7332804652392281,2774,3783,3783
ANOGA,OG411836,ANOGA05239,0.7928134556574924,0.7928134556574924,1037,1308,1308
ANOGA,OG968775,ANOGA04415,0.9144770736733643,0.9144770736733643,1775,1941,1941
ANOGA,OG828830,ANOGA04503,0.6347305389221557,0.6347305389221557,318,501,501
ANOGA,OG839253,ANOGA05660,0.3993993993993994,0.3993993993993994,133,333,333
ANOGA,OG961013,ANOGA04514,0.9939792008757526,0.9939792008757526,1816,1827,1827
ANOGA,OG699681,ANOGA05433,1.0,1.0,339,339,339
ANOGA,OG1212040,ANOGA05460,0.5273028130170987,0.5273028130170987,2868,5439,5439
ANOGA,OG703365,ANOGA04508,0.2304421768707483,0.2304421768707483,271,1176,1176
ANOGA,OG971355,ANOGA04093,0.9290646578782172,0.9290646578782172,1480,1593,1593
ANOGA,OG978616,ANOGA04292,0.6448230668414154,0.6448230668414154,1476,2289,2289
ANOGA,OG932017,ANOGA04469,0.44731610337972166,0.44731610337972166,675,1509,1509
ANOGA,OG961299,ANOGA05478,0.4782767433369843,0.4782767433369843,1310,2739,2739
ANOGA,OG736122,ANOGA04659,0.4653887113951012,0.4653887113951012,437,939,939
ANOGA,OG1168250,ANOGA05380,0.935672514619883,0.935672514619883,320,342,342
ANOGA,OG790850,ANOGA04067,0.6927899686520376,0.6927899686520376,663,957,957
ANOGA,OG916860,ANOGA05486,0.6555965559655597,0.6555965559655597,533,813,813
ANOGA,OG352732,ANOGA04305,0.7971976401179941,0.7971976401179941,1081,1356,1356
ANOGA,OG822311,ANOGA04636,0.7964989059080962,0.7964989059080962,2184,2742,2742
ANOGA,OG944937,ANOGA05498,0.36657169990503324,0.36657169990503324,386,1053,1053
ANOGA,OG1221639,ANOGA05250,0.6666666666666666,0.6666666666666666,252,378,378
ANOGA,OG674682,ANOGA05648,0.7300995024875622,0.7300995024875622,587,804,804
ANOGA,OG1189787,ANOGA04698,0.5408163265306123,0.5408163265306123,318,588,588
ANOGA,OG961377,ANOGA04332,0.8184438040345822,0.8184438040345822,852,1041,1041
ANOGA,OG1168476,ANOGA04432,0.6832151300236406,0.6832151300236406,867,1269,1269
ANOGA,OG456351,ANOGA04056,0.4814361485108119,0.4814361485108119,2360,4902,4902
ANOGA,OG968364,ANOGA07027,0.8270777479892761,0.8270777479892761,1851,2238,2238
ANOGA,OG1214309,ANOGA05405,0.9328358208955224,0.9328358208955224,375,402,402
ANOGA,OG1229017,ANOGA05305,0.8900747065101388,0.8900747065101388,2502,2811,2811
ANOGA,OG817086,ANOGA04277,0.852589641434263,0.852589641434263,642,753,753
