#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG963232,ANODA07139,0.723834652594547,0.723834652594547,823,1137,1137
ANODA,OG456648,ANODA01951,0.5034293552812071,0.5034293552812071,734,1458,1458
ANODA,OG1168250,ANODA06913,0.5994152046783626,0.5994152046783626,205,342,342
ANODA,OG1152239,ANODA05622,0.6243386243386243,0.6243386243386243,590,945,945
ANODA,OG1224967,ANODA01667,0.9577777777777777,0.9577777777777777,1724,1800,1800
ANODA,OG1229017,ANODA05596,0.9287136598964556,0.9287136598964556,2332,2511,2511
ANODA,OG1146505,ANODA07082,0.7620650953984287,0.7620650953984287,2037,2673,2673
ANODA,OG1179969,ANODA09026,0.8145563310069791,0.8145563310069791,2451,3009,3009
ANODA,OG1223272,ANODA01666,0.8343343343343343,0.8343343343343343,1667,1998,1998
ANODA,OG673136,ANODA03220,0.6379585326953748,0.6379585326953748,800,1254,1254
ANODA,OG839253,ANODA06918,0.40773809523809523,0.40773809523809523,137,336,336
ANODA,OG1139777,ANODA01246,0.5698005698005698,0.5698005698005698,200,351,351
ANODA,OG699681,ANODA09332,1.0,1.0,339,339,339
ANODA,OG676343,ANODA08502,0.1449074074074074,0.1449074074074074,313,2160,2160
ANODA,OG1251119,ANODA03237,0.9406392694063926,0.9406392694063926,1236,1314,1314
ANODA,OG674682,ANODA07073,0.7761557177615572,0.7761557177615572,638,822,822
ANODA,OG671266,ANODA07081,0.9845011070637811,0.9845011070637811,13784,14001,14001
ANODA,OG962019,ANODA07758,0.5371120107962213,0.5371120107962213,398,741,741
ANODA,OG944937,ANODA08489,0.5555555555555556,0.5555555555555556,630,1134,1134
ANODA,OG967514,ANODA06786,0.8932659932659933,0.8932659932659933,2653,2970,2970
ANODA,OG1236745,ANODA08566,0.8673587081891581,0.8673587081891581,752,867,867
ANODA,OG848281,ANODA03007,0.8345280764635603,0.8345280764635603,1397,1674,1674
ANODA,OG792952,ANODA03657,0.984037558685446,0.984037558685446,1048,1065,1065
ANODA,OG861720,ANODA08506,0.4741561181434599,0.4741561181434599,1798,3792,3792
ANODA,OG1240328,ANODA00790,0.5281531531531531,0.5281531531531531,469,888,888
ANODA,OG977782,ANODA01117,0.47675568743818003,0.47675568743818003,964,2022,2022
ANODA,OG369576,ANODA04599,0.4946236559139785,0.4946236559139785,276,558,558
ANODA,OG792914,ANODA03658,0.74481658692185,0.74481658692185,934,1254,1254
ANODA,OG916860,ANODA09028,0.5851581508515815,0.5851581508515815,481,822,822
ANODA,OG971123,ANODA05742,0.7010463378176383,0.7010463378176383,1407,2007,2007
ANODA,OG961013,ANODA08956,0.9730848861283644,0.9730848861283644,1880,1932,1932
ANODA,OG420768,ANODA06165,0.9079922027290448,0.9079922027290448,2329,2565,2565
ANODA,OG456691,ANODA06792,0.13801452784503632,0.13801452784503632,171,1239,1239
ANODA,OG979200,ANODA05740,0.4879955332216639,0.4879955332216639,874,1791,1791
ANODA,OG817086,ANODA08550,0.9012345679012346,0.9012345679012346,657,729,729
ANODA,OG828830,ANODA10328,0.7764471057884231,0.7764471057884231,389,501,501
ANODA,OG968775,ANODA05162,0.924620655898189,0.924620655898189,1889,2043,2043
ANODA,OG1176412,ANODA07141,0.84029590948651,0.84029590948651,1931,2298,2298
ANODA,OG1179948,ANODA10325,0.7641843971631206,0.7641843971631206,431,564,564
ANODA,OG960945,ANODA08768,0.6960408684546615,0.6960408684546615,1090,1566,1566
