#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANODA,OG1079985,ANODA06296,1.0,1.0,3234,3234,3234
ANODA,OG1081004,ANODA08766,0.998212689901698,0.998212689901698,2234,2238,2238
ANODA,OG1138880,ANODA05178,1.0,1.0,678,678,678
ANOGA,OG1139777,ANOGA04100,0.9661016949152542,0.9661016949152542,342,354,354
ANODA,OG1139996,ANODA03476,0.9657768651608487,0.9657768651608487,1411,1461,1461
ANODA,OG1144131,ANODA04793,1.0,1.0,2196,2196,2196
ANODA,OG1146505,ANODA07082,1.0,1.0,2673,2673,2673
ANODA,OG1146507,ANODA10392,1.0,1.0,2937,2937,2937
ANODA,OG1150674,ANODA06923,1.0,1.0,801,801,801
ANODA,OG1150857,ANODA10330,0.974080771549126,0.974080771549126,1616,1659,1659
ANODA,OG1152239,ANODA05622,1.0,1.0,945,945,945
ANODA,OG1157040,ANODA03571,1.0,1.0,813,813,813
ANODA,OG1162063,ANODA08486,1.0,1.0,1500,1500,1500
ANODA,OG1168250,ANODA06913,0.8421052631578947,0.8421052631578947,288,342,342
ANODA,OG1168476,ANODA06616,1.0,1.0,1245,1245,1245
ANODA,OG1170587,ANODA03456,0.9880988098809881,0.9880988098809881,9880,9999,9999
ANODA,OG1174245,ANODA09078,0.9611451942740287,0.9611451942740287,1880,1956,1956
ANODA,OG1174608,ANODA04336,1.0,1.0,444,444,444
ANODA,OG1174891,ANODA02648,1.0,1.0,888,888,888
ANODA,OG1176412,ANODA07141,1.0,1.0,2298,2298,2298
ANODA,OG1179948,ANODA10325,0.8687943262411347,0.8687943262411347,490,564,564
ANODA,OG1179969,ANODA09026,1.0,1.0,3009,3009,3009
ANODA,OG1181227,ANODA06163,0.9738562091503268,0.9738562091503268,1788,1836,1836
ANODA,OG1183200,ANODA07300,1.0,1.0,897,897,897
ANODA,OG1189787,ANODA07757,1.0,1.0,588,588,588
ANODA,OG1190683,ANODA08567,0.999168744804655,0.999168744804655,1202,1203,1203
ANODA,OG1191966,ANODA01579,0.9801526717557252,0.9801526717557252,1926,1965,1965
ANODA,OG1192905,ANODA10252,1.0,1.0,1017,1017,1017
ANODA,OG1194738,ANODA04923,1.0,1.0,1452,1452,1452
ANODA,OG1197765,ANODA06617,0.9665271966527197,0.9665271966527197,693,717,717
ANODA,OG1198488,ANODA06785,0.9619978284473398,0.9619978284473398,1772,1842,1842
ANODA,OG1198490,ANODA04841,0.9966532797858099,0.9966532797858099,1489,1494,1494
ANODA,OG1202204,ANODA07035,1.0,1.0,717,717,717
ANODA,OG1202789,ANODA06915,1.0,1.0,3174,3174,3174
ANODA,OG1203459,ANODA03477,0.9979674796747967,0.9979674796747967,982,984,984
ANODA,OG1204971,ANODA05655,1.0,1.0,7173,7173,7173
ANODA,OG1208321,ANODA05883,0.9936979518343462,0.9936979518343462,8830,8886,8886
ANODA,OG1212040,ANODA10250,0.9919493962047153,0.9919493962047153,5175,5217,5217
ANODA,OG1214309,ANODA07715,1.0,1.0,390,390,390
ANODA,OG1214658,ANODA02027,0.8148148148148148,0.8148148148148148,572,702,702
ANODA,OG1215812,ANODA08572,1.0,1.0,654,654,654
ANODA,OG1216622,ANODA06914,0.9276729559748428,0.9276729559748428,1180,1272,1272
ANODA,OG1218157,ANODA08542,0.9354413702239789,0.9354413702239789,710,759,759
ANODA,OG1218158,ANODA08565,0.9458689458689459,0.9458689458689459,664,702,702
ANODA,OG1218490,ANODA07244,0.924953095684803,0.924953095684803,1479,1599,1599
ANODA,OG1219581,ANODA05977,0.9946524064171123,0.9946524064171123,1674,1683,1683
ANODA,OG1221639,ANODA05486,0.9206349206349206,0.9206349206349206,348,378,378
ANODA,OG1221689,ANODA08570,1.0,1.0,2319,2319,2319
ANODA,OG1222683,ANODA08571,1.0,1.0,1719,1719,1719
ANODA,OG1223272,ANODA01666,1.0,1.0,1998,1998,1998
ANODA,OG1223886,ANODA06917,0.9288617886178862,0.9288617886178862,457,492,492
ANODA,OG1224967,ANODA01667,0.9988888888888889,0.9988888888888889,1798,1800,1800
ANODA,OG1225085,ANODA05595,0.9997710622710623,0.9997710622710623,4367,4368,4368
ANODA,OG1226379,ANODA02643,1.0,1.0,1287,1287,1287
ANODA,OG1229017,ANODA05596,1.0,1.0,2511,2511,2511
ANODA,OG1230391,ANODA03599,1.0,1.0,1059,1059,1059
ANODA,OG1231177,ANODA03650,0.9945848375451264,0.9945848375451264,1653,1662,1662
ANODA,OG1231901,ANODA00788,1.0,1.0,2448,2448,2448
ANODA,OG1235653,ANODA08957,1.0,1.0,1875,1875,1875
ANODA,OG1236745,ANODA08566,0.9930795847750865,0.9930795847750865,861,867,867
ANODA,OG1240325,ANODA00791,0.9558080808080808,0.9558080808080808,757,792,792
ANODA,OG1240328,ANODA00790,1.0,1.0,888,888,888
ANODA,OG1240929,ANODA06171,1.0,1.0,1026,1026,1026
ANODA,OG1240968,ANODA05983,0.9488939740655988,0.9488939740655988,1244,1311,1311
ANODA,OG1241986,ANODA03573,1.0,1.0,1299,1299,1299
ANODA,OG1242667,ANODA10318,0.9995889847924373,0.9995889847924373,2432,2433,2433
ANODA,OG1244115,ANODA03659,0.7816091954022989,0.7816091954022989,272,348,348
ANODA,OG1246006,ANODA06751,1.0,1.0,1014,1014,1014
ANODA,OG1251119,ANODA03237,0.9984779299847792,0.9984779299847792,1312,1314,1314
ANODA,OG1251511,ANODA09076,1.0,1.0,2304,2304,2304
ANODA,OG1251552,ANODA07755,0.8981481481481481,0.8981481481481481,485,540,540
ANODA,OG341995,ANODA06295,0.9906119217283113,0.9906119217283113,8758,8841,8841
ANODA,OG342477,ANODA06162,1.0,1.0,3603,3603,3603
ANODA,OG344070,ANODA02026,1.0,1.0,3228,3228,3228
ANODA,OG348620,ANODA06924,1.0,1.0,1359,1359,1359
ANODA,OG351572,ANODA06536,0.9268518518518518,0.9268518518518518,1001,1080,1080
ANODA,OG352732,ANODA04288,1.0,1.0,1476,1476,1476
ANODA,OG362545,ANODA06501,1.0,1.0,867,867,867
ANODA,OG362633,ANODA07026,0.8180076628352491,0.8180076628352491,1281,1566,1566
ANODA,OG369576,ANODA04599,1.0,1.0,558,558,558
ANODA,OG373241,ANODA00581,1.0,1.0,333,333,333
ANODA,OG375937,ANODA00223,1.0,1.0,804,804,804
ANODA,OG411836,ANODA03579,0.9193302891933028,0.9193302891933028,1208,1314,1314
ANODA,OG419349,ANODA03242,1.0,1.0,3042,3042,3042
ANODA,OG420493,ANODA06168,1.0,1.0,783,783,783
ANODA,OG420768,ANODA06165,0.9742690058479532,0.9742690058479532,2499,2565,2565
ANODA,OG451038,ANODA08555,1.0,1.0,759,759,759
ANODA,OG451043,ANODA08553,0.8982597054886211,0.8982597054886211,671,747,747
ANODA,OG454890,ANODA10326,1.0,1.0,984,984,984
ANODA,OG455346,ANODA06172,1.0,1.0,1140,1140,1140
ANODA,OG456338,ANODA01580,1.0,1.0,4812,4812,4812
ANODA,OG456351,ANODA09077,0.9770992366412213,0.9770992366412213,4992,5109,5109
ANODA,OG456479,ANODA10251,1.0,1.0,1758,1758,1758
ANODA,OG456648,ANODA01951,0.9348422496570644,0.9348422496570644,1363,1458,1458
ANODA,OG456691,ANODA06792,1.0,1.0,1239,1239,1239
ANODA,OG456720,ANODA07083,1.0,1.0,756,756,756
ANODA,OG457108,ANODA03006,0.9948453608247423,0.9948453608247423,579,582,582
ANODA,OG457329,ANODA01668,1.0,1.0,747,747,747
ANODA,OG457572,ANODA02309,0.9183222958057395,0.9183222958057395,416,453,453
ANODA,OG458150,ANODA02645,1.0,1.0,567,567,567
ANODA,OG460076,ANODA05621,1.0,1.0,3018,3018,3018
ANODA,OG661167,ANODA02918,1.0,1.0,867,867,867
ANODA,OG664391,ANODA07080,1.0,1.0,1347,1347,1347
ANODA,OG665560,ANODA06166,0.9847068819031436,0.9847068819031436,3477,3531,3531
ANODA,OG671266,ANODA07081,1.0,1.0,14001,14001,14001
ANODA,OG673136,ANODA03220,0.9792663476874003,0.9792663476874003,1228,1254,1254
ANODA,OG674682,ANODA07073,0.9951338199513382,0.9951338199513382,818,822,822
ANODA,OG675570,ANODA03502,1.0,1.0,927,927,927
ANODA,OG676343,ANODA08502,0.9884259259259259,0.9884259259259259,2135,2160,2160
ANODA,OG696447,ANODA04792,1.0,1.0,915,915,915
ANODA,OG698904,ANODA03572,1.0,1.0,3153,3153,3153
ANODA,OG698997,ANODA05980,0.959190031152648,0.959190031152648,3079,3210,3210
ANODA,OG699681,ANODA09332,1.0,1.0,339,339,339
ANODA,OG703365,ANODA10334,0.9567430025445293,0.9567430025445293,1128,1179,1179
ANODA,OG708597,ANODA05161,1.0,1.0,3093,3093,3093
ANODA,OG718578,ANODA00549,1.0,1.0,1707,1707,1707
ANODA,OG719374,ANODA07299,1.0,1.0,4233,4233,4233
ANODA,OG722946,ANODA07079,1.0,1.0,1164,1164,1164
ANODA,OG736122,ANODA03241,1.0,1.0,969,969,969
ANODA,OG761976,ANODA05741,0.9710691823899371,0.9710691823899371,1544,1590,1590
ANODA,OG762076,ANODA10391,1.0,1.0,783,783,783
ANODA,OG784747,ANODA08561,1.0,1.0,636,636,636
ANODA,OG790850,ANODA06160,0.9768009768009768,0.9768009768009768,800,819,819
ANODA,OG792914,ANODA03658,1.0,1.0,1254,1254,1254
ANODA,OG792952,ANODA03657,1.0,1.0,1065,1065,1065
ANODA,OG793899,ANODA01385,1.0,1.0,603,603,603
ANOST,OG796653,ANOST00189,0.9980879541108987,0.9980879541108987,1566,1569,1569
ANODA,OG814084,ANODA09331,0.9342592592592592,0.9342592592592592,1009,1080,1080
ANODA,OG814870,ANODA05594,0.9727307398932112,0.9727307398932112,5101,5244,5244
ANOST,OG817086,ANOST00310,0.9884559884559885,0.9884559884559885,685,693,693
ANODA,OG822311,ANODA06170,0.96362286562732,0.96362286562732,2596,2694,2694
ANODA,OG823022,ANODA00759,1.0,1.0,1314,1314,1314
ANODA,OG823032,ANODA05893,0.9992424242424243,0.9992424242424243,1319,1320,1320
ANODA,OG823037,ANODA01777,1.0,1.0,1350,1350,1350
ANODA,OG828830,ANODA10328,0.8303393213572854,0.8303393213572854,416,501,501
ANODA,OG839253,ANODA06918,1.0,1.0,336,336,336
ANODA,OG842298,ANODA01152,0.9457787481804949,0.9457787481804949,2599,2748,2748
ANODA,OG846448,ANODA08490,1.0,1.0,753,753,753
ANODA,OG848281,ANODA03007,1.0,1.0,1674,1674,1674
ANODA,OG853434,ANODA08568,0.9855072463768116,0.9855072463768116,476,483,483
ANODA,OG861720,ANODA08506,1.0,1.0,3792,3792,3792
ANODA,OG877291,ANODA07249,1.0,1.0,1527,1527,1527
ANODA,OG896170,ANODA03515,1.0,1.0,1461,1461,1461
ANODA,OG899270,ANODA01952,0.9655377302436126,0.9655377302436126,1625,1683,1683
ANODA,OG911937,ANODA03653,0.9733984799131379,0.9733984799131379,1793,1842,1842
ANODA,OG916860,ANODA09028,0.9732360097323601,0.9732360097323601,800,822,822
ANODA,OG917347,ANODA01979,1.0,1.0,963,963,963
ANODA,OG924410,ANODA03655,0.9993558776167472,0.9993558776167472,6206,6210,6210
ANODA,OG925865,ANODA07041,0.8876811594202898,0.8876811594202898,490,552,552
ANODA,OG926503,ANODA08545,1.0,1.0,486,486,486
ANODA,OG931899,ANODA03411,1.0,1.0,1488,1488,1488
ANODA,OG932017,ANODA05892,0.9993386243386243,0.9993386243386243,1511,1512,1512
ANODA,OG932104,ANODA02917,1.0,1.0,1563,1563,1563
ANODA,OG944937,ANODA08489,1.0,1.0,1134,1134,1134
ANODA,OG946387,ANODA07723,0.9888727624576681,0.9888727624576681,2044,2067,2067
ANODA,OG946885,ANODA07717,0.9899458623356535,0.9899458623356535,1280,1293,1293
ANODA,OG949414,ANODA06508,1.0,1.0,690,690,690
ANODA,OG949490,ANODA08552,1.0,1.0,858,858,858
ANODA,OG951333,ANODA08505,0.9022222222222223,0.9022222222222223,406,450,450
ANODA,OG953187,ANODA09070,0.9425925925925925,0.9425925925925925,509,540,540
ANOSI,OG953548,ANOSI16981,0.9989727786337956,0.9989727786337956,1945,1947,1947
ANODA,OG958126,ANODA01492,1.0,1.0,663,663,663
ANODA,OG960910,ANODA08504,1.0,1.0,1314,1314,1314
ANODA,OG960945,ANODA08768,1.0,1.0,1566,1566,1566
ANODA,OG960979,ANODA00582,1.0,1.0,1200,1200,1200
ANODA,OG961011,ANODA07246,0.9850107066381156,0.9850107066381156,2760,2802,2802
ANOSI,OG961013,ANOSI18108,0.9742747673782156,0.9742747673782156,1780,1827,1827
ANODA,OG961115,ANODA03651,1.0,1.0,1089,1089,1089
ANODA,OG961299,ANODA07298,0.9874631268436578,0.9874631268436578,2678,2712,2712
ANODA,OG961322,ANODA05981,1.0,1.0,411,411,411
ANODA,OG961377,ANODA07077,1.0,1.0,1041,1041,1041
