#species,og,gene_id,map_seq_completeness,ref_seq_completeness,inferred_len,given_len,ref_len
ANOGA,OG1079985,ANOGA04086,0.6710411198600175,0.6710411198600175,2301,3429,3429
ANOGA,OG1081004,ANOGA04408,0.7364016736401674,0.7364016736401674,1584,2151,2151
ANOST,OG1138880,ANOST00591,0.42584434654919234,0.42584434654919234,290,681,681
ANOST,OG1139777,ANOST00117,0.884180790960452,0.884180790960452,313,354,354
ANOGA,OG1139996,ANOGA05695,0.49736644093303234,0.49736644093303234,661,1329,1329
ANOGA,OG1144131,ANOGA06520,0.5637459434399629,0.5637459434399629,1216,2157,2157
ANOGA,OG1146505,ANOGA04324,0.6488372093023256,0.6488372093023256,1674,2580,2580
ANOST,OG1146507,ANOST00365,0.2669418644650843,0.2669418644650843,776,2907,2907
ANOGA,OG1150674,ANOGA05653,0.28963795255930086,0.28963795255930086,232,801,801
ANOST,OG1150857,ANOST00554,0.7246117084826762,0.7246117084826762,1213,1674,1674
ANOST,OG1152239,ANOST00609,0.48484848484848486,0.48484848484848486,448,924,924
ANOGA,OG1157040,ANOGA04042,0.80970625798212,0.80970625798212,634,783,783
ANOST,OG1162063,ANOST00522,0.5182481751824818,0.5182481751824818,639,1233,1233
ANOGA,OG1168250,ANOGA05380,0.935672514619883,0.935672514619883,320,342,342
ANOGA,OG1168476,ANOGA04432,0.6832151300236406,0.6832151300236406,867,1269,1269
ANOGA,OG1170587,ANOGA04139,0.9232443125618199,0.9232443125618199,9334,10110,10110
ANOSI,OG1174245,ANOSI10141,0.6656184486373166,0.6656184486373166,1270,1908,1908
ANOSI,OG1174608,ANOSI10178,1.0,1.0,444,444,444
ANOST,OG1174891,ANOST00152,0.48032407407407407,0.48032407407407407,415,864,864
ANOST,OG1176412,ANOST00547,0.8550285906491759,0.8550285906491759,2542,2973,2973
ANOGA,OG1179948,ANOGA04501,0.799645390070922,0.799645390070922,451,564,564
ANOST,OG1179969,ANOST00511,0.7342948717948717,0.7342948717948717,2291,3120,3120
ANOST,OG1181227,ANOST00162,0.6252045826513911,0.6252045826513911,1146,1833,1833
ANOST,OG1183200,ANOST00504,0.43123543123543123,0.43123543123543123,370,858,858
ANODA,OG1189787,ANODA07757,0.5850340136054422,0.5850340136054422,344,588,588
ANOGA,OG1190683,ANOGA04295,0.7738693467336684,0.7738693467336684,924,1194,1194
ANOST,OG1191966,ANOST00456,0.6291730868002054,0.6291730868002054,1225,1947,1947
ANOGA,OG1192905,ANOGA05458,0.6204523107177975,0.6204523107177975,631,1017,1017
ANOGA,OG1194738,ANOGA05637,0.8422865013774105,0.8422865013774105,1223,1452,1452
ANOGA,OG1197765,ANOGA04431,0.9533898305084746,0.9533898305084746,675,708,708
ANOST,OG1198488,ANOST00216,0.9457111834961998,0.9457111834961998,1742,1842,1842
ANODA,OG1198490,ANODA04841,1.0,1.0,1494,1494,1494
ANOST,OG1202204,ANOST00290,1.0,1.0,717,717,717
ANOSI,OG1202789,ANOSI15781,0.847185768445611,0.847185768445611,2905,3429,3429
ANOGA,OG1203459,ANOGA05696,0.38922764227642276,0.38922764227642276,383,984,984
ANOGA,OG1204971,ANOGA05312,0.5345319634703196,0.5345319634703196,3746,7008,7008
ANOGA,OG1208321,ANOGA05692,0.7837514934289128,0.7837514934289128,6560,8370,8370
ANOST,OG1212040,ANOST00490,0.6058663558663558,0.6058663558663558,3119,5148,5148
ANOGA,OG1214309,ANOGA05405,0.9328358208955224,0.9328358208955224,375,402,402
ANOSI,OG1214658,ANOSI13358,0.8804347826086957,0.8804347826086957,486,552,552
ANOST,OG1215812,ANOST00126,0.9907834101382489,0.9907834101382489,645,651,651
ANOGA,OG1216622,ANOGA05381,0.7855361596009975,0.7855361596009975,945,1203,1203
ANOGA,OG1218157,ANOGA04267,0.764163372859025,0.764163372859025,580,759,759
ANOST,OG1218158,ANOST00323,0.9957264957264957,0.9957264957264957,699,702,702
ANOGA,OG1218490,ANOGA05471,0.6673913043478261,0.6673913043478261,921,1380,1380
ANOGA,OG1219581,ANOGA05679,0.5106253794778385,0.5106253794778385,841,1647,1647
ANOST,OG1221639,ANOST00016,0.6878306878306878,0.6878306878306878,260,378,378
ANOST,OG1221689,ANOST00123,0.8717616580310881,0.8717616580310881,2019,2316,2316
ANOGA,OG1222683,ANOGA04115,0.8396396396396396,0.8396396396396396,1398,1665,1665
ANOGA,OG1223272,ANOGA04094,0.963928726640591,0.963928726640591,2218,2301,2301
ANOGA,OG1223886,ANOGA05389,0.3089430894308943,0.3089430894308943,152,492,492
ANOGA,OG1224967,ANOGA04095,0.977107761027359,0.977107761027359,1750,1791,1791
ANOGA,OG1225085,ANOGA05304,0.596719070403281,0.596719070403281,2619,4389,4389
ANOGA,OG1226379,ANOGA04627,0.6167800453514739,0.6167800453514739,816,1323,1323
ANOGA,OG1229017,ANOGA05305,0.8900747065101388,0.8900747065101388,2502,2811,2811
ANOGA,OG1230391,ANOGA04302,0.307909604519774,0.307909604519774,327,1062,1062
ANOGA,OG1231177,ANOGA04120,0.9185705916813123,0.9185705916813123,1568,1707,1707
ANOGA,OG1231901,ANOGA05639,0.5113544201135442,0.5113544201135442,1261,2466,2466
ANOGA,OG1235653,ANOGA04515,0.832,0.832,1560,1875,1875
ANOST,OG1236745,ANOST00324,0.7448275862068966,0.7448275862068966,648,870,870
ANOST,OG1240325,ANOST00269,0.5958188153310104,0.5958188153310104,513,861,861
ANOST,OG1240328,ANOST00270,0.4527027027027027,0.4527027027027027,402,888,888
ANOGA,OG1240929,ANOGA04635,0.5206532180595581,0.5206532180595581,542,1041,1041
ANODA,OG1240968,ANODA05983,0.585812356979405,0.585812356979405,768,1311,1311
ANOSI,OG1241986,ANOSI13275,0.48847926267281105,0.48847926267281105,636,1302,1302
ANOGA,OG1242667,ANOGA04473,0.4703703703703704,0.4703703703703704,1143,2430,2430
ANOST,OG1244115,ANOST00140,1.0,1.0,348,348,348
ANOGA,OG1246006,ANOGA05367,0.9303921568627451,0.9303921568627451,949,1020,1020
ANOST,OG1251119,ANOST00180,0.8859455481972038,0.8859455481972038,1204,1359,1359
ANOGA,OG1251511,ANOGA04057,0.9313471502590673,0.9313471502590673,2157,2316,2316
ANOSI,OG1251552,ANOSI09497,0.4603174603174603,0.4603174603174603,232,504,504
ANOGA,OG341995,ANOGA04081,0.5676361957525392,0.5676361957525392,4918,8664,8664
ANOST,OG342477,ANOST00163,0.7576248313090418,0.7576248313090418,2807,3705,3705
ANOGA,OG344070,ANOGA05629,0.5246661215590079,0.5246661215590079,1925,3669,3669
ANOSI,OG348620,ANOSI16831,0.9048672566371682,0.9048672566371682,1227,1356,1356
ANOGA,OG351572,ANOGA04255,0.8585858585858586,0.8585858585858586,935,1089,1089
ANOST,OG352732,ANOST00335,0.8601190476190477,0.8601190476190477,1156,1344,1344
ANOST,OG362545,ANOST00615,0.47308132875143183,0.47308132875143183,413,873,873
ANOGA,OG362633,ANOGA04668,0.29542203147353363,0.29542203147353363,413,1398,1398
ANOGA,OG369576,ANOGA05331,0.5659340659340659,0.5659340659340659,309,546,546
ANODA,OG373241,ANODA00581,0.996996996996997,0.996996996996997,332,333,333
ANOGA,OG411836,ANOGA05239,0.7928134556574924,0.7928134556574924,1037,1308,1308
ANOGA,OG419349,ANOGA04655,0.5446908602150538,0.5446908602150538,1621,2976,2976
ANOST,OG420493,ANOST00159,0.7583979328165374,0.7583979328165374,587,774,774
ANOSI,OG420768,ANOSI13955,0.83991462113127,0.83991462113127,2361,2811,2811
ANOST,OG451038,ANOST00315,0.9744623655913979,0.9744623655913979,725,744,744
ANODA,OG451043,ANODA08553,0.9076305220883534,0.9076305220883534,678,747,747
ANOGA,OG454890,ANOGA04502,0.8378378378378378,0.8378378378378378,837,999,999
ANOSI,OG455346,ANOSI13964,0.9367660343270099,0.9367660343270099,1037,1107,1107
ANOGA,OG456338,ANOGA05365,0.5483460559796438,0.5483460559796438,3017,5502,5502
ANOST,OG456351,ANOST00044,0.5957105632391261,0.5957105632391261,2972,4989,4989
ANOST,OG456479,ANOST00489,0.7177777777777777,0.7177777777777777,1292,1800,1800
ANOGA,OG456648,ANOGA04680,0.6726666666666666,0.6726666666666666,1009,1500,1500
ANOST,OG456691,ANOST00218,0.4259699129057799,0.4259699129057799,538,1263,1263
ANOGA,OG456720,ANOGA04313,0.7859778597785978,0.7859778597785978,639,813,813
ANOGA,OG457108,ANOGA04521,0.74822695035461,0.74822695035461,422,564,564
ANOGA,OG457329,ANOGA04096,0.2896825396825397,0.2896825396825397,219,756,756
ANOGA,OG457572,ANOGA05354,0.6164383561643836,0.6164383561643836,270,438,438
ANOSI,OG458150,ANOSI13956,0.2554890219560878,0.2554890219560878,128,501,501
ANOGA,OG460076,ANOGA06525,0.7311370882040382,0.7311370882040382,2064,2823,2823
ANOST,OG661167,ANOST00579,0.8541666666666666,0.8541666666666666,738,864,864
ANOSI,OG664391,ANOSI08311,0.8315256688358641,0.8315256688358641,1150,1383,1383
ANOST,OG665560,ANOST00160,0.5888036373969878,0.5888036373969878,2072,3519,3519
ANOGA,OG671266,ANOGA04325,0.9597430406852249,0.9597430406852249,13446,14010,14010
ANOGA,OG673136,ANOGA04099,0.6275430359937402,0.6275430359937402,802,1278,1278
ANOGA,OG674682,ANOGA05648,0.7300995024875622,0.7300995024875622,587,804,804
ANOGA,OG675570,ANOGA04091,0.6109289617486339,0.6109289617486339,559,915,915
ANOST,OG676343,ANOST00003,0.2891200693541396,0.2891200693541396,667,2307,2307
ANOGA,OG696447,ANOGA06521,0.5974025974025974,0.5974025974025974,552,924,924
ANOST,OG698904,ANOST00032,0.8687159782260647,0.8687159782260647,2713,3123,3123
ANOST,OG698997,ANOST00233,0.6642969984202212,0.6642969984202212,1682,2532,2532
ANOGA,OG699681,ANOGA05433,1.0,1.0,339,339,339
ANOST,OG703365,ANOST00557,0.3601036269430052,0.3601036269430052,417,1158,1158
ANOST,OG708597,ANOST00396,0.3864070255822833,0.3864070255822833,1012,2619,2619
ANOST,OG718578,ANOST00019,0.5155243116578794,0.5155243116578794,880,1707,1707
ANOGA,OG719374,ANOGA05480,0.5769322804498684,0.5769322804498684,2411,4179,4179
ANOGA,OG722946,ANOGA04328,0.6575,0.6575,789,1200,1200
ANOSI,OG736122,ANOSI16384,0.47649572649572647,0.47649572649572647,446,936,936
ANODA,OG761976,ANODA05741,0.4238993710691824,0.4238993710691824,674,1590,1590
